"PuttingAverage_RANKTHISWEEK_2005","PuttingAverage_RANKLASTWEEK_2005","PuttingAverage_PLAYERNAME_2005","PuttingAverage_ROUNDS_2005","PuttingAverage_AVG_2005","PuttingAverage_GIRPUTTS_2005","PuttingAverage_GREENSHIT_2005","PuttingAverage_BIRDIECONVERSION_2005","PuttingAverage_GIRRANK_2005","stat_name","year"
1,1,"Arjun Atwal",65,1.71,1298,759,34.17,106,"PuttingAverage",2005
2,2,"Steve Stricker",62,1.713,1172,684,33.58,180,"PuttingAverage",2005
3,3,"Ben Crane",78,1.715,1425,831,33.54,161,"PuttingAverage",2005
4,4,"Bob Heintz",67,1.727,1269,735,33.88,189,"PuttingAverage",2005
5,5,"Tim Clark",92,1.731,1741,1006,32.9,123,"PuttingAverage",2005
5,5,"Tiger Woods",76,1.731,1612,931,36.56,6,"PuttingAverage",2005
7,7,"Aaron Baddeley",84,1.733,1556,898,32.33,191,"PuttingAverage",2005
7,7,"Todd Fischer",99,1.733,1853,1069,30.62,181,"PuttingAverage",2005
9,9,"Scott Verplank",87,1.734,1784,1029,32.49,61,"PuttingAverage",2005
10,10,"Chris DiMarco",83,1.737,1504,866,29.47,125,"PuttingAverage",2005
10,10,"David Toms",87,1.737,1622,934,31.97,39,"PuttingAverage",2005
12,12,"Joe Ogilvie",103,1.738,1917,1103,33.24,172,"PuttingAverage",2005
13,13,"Brad Faxon",75,1.739,1379,793,31.06,167,"PuttingAverage",2005
13,13,"Brenden Pappas",51,1.739,1035,595,34.34,108,"PuttingAverage",2005
15,15,"Phil Mickelson",81,1.74,1550,891,35.7,47,"PuttingAverage",2005
16,16,"Tag Ridings",93,1.741,1856,1066,33.9,97,"PuttingAverage",2005
17,17,"Geoff Ogilvy",97,1.746,1949,1116,31.69,53,"PuttingAverage",2005
17,17,"Charlie Wi",67,1.746,1226,702,30.39,195,"PuttingAverage",2005
19,19,"Jim Furyk",94,1.747,2040,1168,29.81,7,"PuttingAverage",2005
20,20,"Ryan Palmer",101,1.749,1997,1142,32.87,89,"PuttingAverage",2005
21,21,"Hunter Haas",83,1.75,1594,911,30.95,128,"PuttingAverage",2005
22,22,"Billy Andrade",83,1.751,1672,955,31.66,132,"PuttingAverage",2005
22,22,"Paul Azinger",66,1.751,1268,724,31.3,190,"PuttingAverage",2005
22,22,"Tim Herron",100,1.751,2036,1163,32.27,96,"PuttingAverage",2005
25,25,"Jose Maria Olazabal",55,1.752,1093,624,29.74,89,"PuttingAverage",2005
26,26,"Robert Gamez",91,1.755,1851,1055,30.58,119,"PuttingAverage",2005
26,26,"Dean Wilson",86,1.755,1783,1016,30.21,81,"PuttingAverage",2005
28,28,"Justin Bolli",65,1.756,1215,692,28.94,185,"PuttingAverage",2005
29,29,"Michael Allen",90,1.757,1782,1014,29.35,156,"PuttingAverage",2005
29,29,"Marco Dawson",82,1.757,1748,995,30.14,37,"PuttingAverage",2005
29,29,"John Huston",90,1.757,1741,991,32.29,130,"PuttingAverage",2005
32,32,"Chris Anderson",66,1.758,1197,681,29.26,185,"PuttingAverage",2005
32,32,"Kent Jones",99,1.758,2009,1143,30.3,86,"PuttingAverage",2005
34,34,"Stewart Cink",98,1.759,1873,1065,29.35,77,"PuttingAverage",2005
