"EarlyRound1ScoringAverage_RANKTHISWEEK_2009","EarlyRound1ScoringAverage_RANKLASTWEEK_2009","EarlyRound1ScoringAverage_PLAYERNAME_2009","EarlyRound1ScoringAverage__2009","EarlyRound1ScoringAverage_AVG_2009","EarlyRound1ScoringAverage_TOTALSTROKES_2009","EarlyRound1ScoringAverage_TOTALROUNDS_2009","stat_name","year"
1,1,"Retief Goosen",NA,68.5,548,8,"EarlyRound1ScoringAverage",2009
2,2,"Jim Furyk",NA,68.58,823,12,"EarlyRound1ScoringAverage",2009
3,3,"Scott Sterling",NA,68.83,413,6,"EarlyRound1ScoringAverage",2009
4,4,"Tim Clark",NA,68.85,895,13,"EarlyRound1ScoringAverage",2009
5,5,"Steve Stricker",NA,69,828,12,"EarlyRound1ScoringAverage",2009
6,6,"JJ Henry",NA,69.13,553,8,"EarlyRound1ScoringAverage",2009
6,6,"Anthony Kim",NA,69.13,553,8,"EarlyRound1ScoringAverage",2009
8,8,"Jonathan Byrd",NA,69.23,900,13,"EarlyRound1ScoringAverage",2009
9,9,"Sean OHair",NA,69.3,693,10,"EarlyRound1ScoringAverage",2009
10,10,"Paul Goydos",NA,69.38,902,13,"EarlyRound1ScoringAverage",2009
10,10,"Kenny Perry",NA,69.38,555,8,"EarlyRound1ScoringAverage",2009
12,12,"Tag Ridings",NA,69.44,625,9,"EarlyRound1ScoringAverage",2009
13,13,"Steve Elkington",NA,69.5,695,10,"EarlyRound1ScoringAverage",2009
13,13,"Johnson Wagner",NA,69.5,695,10,"EarlyRound1ScoringAverage",2009
15,15,"Jerry Kelly",NA,69.54,904,13,"EarlyRound1ScoringAverage",2009
16,16,"David Toms",NA,69.56,1113,16,"EarlyRound1ScoringAverage",2009
16,16,"Mark Wilson",NA,69.56,1113,16,"EarlyRound1ScoringAverage",2009
18,18,"Mike Weir",NA,69.57,974,14,"EarlyRound1ScoringAverage",2009
19,19,"Charles Howell III",NA,69.6,1044,15,"EarlyRound1ScoringAverage",2009
20,20,"Brandt Snedeker",NA,69.64,766,11,"EarlyRound1ScoringAverage",2009
21,21,"Greg Chalmers",NA,69.67,836,12,"EarlyRound1ScoringAverage",2009
21,21,"Marc Leishman",NA,69.67,836,12,"EarlyRound1ScoringAverage",2009
21,21,"Steve Marino",NA,69.67,836,12,"EarlyRound1ScoringAverage",2009
21,21,"James Nitties",NA,69.67,836,12,"EarlyRound1ScoringAverage",2009
21,21,"Ian Poulter",NA,69.67,418,6,"EarlyRound1ScoringAverage",2009
21,21,"Tiger Woods",NA,69.67,627,9,"EarlyRound1ScoringAverage",2009
27,27,"Woody Austin",NA,69.71,976,14,"EarlyRound1ScoringAverage",2009
28,28,"Kevin Sutherland",NA,69.8,1047,15,"EarlyRound1ScoringAverage",2009
29,29,"Stephen Ames",NA,69.82,768,11,"EarlyRound1ScoringAverage",2009
30,30,"Michael Allen",NA,69.83,419,6,"EarlyRound1ScoringAverage",2009
31,31,"Kevin Na",NA,69.86,978,14,"EarlyRound1ScoringAverage",2009
31,31,"Patrick Sheehan",NA,69.86,489,7,"EarlyRound1ScoringAverage",2009
33,33,"Jason Day",NA,69.88,559,8,"EarlyRound1ScoringAverage",2009
34,34,"Bob Heintz",NA,69.91,769,11,"EarlyRound1ScoringAverage",2009
35,35,"Robert Garrigus",NA,69.92,839,12,"EarlyRound1ScoringAverage",2009
36,36,"Bill Lunde",NA,69.93,979,14,"EarlyRound1ScoringAverage",2009
37,37,"Angel Cabrera",NA,70,560,8,"EarlyRound1ScoringAverage",2009
37,37,"Mark Calcavecchia",NA,70,910,13,"EarlyRound1ScoringAverage",2009
37,37,"Stewart Cink",NA,70,700,10,"EarlyRound1ScoringAverage",2009
37,37,"Scott Verplank",NA,70,980,14,"EarlyRound1ScoringAverage",2009
41,41,"Brian Gay",NA,70.06,1121,16,"EarlyRound1ScoringAverage",2009
41,41,"DA Points",NA,70.06,1121,16,"EarlyRound1ScoringAverage",2009
43,43,"Spencer Levin",NA,70.08,911,13,"EarlyRound1ScoringAverage",2009
43,43,"Nick OHern",NA,70.08,841,12,"EarlyRound1ScoringAverage",2009
45,45,"Geoff Ogilvy",NA,70.09,771,11,"EarlyRound1ScoringAverage",2009
46,46,"Aron Price",NA,70.1,701,10,"EarlyRound1ScoringAverage",2009
47,47,"Kevin Stadler",NA,70.11,631,9,"EarlyRound1ScoringAverage",2009
48,48,"Justin Leonard",NA,70.14,982,14,"EarlyRound1ScoringAverage",2009
49,49,"Jason Bohn",NA,70.15,912,13,"EarlyRound1ScoringAverage",2009
50,50,"Webb Simpson",NA,70.17,842,12,"EarlyRound1ScoringAverage",2009
51,51,"Chris DiMarco",NA,70.18,1193,17,"EarlyRound1ScoringAverage",2009
52,52,"Jeff Overton",NA,70.2,1053,15,"EarlyRound1ScoringAverage",2009
53,53,"Briny Baird",NA,70.24,1194,17,"EarlyRound1ScoringAverage",2009
54,54,"Sergio Garcia",NA,70.25,562,8,"EarlyRound1ScoringAverage",2009
54,54,"Jeff Maggert",NA,70.25,843,12,"EarlyRound1ScoringAverage",2009
54,54,"Tom Pernice Jr",NA,70.25,843,12,"EarlyRound1ScoringAverage",2009
57,57,"Richard Johnson",NA,70.27,1054,15,"EarlyRound1ScoringAverage",2009
58,58,"Bill Haas",NA,70.29,984,14,"EarlyRound1ScoringAverage",2009
58,58,"Greg Owen",NA,70.29,984,14,"EarlyRound1ScoringAverage",2009
60,60,"Brad Adamonis",NA,70.33,844,12,"EarlyRound1ScoringAverage",2009
60,60,"Bart Bryant",NA,70.33,422,6,"EarlyRound1ScoringAverage",2009
60,60,"Fred Couples",NA,70.33,633,9,"EarlyRound1ScoringAverage",2009
60,60,"Bob Estes",NA,70.33,633,9,"EarlyRound1ScoringAverage",2009
60,60,"John Senden",NA,70.33,1055,15,"EarlyRound1ScoringAverage",2009
60,60,"Chris Stroud",NA,70.33,844,12,"EarlyRound1ScoringAverage",2009
60,60,"Nick Watney",NA,70.33,844,12,"EarlyRound1ScoringAverage",2009
67,67,"Matt Kuchar",NA,70.36,774,11,"EarlyRound1ScoringAverage",2009
67,67,"Camilo Villegas",NA,70.36,985,14,"EarlyRound1ScoringAverage",2009
69,69,"Kirk Triplett",NA,70.38,915,13,"EarlyRound1ScoringAverage",2009
69,69,"Charlie Wi",NA,70.38,915,13,"EarlyRound1ScoringAverage",2009
71,71,"Lee Janzen",NA,70.43,986,14,"EarlyRound1ScoringAverage",2009
72,72,"DJ Trahan",NA,70.44,1127,16,"EarlyRound1ScoringAverage",2009
73,73,"Rocco Mediate",NA,70.45,775,11,"EarlyRound1ScoringAverage",2009
73,73,"Bo Van Pelt",NA,70.45,1409,20,"EarlyRound1ScoringAverage",2009
75,75,"Nathan Green",NA,70.47,1057,15,"EarlyRound1ScoringAverage",2009
76,76,"Ken Duke",NA,70.5,1269,18,"EarlyRound1ScoringAverage",2009
76,76,"John Merrick",NA,70.5,987,14,"EarlyRound1ScoringAverage",2009
76,76,"Phil Mickelson",NA,70.5,423,6,"EarlyRound1ScoringAverage",2009
76,76,"Vaughn Taylor",NA,70.5,1128,16,"EarlyRound1ScoringAverage",2009
80,80,"Martin Laird",NA,70.53,1058,15,"EarlyRound1ScoringAverage",2009
81,81,"Cliff Kresge",NA,70.54,917,13,"EarlyRound1ScoringAverage",2009
82,82,"Charley Hoffman",NA,70.55,776,11,"EarlyRound1ScoringAverage",2009
83,83,"Michael Letzig",NA,70.56,1129,16,"EarlyRound1ScoringAverage",2009
83,83,"Joe Ogilvie",NA,70.56,1270,18,"EarlyRound1ScoringAverage",2009
85,85,"Harrison Frazar",NA,70.57,988,14,"EarlyRound1ScoringAverage",2009
86,86,"Ben Crane",NA,70.59,1200,17,"EarlyRound1ScoringAverage",2009
87,87,"Hunter Mahan",NA,70.6,1059,15,"EarlyRound1ScoringAverage",2009
88,88,"Dean Wilson",NA,70.61,1271,18,"EarlyRound1ScoringAverage",2009
89,89,"Lucas Glover",NA,70.64,777,11,"EarlyRound1ScoringAverage",2009
89,89,"Matt Jones",NA,70.64,777,11,"EarlyRound1ScoringAverage",2009
89,89,"Brett Quigley",NA,70.64,989,14,"EarlyRound1ScoringAverage",2009
92,92,"Troy Matteson",NA,70.67,1060,15,"EarlyRound1ScoringAverage",2009
93,93,"Corey Pavin",NA,70.69,919,13,"EarlyRound1ScoringAverage",2009
94,94,"Ryan Moore",NA,70.73,778,11,"EarlyRound1ScoringAverage",2009
