"GIRPutting1015_RANKTHISWEEK_2009","GIRPutting1015_RANKLASTWEEK_2009","GIRPutting1015_PLAYERNAME_2009","GIRPutting1015_ROUNDS_2009","GIRPutting1015_Pct_2009","GIRPutting1015_ATTEMPTS_2009","GIRPutting1015_PUTTSMADE_2009","stat_name","year"
1,1,"Matt Bettencourt",98,41.51,159,66,"GIRPutting1015",2009
2,2,"Dean Wilson",81,40.65,123,50,"GIRPutting1015",2009
3,3,"Brad Faxon",59,39.39,66,26,"GIRPutting1015",2009
4,4,"Corey Pavin",73,39.33,89,35,"GIRPutting1015",2009
5,5,"Bryce Molder",69,39.09,110,43,"GIRPutting1015",2009
6,6,"Ben Curtis",63,37.8,82,31,"GIRPutting1015",2009
7,7,"Lee Janzen",74,37.3,126,47,"GIRPutting1015",2009
8,8,"Brandt Snedeker",81,36.72,128,47,"GIRPutting1015",2009
9,9,"Jeff Klauk",97,36.6,153,56,"GIRPutting1015",2009
10,10,"Jeff Quinney",78,36.43,140,51,"GIRPutting1015",2009
11,11,"Fred Couples",54,35.9,78,28,"GIRPutting1015",2009
12,12,"Matt Kuchar",82,35.85,159,57,"GIRPutting1015",2009
13,13,"Martin Laird",72,35.83,120,43,"GIRPutting1015",2009
14,14,"Carl Pettersson",86,35.71,140,50,"GIRPutting1015",2009
15,15,"Luke Donald",79,35.65,115,41,"GIRPutting1015",2009
16,16,"Rich Beem",77,35.58,104,37,"GIRPutting1015",2009
17,17,"Hunter Mahan",94,35.37,147,52,"GIRPutting1015",2009
18,18,"Phil Mickelson",66,35.11,94,33,"GIRPutting1015",2009
19,19,"Tom Lehman",55,34.94,83,29,"GIRPutting1015",2009
20,20,"John Mallinger",90,34.92,126,44,"GIRPutting1015",2009
21,21,"Sean OHair",80,34.55,110,38,"GIRPutting1015",2009
22,22,"Jim Furyk",86,34.43,122,42,"GIRPutting1015",2009
23,23,"Justin Leonard",95,34.15,164,56,"GIRPutting1015",2009
24,24,"Webb Simpson",94,34.04,141,48,"GIRPutting1015",2009
25,25,"Retief Goosen",74,34,100,34,"GIRPutting1015",2009
