"RyderCupPoints_RANKTHISWEEK_2011","RyderCupPoints_RANKLASTWEEK_2011","RyderCupPoints_PLAYERNAME_2011","RyderCupPoints_EVENTS_2011","RyderCupPoints_POINTS_2011","stat_name","year"
1,1,"Keegan Bradley",1,1445,"RyderCupPoints",2011
2,2,"Jason Dufner",3,865,"RyderCupPoints",2011
3,3,"Phil Mickelson",4,847.143,"RyderCupPoints",2011
4,4,"Dustin Johnson",4,802.992,"RyderCupPoints",2011
5,5,"Steve Stricker",4,541.075,"RyderCupPoints",2011
6,6,"Ryan Palmer",4,441.591,"RyderCupPoints",2011
7,7,"David Toms",3,401.4,"RyderCupPoints",2011
8,8,"Bo Van Pelt",4,390.088,"RyderCupPoints",2011
9,9,"Robert Garrigus",3,379.991,"RyderCupPoints",2011
10,10,"Kevin Chappell",1,364.241,"RyderCupPoints",2011
11,11,"Rickie Fowler",4,347.405,"RyderCupPoints",2011
12,12,"Davis Love III",4,346.166,"RyderCupPoints",2011
13,13,"Scott Verplank",1,331,"RyderCupPoints",2011
14,14,"Tiger Woods",2,330.667,"RyderCupPoints",2011
15,15,"Gary Woodland",4,326.775,"RyderCupPoints",2011
16,16,"Anthony Kim",4,314.897,"RyderCupPoints",2011
17,17,"Chad Campbell",2,293.105,"RyderCupPoints",2011
18,18,"Brandt Snedeker",4,291.083,"RyderCupPoints",2011
19,19,"Matt Kuchar",4,265.131,"RyderCupPoints",2011
20,20,"Bill Haas",4,261.812,"RyderCupPoints",2011
21,21,"Webb Simpson",3,219.869,"RyderCupPoints",2011
22,22,"Kevin Na",4,188,"RyderCupPoints",2011
22,22,"DA Points",3,188,"RyderCupPoints",2011
24,24,"Lucas Glover",4,163.735,"RyderCupPoints",2011
25,25,"Heath Slocum",3,163.083,"RyderCupPoints",2011
26,26,"Nick Watney",4,159.186,"RyderCupPoints",2011
27,27,"Zach Johnson",4,156.821,"RyderCupPoints",2011
28,28,"Bubba Watson",4,153.617,"RyderCupPoints",2011
29,29,"Ricky Barnes",3,130.371,"RyderCupPoints",2011
30,30,"Fred Couples",1,128,"RyderCupPoints",2011
31,31,"Jim Furyk",4,124.206,"RyderCupPoints",2011
32,32,"Ryan Moore",4,116.673,"RyderCupPoints",2011
33,33,"Charles Howell III",2,107.936,"RyderCupPoints",2011
34,34,"Harrison Frazar",3,99.724,"RyderCupPoints",2011
35,35,"Brandt Jobe",2,97.955,"RyderCupPoints",2011
36,36,"Charley Hoffman",4,85.664,"RyderCupPoints",2011
37,37,"Jeff Overton",4,83.722,"RyderCupPoints",2011
38,38,"Hunter Mahan",4,81.214,"RyderCupPoints",2011
38,38,"Brendan Steele",1,81.214,"RyderCupPoints",2011
40,40,"Spencer Levin",2,79.601,"RyderCupPoints",2011
41,41,"Scott Piercy",2,75.771,"RyderCupPoints",2011
42,42,"Tom Lehman",1,72.067,"RyderCupPoints",2011
42,42,"Tom Watson",2,72.067,"RyderCupPoints",2011
44,44,"Mark Wilson",4,70.908,"RyderCupPoints",2011
45,45,"Jerry Kelly",3,51.063,"RyderCupPoints",2011
46,46,"Stewart Cink",4,47.134,"RyderCupPoints",2011
47,47,"Chris Kirk",1,40,"RyderCupPoints",2011
48,48,"Ben Crane",4,36.25,"RyderCupPoints",2011
49,49,"Kevin Streelman",4,33.569,"RyderCupPoints",2011
50,50,"Steve Marino",3,32,"RyderCupPoints",2011
51,51,"Michael Putnam",1,31.264,"RyderCupPoints",2011
51,51,"Chez Reavie",1,31.264,"RyderCupPoints",2011
53,53,"Bill Lunde",1,30.25,"RyderCupPoints",2011
54,54,"Kyle Stanley",1,28.538,"RyderCupPoints",2011
55,55,"JJ Henry",2,21.792,"RyderCupPoints",2011
56,56,"Todd Hamilton",2,19.763,"RyderCupPoints",2011
56,56,"Justin Hicks",1,19.763,"RyderCupPoints",2011
58,58,"Brian Gay",2,18.62,"RyderCupPoints",2011
59,59,"John Rollins",1,17.5,"RyderCupPoints",2011
59,59,"Johnson Wagner",1,17.5,"RyderCupPoints",2011
61,61,"Bryce Molder",1,16.6,"RyderCupPoints",2011
62,62,"Michael Bradley",1,16.033,"RyderCupPoints",2011
63,63,"Sean OHair",3,15.4,"RyderCupPoints",2011
64,64,"Mike Small",1,15,"RyderCupPoints",2011
65,65,"Shaun Micheel",1,14.55,"RyderCupPoints",2011
