"Front9Round1ScoringAverage_RANKTHISWEEK_2005","Front9Round1ScoringAverage_RANKLASTWEEK_2005","Front9Round1ScoringAverage_PLAYERNAME_2005","Front9Round1ScoringAverage__2005","Front9Round1ScoringAverage_AVG_2005","Front9Round1ScoringAverage_TOTALSTROKES_2005","Front9Round1ScoringAverage_TOTALROUNDS_2005","stat_name","year"
72,72,"Brendan Jones",NA,35.37,955,27,"Front9Round1ScoringAverage",2005
72,72,"Jeff Sluman",NA,35.37,955,27,"Front9Round1ScoringAverage",2005
74,74,"Chad Campbell",NA,35.38,920,26,"Front9Round1ScoringAverage",2005
74,74,"Fred Funk",NA,35.38,1026,29,"Front9Round1ScoringAverage",2005
74,74,"Matt Kuchar",NA,35.38,743,21,"Front9Round1ScoringAverage",2005
77,77,"Dudley Hart",NA,35.4,885,25,"Front9Round1ScoringAverage",2005
77,77,"Arron Oberholser",NA,35.4,708,20,"Front9Round1ScoringAverage",2005
79,79,"Brett Wetterich",NA,35.41,956,27,"Front9Round1ScoringAverage",2005
80,80,"Bill Glasson",NA,35.42,673,19,"Front9Round1ScoringAverage",2005
81,81,"Jose Coceres",NA,35.43,744,21,"Front9Round1ScoringAverage",2005
82,82,"Ryuji Imada",NA,35.44,886,25,"Front9Round1ScoringAverage",2005
83,83,"Briny Baird",NA,35.45,1099,31,"Front9Round1ScoringAverage",2005
83,83,"Justin Leonard",NA,35.45,780,22,"Front9Round1ScoringAverage",2005
83,83,"Steve Lowery",NA,35.45,1099,31,"Front9Round1ScoringAverage",2005
83,83,"Tim Petrovic",NA,35.45,1099,31,"Front9Round1ScoringAverage",2005
87,87,"Scott Gutschewski",NA,35.46,922,26,"Front9Round1ScoringAverage",2005
87,87,"Phillip Price",NA,35.46,851,24,"Front9Round1ScoringAverage",2005
89,89,"Brian Gay",NA,35.47,1135,32,"Front9Round1ScoringAverage",2005
89,89,"Brett Quigley",NA,35.47,1064,30,"Front9Round1ScoringAverage",2005
91,91,"Alex Cejka",NA,35.48,1029,29,"Front9Round1ScoringAverage",2005
91,91,"Paul Claxton",NA,35.48,1029,29,"Front9Round1ScoringAverage",2005
91,91,"Charles Howell III",NA,35.48,958,27,"Front9Round1ScoringAverage",2005
91,91,"Jeff Maggert",NA,35.48,816,23,"Front9Round1ScoringAverage",2005
91,91,"Hidemichi Tanaka",NA,35.48,1171,33,"Front9Round1ScoringAverage",2005
96,96,"Michael Allen",NA,35.5,1065,30,"Front9Round1ScoringAverage",2005
96,96,"Aaron Baddeley",NA,35.5,923,26,"Front9Round1ScoringAverage",2005
96,96,"Mario Tiziani",NA,35.5,781,22,"Front9Round1ScoringAverage",2005
99,99,"Paul Gow",NA,35.52,888,25,"Front9Round1ScoringAverage",2005
99,99,"JP Hayes",NA,35.52,746,21,"Front9Round1ScoringAverage",2005
99,99,"Zach Johnson",NA,35.52,1030,29,"Front9Round1ScoringAverage",2005
99,99,"Rocco Mediate",NA,35.52,817,23,"Front9Round1ScoringAverage",2005
103,103,"Jerry Kelly",NA,35.53,1066,30,"Front9Round1ScoringAverage",2005
103,103,"Tom Lehman",NA,35.53,675,19,"Front9Round1ScoringAverage",2005
105,105,"Chris Anderson",NA,35.54,853,24,"Front9Round1ScoringAverage",2005
106,106,"Joey Sindelar",NA,35.55,1031,29,"Front9Round1ScoringAverage",2005
107,107,"Kevin Sutherland",NA,35.56,889,25,"Front9Round1ScoringAverage",2005
108,108,"Heath Slocum",NA,35.57,996,28,"Front9Round1ScoringAverage",2005
108,108,"Lee Westwood",NA,35.57,498,14,"Front9Round1ScoringAverage",2005
