"DrivingPctAll_RANKTHISWEEK_2011","DrivingPctAll_RANKLASTWEEK_2011","DrivingPctAll_PLAYERNAME_2011","DrivingPctAll_ROUNDS_2011","DrivingPctAll_Pct_2011","DrivingPctAll_TOTALDRIVESFOR_2011","DrivingPctAll_TOTALDRIVESOVERALL_2011","DrivingPctAll_RELATIVETOPAR_2011","stat_name","year"
1,1,"Richard Johnson",64,10.6,80,755,0.1,"DrivingPctAll",2011
2,2,"Daniel Summerhays",75,10.11,93,920,0.409,"DrivingPctAll",2011
3,3,"Dean Wilson",62,9.97,79,792,0.127,"DrivingPctAll",2011
4,4,"Marc Turnesa",54,9.55,61,639,0.131,"DrivingPctAll",2011
5,5,"Nate Smith",66,9.45,70,741,0.071,"DrivingPctAll",2011
6,6,"Nathan Green",81,9.31,91,977,0.066,"DrivingPctAll",2011
6,6,"Trevor Immelman",84,9.31,87,934,0.161,"DrivingPctAll",2011
8,8,"Jim Furyk",87,9.18,90,980,0.089,"DrivingPctAll",2011
9,9,"Michael Bradley",74,9.12,75,822,0.2,"DrivingPctAll",2011
10,10,"Brian Gay",90,9.03,93,1030,0.032,"DrivingPctAll",2011
11,11,"Chris DiMarco",93,9,103,1145,0.155,"DrivingPctAll",2011
12,12,"Bryce Molder",82,8.89,88,990,0.057,"DrivingPctAll",2011
13,13,"Justin Leonard",82,8.83,91,1030,0.099,"DrivingPctAll",2011
14,14,"Kevin Na",84,8.77,83,946,0.265,"DrivingPctAll",2011
15,15,"Michael Connell",76,8.75,88,1006,0.227,"DrivingPctAll",2011
16,16,"Kent Jones",76,8.57,80,934,0.05,"DrivingPctAll",2011
17,17,"Ian Poulter",52,8.36,46,550,0.065,"DrivingPctAll",2011
17,17,"Charlie Wi",83,8.36,90,1076,0.133,"DrivingPctAll",2011
19,19,"Arjun Atwal",91,8.33,97,1164,0.206,"DrivingPctAll",2011
19,19,"Woody Austin",59,8.33,58,696,-0.069,"DrivingPctAll",2011
21,21,"Stephen Ames",69,8.25,69,836,0.174,"DrivingPctAll",2011
22,22,"Steve Flesch",88,8.17,89,1089,0.247,"DrivingPctAll",2011
23,23,"Chris Riley",76,8.12,77,948,0.078,"DrivingPctAll",2011
24,24,"David Mathis",83,8.07,79,979,0.253,"DrivingPctAll",2011
25,25,"Alex Cejka",59,7.98,52,652,0.077,"DrivingPctAll",2011
26,26,"Paul Goydos",81,7.95,82,1032,0.122,"DrivingPctAll",2011
27,27,"JP Hayes",56,7.77,52,669,0.038,"DrivingPctAll",2011
28,28,"Colt Knost",80,7.69,72,936,0.069,"DrivingPctAll",2011
29,29,"Jarrod Lyle",83,7.67,77,1004,0.273,"DrivingPctAll",2011
30,30,"Zack Miller",86,7.66,80,1044,0.288,"DrivingPctAll",2011
31,31,"Stewart Cink",72,7.47,54,723,0.13,"DrivingPctAll",2011
32,32,"Tim Petrovic",88,7.45,80,1074,0.25,"DrivingPctAll",2011
33,33,"Greg Chalmers",88,7.44,82,1102,0.049,"DrivingPctAll",2011
