"AveragePuttingDistanceAll1putts_RANKTHISWEEK_2014","AveragePuttingDistanceAll1putts_RANKLASTWEEK_2014","AveragePuttingDistanceAll1putts_PLAYERNAME_2014","AveragePuttingDistanceAll1putts_ROUNDS_2014","AveragePuttingDistanceAll1putts_AVG_2014","AveragePuttingDistanceAll1putts_DISTANCEFEET_2014","AveragePuttingDistanceAll1putts_TOTALPUTTS_2014","stat_name","year"
1,1,"Graeme McDowell",66,NA,2853.75,350,"AveragePuttingDistanceAll1putts",2014
2,2,"Henrik Stenson",56,NA,2028.667,252,"AveragePuttingDistanceAll1putts",2014
3,3,"Graham DeLaet",80,NA,3391.167,423,"AveragePuttingDistanceAll1putts",2014
3,3,"Daniel Summerhays",98,NA,4850.167,608,"AveragePuttingDistanceAll1putts",2014
5,5,"Matt Every",85,NA,3996.167,503,"AveragePuttingDistanceAll1putts",2014
5,5,"John Senden",99,NA,4380.417,556,"AveragePuttingDistanceAll1putts",2014
5,5,"Michael Thompson",74,NA,3433.583,433,"AveragePuttingDistanceAll1putts",2014
8,8,"Chad Campbell",57,NA,2170.75,277,"AveragePuttingDistanceAll1putts",2014
8,8,"Sergio Garcia",61,NA,2304.417,295,"AveragePuttingDistanceAll1putts",2014
8,8,"Justin Hicks",103,NA,4457.083,572,"AveragePuttingDistanceAll1putts",2014
8,8,"Danny Lee",84,NA,3870.083,492,"AveragePuttingDistanceAll1putts",2014
8,8,"Rory McIlroy",66,NA,2931.333,376,"AveragePuttingDistanceAll1putts",2014
8,8,"John Merrick",87,NA,3458.917,443,"AveragePuttingDistanceAll1putts",2014
8,8,"Camilo Villegas",95,NA,4698.583,600,"AveragePuttingDistanceAll1putts",2014
15,15,"Charlie Beljan",76,NA,3481.917,449,"AveragePuttingDistanceAll1putts",2014
15,15,"Ben Curtis",77,NA,3474.417,446,"AveragePuttingDistanceAll1putts",2014
15,15,"Russell Henley",92,NA,4068.167,524,"AveragePuttingDistanceAll1putts",2014
15,15,"Matt Kuchar",91,NA,4325.5,558,"AveragePuttingDistanceAll1putts",2014
15,15,"Adam Scott",68,NA,3213.75,413,"AveragePuttingDistanceAll1putts",2014
15,15,"David Toms",64,NA,2879,373,"AveragePuttingDistanceAll1putts",2014
21,21,"Billy Horschel",92,NA,3390.083,441,"AveragePuttingDistanceAll1putts",2014
21,21,"Freddie Jacobson",91,NA,4673.083,611,"AveragePuttingDistanceAll1putts",2014
21,21,"Chris Kirk",105,NA,5063.083,659,"AveragePuttingDistanceAll1putts",2014
21,21,"George McNeill",79,NA,3859.583,502,"AveragePuttingDistanceAll1putts",2014
21,21,"Heath Slocum",71,NA,3197.333,417,"AveragePuttingDistanceAll1putts",2014
21,21,"Kevin Tway",64,NA,2257.5,293,"AveragePuttingDistanceAll1putts",2014
27,27,"Stuart Appleby",92,NA,4743.833,625,"AveragePuttingDistanceAll1putts",2014
27,27,"Angel Cabrera",69,NA,3187.083,418,"AveragePuttingDistanceAll1putts",2014
27,27,"Troy Merritt",62,NA,2930.417,387,"AveragePuttingDistanceAll1putts",2014
27,27,"Ryan Moore",86,NA,3371.5,445,"AveragePuttingDistanceAll1putts",2014
27,27,"Rory Sabbatini",82,NA,3429.833,453,"AveragePuttingDistanceAll1putts",2014
27,27,"Brendon Todd",108,NA,5302.75,697,"AveragePuttingDistanceAll1putts",2014
27,27,"Bo Van Pelt",83,NA,3383.75,447,"AveragePuttingDistanceAll1putts",2014
34,34,"Robert Allenby",83,NA,3444.75,457,"AveragePuttingDistanceAll1putts",2014
34,34,"Sangmoon Bae",76,NA,3657.667,486,"AveragePuttingDistanceAll1putts",2014
34,34,"Paul Casey",56,NA,2504.583,334,"AveragePuttingDistanceAll1putts",2014
34,34,"Lucas Glover",68,NA,2092.333,278,"AveragePuttingDistanceAll1putts",2014
34,34,"Dustin Johnson",58,NA,2213,294,"AveragePuttingDistanceAll1putts",2014
34,34,"Webb Simpson",87,NA,4041.5,541,"AveragePuttingDistanceAll1putts",2014
34,34,"Brandt Snedeker",89,NA,3685.5,492,"AveragePuttingDistanceAll1putts",2014
34,34,"Brendan Steele",89,NA,3729.167,499,"AveragePuttingDistanceAll1putts",2014
34,34,"Robert Streb",75,NA,3465.75,462,"AveragePuttingDistanceAll1putts",2014
34,34,"Hudson Swafford",75,NA,2575.667,344,"AveragePuttingDistanceAll1putts",2014
44,44,"Ricky Barnes",92,NA,4280.75,576,"AveragePuttingDistanceAll1putts",2014
44,44,"Brian Harman",111,NA,5364.583,724,"AveragePuttingDistanceAll1putts",2014
44,44,"JJ Henry",91,NA,3378.583,458,"AveragePuttingDistanceAll1putts",2014
44,44,"Trevor Immelman",84,NA,3222.333,434,"AveragePuttingDistanceAll1putts",2014
44,44,"Matt Jones",83,NA,3164.833,429,"AveragePuttingDistanceAll1putts",2014
44,44,"Martin Kaymer",65,NA,2511.75,338,"AveragePuttingDistanceAll1putts",2014
44,44,"Will Ma Kenzie",82,NA,3796.083,512,"AveragePuttingDistanceAll1putts",2014
44,44,"Seung Yul Noh",92,NA,3941.25,534,"AveragePuttingDistanceAll1putts",2014
44,44,"John Rollins",84,NA,3131.167,420,"AveragePuttingDistanceAll1putts",2014
44,44,"Andres Romero",81,NA,3931,529,"AveragePuttingDistanceAll1putts",2014
44,44,"Shawn Stefani",60,NA,2959.167,399,"AveragePuttingDistanceAll1putts",2014
44,44,"Lee Westwood",57,NA,2459,333,"AveragePuttingDistanceAll1putts",2014
56,56,"Aaron Baddeley",74,NA,3408.667,464,"AveragePuttingDistanceAll1putts",2014
56,56,"Greg Chalmers",85,NA,4217,577,"AveragePuttingDistanceAll1putts",2014
56,56,"KJ Choi",80,NA,3675.5,502,"AveragePuttingDistanceAll1putts",2014
56,56,"Stewart Cink",91,NA,3620.667,494,"AveragePuttingDistanceAll1putts",2014
56,56,"Ben Crane",81,NA,4088,558,"AveragePuttingDistanceAll1putts",2014
