"Roundsinthe60s_RANKTHISWEEK_2008","Roundsinthe60s_RANKLASTWEEK_2008","Roundsinthe60s_PLAYERNAME_2008","Roundsinthe60s_EVENTS_2008","Roundsinthe60s_TOTALRNDS_2008","stat_name","year"
1,1,"Kevin Streelman",32,54,"Roundsinthe60s",2008
2,2,"Brian Gay",31,47,"Roundsinthe60s",2008
2,2,"Steve Marino",32,47,"Roundsinthe60s",2008
4,4,"Briny Baird",30,45,"Roundsinthe60s",2008
4,4,"Bill Haas",31,45,"Roundsinthe60s",2008
4,4,"Patrick Sheehan",35,45,"Roundsinthe60s",2008
7,7,"Ken Duke",33,44,"Roundsinthe60s",2008
7,7,"Kenny Perry",26,44,"Roundsinthe60s",2008
9,9,"Mark Wilson",29,43,"Roundsinthe60s",2008
10,10,"Vaughn Taylor",32,42,"Roundsinthe60s",2008
11,11,"Billy Mayfair",29,41,"Roundsinthe60s",2008
11,11,"Tom Pernice Jr",30,41,"Roundsinthe60s",2008
13,13,"Chad Campbell",28,40,"Roundsinthe60s",2008
13,13,"Brian Davis",34,40,"Roundsinthe60s",2008
13,13,"Tim Herron",28,40,"Roundsinthe60s",2008
16,16,"Chez Reavie",30,39,"Roundsinthe60s",2008
16,16,"Kevin Sutherland",26,39,"Roundsinthe60s",2008
18,18,"Woody Austin",30,38,"Roundsinthe60s",2008
18,18,"Eric Axley",35,38,"Roundsinthe60s",2008
18,18,"Heath Slocum",29,38,"Roundsinthe60s",2008
18,18,"Nicholas Thompson",36,38,"Roundsinthe60s",2008
22,22,"Robert Allenby",28,37,"Roundsinthe60s",2008
22,22,"Kevin Na",29,37,"Roundsinthe60s",2008
22,22,"Charlie Wi",27,37,"Roundsinthe60s",2008
22,22,"Dean Wilson",32,37,"Roundsinthe60s",2008
26,26,"Anthony Kim",22,36,"Roundsinthe60s",2008
26,26,"Justin Leonard",25,36,"Roundsinthe60s",2008
28,28,"Shane Bertsch",29,35,"Roundsinthe60s",2008
28,28,"Tim Clark",27,35,"Roundsinthe60s",2008
28,28,"Jason Gore",33,35,"Roundsinthe60s",2008
28,28,"Nick Watney",27,35,"Roundsinthe60s",2008
32,32,"Bob Estes",28,34,"Roundsinthe60s",2008
