"ofPotentialPtswonFedExCupPlayoffs_RANKTHISWEEK_2010","ofPotentialPtswonFedExCupPlayoffs_RANKLASTWEEK_2010","ofPotentialPtswonFedExCupPlayoffs_PLAYERNAME_2010","ofPotentialPtswonFedExCupPlayoffs_EVENTS_2010","ofPotentialPtswonFedExCupPlayoffs_Pct_2010","ofPotentialPtswonFedExCupPlayoffs_PLAYOFFPOINTSWON_2010","ofPotentialPtswonFedExCupPlayoffs_POTENTIALPTS_2010","ofPotentialPtswonFedExCupPlayoffs_OFWINS_2010","ofPotentialPtswonFedExCupPlayoffs_OFTOP10S_2010","stat_name","year"
1,1,"Jim Furyk",21,39.07,2930,7500,1,1,"ofPotentialPtswonFedExCupPlayoffs",2010
2,2,"Matt Kuchar",26,37.25,3725,10000,1,2,"ofPotentialPtswonFedExCupPlayoffs",2010
3,3,"Charley Hoffman",24,34.03,3403,10000,1,2,"ofPotentialPtswonFedExCupPlayoffs",2010
4,4,"Dustin Johnson",23,31.8,3180,10000,1,2,"ofPotentialPtswonFedExCupPlayoffs",2010
5,5,"Luke Donald",20,30.08,3008,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2010
6,6,"Paul Casey",17,26.73,2673,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2010
7,7,"Martin Laird",26,20.23,2023,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2010
8,8,"Retief Goosen",19,19.08,1908,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2010
9,9,"Jason Day",24,19.05,1905,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2010
10,10,"Steve Stricker",19,19.03,1903,10000,NA,3,"ofPotentialPtswonFedExCupPlayoffs",2010
11,11,"Geoff Ogilvy",19,15.98,1598,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2010
12,12,"Kevin Streelman",28,14.78,1478,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2010
13,13,"Adam Scott",20,13.63,1363,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2010
14,14,"Kevin Na",26,12.93,1293,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2010
15,15,"Nick Watney",24,12.5,1250,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2010
16,16,"KJ Choi",22,12.4,1240,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2010
17,17,"Charlie Wi",27,11.6,870,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2010
18,18,"Tiger Woods",12,11.58,869,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
19,19,"Ryan Palmer",27,11.32,1132,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2010
20,20,"Ryan Moore",24,10.8,1080,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2010
21,21,"Zach Johnson",25,10.68,1068,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2010
22,22,"Stewart Cink",23,10.27,770,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
23,23,"John Senden",30,9.67,725,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2010
24,24,"Tom Gillis",27,9.63,723,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2010
25,25,"Ernie Els",20,9.35,935,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2010
26,26,"Vaughn Taylor",26,8.95,671,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2010
27,27,"Michael Sim",20,8.94,670,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
28,28,"Ian Poulter",15,8.83,663,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
29,29,"Brandt Snedeker",26,8.77,658,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2010
30,30,"Phil Mickelson",20,8.63,863,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2010
31,31,"DJ Trahan",27,8.23,618,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2010
32,32,"Hunter Mahan",25,8.08,808,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
33,33,"Justin Rose",22,7.9,790,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
34,34,"Rory Sabbatini",26,7.72,579,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2010
35,35,"Camilo Villegas",20,7.7,770,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2010
36,36,"Angel Cabrera",19,7.43,558,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
37,37,"Greg Chalmers",27,7.4,555,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
38,38,"Bill Haas",25,7.2,540,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
38,38,"Justin Leonard",27,7.2,540,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
40,40,"Bubba Watson",22,7.1,710,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
41,41,"Marc Leishman",26,7.07,530,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
42,42,"Robert Allenby",22,6.95,695,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
43,43,"Vijay Singh",24,6.94,520,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
44,44,"Ben Crane",24,6.88,688,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
45,45,"Heath Slocum",25,6.67,500,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2010
46,46,"Tim Clark",24,6.4,640,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
47,47,"Andres Romero",21,5.8,435,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
48,48,"Brian Gay",30,5.7,428,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
49,49,"Rickie Fowler",28,5.57,418,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
50,50,"Ryuji Imada",28,5.5,275,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
51,51,"Tim Petrovic",32,5.4,405,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
52,52,"Bo Van Pelt",28,5.35,535,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
53,53,"Matt Jones",27,5.17,388,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
53,53,"Rory McIlroy",16,5.17,388,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
55,55,"Jason Dufner",25,5.1,383,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
56,56,"Josh Teater",31,5.05,253,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
57,57,"David Toms",25,4.93,370,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
58,58,"Brian Davis",32,4.9,368,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
59,59,"Kris Blanks",30,4.8,240,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
60,60,"Chris Couch",23,4.75,238,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
61,61,"Davis Love III",24,4.65,233,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
62,62,"JB Holmes",26,4.64,348,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
63,63,"Sean OHair",25,4.63,348,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
64,64,"Bryce Molder",26,4.53,340,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
65,65,"JP Hayes",25,4.25,213,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
66,66,"Stephen Ames",23,4.23,318,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
67,67,"Freddie Jacobson",24,3.67,275,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
68,68,"Robert Garrigus",22,3.5,88,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
69,69,"Jeff Overton",26,3.43,343,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
70,70,"YE Yang",21,3.27,245,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
71,71,"Troy Matteson",28,3,150,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
71,71,"Webb Simpson",31,3,150,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
73,73,"Steve Marino",24,2.85,143,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
74,74,"Jonathan Byrd",26,2.7,68,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
75,75,"Stuart Appleby",31,2.67,200,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
76,76,"Carl Pettersson",29,2.53,190,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
77,77,"Padraig Harrington",18,2.2,110,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
77,77,"DA Points",29,2.2,110,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
79,79,"John Rollins",26,2.05,103,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
80,80,"Jason Bohn",25,2.03,153,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
81,81,"Brendon de Jonge",32,1.8,135,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
82,82,"Jimmy Walker",27,1.75,88,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
83,83,"Aaron Baddeley",26,1.55,78,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
84,84,"Anthony Kim",14,1.5,113,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
85,85,"David Duval",24,1.1,28,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
86,86,"Ricky Barnes",28,1.07,80,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
87,87,"Chad Campbell",28,0.95,48,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
87,87,"Pat Perez",27,0.95,48,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
89,89,"Blake Adams",26,0.85,43,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2010
