"NonWGCFedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2014","NonWGCFedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2014","NonWGCFedExCupSeasonPointsforNonMembers_PLAYERNAME_2014","NonWGCFedExCupSeasonPointsforNonMembers_EVENTS_2014","NonWGCFedExCupSeasonPointsforNonMembers_POINTS_2014","stat_name","year"
1,1,"Brooks Koepka",16,589,"NonWGCFedExCupSeasonPointsforNonMembers",2014
2,2,"Francesco Molinari",12,404,"NonWGCFedExCupSeasonPointsforNonMembers",2014
3,3,"Jason Allred",9,316,"NonWGCFedExCupSeasonPointsforNonMembers",2014
4,4,"Victor Dubuisson",10,302,"NonWGCFedExCupSeasonPointsforNonMembers",2014
5,5,"Robert Karlsson",7,270,"NonWGCFedExCupSeasonPointsforNonMembers",2014
6,6,"Matteo Manassero",10,177,"NonWGCFedExCupSeasonPointsforNonMembers",2014
7,7,"Kiradech Aphibarnrat",9,177,"NonWGCFedExCupSeasonPointsforNonMembers",2014
8,8,"Jamie Donaldson",12,172,"NonWGCFedExCupSeasonPointsforNonMembers",2014
9,9,"Miguel Angel Jimenez",8,150,"NonWGCFedExCupSeasonPointsforNonMembers",2014
10,10,"Thomas Bjorn",9,144,"NonWGCFedExCupSeasonPointsforNonMembers",2014
11,11,"Max Homa",8,136,"NonWGCFedExCupSeasonPointsforNonMembers",2014
12,12,"John Mallinger",14,124,"NonWGCFedExCupSeasonPointsforNonMembers",2014
13,13,"Edoardo Molinari",2,117,"NonWGCFedExCupSeasonPointsforNonMembers",2014
14,14,"Shane Lowry",3,102,"NonWGCFedExCupSeasonPointsforNonMembers",2014
15,15,"Shiv Kapur",2,100,"NonWGCFedExCupSeasonPointsforNonMembers",2014
16,16,"Stephen Gallacher",12,95,"NonWGCFedExCupSeasonPointsforNonMembers",2014
17,17,"Justin Thomas",7,95,"NonWGCFedExCupSeasonPointsforNonMembers",2014
18,18,"Joost Luiten",9,89,"NonWGCFedExCupSeasonPointsforNonMembers",2014
19,19,"Mikko Ilonen",5,86,"NonWGCFedExCupSeasonPointsforNonMembers",2014
20,20,"Patrick Rodgers",7,85,"NonWGCFedExCupSeasonPointsforNonMembers",2014
21,21,"George Coetzee",6,84,"NonWGCFedExCupSeasonPointsforNonMembers",2014
22,22,"Marc Warren",2,82,"NonWGCFedExCupSeasonPointsforNonMembers",2014
23,23,"Chris Wood",3,67,"NonWGCFedExCupSeasonPointsforNonMembers",2014
24,24,"Danny Willett",3,65,"NonWGCFedExCupSeasonPointsforNonMembers",2014
25,25,"Marcel Siem",3,65,"NonWGCFedExCupSeasonPointsforNonMembers",2014
26,26,"Hideto Tanihara",3,64,"NonWGCFedExCupSeasonPointsforNonMembers",2014
27,27,"Thongchai Jaidee",9,61,"NonWGCFedExCupSeasonPointsforNonMembers",2014
28,28,"David Howell",3,59,"NonWGCFedExCupSeasonPointsforNonMembers",2014
29,29,"Koumei Oda",2,57,"NonWGCFedExCupSeasonPointsforNonMembers",2014
29,29,"Brady Watt",4,57,"NonWGCFedExCupSeasonPointsforNonMembers",2014
31,31,"Austin Cook",1,56,"NonWGCFedExCupSeasonPointsforNonMembers",2014
32,32,"Branden Grace",11,54,"NonWGCFedExCupSeasonPointsforNonMembers",2014
