"TenthTeeEarlyScoringAverage_RANKTHISWEEK_2006","TenthTeeEarlyScoringAverage_RANKLASTWEEK_2006","TenthTeeEarlyScoringAverage_PLAYERNAME_2006","TenthTeeEarlyScoringAverage_ROUNDS_2006","TenthTeeEarlyScoringAverage_AVG_2006","TenthTeeEarlyScoringAverage_TOTALSTROKES_2006","TenthTeeEarlyScoringAverage_TOTAL10THTEEEARLYRDS_2006","stat_name","year"
1,1,"Jim Furyk",89,67.77,881,13,"TenthTeeEarlyScoringAverage",2006
2,2,"Lucas Glover",105,68.31,888,13,"TenthTeeEarlyScoringAverage",2006
3,3,"Tiger Woods",55,68.64,755,11,"TenthTeeEarlyScoringAverage",2006
4,4,"Steve Stricker",64,68.75,1100,16,"TenthTeeEarlyScoringAverage",2006
5,5,"Justin Rose",98,68.83,1239,18,"TenthTeeEarlyScoringAverage",2006
6,6,"Luke Donald",66,68.86,964,14,"TenthTeeEarlyScoringAverage",2006
7,7,"Brian Gay",107,68.87,1584,23,"TenthTeeEarlyScoringAverage",2006
8,8,"Mike Weir",88,68.91,758,11,"TenthTeeEarlyScoringAverage",2006
9,9,"Adam Scott",70,69.09,760,11,"TenthTeeEarlyScoringAverage",2006
10,10,"Robert Allenby",79,69.27,762,11,"TenthTeeEarlyScoringAverage",2006
11,11,"Vijay Singh",103,69.41,1527,22,"TenthTeeEarlyScoringAverage",2006
12,12,"John Senden",96,69.47,1181,17,"TenthTeeEarlyScoringAverage",2006
12,12,"Mark Wilson",79,69.47,1181,17,"TenthTeeEarlyScoringAverage",2006
14,14,"Phil Mickelson",74,69.5,834,12,"TenthTeeEarlyScoringAverage",2006
15,15,"Kevin Sutherland",100,69.56,1252,18,"TenthTeeEarlyScoringAverage",2006
16,16,"Vaughn Taylor",88,69.58,835,12,"TenthTeeEarlyScoringAverage",2006
17,17,"Brett Quigley",109,69.61,1253,18,"TenthTeeEarlyScoringAverage",2006
18,18,"Arron Oberholser",82,69.64,975,14,"TenthTeeEarlyScoringAverage",2006
19,19,"Skip Kendall",72,69.65,1184,17,"TenthTeeEarlyScoringAverage",2006
20,20,"JB Holmes",81,69.67,1045,15,"TenthTeeEarlyScoringAverage",2006
21,21,"Duffy Waldorf",96,69.7,1394,20,"TenthTeeEarlyScoringAverage",2006
22,22,"Kent Jones",103,69.75,1116,16,"TenthTeeEarlyScoringAverage",2006
23,23,"Stewart Cink",93,69.77,907,13,"TenthTeeEarlyScoringAverage",2006
24,24,"David Branshaw",98,69.83,1257,18,"TenthTeeEarlyScoringAverage",2006
25,25,"Harrison Frazar",95,69.84,1327,19,"TenthTeeEarlyScoringAverage",2006
26,26,"Frank Lickliter II",99,69.89,1258,18,"TenthTeeEarlyScoringAverage",2006
27,27,"Ernie Els",69,69.92,839,12,"TenthTeeEarlyScoringAverage",2006
28,28,"Jonathan Byrd",66,69.93,979,14,"TenthTeeEarlyScoringAverage",2006
29,29,"Dudley Hart",83,69.94,1119,16,"TenthTeeEarlyScoringAverage",2006
30,30,"Fred Funk",106,70,1190,17,"TenthTeeEarlyScoringAverage",2006
31,31,"Brett Wetterich",82,70.07,981,14,"TenthTeeEarlyScoringAverage",2006
32,32,"Tom Pernice Jr",108,70.09,1612,23,"TenthTeeEarlyScoringAverage",2006
33,33,"Trevor Immelman",86,70.13,1052,15,"TenthTeeEarlyScoringAverage",2006
33,33,"Heath Slocum",96,70.13,1052,15,"TenthTeeEarlyScoringAverage",2006
35,35,"Scott Verplank",88,70.14,1543,22,"TenthTeeEarlyScoringAverage",2006
