"Scramblingfrom2030yards_RANKTHISWEEK_2010","Scramblingfrom2030yards_RANKLASTWEEK_2010","Scramblingfrom2030yards_PLAYERNAME_2010","Scramblingfrom2030yards_ROUNDS_2010","Scramblingfrom2030yards_Pct_2010","Scramblingfrom2030yards_SUCCESSES_2010","Scramblingfrom2030yards_ATTEMPTS_2010","stat_name","year"
1,1,"Padraig Harrington",57,73.08,38,52,"Scramblingfrom2030yards",2010
2,2,"Ian Poulter",55,69.77,30,43,"Scramblingfrom2030yards",2010
3,3,"Chad Collins",87,65.91,58,88,"Scramblingfrom2030yards",2010
4,4,"Charlie Wi",95,65.31,64,98,"Scramblingfrom2030yards",2010
5,5,"Dean Wilson",54,64.71,33,51,"Scramblingfrom2030yards",2010
6,6,"Freddie Jacobson",83,63.75,51,80,"Scramblingfrom2030yards",2010
7,7,"Brian Gay",101,63.16,60,95,"Scramblingfrom2030yards",2010
8,8,"David Toms",86,62.82,49,78,"Scramblingfrom2030yards",2010
9,9,"Greg Chalmers",93,62.77,59,94,"Scramblingfrom2030yards",2010
10,10,"Jeev Milkha Singh",59,62.75,32,51,"Scramblingfrom2030yards",2010
11,11,"Kevin Na",94,62.67,47,75,"Scramblingfrom2030yards",2010
12,12,"Jason Day",82,62.5,55,88,"Scramblingfrom2030yards",2010
12,12,"Jim Furyk",76,62.5,40,64,"Scramblingfrom2030yards",2010
14,14,"Nathan Green",86,62.16,69,111,"Scramblingfrom2030yards",2010
15,15,"Rocco Mediate",71,62,31,50,"Scramblingfrom2030yards",2010
16,16,"Matt Kuchar",97,61.54,48,78,"Scramblingfrom2030yards",2010
16,16,"Chris Riley",73,61.54,48,78,"Scramblingfrom2030yards",2010
18,18,"Mike Weir",59,61.4,35,57,"Scramblingfrom2030yards",2010
19,19,"Brian Stuard",81,60.87,42,69,"Scramblingfrom2030yards",2010
20,20,"Ryuji Imada",90,60.66,74,122,"Scramblingfrom2030yards",2010
21,21,"Michael Connell",89,60.49,49,81,"Scramblingfrom2030yards",2010
22,22,"Bob Estes",79,60.26,47,78,"Scramblingfrom2030yards",2010
23,23,"Heath Slocum",97,59.42,41,69,"Scramblingfrom2030yards",2010
24,24,"Stephen Ames",75,59.21,45,76,"Scramblingfrom2030yards",2010
25,25,"Tim Clark",88,59.15,42,71,"Scramblingfrom2030yards",2010
25,25,"Johnson Wagner",85,59.15,42,71,"Scramblingfrom2030yards",2010
27,27,"Chris DiMarco",88,59.04,49,83,"Scramblingfrom2030yards",2010
28,28,"Spencer Levin",110,58.95,56,95,"Scramblingfrom2030yards",2010
29,29,"Steve Flesch",78,58.82,50,85,"Scramblingfrom2030yards",2010
30,30,"Josh Teater",101,58.56,65,111,"Scramblingfrom2030yards",2010
31,31,"Paul Casey",64,58.33,21,36,"Scramblingfrom2030yards",2010
31,31,"Ryan Moore",80,58.33,28,48,"Scramblingfrom2030yards",2010
33,33,"Brian Davis",101,58.04,65,112,"Scramblingfrom2030yards",2010
34,34,"Martin Laird",91,57.83,48,83,"Scramblingfrom2030yards",2010
35,35,"Rory Sabbatini",79,57.53,42,73,"Scramblingfrom2030yards",2010
36,36,"Omar Uresti",74,57.41,31,54,"Scramblingfrom2030yards",2010
37,37,"Charles Howell III",103,57.28,59,103,"Scramblingfrom2030yards",2010
38,38,"JB Holmes",100,57.14,56,98,"Scramblingfrom2030yards",2010
38,38,"Cliff Kresge",50,57.14,24,42,"Scramblingfrom2030yards",2010
40,40,"Steve Stricker",73,56.9,33,58,"Scramblingfrom2030yards",2010
41,41,"Michael Bradley",77,56.76,42,74,"Scramblingfrom2030yards",2010
42,42,"Justin Rose",78,56.67,51,90,"Scramblingfrom2030yards",2010
43,43,"Ernie Els",72,56.45,35,62,"Scramblingfrom2030yards",2010
44,44,"Tim Petrovic",105,56.19,59,105,"Scramblingfrom2030yards",2010
45,45,"Bill Lunde",79,56.06,37,66,"Scramblingfrom2030yards",2010
46,46,"Carl Pettersson",99,55.93,66,118,"Scramblingfrom2030yards",2010
47,47,"Bo Van Pelt",104,55.91,52,93,"Scramblingfrom2030yards",2010
48,48,"Jerry Kelly",99,55.88,57,102,"Scramblingfrom2030yards",2010
49,49,"Mark Wilson",87,55.84,43,77,"Scramblingfrom2030yards",2010
50,50,"Kenny Perry",69,55.77,29,52,"Scramblingfrom2030yards",2010
51,51,"Rod Pampling",77,55.7,44,79,"Scramblingfrom2030yards",2010
51,51,"Pat Perez",90,55.7,44,79,"Scramblingfrom2030yards",2010
53,53,"Luke Donald",71,55.56,30,54,"Scramblingfrom2030yards",2010
54,54,"Woody Austin",93,55.26,42,76,"Scramblingfrom2030yards",2010
54,54,"Roland Thatcher",72,55.26,42,76,"Scramblingfrom2030yards",2010
56,56,"Brett Quigley",96,55.06,49,89,"Scramblingfrom2030yards",2010
57,57,"David Duval",71,55,33,60,"Scramblingfrom2030yards",2010
