"TotalDrivingEfficiency_RANKTHISWEEK_2011","TotalDrivingEfficiency_RANKLASTWEEK_2011","TotalDrivingEfficiency_PLAYERNAME_2011","TotalDrivingEfficiency_ROUNDS_2011","TotalDrivingEfficiency_COMBINEDRANK_2011","TotalDrivingEfficiency_CARRYEFFICIENCYRANK_2011","TotalDrivingEfficiency_TOTALDISTEFFICRANK_2011","stat_name","year"
1,1,"Heath Slocum",89,4,2,2,"TotalDrivingEfficiency",2011
2,2,"Mark Wilson",89,6,3,3,"TotalDrivingEfficiency",2011
3,3,"Hunter Mahan",92,9,4,5,"TotalDrivingEfficiency",2011
4,4,"David Hearn",88,18,12,6,"TotalDrivingEfficiency",2011
5,5,"Brian Davis",105,22,21,1,"TotalDrivingEfficiency",2011
6,6,"Chris Kirk",87,23,14,9,"TotalDrivingEfficiency",2011
7,7,"Chez Reavie",92,24,16,8,"TotalDrivingEfficiency",2011
7,7,"Bo Van Pelt",92,24,17,7,"TotalDrivingEfficiency",2011
9,9,"Aron Price",58,27,18,9,"TotalDrivingEfficiency",2011
10,10,"Billy Horschel",75,30,8,22,"TotalDrivingEfficiency",2011
11,11,"JB Holmes",57,33,1,32,"TotalDrivingEfficiency",2011
11,11,"Joe Ogilvie",75,33,21,12,"TotalDrivingEfficiency",2011
11,11,"Brandt Snedeker",85,33,15,18,"TotalDrivingEfficiency",2011
14,14,"Alex Cejka",59,34,18,16,"TotalDrivingEfficiency",2011
14,14,"Rickie Fowler",84,34,12,22,"TotalDrivingEfficiency",2011
16,16,"Josh Teater",104,42,5,37,"TotalDrivingEfficiency",2011
17,17,"Martin Laird",77,45,25,20,"TotalDrivingEfficiency",2011
18,18,"Jason Day",76,46,9,37,"TotalDrivingEfficiency",2011
19,19,"Ryan Palmer",82,48,6,42,"TotalDrivingEfficiency",2011
19,19,"Camilo Villegas",69,48,33,15,"TotalDrivingEfficiency",2011
21,21,"John Merrick",71,51,38,13,"TotalDrivingEfficiency",2011
22,22,"Harrison Frazar",58,55,25,30,"TotalDrivingEfficiency",2011
23,23,"Phil Mickelson",79,59,9,50,"TotalDrivingEfficiency",2011
24,24,"Padraig Harrington",60,61,7,54,"TotalDrivingEfficiency",2011
24,24,"David Toms",78,61,57,4,"TotalDrivingEfficiency",2011
26,26,"JP Hayes",56,67,43,24,"TotalDrivingEfficiency",2011
26,26,"Vaughn Taylor",89,67,34,33,"TotalDrivingEfficiency",2011
28,28,"DJ Brigman",67,68,34,34,"TotalDrivingEfficiency",2011
29,29,"Robert Garrigus",83,71,41,30,"TotalDrivingEfficiency",2011
30,30,"Bill Lunde",92,72,31,41,"TotalDrivingEfficiency",2011
31,31,"Carl Pettersson",95,74,55,19,"TotalDrivingEfficiency",2011
32,32,"Arjun Atwal",91,76,49,27,"TotalDrivingEfficiency",2011
33,33,"Robert Allenby",84,77,52,25,"TotalDrivingEfficiency",2011
33,33,"Sung Kang",63,77,31,46,"TotalDrivingEfficiency",2011
35,35,"Tommy Gainey",104,78,25,53,"TotalDrivingEfficiency",2011
36,36,"Kevin Stadler",88,86,29,57,"TotalDrivingEfficiency",2011
37,37,"Steve Marino",76,87,25,62,"TotalDrivingEfficiency",2011
37,37,"Steve Stricker",70,87,60,27,"TotalDrivingEfficiency",2011
39,39,"Jason Bohn",74,89,78,11,"TotalDrivingEfficiency",2011
40,40,"Vijay Singh",79,91,20,71,"TotalDrivingEfficiency",2011
41,41,"Keegan Bradley",91,94,23,71,"TotalDrivingEfficiency",2011
42,42,"Jim Furyk",87,96,80,16,"TotalDrivingEfficiency",2011
43,43,"Jim Renner",65,97,48,49,"TotalDrivingEfficiency",2011
44,44,"Joseph Bramlett",73,99,49,50,"TotalDrivingEfficiency",2011
44,44,"John Rollins",85,99,38,61,"TotalDrivingEfficiency",2011
46,46,"Zach Johnson",79,102,75,27,"TotalDrivingEfficiency",2011
47,47,"Rocco Mediate",53,106,43,63,"TotalDrivingEfficiency",2011
47,47,"Charl Schwartzel",58,106,60,46,"TotalDrivingEfficiency",2011
49,49,"Michael Putnam",67,109,43,66,"TotalDrivingEfficiency",2011
50,50,"Ben Crane",76,111,54,57,"TotalDrivingEfficiency",2011
51,51,"Matt McQuillan",59,113,47,66,"TotalDrivingEfficiency",2011
52,52,"Ernie Els",71,117,37,80,"TotalDrivingEfficiency",2011
53,53,"Tag Ridings",87,119,29,90,"TotalDrivingEfficiency",2011
54,54,"Marc Leishman",87,122,38,84,"TotalDrivingEfficiency",2011
55,55,"Geoff Ogilvy",69,125,68,57,"TotalDrivingEfficiency",2011
56,56,"Cameron Beckman",71,126,89,37,"TotalDrivingEfficiency",2011
56,56,"Steve Elkington",50,126,101,25,"TotalDrivingEfficiency",2011
58,58,"Jeff Overton",92,128,84,44,"TotalDrivingEfficiency",2011
58,58,"DA Points",89,128,91,37,"TotalDrivingEfficiency",2011
60,60,"Chris Stroud",88,129,72,57,"TotalDrivingEfficiency",2011
61,61,"Kent Jones",76,131,77,54,"TotalDrivingEfficiency",2011
62,62,"Rich Beem",53,133,60,73,"TotalDrivingEfficiency",2011
62,62,"Brian Gay",90,133,119,14,"TotalDrivingEfficiency",2011
62,62,"Bill Haas",93,133,67,66,"TotalDrivingEfficiency",2011
62,62,"Garrett Willis",71,133,98,35,"TotalDrivingEfficiency",2011
66,66,"Anthony Kim",72,137,64,73,"TotalDrivingEfficiency",2011
66,66,"Nick OHern",89,137,95,42,"TotalDrivingEfficiency",2011
68,68,"Kevin Chappell",78,139,95,44,"TotalDrivingEfficiency",2011
69,69,"David Duval",67,144,68,76,"TotalDrivingEfficiency",2011
69,69,"Chris Riley",76,144,123,21,"TotalDrivingEfficiency",2011
71,71,"Tim Herron",85,145,72,73,"TotalDrivingEfficiency",2011
72,72,"Stewart Cink",72,147,60,87,"TotalDrivingEfficiency",2011
72,72,"Rory Sabbatini",85,147,81,66,"TotalDrivingEfficiency",2011
74,74,"Troy Matteson",91,149,59,90,"TotalDrivingEfficiency",2011
74,74,"Scott Piercy",78,149,11,138,"TotalDrivingEfficiency",2011
74,74,"Martin Piller",63,149,83,66,"TotalDrivingEfficiency",2011
77,77,"Brendan Steele",89,150,52,98,"TotalDrivingEfficiency",2011
78,78,"Alex Prugh",82,152,55,97,"TotalDrivingEfficiency",2011
79,79,"Charley Hoffman",93,153,36,117,"TotalDrivingEfficiency",2011
80,80,"Robert Karlsson",61,154,42,112,"TotalDrivingEfficiency",2011
81,81,"Angel Cabrera",50,158,95,63,"TotalDrivingEfficiency",2011
