"AveragePuttingDistanceAll3Plusputts_RANKTHISWEEK_2013","AveragePuttingDistanceAll3Plusputts_RANKLASTWEEK_2013","AveragePuttingDistanceAll3Plusputts_PLAYERNAME_2013","AveragePuttingDistanceAll3Plusputts_ROUNDS_2013","AveragePuttingDistanceAll3Plusputts_AVG_2013","AveragePuttingDistanceAll3Plusputts_DISTANCEFEET_2013","AveragePuttingDistanceAll3Plusputts_TOTALPUTTS_2013","stat_name","year"
1,1,"Aaron Watkins",46,NA,89.583,1,"AveragePuttingDistanceAll3Plusputts",2013
2,2,"Chad Campbell",78,NA,79.583,1,"AveragePuttingDistanceAll3Plusputts",2013
3,3,"DA Points",87,NA,155.667,2,"AveragePuttingDistanceAll3Plusputts",2013
4,4,"Jason Kokrak",78,NA,148.25,2,"AveragePuttingDistanceAll3Plusputts",2013
5,5,"Roberto Castro",97,NA,137.583,2,"AveragePuttingDistanceAll3Plusputts",2013
6,6,"Martin Kaymer",61,NA,68.667,1,"AveragePuttingDistanceAll3Plusputts",2013
7,7,"Steve LeBrun",66,NA,68.25,1,"AveragePuttingDistanceAll3Plusputts",2013
8,8,"Bryce Molder",82,NA,66.083,1,"AveragePuttingDistanceAll3Plusputts",2013
9,9,"Bubba Watson",76,NA,64.833,1,"AveragePuttingDistanceAll3Plusputts",2013
10,10,"Tag Ridings",69,NA,63.667,1,"AveragePuttingDistanceAll3Plusputts",2013
11,11,"Robert Allenby",58,NA,63.167,1,"AveragePuttingDistanceAll3Plusputts",2013
12,12,"Doug LaBelle II",72,NA,124.167,2,"AveragePuttingDistanceAll3Plusputts",2013
13,13,"Rory McIlroy",56,NA,58.333,1,"AveragePuttingDistanceAll3Plusputts",2013
14,14,"Kevin Streelman",86,NA,55.333,1,"AveragePuttingDistanceAll3Plusputts",2013
15,15,"Vijay Singh",61,NA,52.5,1,"AveragePuttingDistanceAll3Plusputts",2013
16,16,"Keegan Bradley",88,NA,52.333,1,"AveragePuttingDistanceAll3Plusputts",2013
17,17,"Charlie Beljan",62,NA,52.25,1,"AveragePuttingDistanceAll3Plusputts",2013
18,18,"Justin Hicks",79,NA,156.333,3,"AveragePuttingDistanceAll3Plusputts",2013
19,19,"Troy Matteson",68,NA,51.917,1,"AveragePuttingDistanceAll3Plusputts",2013
20,20,"Rory Sabbatini",86,NA,51.833,1,"AveragePuttingDistanceAll3Plusputts",2013
21,21,"Geoff Ogilvy",57,NA,51.333,1,"AveragePuttingDistanceAll3Plusputts",2013
22,22,"Russell Henley",80,NA,99.667,2,"AveragePuttingDistanceAll3Plusputts",2013
23,23,"Jeff Maggert",63,NA,49.167,1,"AveragePuttingDistanceAll3Plusputts",2013
24,24,"Nick Watney",88,NA,48.917,1,"AveragePuttingDistanceAll3Plusputts",2013
25,25,"Patrick Reed",83,NA,48.167,1,"AveragePuttingDistanceAll3Plusputts",2013
26,26,"Andrew Svoboda",46,NA,45.333,1,"AveragePuttingDistanceAll3Plusputts",2013
27,27,"Kevin Chappell",80,NA,44.917,1,"AveragePuttingDistanceAll3Plusputts",2013
28,28,"Brad Fritsch",81,NA,132.667,3,"AveragePuttingDistanceAll3Plusputts",2013
29,29,"Chris Kirk",89,NA,88.167,2,"AveragePuttingDistanceAll3Plusputts",2013
30,30,"Henrik Norlander",70,NA,43.25,1,"AveragePuttingDistanceAll3Plusputts",2013
31,31,"Ernie Els",63,NA,43,1,"AveragePuttingDistanceAll3Plusputts",2013
32,32,"George McNeill",68,NA,41.667,1,"AveragePuttingDistanceAll3Plusputts",2013
32,32,"Josh Teater",86,NA,41.667,1,"AveragePuttingDistanceAll3Plusputts",2013
34,34,"Steven Bowditch",67,NA,81.833,2,"AveragePuttingDistanceAll3Plusputts",2013
35,35,"Luke Guthrie",82,NA,40.833,1,"AveragePuttingDistanceAll3Plusputts",2013
36,36,"Camilo Villegas",79,NA,40.5,1,"AveragePuttingDistanceAll3Plusputts",2013
37,37,"Charl Schwartzel",69,NA,39.917,1,"AveragePuttingDistanceAll3Plusputts",2013
38,38,"Ricky Barnes",74,NA,79.417,2,"AveragePuttingDistanceAll3Plusputts",2013
39,39,"David Lingmerth",68,NA,117,3,"AveragePuttingDistanceAll3Plusputts",2013
40,40,"John Huh",88,NA,115.333,3,"AveragePuttingDistanceAll3Plusputts",2013
41,41,"Ben Crane",62,NA,148.5,4,"AveragePuttingDistanceAll3Plusputts",2013
