"Round1ScoringAverage_RANKTHISWEEK_2015","Round1ScoringAverage_RANKLASTWEEK_2015","Round1ScoringAverage_PLAYERNAME_2015","Round1ScoringAverage__2015","Round1ScoringAverage_AVG_2015","Round1ScoringAverage_TOTALSTROKES_2015","Round1ScoringAverage_TOTALROUNDS_2015","stat_name","year"
1,1,"Jason Day",NA,68.68,1305,19,"Round1ScoringAverage",2015
2,2,"Bubba Watson",NA,69,1242,18,"Round1ScoringAverage",2015
3,3,"Will Wilcox",NA,69.38,1110,16,"Round1ScoringAverage",2015
4,4,"Harris English",NA,69.46,1945,28,"Round1ScoringAverage",2015
4,4,"Matt Kuchar",NA,69.46,1667,24,"Round1ScoringAverage",2015
6,6,"Henrik Stenson",NA,69.47,1042,15,"Round1ScoringAverage",2015
6,6,"Justin Thomas",NA,69.47,2084,30,"Round1ScoringAverage",2015
8,8,"Paul Casey",NA,69.57,1600,23,"Round1ScoringAverage",2015
9,9,"Zach Johnson",NA,69.58,1670,24,"Round1ScoringAverage",2015
10,10,"Kevin Na",NA,69.64,1741,25,"Round1ScoringAverage",2015
11,11,"Patrick Reed",NA,69.69,1812,26,"Round1ScoringAverage",2015
11,11,"Patrick Rodgers",NA,69.69,1115,16,"Round1ScoringAverage",2015
13,13,"Jim Herman",NA,69.74,1883,27,"Round1ScoringAverage",2015
14,14,"Brian Stuard",NA,69.8,2094,30,"Round1ScoringAverage",2015
15,15,"Erik Compton",NA,69.81,1885,27,"Round1ScoringAverage",2015
15,15,"Webb Simpson",NA,69.81,1466,21,"Round1ScoringAverage",2015
17,17,"John Peterson",NA,69.88,1677,24,"Round1ScoringAverage",2015
17,17,"Jordan Spieth",NA,69.88,1677,24,"Round1ScoringAverage",2015
17,17,"Michael Thompson",NA,69.88,1817,26,"Round1ScoringAverage",2015
20,20,"Jason Kokrak",NA,69.89,1957,28,"Round1ScoringAverage",2015
21,21,"Hideki Matsuyama",NA,69.92,1678,24,"Round1ScoringAverage",2015
22,22,"William McGirt",NA,69.93,2098,30,"Round1ScoringAverage",2015
23,23,"Dustin Johnson",NA,69.95,1329,19,"Round1ScoringAverage",2015
24,24,"JB Holmes",NA,69.96,1679,24,"Round1ScoringAverage",2015
25,25,"Jonathan Byrd",NA,70.1,1472,21,"Round1ScoringAverage",2015
25,25,"Alex Cejka",NA,70.1,2033,29,"Round1ScoringAverage",2015
27,27,"Stewart Cink",NA,70.13,1613,23,"Round1ScoringAverage",2015
28,28,"Daniel Summerhays",NA,70.14,2034,29,"Round1ScoringAverage",2015
29,29,"Seung Yul Noh",NA,70.19,1474,21,"Round1ScoringAverage",2015
30,30,"Sergio Garcia",NA,70.21,983,14,"Round1ScoringAverage",2015
31,31,"Mark Hubbard",NA,70.22,1615,23,"Round1ScoringAverage",2015
32,32,"Ryan Palmer",NA,70.24,1475,21,"Round1ScoringAverage",2015
33,33,"Rickie Fowler",NA,70.25,1405,20,"Round1ScoringAverage",2015
34,34,"Brendan Steele",NA,70.26,1616,23,"Round1ScoringAverage",2015
35,35,"Brandt Snedeker",NA,70.27,1827,26,"Round1ScoringAverage",2015
36,36,"Jonas Blixt",NA,70.28,1757,25,"Round1ScoringAverage",2015
36,36,"KJ Choi",NA,70.28,1265,18,"Round1ScoringAverage",2015
38,38,"Keegan Bradley",NA,70.3,1617,23,"Round1ScoringAverage",2015
39,39,"Steven Alker",NA,70.33,1477,21,"Round1ScoringAverage",2015
39,39,"Aaron Baddeley",NA,70.33,1688,24,"Round1ScoringAverage",2015
39,39,"Francesco Molinari",NA,70.33,1055,15,"Round1ScoringAverage",2015
42,42,"Daniel Berger",NA,70.35,2181,31,"Round1ScoringAverage",2015
42,42,"Jim Furyk",NA,70.35,1196,17,"Round1ScoringAverage",2015
44,44,"Danny Lee",NA,70.36,2533,36,"Round1ScoringAverage",2015
44,44,"Scott Piercy",NA,70.36,1970,28,"Round1ScoringAverage",2015
46,46,"Jason Bohn",NA,70.37,1900,27,"Round1ScoringAverage",2015
46,46,"Chad Campbell",NA,70.37,2111,30,"Round1ScoringAverage",2015
46,46,"Ryo Ishikawa",NA,70.37,1900,27,"Round1ScoringAverage",2015
