"TenthTeeEarlyLowestRound_RANKTHISWEEK_2008","TenthTeeEarlyLowestRound_RANKLASTWEEK_2008","TenthTeeEarlyLowestRound_PLAYERNAME_2008","TenthTeeEarlyLowestRound_ROUNDS_2008","TenthTeeEarlyLowestRound_LOWRND_2008","stat_name","year"
1,1,"Jim Furyk",95,62,"TenthTeeEarlyLowestRound",2008
1,1,"Zach Johnson",85,62,"TenthTeeEarlyLowestRound",2008
3,3,"Steve Allan",58,63,"TenthTeeEarlyLowestRound",2008
3,3,"Jason Dufner",49,63,"TenthTeeEarlyLowestRound",2008
3,3,"Nick Flanagan",89,63,"TenthTeeEarlyLowestRound",2008
3,3,"Bob Heintz",48,63,"TenthTeeEarlyLowestRound",2008
3,3,"John Huston",56,63,"TenthTeeEarlyLowestRound",2008
3,3,"Peter Lonard",92,63,"TenthTeeEarlyLowestRound",2008
3,3,"Hunter Mahan",87,63,"TenthTeeEarlyLowestRound",2008
3,3,"Adam Scott",51,63,"TenthTeeEarlyLowestRound",2008
3,3,"Michael Sim",27,63,"TenthTeeEarlyLowestRound",2008
3,3,"Kevin Streelman",114,63,"TenthTeeEarlyLowestRound",2008
3,3,"DJ Trahan",94,63,"TenthTeeEarlyLowestRound",2008
14,14,"Michael Allen",91,64,"TenthTeeEarlyLowestRound",2008
14,14,"Robert Allenby",108,64,"TenthTeeEarlyLowestRound",2008
14,14,"Aaron Baddeley",76,64,"TenthTeeEarlyLowestRound",2008
14,14,"Brian Davis",108,64,"TenthTeeEarlyLowestRound",2008
14,14,"Ken Duke",116,64,"TenthTeeEarlyLowestRound",2008
14,14,"Steve Elkington",84,64,"TenthTeeEarlyLowestRound",2008
14,14,"Philip Francis",4,64,"TenthTeeEarlyLowestRound",2008
14,14,"Fred Funk",42,64,"TenthTeeEarlyLowestRound",2008
14,14,"Todd Hamilton",92,64,"TenthTeeEarlyLowestRound",2008
14,14,"Trevor Immelman",70,64,"TenthTeeEarlyLowestRound",2008
14,14,"Matt Kuchar",88,64,"TenthTeeEarlyLowestRound",2008
14,14,"Doug LaBelle II",65,64,"TenthTeeEarlyLowestRound",2008
14,14,"Will Ma Kenzie",62,64,"TenthTeeEarlyLowestRound",2008
14,14,"Scott McCarron",63,64,"TenthTeeEarlyLowestRound",2008
14,14,"John Merrick",98,64,"TenthTeeEarlyLowestRound",2008
14,14,"Jon Mills",95,64,"TenthTeeEarlyLowestRound",2008
14,14,"Ryan Moore",72,64,"TenthTeeEarlyLowestRound",2008
14,14,"Kevin Na",97,64,"TenthTeeEarlyLowestRound",2008
14,14,"Joe Ogilvie",100,64,"TenthTeeEarlyLowestRound",2008
14,14,"Geoff Ogilvy",65,64,"TenthTeeEarlyLowestRound",2008
14,14,"Deane Pappas",8,64,"TenthTeeEarlyLowestRound",2008
14,14,"Brenden Pappas",66,64,"TenthTeeEarlyLowestRound",2008
14,14,"Corey Pavin",69,64,"TenthTeeEarlyLowestRound",2008
14,14,"John Rollins",94,64,"TenthTeeEarlyLowestRound",2008
14,14,"Patrick Sheehan",124,64,"TenthTeeEarlyLowestRound",2008
14,14,"Vijay Singh",82,64,"TenthTeeEarlyLowestRound",2008
14,14,"Paul Stankowski",38,64,"TenthTeeEarlyLowestRound",2008
14,14,"Scott Sterling",89,64,"TenthTeeEarlyLowestRound",2008
14,14,"Steve Stricker",75,64,"TenthTeeEarlyLowestRound",2008
14,14,"Bob Tway",70,64,"TenthTeeEarlyLowestRound",2008
14,14,"Scott Verplank",82,64,"TenthTeeEarlyLowestRound",2008
14,14,"YE Yang",89,64,"TenthTeeEarlyLowestRound",2008
46,46,"Eric Axley",113,65,"TenthTeeEarlyLowestRound",2008
46,46,"Briny Baird",113,65,"TenthTeeEarlyLowestRound",2008
46,46,"Rich Beem",90,65,"TenthTeeEarlyLowestRound",2008
46,46,"Chad Campbell",94,65,"TenthTeeEarlyLowestRound",2008
46,46,"Alejandro Canizares",52,65,"TenthTeeEarlyLowestRound",2008
46,46,"Alex Cejka",75,65,"TenthTeeEarlyLowestRound",2008
46,46,"KJ Choi",74,65,"TenthTeeEarlyLowestRound",2008
46,46,"Daniel Chopra",84,65,"TenthTeeEarlyLowestRound",2008
46,46,"Chad Collins",72,65,"TenthTeeEarlyLowestRound",2008
46,46,"Fred Couples",60,65,"TenthTeeEarlyLowestRound",2008
46,46,"Ben Crane",86,65,"TenthTeeEarlyLowestRound",2008
46,46,"Ben Curtis",80,65,"TenthTeeEarlyLowestRound",2008
46,46,"Robert Damron",22,65,"TenthTeeEarlyLowestRound",2008
46,46,"Todd Demsey",80,65,"TenthTeeEarlyLowestRound",2008
46,46,"Joe Durant",92,65,"TenthTeeEarlyLowestRound",2008
46,46,"Bob Estes",90,65,"TenthTeeEarlyLowestRound",2008
46,46,"Robert Garrigus",90,65,"TenthTeeEarlyLowestRound",2008
46,46,"Lucas Glover",91,65,"TenthTeeEarlyLowestRound",2008
46,46,"Jason Gore",94,65,"TenthTeeEarlyLowestRound",2008
46,46,"Charley Hoffman",94,65,"TenthTeeEarlyLowestRound",2008
46,46,"Craig Kanada",65,65,"TenthTeeEarlyLowestRound",2008
46,46,"Anthony Kim",81,65,"TenthTeeEarlyLowestRound",2008
46,46,"Frank Lickliter II",107,65,"TenthTeeEarlyLowestRound",2008
46,46,"David Lutterus",59,65,"TenthTeeEarlyLowestRound",2008
46,46,"John Mallinger",95,65,"TenthTeeEarlyLowestRound",2008
46,46,"Troy Matteson",94,65,"TenthTeeEarlyLowestRound",2008
46,46,"Jim McGovern",75,65,"TenthTeeEarlyLowestRound",2008
46,46,"Larry Mize",46,65,"TenthTeeEarlyLowestRound",2008
46,46,"Nick OHern",82,65,"TenthTeeEarlyLowestRound",2008
46,46,"Ryan Palmer",69,65,"TenthTeeEarlyLowestRound",2008
46,46,"Rod Pampling",83,65,"TenthTeeEarlyLowestRound",2008
46,46,"Jesper Parnevik",88,65,"TenthTeeEarlyLowestRound",2008
46,46,"Pat Perez",93,65,"TenthTeeEarlyLowestRound",2008
46,46,"Tom Pernice Jr",104,65,"TenthTeeEarlyLowestRound",2008
46,46,"Kenny Perry",97,65,"TenthTeeEarlyLowestRound",2008
46,46,"Tim Petrovic",97,65,"TenthTeeEarlyLowestRound",2008
46,46,"Carl Pettersson",110,65,"TenthTeeEarlyLowestRound",2008
46,46,"Brett Rumford",72,65,"TenthTeeEarlyLowestRound",2008
46,46,"Heath Slocum",104,65,"TenthTeeEarlyLowestRound",2008
46,46,"Nicholas Thompson",113,65,"TenthTeeEarlyLowestRound",2008
46,46,"Jimmy Walker",73,65,"TenthTeeEarlyLowestRound",2008
46,46,"Bubba Watson",97,65,"TenthTeeEarlyLowestRound",2008
46,46,"Boo Weekley",86,65,"TenthTeeEarlyLowestRound",2008
46,46,"Mike Weir",88,65,"TenthTeeEarlyLowestRound",2008
46,46,"Lee Westwood",32,65,"TenthTeeEarlyLowestRound",2008
46,46,"Tim Wilkinson",95,65,"TenthTeeEarlyLowestRound",2008
46,46,"Garrett Willis",34,65,"TenthTeeEarlyLowestRound",2008
46,46,"Mark Wilson",107,65,"TenthTeeEarlyLowestRound",2008
94,94,"Brad Adamonis",87,66,"TenthTeeEarlyLowestRound",2008
94,94,"Jason Allred",63,66,"TenthTeeEarlyLowestRound",2008
94,94,"Stephen Ames",83,66,"TenthTeeEarlyLowestRound",2008
94,94,"Stuart Appleby",87,66,"TenthTeeEarlyLowestRound",2008
94,94,"Tommy Armour III",77,66,"TenthTeeEarlyLowestRound",2008
94,94,"Woody Austin",109,66,"TenthTeeEarlyLowestRound",2008
94,94,"Shane Bertsch",96,66,"TenthTeeEarlyLowestRound",2008
