"Par3ScoringAverage_RANKTHISWEEK_2007","Par3ScoringAverage_RANKLASTWEEK_2007","Par3ScoringAverage_PLAYERNAME_2007","Par3ScoringAverage_ROUNDS_2007","Par3ScoringAverage_AVG_2007","Par3ScoringAverage_TOTALSTROKES_2007","Par3ScoringAverage_TOTALHOLES_2007","stat_name","year"
1,1,"Tim Clark",66,2.96,769,260,"Par3ScoringAverage",2007
2,2,"Justin Rose",63,2.98,695,233,"Par3ScoringAverage",2007
3,3,"Tiger Woods",63,3,708,236,"Par3ScoringAverage",2007
4,4,"Jose Coceres",50,3.01,602,200,"Par3ScoringAverage",2007
4,4,"Steve Elkington",87,3.01,1072,356,"Par3ScoringAverage",2007
4,4,"Craig Kanada",109,3.01,1325,440,"Par3ScoringAverage",2007
4,4,"Heath Slocum",101,3.01,1239,411,"Par3ScoringAverage",2007
8,8,"Michael Allen",74,3.02,910,301,"Par3ScoringAverage",2007
8,8,"Tommy Armour III",81,3.02,984,326,"Par3ScoringAverage",2007
8,8,"Jonathan Byrd",73,3.02,884,293,"Par3ScoringAverage",2007
8,8,"Kenny Perry",83,3.02,1029,341,"Par3ScoringAverage",2007
8,8,"Henrik Stenson",52,3.02,549,182,"Par3ScoringAverage",2007
8,8,"Scott Verplank",82,3.02,971,321,"Par3ScoringAverage",2007
14,14,"Jim Furyk",84,3.03,972,321,"Par3ScoringAverage",2007
14,14,"Sergio Garcia",68,3.03,800,264,"Par3ScoringAverage",2007
14,14,"Freddie Jacobson",70,3.03,836,276,"Par3ScoringAverage",2007
14,14,"Dicky Pride",71,3.03,864,285,"Par3ScoringAverage",2007
14,14,"Dean Wilson",92,3.03,1121,370,"Par3ScoringAverage",2007
19,19,"Stewart Cink",91,3.04,1059,348,"Par3ScoringAverage",2007
19,19,"Brian Gay",107,3.04,1310,431,"Par3ScoringAverage",2007
19,19,"Retief Goosen",50,3.04,572,188,"Par3ScoringAverage",2007
19,19,"Mark Hensby",81,3.04,998,328,"Par3ScoringAverage",2007
19,19,"Tom Lehman",62,3.04,756,249,"Par3ScoringAverage",2007
19,19,"Arron Oberholser",69,3.04,823,271,"Par3ScoringAverage",2007
19,19,"Jeff Overton",60,3.04,738,243,"Par3ScoringAverage",2007
19,19,"Jay Williamson",50,3.04,607,200,"Par3ScoringAverage",2007
27,27,"Briny Baird",115,3.05,1417,465,"Par3ScoringAverage",2007
27,27,"Mark Brooks",53,3.05,653,214,"Par3ScoringAverage",2007
27,27,"Daniel Chopra",106,3.05,1305,428,"Par3ScoringAverage",2007
27,27,"Ken Duke",112,3.05,1373,450,"Par3ScoringAverage",2007
27,27,"Steve Flesch",100,3.05,1231,403,"Par3ScoringAverage",2007
27,27,"Anders Hansen",55,3.05,662,217,"Par3ScoringAverage",2007
27,27,"Padraig Harrington",64,3.05,748,245,"Par3ScoringAverage",2007
27,27,"George McNeill",95,3.05,1185,389,"Par3ScoringAverage",2007
27,27,"Rocco Mediate",72,3.05,889,291,"Par3ScoringAverage",2007
27,27,"Rory Sabbatini",81,3.05,949,311,"Par3ScoringAverage",2007
27,27,"Michael Sim",52,3.05,628,206,"Par3ScoringAverage",2007
38,38,"Bart Bryant",87,3.06,1055,345,"Par3ScoringAverage",2007
38,38,"KJ Choi",87,3.06,1032,337,"Par3ScoringAverage",2007
38,38,"Ernie Els",59,3.06,698,228,"Par3ScoringAverage",2007
38,38,"Lucas Glover",98,3.06,1179,385,"Par3ScoringAverage",2007
38,38,"Ryuji Imada",104,3.06,1282,419,"Par3ScoringAverage",2007
38,38,"Richard Johnson",93,3.06,1162,380,"Par3ScoringAverage",2007
38,38,"Matt Kuchar",85,3.06,1034,338,"Par3ScoringAverage",2007
38,38,"John Mallinger",96,3.06,1198,392,"Par3ScoringAverage",2007
38,38,"Kevin Na",84,3.06,1030,337,"Par3ScoringAverage",2007
38,38,"Jeff Quinney",95,3.06,1165,381,"Par3ScoringAverage",2007
38,38,"Steve Stricker",81,3.06,974,318,"Par3ScoringAverage",2007
38,38,"Boo Weekley",101,3.06,1237,404,"Par3ScoringAverage",2007
50,50,"Gavin Coles",87,3.07,1084,353,"Par3ScoringAverage",2007
50,50,"Marco Dawson",73,3.07,906,295,"Par3ScoringAverage",2007
50,50,"Glen Day",85,3.07,1059,345,"Par3ScoringAverage",2007
