"ProximitytoHole_RANKTHISWEEK_2009","ProximitytoHole_RANKLASTWEEK_2009","ProximitytoHole_PLAYERNAME_2009","ProximitytoHole_ROUNDS_2009","ProximitytoHole_AVG_2009","ProximitytoHole_TOTALDISTANCEFEET_2009","ProximitytoHole_OFATTEMPTS_2009","ProximitytoHole_GIRRANK_2009","stat_name","year"
1,1,"Tim Clark",81,NA,32140,1057,48,"ProximitytoHole",2009
2,2,"Jason Bohn",88,NA,45565,1468,8,"ProximitytoHole",2009
3,3,"Tom Lehman",55,NA,19897.75,629,10,"ProximitytoHole",2009
3,3,"Jay Williamson",69,NA,32230.333,1019,5,"ProximitytoHole",2009
5,5,"Patrick Sheehan",51,NA,22407.333,699,15,"ProximitytoHole",2009
6,6,"Joe Durant",62,NA,27001.333,837,3,"ProximitytoHole",2009
6,6,"Heath Slocum",95,NA,49210,1524,32,"ProximitytoHole",2009
6,6,"David Toms",98,NA,46420.75,1438,20,"ProximitytoHole",2009
9,9,"Steve Stricker",81,NA,36020.917,1110,57,"ProximitytoHole",2009
10,10,"Kris Blanks",60,NA,27459.583,843,70,"ProximitytoHole",2009
11,11,"Jim Furyk",86,NA,37985.333,1162,98,"ProximitytoHole",2009
11,11,"Zach Johnson",94,NA,46278.667,1416,28,"ProximitytoHole",2009
13,13,"Brian Gay",96,NA,48109.583,1467,168,"ProximitytoHole",2009
14,14,"Justin Leonard",95,NA,44189.083,1344,45,"ProximitytoHole",2009
14,14,"Scott Sterling",51,NA,23525.75,715,13,"ProximitytoHole",2009
16,16,"Kevin Stadler",65,NA,31977.75,967,51,"ProximitytoHole",2009
17,17,"Bryce Molder",69,NA,32083.583,968,40,"ProximitytoHole",2009
17,17,"Darron Stiles",52,NA,24965.25,753,90,"ProximitytoHole",2009
19,19,"Chad Campbell",90,NA,42276.583,1272,9,"ProximitytoHole",2009
19,19,"Nick OHern",90,NA,50481.167,1520,54,"ProximitytoHole",2009
21,21,"Tommy Armour III",58,NA,31115.583,933,44,"ProximitytoHole",2009
21,21,"Sergio Garcia",59,NA,26354.583,790,95,"ProximitytoHole",2009
21,21,"Mike Weir",85,NA,39908.333,1198,156,"ProximitytoHole",2009
24,24,"Bart Bryant",58,NA,31222.917,934,163,"ProximitytoHole",2009
25,25,"Alex Cejka",82,NA,42523.917,1269,63,"ProximitytoHole",2009
25,25,"Brandt Snedeker",81,NA,38942.667,1163,138,"ProximitytoHole",2009
27,27,"Fred Couples",54,NA,25264.833,753,42,"ProximitytoHole",2009
28,28,"Robert Allenby",71,NA,33848.167,1005,24,"ProximitytoHole",2009
28,28,"Bob Heintz",59,NA,30738,912,121,"ProximitytoHole",2009
28,28,"Dean Wilson",81,NA,42158.667,1252,109,"ProximitytoHole",2009
31,31,"Kenny Perry",92,NA,44172.083,1310,36,"ProximitytoHole",2009
31,31,"Matt Weibring",65,NA,33323.667,987,90,"ProximitytoHole",2009
33,33,"Michael Allen",73,NA,35181,1039,37,"ProximitytoHole",2009
33,33,"Chris DiMarco",97,NA,52646,1557,125,"ProximitytoHole",2009
33,33,"Chez Reavie",81,NA,42493.833,1255,83,"ProximitytoHole",2009
36,36,"Glen Day",79,NA,38915.917,1148,62,"ProximitytoHole",2009
37,37,"Briny Baird",89,NA,43891.667,1291,10,"ProximitytoHole",2009
38,38,"Lee Janzen",74,NA,37199.167,1091,136,"ProximitytoHole",2009
39,39,"Luke Donald",79,NA,37246.333,1091,157,"ProximitytoHole",2009
39,39,"Matt Kuchar",82,NA,43526.083,1273,132,"ProximitytoHole",2009
41,41,"Jason Dufner",90,NA,47761.167,1395,49,"ProximitytoHole",2009
41,41,"Chris Stroud",88,NA,46662.25,1363,12,"ProximitytoHole",2009
43,43,"Jeff Quinney",78,NA,43630.25,1270,146,"ProximitytoHole",2009
43,43,"Scott Verplank",88,NA,48699.417,1417,47,"ProximitytoHole",2009
45,45,"Cameron Beckman",87,NA,46196.333,1342,98,"ProximitytoHole",2009
45,45,"Ben Crane",93,NA,49271.833,1433,113,"ProximitytoHole",2009
45,45,"Kevin Na",91,NA,48072.167,1397,131,"ProximitytoHole",2009
45,45,"Greg Owen",97,NA,50487,1466,6,"ProximitytoHole",2009
49,49,"Ernie Els",70,NA,33434.833,970,79,"ProximitytoHole",2009
49,49,"Robert Garrigus",83,NA,44178.917,1281,4,"ProximitytoHole",2009
49,49,"Lucas Glover",93,NA,48628.333,1410,88,"ProximitytoHole",2009
49,49,"Rocco Mediate",79,NA,40801,1182,90,"ProximitytoHole",2009
49,49,"John Senden",100,NA,56879.167,1647,1,"ProximitytoHole",2009
49,49,"DJ Trahan",96,NA,49162.083,1426,7,"ProximitytoHole",2009
55,55,"Hunter Mahan",94,NA,46604.75,1346,19,"ProximitytoHole",2009
55,55,"Sean OHair",80,NA,35891.083,1039,27,"ProximitytoHole",2009
55,55,"Vijay Singh",71,NA,31611.917,913,75,"ProximitytoHole",2009
55,55,"Kirk Triplett",60,NA,34120.583,987,29,"ProximitytoHole",2009
55,55,"Tiger Woods",64,NA,29730.667,859,16,"ProximitytoHole",2009
55,55,"YE Yang",83,NA,43278.417,1251,76,"ProximitytoHole",2009
61,61,"Woody Austin",84,NA,47214.083,1361,106,"ProximitytoHole",2009
61,61,"Bob Estes",78,NA,42793.75,1235,129,"ProximitytoHole",2009
