"RyderCupWorldPoints_RANKTHISWEEK_2012","RyderCupWorldPoints_RANKLASTWEEK_2012","RyderCupWorldPoints_PLAYERNAME_2012","RyderCupWorldPoints__2012","RyderCupWorldPoints_POINTS_2012","stat_name","year"
1,NA,"Rory McIlroy",NA,468.81,"RyderCupWorldPoints",2012
2,NA,"Luke Donald",NA,363.46,"RyderCupWorldPoints",2012
3,NA,"Justin Rose",NA,322.33,"RyderCupWorldPoints",2012
4,NA,"Lee Westwood",NA,280.27,"RyderCupWorldPoints",2012
5,NA,"Graeme McDowell",NA,262.62,"RyderCupWorldPoints",2012
6,NA,"Paul Lawrie",NA,211.49,"RyderCupWorldPoints",2012
7,NA,"Sergio Garcia",NA,200.85,"RyderCupWorldPoints",2012
8,NA,"Francesco Molinari",NA,191.25,"RyderCupWorldPoints",2012
9,NA,"Peter Hanson",NA,189.32,"RyderCupWorldPoints",2012
10,NA,"Martin Kaymer",NA,172.26,"RyderCupWorldPoints",2012
11,NA,"Ian Poulter",NA,171.64,"RyderCupWorldPoints",2012
12,NA,"Nicolas Colsaerts",NA,161.67,"RyderCupWorldPoints",2012
13,NA,"Rafa Cabrera Bello",NA,144.2,"RyderCupWorldPoints",2012
14,NA,"David Lynn",NA,143.01,"RyderCupWorldPoints",2012
15,NA,"Gonzalo Fdez Castano",NA,134.93,"RyderCupWorldPoints",2012
16,NA,"Thomas Bjorn",NA,129.34,"RyderCupWorldPoints",2012
17,NA,"Marcel Siem",NA,124.83,"RyderCupWorldPoints",2012
18,NA,"Simon Dyson",NA,112.84,"RyderCupWorldPoints",2012
19,NA,"Padraig Harrington",NA,107.4,"RyderCupWorldPoints",2012
20,NA,"Freddie Jacobson",NA,107.08,"RyderCupWorldPoints",2012
21,NA,"Jamie Donaldson",NA,106.84,"RyderCupWorldPoints",2012
22,NA,"Martin Laird",NA,101.61,"RyderCupWorldPoints",2012
23,NA,"Robert Rock",NA,99.86,"RyderCupWorldPoints",2012
24,NA,"Bernd Wiesberger",NA,97.53,"RyderCupWorldPoints",2012
25,NA,"Joost Luiten",NA,96.8,"RyderCupWorldPoints",2012
26,NA,"Alvaro Quiros",NA,94.28,"RyderCupWorldPoints",2012
27,NA,"Michael Hoey",NA,91.93,"RyderCupWorldPoints",2012
28,NA,"Miguel Angel Jimenez",NA,87.76,"RyderCupWorldPoints",2012
29,NA,"Thorbjorn Olesen",NA,82.84,"RyderCupWorldPoints",2012
30,NA,"Richie Ramsay",NA,80.2,"RyderCupWorldPoints",2012
31,NA,"Alexander Noren",NA,78.79,"RyderCupWorldPoints",2012
32,NA,"Shane Lowry",NA,70.22,"RyderCupWorldPoints",2012
33,NA,"Robert Karlsson",NA,69.67,"RyderCupWorldPoints",2012
34,NA,"Matteo Manassero",NA,66.77,"RyderCupWorldPoints",2012
35,NA,"Stephen Gallacher",NA,65.2,"RyderCupWorldPoints",2012
36,NA,"Paul Casey",NA,64.4,"RyderCupWorldPoints",2012
37,NA,"Henrik Stenson",NA,64.33,"RyderCupWorldPoints",2012
38,NA,"Danny Willett",NA,64.15,"RyderCupWorldPoints",2012
39,NA,"Soren Kjeldsen",NA,61.2,"RyderCupWorldPoints",2012
40,NA,"Gregory Havret",NA,61.01,"RyderCupWorldPoints",2012
41,NA,"Pablo Larrazabal",NA,60.47,"RyderCupWorldPoints",2012
42,NA,"Anders Hansen",NA,56.92,"RyderCupWorldPoints",2012
43,NA,"Ross Fisher",NA,56.42,"RyderCupWorldPoints",2012
44,NA,"Lee Slattery",NA,53.68,"RyderCupWorldPoints",2012
