"ScramblingFringeRTPScore_RANKTHISWEEK_2013","ScramblingFringeRTPScore_RANKLASTWEEK_2013","ScramblingFringeRTPScore_PLAYERNAME_2013","ScramblingFringeRTPScore_ROUNDS_2013","ScramblingFringeRTPScore_AVGRTP_2013","ScramblingFringeRTPScore_TOTALHOLES_2013","ScramblingFringeRTPScore_TOTALRTP_2013","stat_name","year"
1,NA,"Ian Poulter",59,-0.188,32,-6,"ScramblingFringeRTPScore",2013
2,NA,"Tiger Woods",61,-0.182,22,-4,"ScramblingFringeRTPScore",2013
3,NA,"Luke Donald",60,-0.136,44,-6,"ScramblingFringeRTPScore",2013
4,NA,"Justin Rose",62,-0.119,42,-5,"ScramblingFringeRTPScore",2013
5,NA,"Ted Potter Jr",65,-0.108,37,-4,"ScramblingFringeRTPScore",2013
6,NA,"Robert Streb",75,-0.096,52,-5,"ScramblingFringeRTPScore",2013
7,NA,"Troy Matteson",68,-0.094,53,-5,"ScramblingFringeRTPScore",2013
7,NA,"David Toms",49,-0.094,32,-3,"ScramblingFringeRTPScore",2013
9,NA,"Matt Kuchar",93,-0.091,66,-6,"ScramblingFringeRTPScore",2013
10,NA,"Keegan Bradley",88,-0.082,61,-5,"ScramblingFringeRTPScore",2013
11,NA,"Bob Estes",66,-0.069,58,-4,"ScramblingFringeRTPScore",2013
12,NA,"Brandt Jobe",62,-0.068,44,-3,"ScramblingFringeRTPScore",2013
13,NA,"Brian Harman",89,-0.064,78,-5,"ScramblingFringeRTPScore",2013
14,NA,"Stewart Cink",71,-0.063,32,-2,"ScramblingFringeRTPScore",2013
15,NA,"Bud Cauley",67,-0.061,49,-3,"ScramblingFringeRTPScore",2013
15,NA,"Aaron Watkins",46,-0.061,33,-2,"ScramblingFringeRTPScore",2013
17,NA,"Graham DeLaet",94,-0.044,68,-3,"ScramblingFringeRTPScore",2013
18,NA,"Tim Clark",64,-0.043,46,-2,"ScramblingFringeRTPScore",2013
18,NA,"Brandt Snedeker",79,-0.043,47,-2,"ScramblingFringeRTPScore",2013
20,NA,"Zach Johnson",84,-0.038,52,-2,"ScramblingFringeRTPScore",2013
21,NA,"Ben Curtis",59,-0.031,32,-1,"ScramblingFringeRTPScore",2013
22,NA,"Jim Furyk",80,-0.03,66,-2,"ScramblingFringeRTPScore",2013
22,NA,"James Hahn",78,-0.03,67,-2,"ScramblingFringeRTPScore",2013
22,NA,"Johnson Wagner",64,-0.03,33,-1,"ScramblingFringeRTPScore",2013
25,NA,"Aaron Baddeley",68,-0.027,37,-1,"ScramblingFringeRTPScore",2013
26,NA,"Tim Herron",45,-0.024,41,-1,"ScramblingFringeRTPScore",2013
26,NA,"David Lingmerth",68,-0.024,42,-1,"ScramblingFringeRTPScore",2013
28,NA,"Scott Brown",65,-0.023,43,-1,"ScramblingFringeRTPScore",2013
28,NA,"Morgan Hoffmann",64,-0.023,43,-1,"ScramblingFringeRTPScore",2013
30,NA,"Jason Day",86,-0.021,48,-1,"ScramblingFringeRTPScore",2013
31,NA,"James Driscoll",76,-0.02,49,-1,"ScramblingFringeRTPScore",2013
31,NA,"Ernie Els",63,-0.02,51,-1,"ScramblingFringeRTPScore",2013
33,NA,"Ryan Palmer",79,-0.017,58,-1,"ScramblingFringeRTPScore",2013
33,NA,"Jimmy Walker",84,-0.017,58,-1,"ScramblingFringeRTPScore",2013
35,NA,"Jerry Kelly",75,-0.014,69,-1,"ScramblingFringeRTPScore",2013
36,NA,"Brendon de Jonge",110,-0.013,79,-1,"ScramblingFringeRTPScore",2013
37,NA,"Angel Cabrera",73,0,34,0,"ScramblingFringeRTPScore",2013
37,NA,"KJ Choi",85,0,59,0,"ScramblingFringeRTPScore",2013
37,NA,"Jason Dufner",78,0,52,0,"ScramblingFringeRTPScore",2013
37,NA,"Robert Garrigus",69,0,35,0,"ScramblingFringeRTPScore",2013
37,NA,"Brian Gay",79,0,74,0,"ScramblingFringeRTPScore",2013
37,NA,"Russell Henley",80,0,47,0,"ScramblingFringeRTPScore",2013
37,NA,"Charley Hoffman",84,0,50,0,"ScramblingFringeRTPScore",2013
37,NA,"Robert Karlsson",56,0,40,0,"ScramblingFringeRTPScore",2013
37,NA,"Chris Kirk",89,0,78,0,"ScramblingFringeRTPScore",2013
37,NA,"Jason Kokrak",78,0,58,0,"ScramblingFringeRTPScore",2013
37,NA,"Doug LaBelle II",72,0,37,0,"ScramblingFringeRTPScore",2013
37,NA,"Luke List",65,0,48,0,"ScramblingFringeRTPScore",2013
37,NA,"Hunter Mahan",91,0,49,0,"ScramblingFringeRTPScore",2013
37,NA,"Graeme McDowell",53,0,35,0,"ScramblingFringeRTPScore",2013
37,NA,"Rod Pampling",46,0,29,0,"ScramblingFringeRTPScore",2013
37,NA,"Carl Pettersson",82,0,63,0,"ScramblingFringeRTPScore",2013
37,NA,"Scott Piercy",78,0,43,0,"ScramblingFringeRTPScore",2013
37,NA,"Alistair Presnell",59,0,47,0,"ScramblingFringeRTPScore",2013
37,NA,"Vaughn Taylor",50,0,33,0,"ScramblingFringeRTPScore",2013
37,NA,"Lee Westwood",70,0,47,0,"ScramblingFringeRTPScore",2013
37,NA,"YE Yang",56,0,40,0,"ScramblingFringeRTPScore",2013
58,NA,"Ken Duke",87,0.013,77,1,"ScramblingFringeRTPScore",2013
58,NA,"Jeff Overton",78,0.013,80,1,"ScramblingFringeRTPScore",2013
60,NA,"Matt Jones",83,0.014,72,1,"ScramblingFringeRTPScore",2013
61,NA,"Charles Howell III",87,0.015,67,1,"ScramblingFringeRTPScore",2013
62,NA,"Jordan Spieth",82,0.017,59,1,"ScramblingFringeRTPScore",2013
63,NA,"Steven Bowditch",67,0.018,57,1,"ScramblingFringeRTPScore",2013
63,NA,"Scott Langley",79,0.018,57,1,"ScramblingFringeRTPScore",2013
65,NA,"Sang Moon Bae",83,0.019,54,1,"ScramblingFringeRTPScore",2013
66,NA,"Kevin Streelman",86,0.022,45,1,"ScramblingFringeRTPScore",2013
67,NA,"DJ Trahan",48,0.024,42,1,"ScramblingFringeRTPScore",2013
68,NA,"Pat Perez",69,0.026,39,1,"ScramblingFringeRTPScore",2013
68,NA,"Darron Stiles",51,0.026,38,1,"ScramblingFringeRTPScore",2013
70,NA,"Ben Kohles",75,0.027,74,2,"ScramblingFringeRTPScore",2013
71,NA,"David Lynn",70,0.028,36,1,"ScramblingFringeRTPScore",2013
72,NA,"Rory Sabbatini",86,0.029,68,2,"ScramblingFringeRTPScore",2013
73,NA,"Luke Guthrie",82,0.032,62,2,"ScramblingFringeRTPScore",2013
73,NA,"Bill Haas",85,0.032,63,2,"ScramblingFringeRTPScore",2013
75,NA,"Cameron Percy",68,0.033,60,2,"ScramblingFringeRTPScore",2013
76,NA,"George McNeill",68,0.035,57,2,"ScramblingFringeRTPScore",2013
76,NA,"Casey Wittenberg",72,0.035,57,2,"ScramblingFringeRTPScore",2013
78,NA,"Chad Campbell",78,0.036,56,2,"ScramblingFringeRTPScore",2013
78,NA,"Nicolas Colsaerts",50,0.036,28,1,"ScramblingFringeRTPScore",2013
80,NA,"Justin Leonard",86,0.037,54,2,"ScramblingFringeRTPScore",2013
80,NA,"Chris Stroud",88,0.037,82,3,"ScramblingFringeRTPScore",2013
80,NA,"Andrew Svoboda",46,0.037,27,1,"ScramblingFringeRTPScore",2013
83,NA,"Padraig Harrington",52,0.038,26,1,"ScramblingFringeRTPScore",2013
83,NA,"Charlie Wi",75,0.038,53,2,"ScramblingFringeRTPScore",2013
85,NA,"Greg Chalmers",77,0.041,74,3,"ScramblingFringeRTPScore",2013
86,NA,"Martin Laird",68,0.043,46,2,"ScramblingFringeRTPScore",2013
86,NA,"Marc Leishman",77,0.043,46,2,"ScramblingFringeRTPScore",2013
88,NA,"Steve LeBrun",66,0.045,44,2,"ScramblingFringeRTPScore",2013
88,NA,"Bo Van Pelt",72,0.045,44,2,"ScramblingFringeRTPScore",2013
90,NA,"Tommy Gainey",84,0.046,65,3,"ScramblingFringeRTPScore",2013
