"DistancetoApex_RANKTHISWEEK_2011","DistancetoApex_RANKLASTWEEK_2011","DistancetoApex_PLAYERNAME_2011","DistancetoApex_ROUNDS_2011","DistancetoApex_AVG_2011","DistancetoApex_TOTALAPEXRANGE_2011","DistancetoApex_TOTALATTEMPTS_2011","DistancetoApex_LONGESTDISTTOAPEX_2011","DistancetoApex_SHORTESTDISTTOAPEX_2011","stat_name","year"
1,1,"JB Holmes",57,211.3,8665,41,225.2,195.7,"DistancetoApex",2011
2,2,"Bubba Watson",85,206.5,10325.7,50,223.9,180.5,"DistancetoApex",2011
3,3,"Jhonattan Vegas",84,203.1,11984.8,59,221.6,179.3,"DistancetoApex",2011
4,4,"Dustin Johnson",72,199.9,8794.6,44,212.3,181.6,"DistancetoApex",2011
5,5,"Angel Cabrera",50,199.8,4995,25,219.9,180.5,"DistancetoApex",2011
6,6,"Zack Miller",86,199.6,9981.5,50,212.5,178,"DistancetoApex",2011
7,7,"Tag Ridings",87,198.7,10925.9,55,213.7,169.6,"DistancetoApex",2011
8,8,"Chris Couch",73,198.5,8934.2,45,213.5,183.7,"DistancetoApex",2011
9,9,"Will Strickler",51,197.3,6511.2,33,213.9,172.2,"DistancetoApex",2011
10,10,"Gary Woodland",93,197.2,9268.6,47,214.5,154.9,"DistancetoApex",2011
11,11,"Aaron Baddeley",77,195.7,10764,55,209.5,177.2,"DistancetoApex",2011
12,12,"Charley Hoffman",93,195.5,13683.3,70,212.8,177.2,"DistancetoApex",2011
13,13,"Scott Stallings",84,195.2,12687.6,65,208.7,175.4,"DistancetoApex",2011
14,14,"Phil Mickelson",79,195.1,8973.6,46,212.6,166.3,"DistancetoApex",2011
15,15,"Robert Garrigus",83,194.8,9544.1,49,213.5,147.4,"DistancetoApex",2011
16,16,"Robert Karlsson",61,194.7,7789.1,40,208.6,169.4,"DistancetoApex",2011
17,17,"Nick Watney",80,194.4,12050.4,62,214.8,177.9,"DistancetoApex",2011
18,18,"Kyle Stanley",98,194.3,13018.1,67,213,174.4,"DistancetoApex",2011
19,19,"James Driscoll",71,194.2,9904.9,51,215.9,169.7,"DistancetoApex",2011
19,19,"Bill Haas",93,194.2,12817.7,66,210.4,169.7,"DistancetoApex",2011
21,21,"Harrison Frazar",58,193.3,7152.5,37,204.6,182.9,"DistancetoApex",2011
22,22,"Bobby Gates",82,193,9844.8,51,212.6,152.6,"DistancetoApex",2011
22,22,"Martin Laird",77,193,10616,55,211.7,165.7,"DistancetoApex",2011
24,24,"Jason Day",76,192.8,8867.8,46,207.8,177.7,"DistancetoApex",2011
25,25,"Trevor Immelman",84,192.5,8856.2,46,206.4,148.1,"DistancetoApex",2011
