"ConsecutiveSandSaves_RANKTHISWEEK_2007","ConsecutiveSandSaves_RANKLASTWEEK_2007","ConsecutiveSandSaves_PLAYERNAME_2007","ConsecutiveSandSaves_EVENTS_2007","ConsecutiveSandSaves_STREAK_2007","ConsecutiveSandSaves_CURRENTSTREAK_2007","ConsecutiveSandSaves_ROUND_2007","ConsecutiveSandSaves_HOLE_2007","ConsecutiveSandSaves_YEARTOURN_2007","stat_name","year"
1,1,"Tim Clark",19,15,6,1,13,2007390,"ConsecutiveSandSaves",2007
2,2,"Johnson Wagner",33,14,NA,2,4,2007300,"ConsecutiveSandSaves",2007
3,3,"Jason Bohn",17,13,4,2,1,2007110,"ConsecutiveSandSaves",2007
3,3,"Jose Coceres",17,13,NA,2,5,2007100,"ConsecutiveSandSaves",2007
5,5,"Paul Azinger",13,12,2,1,4,2007030,"ConsecutiveSandSaves",2007
5,5,"Craig Barlow",16,12,4,1,4,2007280,"ConsecutiveSandSaves",2007
5,5,"Steve Flesch",31,12,7,4,17,2007330,"ConsecutiveSandSaves",2007
5,5,"Corey Pavin",25,12,3,1,14,2007300,"ConsecutiveSandSaves",2007
9,9,"Michael Boyd",21,11,3,1,16,2007360,"ConsecutiveSandSaves",2007
9,9,"Olin Browne",15,11,1,1,11,2007210,"ConsecutiveSandSaves",2007
9,9,"Jonathan Byrd",23,11,2,3,15,2007160,"ConsecutiveSandSaves",2007
9,9,"Gavin Coles",28,11,NA,2,8,2007260,"ConsecutiveSandSaves",2007
9,9,"Brian Davis",28,11,3,2,16,2007240,"ConsecutiveSandSaves",2007
9,9,"Matt Kuchar",26,11,NA,4,6,2007100,"ConsecutiveSandSaves",2007
9,9,"Kevin Na",27,11,NA,2,17,2007410,"ConsecutiveSandSaves",2007
9,9,"Tom Pernice Jr",31,11,NA,1,13,2007220,"ConsecutiveSandSaves",2007
17,17,"KJ Choi",25,10,2,2,10,2007200,"ConsecutiveSandSaves",2007
17,17,"Tim Herron",27,10,3,4,1,2007290,"ConsecutiveSandSaves",2007
17,17,"George McNeill",30,10,NA,2,11,2007070,"ConsecutiveSandSaves",2007
17,17,"Shaun Micheel",29,10,NA,2,18,2007230,"ConsecutiveSandSaves",2007
17,17,"Ted Purdy",33,10,1,4,4,2007220,"ConsecutiveSandSaves",2007
17,17,"Chris Riley",17,10,4,2,1,2007040,"ConsecutiveSandSaves",2007
17,17,"Adam Scott",19,10,2,1,6,2007390,"ConsecutiveSandSaves",2007
24,24,"Stuart Appleby",24,9,1,1,8,2007310,"ConsecutiveSandSaves",2007
24,24,"Aaron Baddeley",23,9,1,4,9,2007390,"ConsecutiveSandSaves",2007
24,24,"Mark Brooks",18,9,1,2,17,2007350,"ConsecutiveSandSaves",2007
24,24,"Ken Duke",31,9,1,1,11,2007200,"ConsecutiveSandSaves",2007
24,24,"Steve Elkington",25,9,NA,1,7,2007160,"ConsecutiveSandSaves",2007
24,24,"Jason Gore",27,9,1,4,18,2007330,"ConsecutiveSandSaves",2007
24,24,"Paul Goydos",19,9,4,4,14,2007120,"ConsecutiveSandSaves",2007
24,24,"Ryuji Imada",32,9,2,1,11,2007200,"ConsecutiveSandSaves",2007
24,24,"Trevor Immelman",21,9,2,3,5,2007130,"ConsecutiveSandSaves",2007
24,24,"Craig Kanada",34,9,NA,2,11,2007270,"ConsecutiveSandSaves",2007
24,24,"Anthony Kim",26,9,4,3,4,2007140,"ConsecutiveSandSaves",2007
