"Total1Putts25_RANKTHISWEEK_2011","Total1Putts25_RANKLASTWEEK_2011","Total1Putts25_PLAYERNAME_2011","Total1Putts25_ROUNDS_2011","Total1Putts25_TOTAL_2011","Total1Putts25_TOTALFORALLDISTANCES_2011","Total1Putts25_PCTOFALL1PUTTS_2011","stat_name","year"
1,1,"Hunter Haas",96,28,609,4.6,"Total1Putts25",2011
1,1,"Brandt Jobe",100,28,548,5.1,"Total1Putts25",2011
1,1,"Hunter Mahan",92,28,549,5.1,"Total1Putts25",2011
1,1,"Cameron Tringale",110,28,651,4.3,"Total1Putts25",2011
1,1,"Johnson Wagner",81,28,479,5.8,"Total1Putts25",2011
6,6,"Billy Mayfair",94,26,567,4.6,"Total1Putts25",2011
6,6,"Tim Petrovic",88,26,566,4.6,"Total1Putts25",2011
8,8,"Steve Marino",76,25,455,5.5,"Total1Putts25",2011
8,8,"Brandt Snedeker",85,25,531,4.7,"Total1Putts25",2011
10,10,"Tommy Gainey",104,24,625,3.8,"Total1Putts25",2011
10,10,"Charles Howell III",108,24,627,3.8,"Total1Putts25",2011
10,10,"William McGirt",103,24,605,4,"Total1Putts25",2011
10,10,"Vijay Singh",79,24,508,4.7,"Total1Putts25",2011
14,14,"Blake Adams",116,23,762,3,"Total1Putts25",2011
14,14,"Fabian Gomez",84,23,452,5.1,"Total1Putts25",2011
14,14,"JJ Henry",96,23,502,4.6,"Total1Putts25",2011
14,14,"Kevin Na",84,23,555,4.1,"Total1Putts25",2011
14,14,"John Senden",94,23,523,4.4,"Total1Putts25",2011
14,14,"Webb Simpson",98,23,607,3.8,"Total1Putts25",2011
14,14,"Kevin Stadler",88,23,470,4.9,"Total1Putts25",2011
21,21,"Chad Campbell",99,22,559,3.9,"Total1Putts25",2011
21,21,"Greg Chalmers",88,22,623,3.5,"Total1Putts25",2011
21,21,"Jason Day",76,22,465,4.7,"Total1Putts25",2011
21,21,"Chris Kirk",87,22,542,4.1,"Total1Putts25",2011
21,21,"Ben Martin",74,22,441,5,"Total1Putts25",2011
21,21,"Kevin Streelman",90,22,508,4.3,"Total1Putts25",2011
21,21,"Jhonattan Vegas",84,22,458,4.8,"Total1Putts25",2011
28,28,"Kris Blanks",92,21,529,4,"Total1Putts25",2011
28,28,"Steve Flesch",88,21,590,3.6,"Total1Putts25",2011
28,28,"Lucas Glover",74,21,430,4.9,"Total1Putts25",2011
28,28,"Spencer Levin",113,21,631,3.3,"Total1Putts25",2011
28,28,"Matt McQuillan",59,21,347,6.1,"Total1Putts25",2011
28,28,"Nick OHern",89,21,521,4,"Total1Putts25",2011
28,28,"Pat Perez",76,21,526,4,"Total1Putts25",2011
28,28,"Carl Pettersson",95,21,644,3.3,"Total1Putts25",2011
28,28,"DA Points",89,21,552,3.8,"Total1Putts25",2011
28,28,"Tag Ridings",87,21,521,4,"Total1Putts25",2011
28,28,"John Rollins",85,21,476,4.4,"Total1Putts25",2011
39,39,"Matt Bettencourt",84,20,546,3.7,"Total1Putts25",2011
39,39,"David Duval",67,20,396,5.1,"Total1Putts25",2011
39,39,"Tim Herron",85,20,539,3.7,"Total1Putts25",2011
39,39,"Ryuji Imada",83,20,546,3.7,"Total1Putts25",2011
39,39,"Kyle Stanley",98,20,539,3.7,"Total1Putts25",2011
44,44,"Brendon de Jonge",105,19,672,2.8,"Total1Putts25",2011
44,44,"Rickie Fowler",84,19,502,3.8,"Total1Putts25",2011
44,44,"Robert Garrigus",83,19,475,4,"Total1Putts25",2011
44,44,"Bill Haas",93,19,485,3.9,"Total1Putts25",2011
44,44,"Trevor Immelman",84,19,436,4.4,"Total1Putts25",2011
44,44,"Troy Matteson",91,19,544,3.5,"Total1Putts25",2011
44,44,"Chez Reavie",92,19,557,3.4,"Total1Putts25",2011
51,51,"Cameron Beckman",71,18,455,4,"Total1Putts25",2011
51,51,"Chris Couch",73,18,499,3.6,"Total1Putts25",2011
51,51,"Brian Gay",90,18,555,3.2,"Total1Putts25",2011
51,51,"Freddie Jacobson",92,18,539,3.3,"Total1Putts25",2011
51,51,"Colt Knost",80,18,462,3.9,"Total1Putts25",2011
51,51,"Bill Lunde",92,18,516,3.5,"Total1Putts25",2011
51,51,"Zack Miller",86,18,503,3.6,"Total1Putts25",2011
51,51,"Rod Pampling",72,18,424,4.2,"Total1Putts25",2011
51,51,"Aron Price",58,18,332,5.4,"Total1Putts25",2011
51,51,"Heath Slocum",89,18,450,4,"Total1Putts25",2011
51,51,"Chris Stroud",88,18,532,3.4,"Total1Putts25",2011
51,51,"Josh Teater",104,18,606,3,"Total1Putts25",2011
63,63,"Arjun Atwal",91,17,605,2.8,"Total1Putts25",2011
63,63,"Shane Bertsch",62,17,376,4.5,"Total1Putts25",2011
63,63,"Billy Horschel",75,17,417,4.1,"Total1Putts25",2011
63,63,"Joe Ogilvie",75,17,457,3.7,"Total1Putts25",2011
63,63,"Alexandre Rocha",65,17,301,5.6,"Total1Putts25",2011
63,63,"Charl Schwartzel",58,17,279,6.1,"Total1Putts25",2011
63,63,"Michael Thompson",79,17,497,3.4,"Total1Putts25",2011
63,63,"DJ Trahan",91,17,526,3.2,"Total1Putts25",2011
63,63,"Bubba Watson",85,17,402,4.2,"Total1Putts25",2011
63,63,"Charlie Wi",83,17,584,2.9,"Total1Putts25",2011
63,63,"Garrett Willis",71,17,447,3.8,"Total1Putts25",2011
63,63,"Dean Wilson",62,17,410,4.1,"Total1Putts25",2011
63,63,"Mark Wilson",89,17,504,3.4,"Total1Putts25",2011
63,63,"Gary Woodland",93,17,452,3.8,"Total1Putts25",2011
77,77,"Stephen Ames",69,16,420,3.8,"Total1Putts25",2011
77,77,"Steven Bowditch",86,16,581,2.8,"Total1Putts25",2011
77,77,"Joseph Bramlett",73,16,392,4.1,"Total1Putts25",2011
77,77,"Brian Davis",105,16,659,2.4,"Total1Putts25",2011
77,77,"Ernie Els",71,16,350,4.6,"Total1Putts25",2011
77,77,"Charley Hoffman",93,16,516,3.1,"Total1Putts25",2011
77,77,"Jerry Kelly",85,16,477,3.4,"Total1Putts25",2011
77,77,"Marc Leishman",87,16,547,2.9,"Total1Putts25",2011
77,77,"Scott Piercy",78,16,457,3.5,"Total1Putts25",2011
77,77,"Jim Renner",65,16,383,4.2,"Total1Putts25",2011
77,77,"David Toms",78,16,419,3.8,"Total1Putts25",2011
88,88,"Robert Allenby",84,15,469,3.2,"Total1Putts25",2011
88,88,"Michael Bradley",74,15,384,3.9,"Total1Putts25",2011
88,88,"DJ Brigman",67,15,386,3.9,"Total1Putts25",2011
88,88,"Chris DiMarco",93,15,578,2.6,"Total1Putts25",2011
88,88,"Paul Goydos",81,15,502,3,"Total1Putts25",2011
88,88,"Kent Jones",76,15,444,3.4,"Total1Putts25",2011
88,88,"Matt Jones",71,15,459,3.3,"Total1Putts25",2011
88,88,"Matt Kuchar",94,15,537,2.8,"Total1Putts25",2011
88,88,"Scott McCarron",65,15,397,3.8,"Total1Putts25",2011
88,88,"Jeff Overton",92,15,517,2.9,"Total1Putts25",2011
88,88,"Nate Smith",66,15,395,3.8,"Total1Putts25",2011
88,88,"Paul Stankowski",78,15,475,3.2,"Total1Putts25",2011
88,88,"Steve Stricker",70,15,426,3.5,"Total1Putts25",2011
88,88,"Bo Van Pelt",92,15,501,3,"Total1Putts25",2011
102,102,"Stuart Appleby",65,14,422,3.3,"Total1Putts25",2011
102,102,"Jason Bohn",74,14,472,3,"Total1Putts25",2011
102,102,"Stewart Cink",72,14,354,4,"Total1Putts25",2011
102,102,"Michael Connell",76,14,491,2.9,"Total1Putts25",2011
102,102,"Padraig Harrington",60,14,347,4,"Total1Putts25",2011
102,102,"Sung Kang",63,14,340,4.1,"Total1Putts25",2011
102,102,"Bio Kim",71,14,429,3.3,"Total1Putts25",2011
102,102,"Shaun Micheel",77,14,447,3.1,"Total1Putts25",2011
102,102,"Sean OHair",71,14,400,3.5,"Total1Putts25",2011
102,102,"Martin Piller",63,14,349,4,"Total1Putts25",2011
102,102,"Michael Putnam",67,14,364,3.8,"Total1Putts25",2011
102,102,"Justin Rose",79,14,430,3.3,"Total1Putts25",2011
102,102,"Camilo Villegas",69,14,402,3.5,"Total1Putts25",2011
102,102,"Boo Weekley",66,14,337,4.2,"Total1Putts25",2011
102,102,"YE Yang",63,14,309,4.5,"Total1Putts25",2011
117,117,"Ben Crane",76,13,438,3,"Total1Putts25",2011
117,117,"Jim Furyk",87,13,464,2.8,"Total1Putts25",2011
117,117,"Sergio Garcia",61,13,310,4.2,"Total1Putts25",2011
117,117,"Bobby Gates",82,13,430,3,"Total1Putts25",2011
117,117,"Nathan Green",81,13,522,2.5,"Total1Putts25",2011
117,117,"JP Hayes",56,13,344,3.8,"Total1Putts25",2011
117,117,"Richard Johnson",64,13,353,3.7,"Total1Putts25",2011
117,117,"Justin Leonard",82,13,513,2.5,"Total1Putts25",2011
117,117,"David Mathis",83,13,511,2.5,"Total1Putts25",2011
117,117,"John Merrick",71,13,400,3.3,"Total1Putts25",2011
117,117,"Troy Merritt",63,13,378,3.4,"Total1Putts25",2011
117,117,"Bryce Molder",82,13,549,2.4,"Total1Putts25",2011
117,117,"Andres Romero",77,13,530,2.5,"Total1Putts25",2011
117,117,"Will Strickler",51,13,307,4.2,"Total1Putts25",2011
117,117,"Nick Watney",80,13,470,2.8,"Total1Putts25",2011
132,132,"Briny Baird",60,12,317,3.8,"Total1Putts25",2011
132,132,"Jonathan Byrd",83,12,519,2.3,"Total1Putts25",2011
132,132,"Jason Dufner",78,12,450,2.7,"Total1Putts25",2011
132,132,"Jim Herman",69,12,353,3.4,"Total1Putts25",2011
132,132,"Lee Janzen",62,12,354,3.4,"Total1Putts25",2011
132,132,"Robert Karlsson",61,12,340,3.5,"Total1Putts25",2011
132,132,"Anthony Kim",72,12,426,2.8,"Total1Putts25",2011
132,132,"Kevin Kisner",70,12,404,3,"Total1Putts25",2011
132,132,"Martin Laird",77,12,453,2.6,"Total1Putts25",2011
132,132,"Jarrod Lyle",83,12,510,2.4,"Total1Putts25",2011
