"LongestPutts_RANKTHISWEEK_2013","LongestPutts_RANKLASTWEEK_2013","LongestPutts_PLAYERNAME_2013","LongestPutts_ROUNDS_2013","LongestPutts_DISTANCE_2013","LongestPutts_YEARTOURN_2013","LongestPutts_ROUND_2013","LongestPutts_HOLE_2013","stat_name","year"
1,1,"Marc Leishman",77,NA,NA,3,15,"LongestPutts",2013
2,2,"Webb Simpson",92,NA,NA,4,13,"LongestPutts",2013
3,3,"Nick OHern",34,NA,NA,2,10,"LongestPutts",2013
4,4,"Brad Fritsch",81,NA,NA,2,6,"LongestPutts",2013
5,5,"Ted Potter Jr",65,NA,NA,2,5,"LongestPutts",2013
6,6,"Nicholas Thompson",99,NA,NA,1,7,"LongestPutts",2013
7,7,"Dicky Pride",71,NA,NA,2,18,"LongestPutts",2013
8,8,"Graeme McDowell",53,NA,NA,4,14,"LongestPutts",2013
9,9,"Brandt Jobe",62,NA,NA,4,17,"LongestPutts",2013
10,10,"Bubba Watson",76,NA,NA,1,3,"LongestPutts",2013
11,11,"Jeff Maggert",63,NA,NA,3,6,"LongestPutts",2013
11,12,"Ken Duke",87,NA,NA,2,10,"LongestPutts",2013
13,13,"Ben Curtis",59,NA,NA,4,1,"LongestPutts",2013
14,14,"Ricky Barnes",74,NA,NA,2,13,"LongestPutts",2013
15,15,"Brian Stuard",78,NA,NA,2,15,"LongestPutts",2013
16,16,"Daniel Summerhays",83,NA,NA,1,8,"LongestPutts",2013
17,17,"Nick Watney",88,NA,NA,1,18,"LongestPutts",2013
18,18,"Derek Ernst",58,NA,NA,1,17,"LongestPutts",2013
19,19,"Kevin Shields",2,NA,NA,1,10,"LongestPutts",2013
20,20,"Aaron Baddeley",68,NA,NA,3,3,"LongestPutts",2013
21,21,"Chez Reavie",72,NA,NA,2,6,"LongestPutts",2013
22,22,"Russell Henley",80,NA,NA,4,11,"LongestPutts",2013
23,23,"Jason Kokrak",78,NA,NA,4,11,"LongestPutts",2013
24,24,"Thorbjorn Olesen",31,NA,NA,2,6,"LongestPutts",2013
26,26,"Nicolas Colsaerts",50,NA,NA,1,17,"LongestPutts",2013
27,27,"Robert Karlsson",56,NA,NA,2,14,"LongestPutts",2013
28,28,"Jason Day",86,NA,NA,1,1,"LongestPutts",2013
29,29,"Charley Hoffman",84,NA,NA,2,6,"LongestPutts",2013
30,31,"Ben Crane",62,NA,NA,4,3,"LongestPutts",2013
30,30,"Boo Weekley",100,NA,NA,2,8,"LongestPutts",2013
32,32,"Michael Bradley",56,NA,NA,4,8,"LongestPutts",2013
33,33,"Cameron Tringale",80,NA,NA,1,14,"LongestPutts",2013
34,34,"Brian Harman",89,NA,NA,2,11,"LongestPutts",2013
35,35,"David Toms",49,NA,NA,1,5,"LongestPutts",2013
37,37,"Martin Laird",68,NA,NA,2,16,"LongestPutts",2013
38,38,"Roberto Castro",97,NA,NA,2,9,"LongestPutts",2013
39,39,"Brandt Snedeker",79,NA,NA,2,11,"LongestPutts",2013
40,41,"Zach Johnson",84,NA,NA,3,2,"LongestPutts",2013
40,40,"George Coetzee",37,NA,NA,4,1,"LongestPutts",2013
42,42,"George McNeill",68,NA,NA,2,15,"LongestPutts",2013
43,43,"Patrick Reed",83,NA,NA,1,2,"LongestPutts",2013
44,44,"Scott Piercy",78,NA,NA,4,16,"LongestPutts",2013
45,45,"Kevin Stadler",83,NA,NA,4,2,"LongestPutts",2013
46,46,"Bo Van Pelt",72,NA,NA,4,18,"LongestPutts",2013
47,47,"William McGirt",75,NA,NA,3,16,"LongestPutts",2013
