"Approach200225yardsRTP_RANKTHISWEEK_2006","Approach200225yardsRTP_RANKLASTWEEK_2006","Approach200225yardsRTP_PLAYERNAME_2006","Approach200225yardsRTP_ROUNDS_2006","Approach200225yardsRTP_AVGRTP_2006","stat_name","year"
1,1,"Tiger Woods",55,-0.191,"Approach200225yardsRTP",2006
2,2,"Padraig Harrington",54,-0.179,"Approach200225yardsRTP",2006
3,3,"Davis Love III",85,-0.157,"Approach200225yardsRTP",2006
4,4,"JJ Henry",96,-0.145,"Approach200225yardsRTP",2006
5,5,"David Howell",52,-0.143,"Approach200225yardsRTP",2006
6,6,"Sergio Garcia",59,-0.139,"Approach200225yardsRTP",2006
7,7,"Phil Mickelson",74,-0.135,"Approach200225yardsRTP",2006
8,8,"Brett Wetterich",82,-0.126,"Approach200225yardsRTP",2006
9,9,"Jose Maria Olazabal",62,-0.109,"Approach200225yardsRTP",2006
10,10,"Jonathan Byrd",66,-0.108,"Approach200225yardsRTP",2006
11,11,"Daniel Chopra",110,-0.094,"Approach200225yardsRTP",2006
11,11,"Jim Furyk",89,-0.094,"Approach200225yardsRTP",2006
13,13,"Jesper Parnevik",84,-0.083,"Approach200225yardsRTP",2006
14,14,"Geoff Ogilvy",76,-0.082,"Approach200225yardsRTP",2006
15,15,"Robert Allenby",79,-0.081,"Approach200225yardsRTP",2006
16,16,"Mathias Gronberg",92,-0.08,"Approach200225yardsRTP",2006
17,17,"Ryan Palmer",101,-0.077,"Approach200225yardsRTP",2006
18,18,"Bubba Watson",83,-0.076,"Approach200225yardsRTP",2006
19,19,"Adam Scott",70,-0.072,"Approach200225yardsRTP",2006
20,20,"Kenny Perry",73,-0.071,"Approach200225yardsRTP",2006
21,21,"Luke Donald",66,-0.07,"Approach200225yardsRTP",2006
22,22,"Bob Estes",85,-0.065,"Approach200225yardsRTP",2006
23,23,"Duffy Waldorf",96,-0.063,"Approach200225yardsRTP",2006
24,24,"Chad Campbell",91,-0.061,"Approach200225yardsRTP",2006
25,25,"Robert Garrigus",85,-0.058,"Approach200225yardsRTP",2006
26,26,"Aaron Baddeley",78,-0.057,"Approach200225yardsRTP",2006
27,27,"Hunter Mahan",98,-0.056,"Approach200225yardsRTP",2006
28,28,"Charles Warren",93,-0.055,"Approach200225yardsRTP",2006
29,29,"Tim Herron",82,-0.053,"Approach200225yardsRTP",2006
30,30,"Stewart Cink",93,-0.052,"Approach200225yardsRTP",2006
31,31,"Tim Clark",80,-0.051,"Approach200225yardsRTP",2006
32,32,"Heath Slocum",96,-0.049,"Approach200225yardsRTP",2006
33,33,"Trevor Immelman",86,-0.048,"Approach200225yardsRTP",2006
33,33,"Sean OHair",100,-0.048,"Approach200225yardsRTP",2006
35,35,"Shigeki Maruyama",94,-0.042,"Approach200225yardsRTP",2006
36,36,"Scott Gutschewski",53,-0.041,"Approach200225yardsRTP",2006
36,36,"Camilo Villegas",95,-0.041,"Approach200225yardsRTP",2006
36,36,"Nick Watney",97,-0.041,"Approach200225yardsRTP",2006
39,39,"Rich Beem",85,-0.029,"Approach200225yardsRTP",2006
40,40,"John Daly",51,-0.028,"Approach200225yardsRTP",2006
41,41,"Michael Allen",84,-0.027,"Approach200225yardsRTP",2006
41,41,"Brett Quigley",109,-0.027,"Approach200225yardsRTP",2006
43,43,"Steve Elkington",52,-0.026,"Approach200225yardsRTP",2006
44,44,"Tom Lehman",70,-0.025,"Approach200225yardsRTP",2006
45,45,"Fred Couples",52,-0.024,"Approach200225yardsRTP",2006
46,46,"Steve Lowery",99,-0.022,"Approach200225yardsRTP",2006
46,46,"Jon Mills",68,-0.022,"Approach200225yardsRTP",2006
46,46,"Rod Pampling",89,-0.022,"Approach200225yardsRTP",2006
49,49,"Charley Hoffman",100,-0.021,"Approach200225yardsRTP",2006
49,49,"Bob May",65,-0.021,"Approach200225yardsRTP",2006
51,51,"Kevin Sutherland",100,-0.02,"Approach200225yardsRTP",2006
52,52,"Steve Flesch",119,-0.018,"Approach200225yardsRTP",2006
53,53,"Briny Baird",81,-0.016,"Approach200225yardsRTP",2006
53,53,"KJ Choi",93,-0.016,"Approach200225yardsRTP",2006
55,55,"Jeff Gove",91,-0.015,"Approach200225yardsRTP",2006
56,56,"Tag Ridings",103,-0.014,"Approach200225yardsRTP",2006
56,56,"Vijay Singh",103,-0.014,"Approach200225yardsRTP",2006
56,56,"Jeff Sluman",101,-0.014,"Approach200225yardsRTP",2006
59,59,"Lucas Glover",105,-0.013,"Approach200225yardsRTP",2006
59,59,"Retief Goosen",68,-0.013,"Approach200225yardsRTP",2006
61,61,"Craig Barlow",77,-0.011,"Approach200225yardsRTP",2006
62,62,"Scott Verplank",88,-0.009,"Approach200225yardsRTP",2006
63,63,"Charles Howell III",96,-0.008,"Approach200225yardsRTP",2006
64,64,"Bill Haas",99,-0.007,"Approach200225yardsRTP",2006
65,65,"Tommy Armour III",65,0,"Approach200225yardsRTP",2006
65,65,"Brian Davis",92,0,"Approach200225yardsRTP",2006
65,65,"Harrison Frazar",95,0,"Approach200225yardsRTP",2006
65,65,"Dudley Hart",83,0,"Approach200225yardsRTP",2006
65,65,"John Huston",74,0,"Approach200225yardsRTP",2006
65,65,"Stephen Leaney",84,0,"Approach200225yardsRTP",2006
65,65,"Thomas Levet",53,0,"Approach200225yardsRTP",2006
65,65,"Frank Lickliter II",99,0,"Approach200225yardsRTP",2006
65,65,"Joe Ogilvie",95,0,"Approach200225yardsRTP",2006
65,65,"Corey Pavin",74,0,"Approach200225yardsRTP",2006
65,65,"Pat Perez",50,0,"Approach200225yardsRTP",2006
65,65,"Rory Sabbatini",84,0,"Approach200225yardsRTP",2006
65,65,"John Senden",96,0,"Approach200225yardsRTP",2006
65,65,"David Toms",76,0,"Approach200225yardsRTP",2006
79,79,"Bart Bryant",87,0.008,"Approach200225yardsRTP",2006
79,79,"Mark Wilson",79,0.008,"Approach200225yardsRTP",2006
81,81,"Kris Cox",83,0.009,"Approach200225yardsRTP",2006
82,82,"Ernie Els",69,0.012,"Approach200225yardsRTP",2006
83,83,"Jason Bohn",104,0.013,"Approach200225yardsRTP",2006
84,84,"Bubba Dickerson",98,0.014,"Approach200225yardsRTP",2006
84,84,"Richard Johnson",94,0.014,"Approach200225yardsRTP",2006
84,84,"Ted Purdy",103,0.014,"Approach200225yardsRTP",2006
87,87,"Stephen Ames",63,0.015,"Approach200225yardsRTP",2006
87,87,"Justin Rose",98,0.015,"Approach200225yardsRTP",2006
89,89,"Brian Gay",107,0.016,"Approach200225yardsRTP",2006
89,89,"Daisuke Maruyama",83,0.016,"Approach200225yardsRTP",2006
91,91,"John Rollins",93,0.017,"Approach200225yardsRTP",2006
91,91,"DJ Trahan",92,0.017,"Approach200225yardsRTP",2006
93,93,"JB Holmes",81,0.019,"Approach200225yardsRTP",2006
94,94,"Brent Geiberger",99,0.021,"Approach200225yardsRTP",2006
94,94,"Bob Tway",81,0.021,"Approach200225yardsRTP",2006
96,96,"Jimmy Walker",60,0.022,"Approach200225yardsRTP",2006
97,97,"Paul Azinger",87,0.023,"Approach200225yardsRTP",2006
97,97,"Brian Bateman",69,0.023,"Approach200225yardsRTP",2006
97,97,"Shaun Micheel",96,0.023,"Approach200225yardsRTP",2006
100,100,"Lee Janzen",79,0.025,"Approach200225yardsRTP",2006
100,100,"Kirk Triplett",58,0.025,"Approach200225yardsRTP",2006
102,102,"Skip Kendall",72,0.028,"Approach200225yardsRTP",2006
103,103,"Arjun Atwal",97,0.03,"Approach200225yardsRTP",2006
103,103,"Bernhard Langer",77,0.03,"Approach200225yardsRTP",2006
105,105,"Jeff Overton",95,0.031,"Approach200225yardsRTP",2006
106,106,"DA Points",82,0.033,"Approach200225yardsRTP",2006
106,106,"Patrick Sheehan",104,0.033,"Approach200225yardsRTP",2006
106,106,"Steve Stricker",64,0.033,"Approach200225yardsRTP",2006
109,109,"Joey Sindelar",90,0.034,"Approach200225yardsRTP",2006
110,110,"Troy Matteson",101,0.035,"Approach200225yardsRTP",2006
111,111,"Stuart Appleby",83,0.037,"Approach200225yardsRTP",2006
111,111,"Greg Chalmers",71,0.037,"Approach200225yardsRTP",2006
113,113,"Alex Aragon",63,0.038,"Approach200225yardsRTP",2006
113,113,"David Duval",71,0.038,"Approach200225yardsRTP",2006
115,115,"Nicholas Thompson",96,0.039,"Approach200225yardsRTP",2006
116,116,"David McKenzie",82,0.043,"Approach200225yardsRTP",2006
116,116,"Ron Whittaker",81,0.043,"Approach200225yardsRTP",2006
118,118,"Michael Connell",51,0.044,"Approach200225yardsRTP",2006
119,119,"Arron Oberholser",82,0.045,"Approach200225yardsRTP",2006
119,119,"Carl Pettersson",95,0.045,"Approach200225yardsRTP",2006
121,121,"Chris Couch",75,0.046,"Approach200225yardsRTP",2006
122,122,"Tom Pernice Jr",108,0.05,"Approach200225yardsRTP",2006
123,123,"Eric Axley",91,0.051,"Approach200225yardsRTP",2006
123,123,"Ben Crane",85,0.051,"Approach200225yardsRTP",2006
125,125,"Omar Uresti",61,0.053,"Approach200225yardsRTP",2006
126,126,"Woody Austin",107,0.054,"Approach200225yardsRTP",2006
126,126,"Ryan Moore",68,0.054,"Approach200225yardsRTP",2006
128,128,"John Engler Jr",69,0.057,"Approach200225yardsRTP",2006
128,128,"Todd Hamilton",72,0.057,"Approach200225yardsRTP",2006
128,128,"Mike Weir",88,0.057,"Approach200225yardsRTP",2006
131,131,"Robert Gamez",94,0.058,"Approach200225yardsRTP",2006
131,131,"Kent Jones",103,0.058,"Approach200225yardsRTP",2006
131,131,"Jerry Smith",94,0.058,"Approach200225yardsRTP",2006
134,134,"Dean Wilson",115,0.059,"Approach200225yardsRTP",2006
135,135,"Henrik Bjornstad",97,0.063,"Approach200225yardsRTP",2006
135,135,"Danny Ellis",68,0.063,"Approach200225yardsRTP",2006
137,137,"Zach Johnson",98,0.065,"Approach200225yardsRTP",2006
138,138,"Jeff Maggert",81,0.066,"Approach200225yardsRTP",2006
139,139,"Joe Durant",101,0.067,"Approach200225yardsRTP",2006
139,139,"Peter Lonard",77,0.067,"Approach200225yardsRTP",2006
141,141,"Jeff Brehaut",100,0.068,"Approach200225yardsRTP",2006
142,142,"Len Mattiace",59,0.069,"Approach200225yardsRTP",2006
142,142,"Bo Van Pelt",102,0.069,"Approach200225yardsRTP",2006
144,144,"James Driscoll",80,0.07,"Approach200225yardsRTP",2006
144,144,"Billy Mayfair",94,0.07,"Approach200225yardsRTP",2006
146,146,"JP Hayes",55,0.075,"Approach200225yardsRTP",2006
146,146,"Jason Schultz",77,0.075,"Approach200225yardsRTP",2006
146,146,"Paul Stankowski",70,0.075,"Approach200225yardsRTP",2006
149,149,"JL Lewis",57,0.078,"Approach200225yardsRTP",2006
150,150,"Carlos Franco",86,0.08,"Approach200225yardsRTP",2006
151,151,"Freddie Jacobson",56,0.082,"Approach200225yardsRTP",2006
151,151,"Brandt Jobe",91,0.082,"Approach200225yardsRTP",2006
151,151,"Jerry Kelly",100,0.082,"Approach200225yardsRTP",2006
154,154,"Paul Goydos",72,0.083,"Approach200225yardsRTP",2006
154,154,"Greg Owen",79,0.083,"Approach200225yardsRTP",2006
154,154,"Tim Petrovic",95,0.083,"Approach200225yardsRTP",2006
157,157,"Will Ma Kenzie",91,0.087,"Approach200225yardsRTP",2006
158,158,"Ben Curtis",86,0.088,"Approach200225yardsRTP",2006
158,158,"Fred Funk",106,0.088,"Approach200225yardsRTP",2006
160,160,"Marco Dawson",87,0.09,"Approach200225yardsRTP",2006
