"ConsecutiveSandSaves_RANKTHISWEEK_2009","ConsecutiveSandSaves_RANKLASTWEEK_2009","ConsecutiveSandSaves_PLAYERNAME_2009","ConsecutiveSandSaves_EVENTS_2009","ConsecutiveSandSaves_STREAK_2009","ConsecutiveSandSaves_CURRENTSTREAK_2009","ConsecutiveSandSaves_ROUND_2009","ConsecutiveSandSaves_HOLE_2009","ConsecutiveSandSaves_YEARTOURN_2009","stat_name","year"
1,1,"Jim Furyk",23,15,NA,3,15,2009070,"ConsecutiveSandSaves",2009
2,2,"Steve Marino",29,13,1,3,11,2009220,"ConsecutiveSandSaves",2009
2,2,"Kevin Na",26,13,NA,3,5,2009230,"ConsecutiveSandSaves",2009
4,4,"Bo Van Pelt",30,12,2,3,15,2009370,"ConsecutiveSandSaves",2009
5,5,"Ken Duke",29,11,2,3,7,2009160,"ConsecutiveSandSaves",2009
5,5,"Hunter Mahan",25,11,NA,4,5,2009140,"ConsecutiveSandSaves",2009
5,5,"Tim Wilkinson",14,11,1,4,18,2009150,"ConsecutiveSandSaves",2009
5,5,"Mark Wilson",28,11,NA,4,12,2009380,"ConsecutiveSandSaves",2009
9,9,"Robin Freeman",5,10,NA,1,18,2009210,"ConsecutiveSandSaves",2009
9,9,"Justin Leonard",26,10,NA,2,4,2009040,"ConsecutiveSandSaves",2009
9,9,"Tom Pernice Jr",26,10,NA,1,18,2009220,"ConsecutiveSandSaves",2009
9,9,"Jimmy Walker",24,10,4,1,5,2009290,"ConsecutiveSandSaves",2009
13,13,"Brad Adamonis",25,9,NA,4,2,2009130,"ConsecutiveSandSaves",2009
13,13,"Cameron Beckman",26,9,3,1,17,2009030,"ConsecutiveSandSaves",2009
13,13,"Mark Calcavecchia",23,9,NA,4,1,2009330,"ConsecutiveSandSaves",2009
13,13,"Luke Donald",21,9,3,4,16,2009040,"ConsecutiveSandSaves",2009
13,13,"Ross Fisher",10,9,NA,2,14,2009200,"ConsecutiveSandSaves",2009
13,13,"Bill Haas",29,9,2,3,3,2009400,"ConsecutiveSandSaves",2009
13,13,"Freddie Jacobson",25,9,NA,1,11,2009480,"ConsecutiveSandSaves",2009
13,13,"Dustin Johnson",25,9,NA,4,12,2009010,"ConsecutiveSandSaves",2009
13,13,"Anthony Kim",22,9,2,1,13,2009390,"ConsecutiveSandSaves",2009
13,13,"Matt Kuchar",24,9,1,2,6,2009230,"ConsecutiveSandSaves",2009
13,13,"John Mallinger",27,9,NA,2,3,2009180,"ConsecutiveSandSaves",2009
13,13,"David Mathis",27,9,1,2,15,2009220,"ConsecutiveSandSaves",2009
13,13,"George McNeill",26,9,3,1,18,2009190,"ConsecutiveSandSaves",2009
13,13,"Bryce Molder",21,9,NA,1,12,2009400,"ConsecutiveSandSaves",2009
13,13,"Joe Ogilvie",29,9,5,1,10,2009020,"ConsecutiveSandSaves",2009
13,13,"Chris Riley",22,9,NA,4,9,2009440,"ConsecutiveSandSaves",2009
13,13,"Justin Rose",22,9,3,3,5,2009150,"ConsecutiveSandSaves",2009
13,13,"Darron Stiles",20,9,NA,1,18,2009320,"ConsecutiveSandSaves",2009
13,13,"Peter Tomasulo",25,9,NA,1,2,2009300,"ConsecutiveSandSaves",2009
13,13,"Tiger Woods",17,9,4,1,12,2009400,"ConsecutiveSandSaves",2009
33,33,"Alex Cejka",25,8,1,4,11,2009200,"ConsecutiveSandSaves",2009
33,33,"Greg Chalmers",26,8,NA,2,2,2009060,"ConsecutiveSandSaves",2009
33,33,"Tim Clark",23,8,2,2,14,2009020,"ConsecutiveSandSaves",2009
33,33,"Chris DiMarco",29,8,4,1,17,2009210,"ConsecutiveSandSaves",2009
33,33,"Brian Gay",27,8,3,3,3,2009230,"ConsecutiveSandSaves",2009
33,33,"Nathan Green",30,8,1,1,18,2009250,"ConsecutiveSandSaves",2009
33,33,"Scott Gutschewski",19,8,NA,1,17,2009260,"ConsecutiveSandSaves",2009
33,33,"Padraig Harrington",20,8,NA,4,16,2009380,"ConsecutiveSandSaves",2009
33,33,"Bob Heintz",20,8,NA,1,3,2009330,"ConsecutiveSandSaves",2009
33,33,"Tim Herron",27,8,NA,1,3,2009100,"ConsecutiveSandSaves",2009
33,33,"Ryuji Imada",25,8,NA,3,18,2009020,"ConsecutiveSandSaves",2009
33,33,"Shingo Katayama",6,8,NA,4,16,2009120,"ConsecutiveSandSaves",2009
33,33,"Frank Lickliter II",14,8,NA,1,12,2009290,"ConsecutiveSandSaves",2009
33,33,"Davis Love III",27,8,NA,4,7,2009150,"ConsecutiveSandSaves",2009
33,33,"Geoff Ogilvy",20,8,NA,1,8,2009230,"ConsecutiveSandSaves",2009
33,33,"Louis Oosthuizen",6,8,NA,3,18,2009120,"ConsecutiveSandSaves",2009
33,33,"Kenny Perry",24,8,NA,1,10,2009120,"ConsecutiveSandSaves",2009
33,33,"Webb Simpson",30,8,1,4,13,2009040,"ConsecutiveSandSaves",2009
33,33,"Vijay Singh",21,8,NA,2,1,2009220,"ConsecutiveSandSaves",2009
33,33,"Jeev Milkha Singh",15,8,NA,4,12,2009070,"ConsecutiveSandSaves",2009
33,33,"Vaughn Taylor",28,8,NA,1,3,2009250,"ConsecutiveSandSaves",2009
33,33,"Nicholas Thompson",31,8,5,2,2,2009170,"ConsecutiveSandSaves",2009
33,33,"David Toms",27,8,1,2,7,2009360,"ConsecutiveSandSaves",2009
33,33,"Mike Weir",24,8,2,4,8,2009380,"ConsecutiveSandSaves",2009
