"Total3PuttsInside5_RANKTHISWEEK_2011","Total3PuttsInside5_RANKLASTWEEK_2011","Total3PuttsInside5_PLAYERNAME_2011","Total3PuttsInside5_ROUNDS_2011","Total3PuttsInside5_TOTAL3PUTTSINSIDE5_2011","Total3PuttsInside5_TOTAL3PUTTS_2011","stat_name","year"
1,1,"Charley Hoffman",93,3,41,"Total3PuttsInside5",2011
2,2,"Steven Bowditch",86,2,48,"Total3PuttsInside5",2011
2,2,"Tom Gillis",55,2,43,"Total3PuttsInside5",2011
2,2,"Dustin Johnson",72,2,40,"Total3PuttsInside5",2011
2,2,"Nick OHern",89,2,40,"Total3PuttsInside5",2011
2,2,"Tag Ridings",87,2,32,"Total3PuttsInside5",2011
2,2,"Heath Slocum",89,2,33,"Total3PuttsInside5",2011
2,2,"Kyle Stanley",98,2,56,"Total3PuttsInside5",2011
2,2,"Michael Thompson",79,2,39,"Total3PuttsInside5",2011
2,2,"Cameron Tringale",110,2,52,"Total3PuttsInside5",2011
11,11,"Stephen Ames",69,1,36,"Total3PuttsInside5",2011
11,11,"Arjun Atwal",91,1,45,"Total3PuttsInside5",2011
11,11,"Woody Austin",59,1,30,"Total3PuttsInside5",2011
11,11,"Aaron Baddeley",77,1,27,"Total3PuttsInside5",2011
11,11,"Keegan Bradley",91,1,43,"Total3PuttsInside5",2011
11,11,"Kevin Chappell",78,1,38,"Total3PuttsInside5",2011
11,11,"Michael Connell",76,1,40,"Total3PuttsInside5",2011
11,11,"Brendon de Jonge",105,1,34,"Total3PuttsInside5",2011
11,11,"Chris DiMarco",93,1,42,"Total3PuttsInside5",2011
11,11,"James Driscoll",71,1,36,"Total3PuttsInside5",2011
11,11,"David Duval",67,1,38,"Total3PuttsInside5",2011
11,11,"Ernie Els",71,1,37,"Total3PuttsInside5",2011
11,11,"Brian Gay",90,1,30,"Total3PuttsInside5",2011
11,11,"Lucas Glover",74,1,31,"Total3PuttsInside5",2011
11,11,"Fabian Gomez",84,1,43,"Total3PuttsInside5",2011
11,11,"Paul Goydos",81,1,44,"Total3PuttsInside5",2011
11,11,"Justin Hicks",60,1,50,"Total3PuttsInside5",2011
11,11,"Freddie Jacobson",92,1,22,"Total3PuttsInside5",2011
11,11,"Robert Karlsson",61,1,19,"Total3PuttsInside5",2011
11,11,"Jerry Kelly",85,1,31,"Total3PuttsInside5",2011
11,11,"Anthony Kim",72,1,32,"Total3PuttsInside5",2011
11,11,"Bio Kim",71,1,37,"Total3PuttsInside5",2011
11,11,"Davis Love III",70,1,18,"Total3PuttsInside5",2011
11,11,"Hunter Mahan",92,1,49,"Total3PuttsInside5",2011
11,11,"Ben Martin",74,1,33,"Total3PuttsInside5",2011
11,11,"William McGirt",103,1,47,"Total3PuttsInside5",2011
11,11,"George McNeill",69,1,21,"Total3PuttsInside5",2011
11,11,"Ryan Moore",79,1,23,"Total3PuttsInside5",2011
11,11,"Sean OHair",71,1,34,"Total3PuttsInside5",2011
11,11,"Joe Ogilvie",75,1,29,"Total3PuttsInside5",2011
11,11,"Geoff Ogilvy",69,1,28,"Total3PuttsInside5",2011
11,11,"Carl Pettersson",95,1,34,"Total3PuttsInside5",2011
11,11,"Aron Price",58,1,27,"Total3PuttsInside5",2011
11,11,"Alex Prugh",82,1,42,"Total3PuttsInside5",2011
11,11,"Chez Reavie",92,1,54,"Total3PuttsInside5",2011
11,11,"John Rollins",85,1,45,"Total3PuttsInside5",2011
11,11,"Andres Romero",77,1,36,"Total3PuttsInside5",2011
11,11,"Rory Sabbatini",85,1,29,"Total3PuttsInside5",2011
11,11,"John Senden",94,1,40,"Total3PuttsInside5",2011
11,11,"Webb Simpson",98,1,33,"Total3PuttsInside5",2011
11,11,"Paul Stankowski",78,1,35,"Total3PuttsInside5",2011
11,11,"DJ Trahan",91,1,67,"Total3PuttsInside5",2011
11,11,"Camilo Villegas",69,1,34,"Total3PuttsInside5",2011
11,11,"Johnson Wagner",81,1,38,"Total3PuttsInside5",2011
11,11,"Jimmy Walker",79,1,41,"Total3PuttsInside5",2011
11,11,"Boo Weekley",66,1,61,"Total3PuttsInside5",2011
11,11,"Garrett Willis",71,1,38,"Total3PuttsInside5",2011
