"LeftRoughTendency_RANKTHISWEEK_2015","LeftRoughTendency_RANKLASTWEEK_2015","LeftRoughTendency_PLAYERNAME_2015","LeftRoughTendency_ROUNDS_2015","LeftRoughTendency_Pct_2015","LeftRoughTendency_TOTALLEFTROUGH_2015","LeftRoughTendency_POSSIBLEFWYS_2015","LeftRoughTendency_RELATIVETOPAR_2015","stat_name","year"
1,1,"David Toms",62,5.62,43,765,0.16,"LeftRoughTendency",2015
2,2,"Bryce Molder",91,8.6,92,1070,0.09,"LeftRoughTendency",2015
3,3,"Chez Reavie",56,8.66,60,693,0.02,"LeftRoughTendency",2015
4,4,"Troy Merritt",91,8.83,100,1132,0.11,"LeftRoughTendency",2015
5,5,"Jason Bohn",95,8.84,107,1211,0.1,"LeftRoughTendency",2015
6,6,"Colt Knost",90,8.92,92,1031,0.24,"LeftRoughTendency",2015
7,7,"Scott Piercy",90,9.23,106,1148,0.01,"LeftRoughTendency",2015
8,8,"Francesco Molinari",56,9.41,56,595,0.16,"LeftRoughTendency",2015
9,9,"Nicholas Thompson",90,9.47,92,971,0.12,"LeftRoughTendency",2015
10,10,"Ken Duke",93,9.54,103,1080,0.13,"LeftRoughTendency",2015
11,11,"Cameron Tringale",96,9.6,105,1094,0.06,"LeftRoughTendency",2015
12,12,"Bill Lunde",50,9.82,49,499,0.39,"LeftRoughTendency",2015
13,13,"Zac Blair",108,10.12,124,1225,0.12,"LeftRoughTendency",2015
14,14,"Steven Alker",62,10.2,71,696,0.3,"LeftRoughTendency",2015
15,15,"Gonzalo Fdez Castano",81,10.23,89,870,0.02,"LeftRoughTendency",2015
16,16,"George McNeill",93,10.38,128,1233,0.02,"LeftRoughTendency",2015
17,17,"Will Wilcox",58,10.39,59,568,-0.02,"LeftRoughTendency",2015
18,18,"Scott Pinckney",88,10.52,108,1027,0.11,"LeftRoughTendency",2015
19,19,"Mark Wilson",89,10.6,119,1123,0.22,"LeftRoughTendency",2015
20,20,"John Peterson",84,10.66,114,1069,0.11,"LeftRoughTendency",2015
21,21,"John Huh",102,10.67,132,1237,0.19,"LeftRoughTendency",2015
22,22,"Pat Perez",96,10.8,124,1148,0,"LeftRoughTendency",2015
23,23,"Justin Rose",69,11.06,75,678,-0.01,"LeftRoughTendency",2015
24,24,"Heath Slocum",57,11.07,60,542,0.23,"LeftRoughTendency",2015
25,25,"John Merrick",78,11.14,90,808,0.14,"LeftRoughTendency",2015
26,26,"Jerry Kelly",79,11.2,103,920,0.02,"LeftRoughTendency",2015
27,27,"Brian Stuard",97,11.21,123,1097,0.1,"LeftRoughTendency",2015
28,28,"Roger Sloan",56,11.29,62,549,0.18,"LeftRoughTendency",2015
29,29,"Daniel Berger",97,11.32,130,1148,-0.08,"LeftRoughTendency",2015
30,30,"Scott Langley",94,11.38,125,1098,0.08,"LeftRoughTendency",2015
30,30,"Sam Saunders",83,11.38,99,870,-0.01,"LeftRoughTendency",2015
32,32,"KJ Choi",66,11.39,90,790,0.08,"LeftRoughTendency",2015
33,33,"Russell Knox",96,11.41,138,1209,0.12,"LeftRoughTendency",2015
34,34,"Kevin Streelman",95,11.42,116,1016,-0.01,"LeftRoughTendency",2015
35,35,"Brendon Todd",96,11.5,122,1061,0.07,"LeftRoughTendency",2015
36,36,"Ryan Moore",81,11.53,98,850,0.14,"LeftRoughTendency",2015
37,37,"Jonathan Byrd",69,11.6,82,707,0.09,"LeftRoughTendency",2015
38,38,"Mark Hubbard",79,11.65,99,850,0.24,"LeftRoughTendency",2015
39,39,"Charles Howell III",105,11.74,160,1363,-0.07,"LeftRoughTendency",2015
40,40,"Roberto Castro",54,11.78,59,501,0.15,"LeftRoughTendency",2015
41,41,"Brice Garnett",81,11.82,105,888,0.14,"LeftRoughTendency",2015
42,42,"Aaron Baddeley",76,11.84,107,904,-0.03,"LeftRoughTendency",2015
42,42,"Martin Laird",77,11.84,119,1005,-0.07,"LeftRoughTendency",2015
44,44,"Jim Herman",88,11.86,127,1071,0.14,"LeftRoughTendency",2015
45,45,"Chad Collins",79,11.89,104,875,0.21,"LeftRoughTendency",2015
46,46,"Rickie Fowler",76,11.91,94,789,-0.04,"LeftRoughTendency",2015
46,46,"SJ Park",79,11.91,104,873,0.03,"LeftRoughTendency",2015
48,48,"Brian Harman",90,11.93,130,1090,0.12,"LeftRoughTendency",2015
48,48,"Ian Poulter",68,11.93,79,662,0.05,"LeftRoughTendency",2015
50,50,"Chris Stroud",84,12,113,942,0.12,"LeftRoughTendency",2015
51,51,"Hideki Matsuyama",95,12.04,118,980,0.03,"LeftRoughTendency",2015
52,52,"David Hearn",97,12.05,142,1178,0.05,"LeftRoughTendency",2015
53,53,"Gary Woodland",81,12.18,91,747,-0.01,"LeftRoughTendency",2015
54,54,"Kyle Reifers",96,12.24,136,1111,0.01,"LeftRoughTendency",2015
55,55,"Spencer Levin",99,12.29,142,1155,0.13,"LeftRoughTendency",2015
56,56,"Brian Davis",86,12.3,121,984,0.16,"LeftRoughTendency",2015
56,56,"Charley Hoffman",97,12.3,130,1057,0.04,"LeftRoughTendency",2015
58,58,"Jason Gore",76,12.35,100,810,0.12,"LeftRoughTendency",2015
59,59,"James Hahn",94,12.38,134,1082,-0.03,"LeftRoughTendency",2015
60,60,"Jim Furyk",71,12.48,90,721,0.01,"LeftRoughTendency",2015
60,60,"Steve Wheatcroft",87,12.48,125,1002,0.11,"LeftRoughTendency",2015
62,62,"Webb Simpson",81,12.49,111,889,0.13,"LeftRoughTendency",2015
63,63,"Jordan Spieth",91,12.57,114,907,0.06,"LeftRoughTendency",2015
64,64,"Zach Johnson",90,12.59,123,977,0.09,"LeftRoughTendency",2015
65,65,"Tom Hoge",83,12.61,114,904,-0.03,"LeftRoughTendency",2015
66,66,"Jamie Donaldson",50,12.64,56,443,0.05,"LeftRoughTendency",2015
67,67,"Oscar Fraustro",58,12.66,70,553,0.13,"LeftRoughTendency",2015
68,68,"Boo Weekley",79,12.67,118,931,0.08,"LeftRoughTendency",2015
69,69,"Michael Putnam",87,12.71,119,936,0.13,"LeftRoughTendency",2015
70,70,"Scott Stallings",60,12.72,86,676,0.09,"LeftRoughTendency",2015
71,71,"Derek Ernst",75,12.73,111,872,0.02,"LeftRoughTendency",2015
72,72,"Keegan Bradley",87,12.75,113,886,0.06,"LeftRoughTendency",2015
73,73,"Adam Hadwin",95,12.78,143,1119,0.06,"LeftRoughTendency",2015
74,74,"Scott Brown",97,12.82,144,1123,0.17,"LeftRoughTendency",2015
75,75,"Chris Kirk",76,12.92,101,782,0.1,"LeftRoughTendency",2015
76,76,"Whee Kim",71,12.94,100,773,0.06,"LeftRoughTendency",2015
77,77,"Greg Owen",58,12.95,72,556,0.04,"LeftRoughTendency",2015
78,78,"John Senden",80,13.03,93,714,0.18,"LeftRoughTendency",2015
79,79,"Jason Dufner",76,13.06,87,666,0.02,"LeftRoughTendency",2015
80,80,"Ben Martin",93,13.12,141,1075,0.18,"LeftRoughTendency",2015
81,81,"Bill Haas",89,13.18,130,986,0.08,"LeftRoughTendency",2015
82,82,"Kevin Kisner",104,13.19,172,1304,0.13,"LeftRoughTendency",2015
83,83,"Charlie Beljan",76,13.2,104,788,0.17,"LeftRoughTendency",2015
84,84,"Fabian Gomez",83,13.22,127,961,0.24,"LeftRoughTendency",2015
85,85,"Byron Smith",59,13.23,79,597,0.08,"LeftRoughTendency",2015
86,86,"William McGirt",103,13.24,179,1352,0.07,"LeftRoughTendency",2015
87,87,"Brendan Steele",88,13.25,139,1049,0.06,"LeftRoughTendency",2015
88,88,"Alex Prugh",84,13.28,132,994,0.08,"LeftRoughTendency",2015
89,89,"Brendon de Jonge",106,13.29,170,1279,0.02,"LeftRoughTendency",2015
90,90,"Justin Leonard",61,13.32,100,751,0.2,"LeftRoughTendency",2015
91,91,"Robert Streb",110,13.35,179,1341,0.07,"LeftRoughTendency",2015
91,91,"Nick Watney",91,13.35,150,1124,0.03,"LeftRoughTendency",2015
93,93,"Greg Chalmers",58,13.39,66,493,0.12,"LeftRoughTendency",2015
94,94,"Kevin Chappell",86,13.45,140,1041,0.06,"LeftRoughTendency",2015
95,95,"Hudson Swafford",97,13.47,155,1151,0.08,"LeftRoughTendency",2015
96,96,"Sergio Garcia",59,13.54,67,495,0.13,"LeftRoughTendency",2015
97,97,"David Lingmerth",90,13.59,140,1030,0.11,"LeftRoughTendency",2015
98,98,"Lee Westwood",56,13.64,60,440,0.13,"LeftRoughTendency",2015
99,99,"Jon Curran",83,13.65,123,901,0.2,"LeftRoughTendency",2015
100,100,"Patrick Rodgers",57,13.72,87,634,0.15,"LeftRoughTendency",2015
101,101,"Danny Lee",120,13.79,191,1385,0.01,"LeftRoughTendency",2015
102,102,"Shawn Stefani",94,13.93,169,1213,0.01,"LeftRoughTendency",2015
103,103,"Ryo Ishikawa",90,13.97,144,1031,0.02,"LeftRoughTendency",2015
104,104,"Graham DeLaet",65,14.08,105,746,0.12,"LeftRoughTendency",2015
105,105,"Ben Crane",62,14.15,102,721,0.05,"LeftRoughTendency",2015
106,106,"Jonas Blixt",78,14.19,101,712,0.16,"LeftRoughTendency",2015
107,107,"Johnson Wagner",68,14.25,113,793,0.18,"LeftRoughTendency",2015
108,108,"Lucas Glover",79,14.3,143,1000,0.12,"LeftRoughTendency",2015
109,109,"Sangmoon Bae",98,14.32,176,1229,0.04,"LeftRoughTendency",2015
109,109,"Chad Campbell",97,14.32,181,1264,0.09,"LeftRoughTendency",2015
109,109,"Matt Jones",89,14.32,133,929,0.02,"LeftRoughTendency",2015
109,109,"Sean OHair",86,14.32,160,1117,0.09,"LeftRoughTendency",2015
113,113,"Justin Thomas",106,14.33,189,1319,-0.03,"LeftRoughTendency",2015
114,114,"Tyrone Van Aswegen",58,14.36,83,578,0.07,"LeftRoughTendency",2015
115,115,"Cameron Percy",72,14.5,116,800,0.1,"LeftRoughTendency",2015
116,116,"Daniel Summerhays",101,14.56,180,1236,0.04,"LeftRoughTendency",2015
117,117,"Harris English",105,14.69,177,1205,0.01,"LeftRoughTendency",2015
118,118,"Erik Compton",86,14.75,142,963,0.08,"LeftRoughTendency",2015
119,119,"Billy Horschel",99,14.86,151,1016,0.03,"LeftRoughTendency",2015
120,120,"Morgan Hoffmann",85,14.97,143,955,0.03,"LeftRoughTendency",2015
121,121,"Tony Finau",106,14.98,190,1268,0,"LeftRoughTendency",2015
122,122,"Jeff Overton",94,15.02,155,1032,0.04,"LeftRoughTendency",2015
123,123,"Max Homa",78,15.03,129,858,0.06,"LeftRoughTendency",2015
124,124,"Retief Goosen",81,15.04,123,818,0.02,"LeftRoughTendency",2015
125,125,"Henrik Stenson",63,15.11,92,609,0.02,"LeftRoughTendency",2015
126,126,"Tim Wilkinson",73,15.17,122,804,0.15,"LeftRoughTendency",2015
127,127,"Ricky Barnes",82,15.18,131,863,0.02,"LeftRoughTendency",2015
128,128,"Brooks Koepka",84,15.21,136,894,-0.06,"LeftRoughTendency",2015
129,129,"Charl Schwartzel",67,15.26,87,570,0.07,"LeftRoughTendency",2015
130,130,"Jim Renner",68,15.3,118,771,0.23,"LeftRoughTendency",2015
131,131,"Geoff Ogilvy",50,15.31,75,490,0.11,"LeftRoughTendency",2015
132,132,"Luke Guthrie",84,15.35,144,938,0.1,"LeftRoughTendency",2015
133,133,"Davis Love III",51,15.38,90,585,0.13,"LeftRoughTendency",2015
133,133,"Rory Sabbatini",81,15.38,140,910,0.06,"LeftRoughTendency",2015
135,135,"Camilo Villegas",83,15.46,158,1022,-0.03,"LeftRoughTendency",2015
136,136,"Bo Van Pelt",81,15.61,140,897,0.24,"LeftRoughTendency",2015
137,137,"Jhonattan Vegas",90,15.63,155,992,0.03,"LeftRoughTendency",2015
138,138,"Alex Cejka",94,15.65,171,1093,0.06,"LeftRoughTendency",2015
139,139,"Louis Oosthuizen",68,15.67,102,651,-0.01,"LeftRoughTendency",2015
140,140,"Stewart Cink",77,15.69,142,905,0.11,"LeftRoughTendency",2015
141,141,"Andrew Putnam",68,15.74,116,737,0.09,"LeftRoughTendency",2015
142,142,"Carl Pettersson",106,15.75,209,1327,0.06,"LeftRoughTendency",2015
143,143,"Russell Henley",87,15.76,147,933,0.2,"LeftRoughTendency",2015
144,144,"Nick Taylor",91,15.77,181,1148,0.09,"LeftRoughTendency",2015
145,145,"Blayne Barber",76,15.81,138,873,0.12,"LeftRoughTendency",2015
146,146,"Billy Hurley III",83,15.84,138,871,0.17,"LeftRoughTendency",2015
147,147,"Andres Gonzales",90,15.85,165,1041,0.09,"LeftRoughTendency",2015
147,147,"Carlos Ortiz",100,15.85,182,1148,0.05,"LeftRoughTendency",2015
149,149,"Patrick Reed",103,15.98,168,1051,0.08,"LeftRoughTendency",2015
150,150,"Matt Kuchar",97,16.09,172,1069,0.03,"LeftRoughTendency",2015
151,151,"Kevin Na",98,16.11,158,981,0,"LeftRoughTendency",2015
152,152,"Robert Allenby",63,16.12,114,707,0.24,"LeftRoughTendency",2015
153,153,"Hunter Mahan",88,16.19,146,902,0,"LeftRoughTendency",2015
154,154,"Martin Flores",95,16.22,177,1091,-0.05,"LeftRoughTendency",2015
