"BestYTDStreakwoa3Putt_RANKTHISWEEK_2012","BestYTDStreakwoa3Putt_RANKLASTWEEK_2012","BestYTDStreakwoa3Putt_PLAYERNAME_2012","BestYTDStreakwoa3Putt_EVENTS_2012","BestYTDStreakwoa3Putt_BESTSTREAK_2012","BestYTDStreakwoa3Putt_CURRENTSTREAK_2012","stat_name","year"
1,1,"Brian Gay",28,353,11,"BestYTDStreakwoa3Putt",2012
2,2,"Russell Knox",23,254,NA,"BestYTDStreakwoa3Putt",2012
3,3,"Jonas Blixt",21,248,4,"BestYTDStreakwoa3Putt",2012
3,3,"Greg Chalmers",25,248,39,"BestYTDStreakwoa3Putt",2012
5,5,"Brian Harman",30,242,4,"BestYTDStreakwoa3Putt",2012
6,6,"Ryo Ishikawa",18,239,3,"BestYTDStreakwoa3Putt",2012
7,7,"Ben Curtis",19,226,33,"BestYTDStreakwoa3Putt",2012
8,8,"David Toms",19,225,24,"BestYTDStreakwoa3Putt",2012
9,9,"Jimmy Walker",28,222,1,"BestYTDStreakwoa3Putt",2012
10,10,"Webb Simpson",22,220,61,"BestYTDStreakwoa3Putt",2012
11,11,"Vaughn Taylor",26,219,62,"BestYTDStreakwoa3Putt",2012
12,12,"Jason Kokrak",27,215,215,"BestYTDStreakwoa3Putt",2012
13,13,"Martin Flores",30,211,64,"BestYTDStreakwoa3Putt",2012
14,14,"Marco Dawson",22,210,3,"BestYTDStreakwoa3Putt",2012
14,14,"David Mathis",29,210,12,"BestYTDStreakwoa3Putt",2012
16,16,"Bryce Molder",25,207,85,"BestYTDStreakwoa3Putt",2012
17,17,"Ernie Els",22,205,21,"BestYTDStreakwoa3Putt",2012
17,17,"Pat Perez",23,205,3,"BestYTDStreakwoa3Putt",2012
19,19,"Bart Bryant",6,203,16,"BestYTDStreakwoa3Putt",2012
20,20,"Brian Davis",29,202,25,"BestYTDStreakwoa3Putt",2012
20,20,"Charlie Wi",25,202,27,"BestYTDStreakwoa3Putt",2012
22,22,"Thomas Bjorn",9,199,30,"BestYTDStreakwoa3Putt",2012
23,23,"JJ Henry",28,196,10,"BestYTDStreakwoa3Putt",2012
24,24,"Bill Haas",23,195,NA,"BestYTDStreakwoa3Putt",2012
25,25,"Nicolas Colsaerts",9,194,31,"BestYTDStreakwoa3Putt",2012
26,26,"Ian Poulter",15,193,12,"BestYTDStreakwoa3Putt",2012
26,26,"Kevin Stadler",25,193,39,"BestYTDStreakwoa3Putt",2012
28,28,"Louis Oosthuizen",19,192,2,"BestYTDStreakwoa3Putt",2012
28,28,"Jeff Overton",29,192,43,"BestYTDStreakwoa3Putt",2012
30,30,"Darren Clarke",7,191,60,"BestYTDStreakwoa3Putt",2012
31,31,"Bob Estes",23,190,6,"BestYTDStreakwoa3Putt",2012
31,31,"Daniel Summerhays",26,190,58,"BestYTDStreakwoa3Putt",2012
33,33,"Jason Day",17,188,2,"BestYTDStreakwoa3Putt",2012
34,34,"Sergio Garcia",16,187,2,"BestYTDStreakwoa3Putt",2012
34,34,"JJ Killeen",33,187,38,"BestYTDStreakwoa3Putt",2012
36,36,"Jim Furyk",24,186,74,"BestYTDStreakwoa3Putt",2012
36,36,"Greg Owen",27,186,17,"BestYTDStreakwoa3Putt",2012
36,36,"Lee Westwood",15,186,2,"BestYTDStreakwoa3Putt",2012
39,39,"Aaron Baddeley",22,182,41,"BestYTDStreakwoa3Putt",2012
39,39,"Sean OHair",24,182,62,"BestYTDStreakwoa3Putt",2012
41,41,"Scott Piercy",28,181,30,"BestYTDStreakwoa3Putt",2012
42,42,"Dustin Johnson",19,180,92,"BestYTDStreakwoa3Putt",2012
43,43,"Camilo Villegas",25,176,6,"BestYTDStreakwoa3Putt",2012
44,44,"James Driscoll",27,173,41,"BestYTDStreakwoa3Putt",2012
45,45,"Arjun Atwal",27,171,20,"BestYTDStreakwoa3Putt",2012
46,46,"Colt Knost",29,170,48,"BestYTDStreakwoa3Putt",2012
46,46,"Seung Yul Noh",28,170,105,"BestYTDStreakwoa3Putt",2012
48,48,"Robert Allenby",27,169,18,"BestYTDStreakwoa3Putt",2012
48,48,"Kevin Streelman",26,169,37,"BestYTDStreakwoa3Putt",2012
50,50,"Todd Hamilton",10,168,1,"BestYTDStreakwoa3Putt",2012
51,51,"Matt Every",25,167,34,"BestYTDStreakwoa3Putt",2012
52,52,"Brendon de Jonge",31,166,4,"BestYTDStreakwoa3Putt",2012
53,53,"David Duval",17,163,65,"BestYTDStreakwoa3Putt",2012
53,53,"Steve Stricker",19,163,21,"BestYTDStreakwoa3Putt",2012
55,55,"Chris Riley",12,162,26,"BestYTDStreakwoa3Putt",2012
56,56,"Stephen Ames",20,161,17,"BestYTDStreakwoa3Putt",2012
56,56,"Phil Mickelson",22,161,35,"BestYTDStreakwoa3Putt",2012
58,58,"Stuart Appleby",24,160,63,"BestYTDStreakwoa3Putt",2012
59,59,"Matt Bettencourt",31,158,76,"BestYTDStreakwoa3Putt",2012
59,59,"Spencer Levin",26,158,19,"BestYTDStreakwoa3Putt",2012
61,61,"Sangmoon Bae",25,157,2,"BestYTDStreakwoa3Putt",2012
61,61,"Derek Lamely",25,157,20,"BestYTDStreakwoa3Putt",2012
61,61,"Tom Pernice Jr",23,157,68,"BestYTDStreakwoa3Putt",2012
64,64,"Marc Turnesa",11,156,66,"BestYTDStreakwoa3Putt",2012
65,65,"Keegan Bradley",25,155,39,"BestYTDStreakwoa3Putt",2012
65,65,"Bo Van Pelt",24,155,16,"BestYTDStreakwoa3Putt",2012
67,67,"Gary Woodland",22,154,2,"BestYTDStreakwoa3Putt",2012
68,68,"Erik Compton",26,153,NA,"BestYTDStreakwoa3Putt",2012
69,69,"Jeff Maggert",27,152,10,"BestYTDStreakwoa3Putt",2012
70,70,"Ryan Moore",24,151,151,"BestYTDStreakwoa3Putt",2012
70,70,"Alexander Noren",4,151,151,"BestYTDStreakwoa3Putt",2012
72,72,"John Daly",15,150,5,"BestYTDStreakwoa3Putt",2012
72,72,"Ken Duke",30,150,14,"BestYTDStreakwoa3Putt",2012
74,74,"Marcus Fraser",3,149,30,"BestYTDStreakwoa3Putt",2012
75,75,"Graeme McDowell",16,148,41,"BestYTDStreakwoa3Putt",2012
75,75,"Kevin Na",25,148,4,"BestYTDStreakwoa3Putt",2012
75,75,"Brendon Todd",29,148,52,"BestYTDStreakwoa3Putt",2012
78,78,"Marc Leishman",23,147,1,"BestYTDStreakwoa3Putt",2012
78,78,"William McGirt",30,147,73,"BestYTDStreakwoa3Putt",2012
78,78,"Chris Stroud",28,147,58,"BestYTDStreakwoa3Putt",2012
81,81,"Brandt Jobe",18,146,48,"BestYTDStreakwoa3Putt",2012
81,81,"Chris Kirk",27,146,3,"BestYTDStreakwoa3Putt",2012
81,81,"Rod Pampling",26,146,9,"BestYTDStreakwoa3Putt",2012
81,81,"Steve Wheatcroft",22,146,2,"BestYTDStreakwoa3Putt",2012
85,85,"KT Kim",11,145,49,"BestYTDStreakwoa3Putt",2012
86,86,"Scott Stallings",27,144,6,"BestYTDStreakwoa3Putt",2012
86,86,"Nick Watney",26,144,116,"BestYTDStreakwoa3Putt",2012
88,88,"John Senden",22,143,18,"BestYTDStreakwoa3Putt",2012
89,89,"Zach Johnson",25,142,99,"BestYTDStreakwoa3Putt",2012
89,89,"Tom Watson",3,142,10,"BestYTDStreakwoa3Putt",2012
91,91,"Harris English",27,141,76,"BestYTDStreakwoa3Putt",2012
91,91,"Tommy Gainey",32,141,2,"BestYTDStreakwoa3Putt",2012
91,91,"Sung Kang",30,141,9,"BestYTDStreakwoa3Putt",2012
94,94,"Chris Couch",21,140,10,"BestYTDStreakwoa3Putt",2012
94,94,"YE Yang",20,140,26,"BestYTDStreakwoa3Putt",2012
96,96,"Will Claxton",28,139,3,"BestYTDStreakwoa3Putt",2012
96,96,"Davis Love III",20,139,20,"BestYTDStreakwoa3Putt",2012
98,98,"Chris DiMarco",29,138,2,"BestYTDStreakwoa3Putt",2012
98,98,"Michael Thompson",25,138,4,"BestYTDStreakwoa3Putt",2012
100,100,"Jason Bohn",28,137,80,"BestYTDStreakwoa3Putt",2012
100,100,"Jonathan Byrd",21,137,44,"BestYTDStreakwoa3Putt",2012
100,100,"KJ Choi",21,137,11,"BestYTDStreakwoa3Putt",2012
100,100,"Heath Slocum",29,137,3,"BestYTDStreakwoa3Putt",2012
104,104,"Luke Donald",17,136,94,"BestYTDStreakwoa3Putt",2012
105,105,"Bobby Gates",29,135,4,"BestYTDStreakwoa3Putt",2012
105,105,"Padraig Harrington",18,135,24,"BestYTDStreakwoa3Putt",2012
107,107,"Mark Wilson",25,134,23,"BestYTDStreakwoa3Putt",2012
108,108,"Billy Hurley III",27,133,6,"BestYTDStreakwoa3Putt",2012
108,108,"Kevin Kisner",24,133,33,"BestYTDStreakwoa3Putt",2012
108,108,"Carl Pettersson",26,133,32,"BestYTDStreakwoa3Putt",2012
111,111,"Matt Kuchar",22,132,30,"BestYTDStreakwoa3Putt",2012
111,111,"Martin Laird",22,132,21,"BestYTDStreakwoa3Putt",2012
111,111,"Hunter Mahan",23,132,18,"BestYTDStreakwoa3Putt",2012
114,114,"Paul Casey",9,131,13,"BestYTDStreakwoa3Putt",2012
114,114,"Tim Herron",27,131,39,"BestYTDStreakwoa3Putt",2012
114,114,"Bill Lunde",25,131,23,"BestYTDStreakwoa3Putt",2012
114,114,"Rory Sabbatini",29,131,NA,"BestYTDStreakwoa3Putt",2012
114,114,"Adam Scott",16,131,39,"BestYTDStreakwoa3Putt",2012
119,119,"Ben Crane",23,130,40,"BestYTDStreakwoa3Putt",2012
119,119,"Rocco Mediate",23,130,17,"BestYTDStreakwoa3Putt",2012
119,119,"Garth Mulroy",20,130,35,"BestYTDStreakwoa3Putt",2012
122,122,"Geoff Ogilvy",20,129,54,"BestYTDStreakwoa3Putt",2012
123,123,"Chad Campbell",27,128,6,"BestYTDStreakwoa3Putt",2012
123,123,"Roberto Castro",27,128,27,"BestYTDStreakwoa3Putt",2012
123,123,"Daniel Chopra",21,128,72,"BestYTDStreakwoa3Putt",2012
126,126,"Tommy Biershenk",27,127,86,"BestYTDStreakwoa3Putt",2012
126,126,"Garrett Willis",15,127,85,"BestYTDStreakwoa3Putt",2012
128,128,"Robert Garrigus",26,126,30,"BestYTDStreakwoa3Putt",2012
128,128,"Ryan Palmer",24,126,78,"BestYTDStreakwoa3Putt",2012
130,130,"John Huh",28,125,26,"BestYTDStreakwoa3Putt",2012
130,130,"Alexandre Rocha",21,125,9,"BestYTDStreakwoa3Putt",2012
130,130,"Jhonattan Vegas",25,125,NA,"BestYTDStreakwoa3Putt",2012
133,133,"Alex Cejka",12,124,5,"BestYTDStreakwoa3Putt",2012
133,133,"Hunter Haas",24,124,5,"BestYTDStreakwoa3Putt",2012
133,133,"Peter Hanson",11,124,4,"BestYTDStreakwoa3Putt",2012
133,133,"Ted Potter Jr",25,124,44,"BestYTDStreakwoa3Putt",2012
137,137,"Michael Bradley",23,123,61,"BestYTDStreakwoa3Putt",2012
137,137,"Corey Pavin",2,123,NA,"BestYTDStreakwoa3Putt",2012
139,139,"Bud Cauley",28,122,1,"BestYTDStreakwoa3Putt",2012
139,139,"George McNeill",25,122,56,"BestYTDStreakwoa3Putt",2012
139,139,"Dicky Pride",19,122,6,"BestYTDStreakwoa3Putt",2012
142,142,"Angel Cabrera",20,120,4,"BestYTDStreakwoa3Putt",2012
142,142,"JB Holmes",25,120,55,"BestYTDStreakwoa3Putt",2012
142,142,"Troy Matteson",32,120,15,"BestYTDStreakwoa3Putt",2012
145,145,"Nathan Green",22,119,2,"BestYTDStreakwoa3Putt",2012
145,145,"Nick OHern",26,119,26,"BestYTDStreakwoa3Putt",2012
145,145,"Chez Reavie",26,119,7,"BestYTDStreakwoa3Putt",2012
148,148,"Brendan Steele",24,118,31,"BestYTDStreakwoa3Putt",2012
148,148,"Cameron Tringale",26,118,5,"BestYTDStreakwoa3Putt",2012
150,150,"Paul Goydos",6,117,48,"BestYTDStreakwoa3Putt",2012
150,150,"David Hearn",28,117,26,"BestYTDStreakwoa3Putt",2012
150,150,"Vijay Singh",27,117,6,"BestYTDStreakwoa3Putt",2012
150,150,"Brandt Snedeker",22,117,102,"BestYTDStreakwoa3Putt",2012
154,154,"Thomas Aiken",4,116,12,"BestYTDStreakwoa3Putt",2012
154,154,"Yoshinori Fujimoto",2,116,116,"BestYTDStreakwoa3Putt",2012
156,156,"Jerry Kelly",26,115,86,"BestYTDStreakwoa3Putt",2012
156,156,"Jose Maria Olazabal",5,115,NA,"BestYTDStreakwoa3Putt",2012
156,156,"Duffy Waldorf",11,115,9,"BestYTDStreakwoa3Putt",2012
159,159,"Blake Adams",32,114,10,"BestYTDStreakwoa3Putt",2012
159,159,"Fran Quinn",5,114,5,"BestYTDStreakwoa3Putt",2012
159,159,"John Rollins",26,114,15,"BestYTDStreakwoa3Putt",2012
162,162,"Richard Lee",24,113,12,"BestYTDStreakwoa3Putt",2012
163,163,"Patrick Cantlay",10,112,20,"BestYTDStreakwoa3Putt",2012
163,163,"Harrison Frazar",20,112,NA,"BestYTDStreakwoa3Putt",2012
163,163,"Johnson Wagner",27,112,39,"BestYTDStreakwoa3Putt",2012
166,166,"Gary Christian",28,111,8,"BestYTDStreakwoa3Putt",2012
166,166,"Mathew Goggin",23,111,2,"BestYTDStreakwoa3Putt",2012
166,166,"Charles Howell III",29,111,18,"BestYTDStreakwoa3Putt",2012
