"PercentageofAvailablePurseWon_RANKTHISWEEK_2010","PercentageofAvailablePurseWon_RANKLASTWEEK_2010","PercentageofAvailablePurseWon_PLAYERNAME_2010","PercentageofAvailablePurseWon_EVENTS_2010","PercentageofAvailablePurseWon_Pct_2010","PercentageofAvailablePurseWon_OFFICIALMONEYWON_2010","PercentageofAvailablePurseWon_TOTALPURSEAVAILABLE_2010","stat_name","year"
1,1,"Gregory Havret",2,5.59,810000,14500000,"PercentageofAvailablePurseWon",2010
2,2,"Lee Westwood",11,4.43,3564954,80500000,"PercentageofAvailablePurseWon",2010
3,3,"Louis Oosthuizen",5,3.77,1431426,3.8e+07,"PercentageofAvailablePurseWon",2010
4,4,"Jim Furyk",21,3.26,4809620,147600000,"PercentageofAvailablePurseWon",2010
5,5,"Ernie Els",20,3.23,4558860,141200000,"PercentageofAvailablePurseWon",2010
6,6,"Steve Stricker",19,3.21,4190234,130500000,"PercentageofAvailablePurseWon",2010
7,7,"Martin Kaymer",10,3.09,2356459,76300000,"PercentageofAvailablePurseWon",2010
8,8,"Paul Casey",17,2.94,3613192,122700000,"PercentageofAvailablePurseWon",2010
9,9,"Matt Kuchar",26,2.81,4910473,174500000,"PercentageofAvailablePurseWon",2010
10,10,"Dustin Johnson",23,2.79,4473121,160100000,"PercentageofAvailablePurseWon",2010
11,11,"Phil Mickelson",20,2.72,3821732,140400000,"PercentageofAvailablePurseWon",2010
12,12,"Robert Rock",1,2.66,186239,7e+06,"PercentageofAvailablePurseWon",2010
13,13,"Bob Heintz",3,2.63,355047,13500000,"PercentageofAvailablePurseWon",2010
14,14,"Luke Donald",20,2.62,3665233,139900000,"PercentageofAvailablePurseWon",2010
14,14,"Anthony Kim",14,2.62,2574921,98400000,"PercentageofAvailablePurseWon",2010
16,16,"Alistair Presnell",1,2.52,214300,8500000,"PercentageofAvailablePurseWon",2010
17,17,"Justin Rose",22,2.5,3603330,144300000,"PercentageofAvailablePurseWon",2010
18,18,"Retief Goosen",19,2.47,3218088,130400000,"PercentageofAvailablePurseWon",2010
19,19,"Graeme McDowell",10,2.43,1848636,76100000,"PercentageofAvailablePurseWon",2010
20,20,"Bubba Watson",22,2.24,3198995,142800000,"PercentageofAvailablePurseWon",2010
21,21,"Rory McIlroy",16,2.19,2554278,116500000,"PercentageofAvailablePurseWon",2010
22,22,"Tim Clark",24,2.18,3530000,161600000,"PercentageofAvailablePurseWon",2010
23,23,"Camilo Villegas",20,2.15,3035522,1.41e+08,"PercentageofAvailablePurseWon",2010
24,24,"Arjun Atwal",13,2.09,1507142,72100000,"PercentageofAvailablePurseWon",2010
24,24,"Hunter Mahan",25,2.09,3574547,170800000,"PercentageofAvailablePurseWon",2010
24,24,"Charl Schwartzel",11,2.09,1710844,81900000,"PercentageofAvailablePurseWon",2010
27,27,"Jeff Overton",26,2.07,3456355,1.67e+08,"PercentageofAvailablePurseWon",2010
28,28,"Robert Allenby",22,2.02,2974996,147300000,"PercentageofAvailablePurseWon",2010
29,29,"Ian Poulter",15,1.89,2079663,110200000,"PercentageofAvailablePurseWon",2010
30,30,"Jason Day",24,1.86,2904324,156200000,"PercentageofAvailablePurseWon",2010
30,30,"Bo Van Pelt",28,1.86,3336257,179200000,"PercentageofAvailablePurseWon",2010
32,32,"Bill Haas",25,1.83,2905135,158400000,"PercentageofAvailablePurseWon",2010
33,33,"Charley Hoffman",24,1.77,2559643,1.45e+08,"PercentageofAvailablePurseWon",2010
34,34,"Geoff Ogilvy",19,1.76,2393044,1.36e+08,"PercentageofAvailablePurseWon",2010
34,34,"Ryan Palmer",27,1.76,2985295,169200000,"PercentageofAvailablePurseWon",2010
36,36,"Zach Johnson",25,1.74,2916992,167500000,"PercentageofAvailablePurseWon",2010
36,36,"Adam Scott",20,1.74,2489400,142900000,"PercentageofAvailablePurseWon",2010
38,38,"Ben Crane",24,1.71,2841498,165900000,"PercentageofAvailablePurseWon",2010
39,39,"Corey Pavin",8,1.69,839193,49700000,"PercentageofAvailablePurseWon",2010
40,40,"Rickie Fowler",28,1.64,2857106,173700000,"PercentageofAvailablePurseWon",2010
41,41,"Nick Watney",24,1.54,2536711,164600000,"PercentageofAvailablePurseWon",2010
42,42,"KJ Choi",22,1.52,2199960,144600000,"PercentageofAvailablePurseWon",2010
43,43,"Heath Slocum",25,1.5,2387682,159100000,"PercentageofAvailablePurseWon",2010
44,44,"Ryan Moore",24,1.47,2374823,161700000,"PercentageofAvailablePurseWon",2010
45,45,"Tiger Woods",12,1.46,1294763,88700000,"PercentageofAvailablePurseWon",2010
46,46,"JB Holmes",26,1.43,2386246,166700000,"PercentageofAvailablePurseWon",2010
47,47,"Robert Garrigus",22,1.41,1583274,112100000,"PercentageofAvailablePurseWon",2010
48,48,"Chris Kirk",1,1.36,54480,4e+06,"PercentageofAvailablePurseWon",2010
49,49,"Martin Laird",26,1.28,2137926,166500000,"PercentageofAvailablePurseWon",2010
50,50,"Robert Karlsson",11,1.27,1030919,81200000,"PercentageofAvailablePurseWon",2010
51,51,"Edoardo Molinari",8,1.26,770017,6.1e+07,"PercentageofAvailablePurseWon",2010
52,52,"Ignacio Garrido",1,1.25,87839,7e+06,"PercentageofAvailablePurseWon",2010
53,53,"Jason Bohn",25,1.24,1904760,1.54e+08,"PercentageofAvailablePurseWon",2010
54,54,"Vaughn Taylor",26,1.21,1838859,152400000,"PercentageofAvailablePurseWon",2010
55,55,"Kevin Na",26,1.18,2021812,1.71e+08,"PercentageofAvailablePurseWon",2010
56,56,"Carl Pettersson",29,1.17,1934462,165500000,"PercentageofAvailablePurseWon",2010
57,57,"Brendon de Jonge",32,1.16,2167976,186200000,"PercentageofAvailablePurseWon",2010
57,57,"Freddie Jacobson",24,1.16,1666252,144200000,"PercentageofAvailablePurseWon",2010
59,59,"WC Liang",4,1.15,315435,27500000,"PercentageofAvailablePurseWon",2010
60,60,"Sean OHair",25,1.12,1859039,166500000,"PercentageofAvailablePurseWon",2010
61,61,"Padraig Harrington",18,1.09,1381451,1.27e+08,"PercentageofAvailablePurseWon",2010
62,62,"Scott Verplank",22,1.08,1653189,152500000,"PercentageofAvailablePurseWon",2010
63,63,"Stuart Appleby",31,1.06,1965824,184700000,"PercentageofAvailablePurseWon",2010
64,64,"Ricky Barnes",28,1.04,1835192,176600000,"PercentageofAvailablePurseWon",2010
64,64,"Jonathan Byrd",26,1.04,1534978,146900000,"PercentageofAvailablePurseWon",2010
64,64,"Todd Fischer",1,1.04,31200,3e+06,"PercentageofAvailablePurseWon",2010
64,64,"Michael Sim",20,1.04,1338925,128500000,"PercentageofAvailablePurseWon",2010
68,68,"Stephen Gallacher",2,1.03,149244,14500000,"PercentageofAvailablePurseWon",2010
69,69,"DJ Trahan",27,1.01,1619690,160800000,"PercentageofAvailablePurseWon",2010
70,70,"Stewart Cink",23,1,1573634,157500000,"PercentageofAvailablePurseWon",2010
70,70,"David Toms",25,1,1590996,1.59e+08,"PercentageofAvailablePurseWon",2010
72,72,"Lucas Glover",23,0.99,1511272,152800000,"PercentageofAvailablePurseWon",2010
73,73,"Brandt Snedeker",26,0.98,1602687,163500000,"PercentageofAvailablePurseWon",2010
74,74,"Steve Marino",24,0.97,1479238,153200000,"PercentageofAvailablePurseWon",2010
74,74,"Charlie Wi",27,0.97,1568490,161800000,"PercentageofAvailablePurseWon",2010
76,76,"Dean Wilson",18,0.96,832639,8.7e+07,"PercentageofAvailablePurseWon",2010
77,77,"Rory Sabbatini",26,0.95,1546807,162900000,"PercentageofAvailablePurseWon",2010
78,78,"Angel Cabrera",19,0.94,1266438,134600000,"PercentageofAvailablePurseWon",2010
78,78,"Fred Couples",7,0.94,397406,42400000,"PercentageofAvailablePurseWon",2010
80,80,"Charles Howell III",28,0.93,1482208,159100000,"PercentageofAvailablePurseWon",2010
81,81,"Ken Duke",5,0.92,220777,2.4e+07,"PercentageofAvailablePurseWon",2010
82,82,"Bryce Molder",26,0.91,1428436,157500000,"PercentageofAvailablePurseWon",2010
83,83,"Peter Hanson",7,0.9,479574,53500000,"PercentageofAvailablePurseWon",2010
83,83,"Marc Leishman",26,0.9,1488835,165300000,"PercentageofAvailablePurseWon",2010
85,85,"Kevin Streelman",28,0.89,1472347,165700000,"PercentageofAvailablePurseWon",2010
85,85,"YE Yang",21,0.89,1301724,146800000,"PercentageofAvailablePurseWon",2010
87,87,"John Ellis",1,0.88,44000,5e+06,"PercentageofAvailablePurseWon",2010
87,87,"Sergio Garcia",15,0.88,936844,105900000,"PercentageofAvailablePurseWon",2010
87,87,"Francesco Molinari",8,0.88,568696,64500000,"PercentageofAvailablePurseWon",2010
90,90,"Brian Davis",32,0.87,1640514,189500000,"PercentageofAvailablePurseWon",2010
90,90,"Shaun Micheel",21,0.87,1025499,117300000,"PercentageofAvailablePurseWon",2010
92,92,"Rocco Mediate",25,0.84,1138065,135800000,"PercentageofAvailablePurseWon",2010
93,93,"Cameron Beckman",25,0.83,1158484,140400000,"PercentageofAvailablePurseWon",2010
93,93,"Davis Love III",24,0.83,1214471,147100000,"PercentageofAvailablePurseWon",2010
95,95,"Joe Durant",19,0.81,788754,96800000,"PercentageofAvailablePurseWon",2010
95,95,"Brian Gay",30,0.81,1521660,188600000,"PercentageofAvailablePurseWon",2010
95,95,"Vijay Singh",24,0.81,1334259,164700000,"PercentageofAvailablePurseWon",2010
98,98,"Steve Elkington",22,0.79,955081,120400000,"PercentageofAvailablePurseWon",2010
98,98,"Alex Prugh",28,0.79,1272604,161200000,"PercentageofAvailablePurseWon",2010
100,100,"Alvaro Quiros",9,0.78,549764,70500000,"PercentageofAvailablePurseWon",2010
101,101,"John Rollins",26,0.77,1182735,153400000,"PercentageofAvailablePurseWon",2010
101,101,"Andres Romero",21,0.77,979168,127100000,"PercentageofAvailablePurseWon",2010
101,101,"Paul Stankowski",18,0.77,666589,86900000,"PercentageofAvailablePurseWon",2010
104,104,"Tom Gillis",27,0.76,1166144,152600000,"PercentageofAvailablePurseWon",2010
104,104,"Matt Jones",27,0.76,1215740,160600000,"PercentageofAvailablePurseWon",2010
104,104,"Chris Riley",24,0.76,1001580,1.32e+08,"PercentageofAvailablePurseWon",2010
104,104,"Jhonattan Vegas",1,0.76,26483,3500000,"PercentageofAvailablePurseWon",2010
108,108,"Michael Allen",17,0.75,726629,96500000,"PercentageofAvailablePurseWon",2010
109,109,"Paul Goydos",25,0.73,1121249,152900000,"PercentageofAvailablePurseWon",2010
110,110,"Jason Dufner",25,0.71,1121693,159100000,"PercentageofAvailablePurseWon",2010
110,110,"Kenny Perry",20,0.71,968810,136600000,"PercentageofAvailablePurseWon",2010
112,112,"Spencer Levin",31,0.7,1199669,171800000,"PercentageofAvailablePurseWon",2010
113,113,"Bradley Dredge",1,0.69,47999,7e+06,"PercentageofAvailablePurseWon",2010
113,113,"John Senden",30,0.69,1274054,184100000,"PercentageofAvailablePurseWon",2010
113,113,"Marcel Siem",1,0.69,47999,7e+06,"PercentageofAvailablePurseWon",2010
116,116,"David Duval",24,0.68,919583,134400000,"PercentageofAvailablePurseWon",2010
116,116,"Bill Lunde",28,0.68,1075873,158100000,"PercentageofAvailablePurseWon",2010
116,116,"Henrik Stenson",15,0.68,683069,100400000,"PercentageofAvailablePurseWon",2010
116,116,"Tom Watson",3,0.68,149371,2.2e+07,"PercentageofAvailablePurseWon",2010
120,120,"Thongchai Jaidee",8,0.67,414185,6.2e+07,"PercentageofAvailablePurseWon",2010
120,120,"Miguel Angel Jimenez",7,0.67,371249,5.5e+07,"PercentageofAvailablePurseWon",2010
122,122,"Kris Blanks",30,0.66,1109176,1.67e+08,"PercentageofAvailablePurseWon",2010
122,122,"JJ Henry",27,0.66,1035685,1.57e+08,"PercentageofAvailablePurseWon",2010
122,122,"Jerry Kelly",29,0.66,1136896,171400000,"PercentageofAvailablePurseWon",2010
122,122,"Oliver Wilson",9,0.66,464471,70100000,"PercentageofAvailablePurseWon",2010
126,126,"Blake Adams",26,0.65,963591,148300000,"PercentageofAvailablePurseWon",2010
126,126,"Chris Couch",23,0.65,888145,137600000,"PercentageofAvailablePurseWon",2010
