"BirdieorBetterPercentage150175ya_RANKTHISWEEK_2010","BirdieorBetterPercentage150175ya_RANKLASTWEEK_2010","BirdieorBetterPercentage150175ya_PLAYERNAME_2010","BirdieorBetterPercentage150175ya_ROUNDS_2010","BirdieorBetterPercentage150175ya_Pct_2010","BirdieorBetterPercentage150175ya_TOTALBIRDIES_2010","BirdieorBetterPercentage150175ya_TOTALHOLES_2010","stat_name","year"
1,1,"Geoff Ogilvy",62,24.14,42,174,"BirdieorBetterPercentage150175ya",2010
2,2,"Luke Donald",71,22.73,40,176,"BirdieorBetterPercentage150175ya",2010
3,3,"Jeff Quinney",91,21.63,61,282,"BirdieorBetterPercentage150175ya",2010
4,4,"Kevin Na",94,20.07,59,294,"BirdieorBetterPercentage150175ya",2010
5,5,"Ben Curtis",78,19.76,50,253,"BirdieorBetterPercentage150175ya",2010
6,6,"Charlie Wi",95,19.73,73,370,"BirdieorBetterPercentage150175ya",2010
7,7,"Dustin Johnson",83,19.65,45,229,"BirdieorBetterPercentage150175ya",2010
8,8,"Stephen Ames",75,19.63,53,270,"BirdieorBetterPercentage150175ya",2010
9,9,"Zach Johnson",93,19.34,53,274,"BirdieorBetterPercentage150175ya",2010
10,10,"Michael Sim",64,19.16,41,214,"BirdieorBetterPercentage150175ya",2010
11,11,"Matt Kuchar",97,19.1,51,267,"BirdieorBetterPercentage150175ya",2010
12,12,"Spencer Levin",110,18.9,72,381,"BirdieorBetterPercentage150175ya",2010
13,13,"Carl Pettersson",99,18.67,62,332,"BirdieorBetterPercentage150175ya",2010
14,14,"Tom Gillis",97,18.44,59,320,"BirdieorBetterPercentage150175ya",2010
15,15,"Joe Durant",67,18.35,40,218,"BirdieorBetterPercentage150175ya",2010
16,16,"Hunter Mahan",85,18.22,45,247,"BirdieorBetterPercentage150175ya",2010
17,17,"Shaun Micheel",70,18.18,42,231,"BirdieorBetterPercentage150175ya",2010
18,18,"Ryan Palmer",84,18.07,45,249,"BirdieorBetterPercentage150175ya",2010
