"EarlyRound1ScoringAverage_RANKTHISWEEK_2005","EarlyRound1ScoringAverage_RANKLASTWEEK_2005","EarlyRound1ScoringAverage_PLAYERNAME_2005","EarlyRound1ScoringAverage__2005","EarlyRound1ScoringAverage_AVG_2005","EarlyRound1ScoringAverage_TOTALSTROKES_2005","EarlyRound1ScoringAverage_TOTALROUNDS_2005","stat_name","year"
1,1,"Phil Mickelson",NA,68.5,685,10,"EarlyRound1ScoringAverage",2005
2,2,"Ben Crane",NA,68.71,481,7,"EarlyRound1ScoringAverage",2005
3,3,"Tiger Woods",NA,68.79,963,14,"EarlyRound1ScoringAverage",2005
4,4,"Mathias Gronberg",NA,69,483,7,"EarlyRound1ScoringAverage",2005
4,4,"JP Hayes",NA,69,621,9,"EarlyRound1ScoringAverage",2005
6,6,"Jason Bohn",NA,69.14,968,14,"EarlyRound1ScoringAverage",2005
7,7,"Bart Bryant",NA,69.27,762,11,"EarlyRound1ScoringAverage",2005
8,8,"Briny Baird",NA,69.38,1110,16,"EarlyRound1ScoringAverage",2005
9,9,"Sergio Garcia",NA,69.4,347,5,"EarlyRound1ScoringAverage",2005
10,10,"Bob Estes",NA,69.5,834,12,"EarlyRound1ScoringAverage",2005
11,11,"Richard Johnson",NA,69.63,557,8,"EarlyRound1ScoringAverage",2005
12,12,"Carlos Franco",NA,69.64,766,11,"EarlyRound1ScoringAverage",2005
13,13,"Jesper Parnevik",NA,69.71,976,14,"EarlyRound1ScoringAverage",2005
14,14,"Marco Dawson",NA,69.75,837,12,"EarlyRound1ScoringAverage",2005
14,14,"Charlie Wi",NA,69.75,837,12,"EarlyRound1ScoringAverage",2005
16,16,"Kevin Sutherland",NA,69.8,1047,15,"EarlyRound1ScoringAverage",2005
17,17,"Vijay Singh",NA,69.9,699,10,"EarlyRound1ScoringAverage",2005
18,18,"Steve Elkington",NA,70,840,12,"EarlyRound1ScoringAverage",2005
18,18,"Robert Gamez",NA,70,910,13,"EarlyRound1ScoringAverage",2005
20,20,"JJ Henry",NA,70.06,1121,16,"EarlyRound1ScoringAverage",2005
21,21,"Mark Calcavecchia",NA,70.07,1051,15,"EarlyRound1ScoringAverage",2005
21,21,"Stewart Cink",NA,70.07,981,14,"EarlyRound1ScoringAverage",2005
21,21,"Dean Wilson",NA,70.07,1051,15,"EarlyRound1ScoringAverage",2005
24,24,"Kenny Perry",NA,70.08,841,12,"EarlyRound1ScoringAverage",2005
25,25,"Justin Leonard",NA,70.09,771,11,"EarlyRound1ScoringAverage",2005
26,26,"Olin Browne",NA,70.13,1052,15,"EarlyRound1ScoringAverage",2005
27,27,"Lee Westwood",NA,70.17,421,6,"EarlyRound1ScoringAverage",2005
28,28,"Billy Mayfair",NA,70.2,1053,15,"EarlyRound1ScoringAverage",2005
29,29,"Luke Donald",NA,70.22,632,9,"EarlyRound1ScoringAverage",2005
30,30,"Adam Scott",NA,70.29,492,7,"EarlyRound1ScoringAverage",2005
31,31,"Scott Gutschewski",NA,70.3,703,10,"EarlyRound1ScoringAverage",2005
31,31,"Tjaart van der Walt",NA,70.3,703,10,"EarlyRound1ScoringAverage",2005
33,33,"David Toms",NA,70.31,914,13,"EarlyRound1ScoringAverage",2005
34,34,"Gavin Coles",NA,70.33,844,12,"EarlyRound1ScoringAverage",2005
34,34,"Tom Lehman",NA,70.33,422,6,"EarlyRound1ScoringAverage",2005
36,36,"Brett Quigley",NA,70.35,1196,17,"EarlyRound1ScoringAverage",2005
37,37,"Jim Furyk",NA,70.36,774,11,"EarlyRound1ScoringAverage",2005
38,38,"Brian Bateman",NA,70.37,1337,19,"EarlyRound1ScoringAverage",2005
39,39,"Darron Stiles",NA,70.38,915,13,"EarlyRound1ScoringAverage",2005
40,40,"Robert Damron",NA,70.43,986,14,"EarlyRound1ScoringAverage",2005
40,40,"Jerry Kelly",NA,70.43,1479,21,"EarlyRound1ScoringAverage",2005
42,42,"Jose Maria Olazabal",NA,70.44,634,9,"EarlyRound1ScoringAverage",2005
43,43,"Jose Coceres",NA,70.45,775,11,"EarlyRound1ScoringAverage",2005
43,43,"Geoff Ogilvy",NA,70.45,775,11,"EarlyRound1ScoringAverage",2005
45,45,"John Huston",NA,70.47,1057,15,"EarlyRound1ScoringAverage",2005
46,46,"Freddie Jacobson",NA,70.5,564,8,"EarlyRound1ScoringAverage",2005
47,47,"Hunter Haas",NA,70.57,988,14,"EarlyRound1ScoringAverage",2005
48,48,"Justin Rose",NA,70.64,777,11,"EarlyRound1ScoringAverage",2005
