"RyderCupEuroPoints_RANKTHISWEEK_2013","RyderCupEuroPoints_RANKLASTWEEK_2013","RyderCupEuroPoints_PLAYERNAME_2013","RyderCupEuroPoints__2013","RyderCupEuroPoints_POINTS_2013","stat_name","year"
1,1,"Rory McIlroy",NA,4050288.1,"RyderCupEuroPoints",2013
2,2,"Justin Rose",NA,2602910.21,"RyderCupEuroPoints",2013
3,3,"Paul Lawrie",NA,2384837.11,"RyderCupEuroPoints",2013
4,4,"Graeme McDowell",NA,2375790.52,"RyderCupEuroPoints",2013
5,5,"Francesco Molinari",NA,2112452.06,"RyderCupEuroPoints",2013
6,6,"Peter Hanson",NA,2022431.76,"RyderCupEuroPoints",2013
7,7,"Luke Donald",NA,1885170.56,"RyderCupEuroPoints",2013
8,8,"Martin Kaymer",NA,1871797.49,"RyderCupEuroPoints",2013
9,9,"Nicolas Colsaerts",NA,1755377.25,"RyderCupEuroPoints",2013
10,10,"Lee Westwood",NA,1692029.78,"RyderCupEuroPoints",2013
11,11,"Gonzalo Fdez Castano",NA,1613602.38,"RyderCupEuroPoints",2013
12,12,"David Lynn",NA,1563740.28,"RyderCupEuroPoints",2013
13,13,"Sergio Garcia",NA,1502772.6,"RyderCupEuroPoints",2013
14,14,"Rafa Cabrera Bello",NA,1494744.62,"RyderCupEuroPoints",2013
15,15,"Alvaro Quiros",NA,1377894.58,"RyderCupEuroPoints",2013
16,16,"Marcel Siem",NA,1375518.3,"RyderCupEuroPoints",2013
17,17,"Ian Poulter",NA,1290985.55,"RyderCupEuroPoints",2013
18,18,"Thomas Bjorn",NA,1210207.67,"RyderCupEuroPoints",2013
19,19,"Joost Luiten",NA,1103691.44,"RyderCupEuroPoints",2013
20,20,"Jamie Donaldson",NA,1096895.04,"RyderCupEuroPoints",2013
21,21,"Michael Hoey",NA,1095082.73,"RyderCupEuroPoints",2013
22,22,"Miguel Angel Jimenez",NA,1050829.45,"RyderCupEuroPoints",2013
23,23,"Richie Ramsay",NA,969981.07,"RyderCupEuroPoints",2013
24,24,"Robert Rock",NA,968035.21,"RyderCupEuroPoints",2013
25,25,"Simon Dyson",NA,944649.26,"RyderCupEuroPoints",2013
26,26,"Alexander Noren",NA,911587.19,"RyderCupEuroPoints",2013
