"SandSavesfrom1020yards_RANKTHISWEEK_2013","SandSavesfrom1020yards_RANKLASTWEEK_2013","SandSavesfrom1020yards_PLAYERNAME_2013","SandSavesfrom1020yards_ROUNDS_2013","SandSavesfrom1020yards_Pct_2013","SandSavesfrom1020yards_OFSAVES_2013","SandSavesfrom1020yards_OFBUNKERS_2013","stat_name","year"
1,1,"Peter Hanson",45,78.95,15,19,"SandSavesfrom1020yards",2013
2,2,"Stewart Cink",71,73.91,34,46,"SandSavesfrom1020yards",2013
3,3,"David Lynn",70,72.5,29,40,"SandSavesfrom1020yards",2013
4,4,"Tiger Woods",61,72.22,26,36,"SandSavesfrom1020yards",2013
5,5,"Matt Kuchar",93,71.43,45,63,"SandSavesfrom1020yards",2013
6,6,"KJ Choi",85,71.15,37,52,"SandSavesfrom1020yards",2013
7,7,"Padraig Harrington",52,70.83,17,24,"SandSavesfrom1020yards",2013
8,8,"Stuart Appleby",88,69.23,45,65,"SandSavesfrom1020yards",2013
9,9,"Casey Wittenberg",72,68.97,40,58,"SandSavesfrom1020yards",2013
10,10,"Tom Gillis",69,67.74,42,62,"SandSavesfrom1020yards",2013
11,11,"Brandt Snedeker",79,67.35,33,49,"SandSavesfrom1020yards",2013
12,12,"Steven Bowditch",67,67.27,37,55,"SandSavesfrom1020yards",2013
13,13,"Cameron Tringale",80,67.24,39,58,"SandSavesfrom1020yards",2013
14,14,"Bob Estes",66,67.19,43,64,"SandSavesfrom1020yards",2013
14,14,"Brian Gay",79,67.19,43,64,"SandSavesfrom1020yards",2013
16,16,"Robert Karlsson",56,66.67,24,36,"SandSavesfrom1020yards",2013
16,16,"David Toms",49,66.67,14,21,"SandSavesfrom1020yards",2013
18,18,"Bud Cauley",67,66,33,50,"SandSavesfrom1020yards",2013
19,19,"Lee Williams",62,65.91,29,44,"SandSavesfrom1020yards",2013
20,20,"Darron Stiles",51,65.79,25,38,"SandSavesfrom1020yards",2013
21,21,"Patrick Reed",83,65.71,46,70,"SandSavesfrom1020yards",2013
22,22,"Ian Poulter",59,65.63,21,32,"SandSavesfrom1020yards",2013
23,23,"Kevin Chappell",80,65.52,38,58,"SandSavesfrom1020yards",2013
24,24,"Brad Fritsch",81,65.43,53,81,"SandSavesfrom1020yards",2013
25,25,"Jason Day",86,65.38,34,52,"SandSavesfrom1020yards",2013
25,25,"Webb Simpson",92,65.38,34,52,"SandSavesfrom1020yards",2013
27,27,"Brendan Steele",86,64.79,46,71,"SandSavesfrom1020yards",2013
28,28,"Justin Rose",62,64.71,22,34,"SandSavesfrom1020yards",2013
29,29,"Bryce Molder",82,64.29,45,70,"SandSavesfrom1020yards",2013
30,30,"Troy Matteson",68,64,32,50,"SandSavesfrom1020yards",2013
31,31,"James Driscoll",76,63.79,37,58,"SandSavesfrom1020yards",2013
32,32,"Rickie Fowler",75,63.64,35,55,"SandSavesfrom1020yards",2013
33,33,"Doug LaBelle II",72,63.46,33,52,"SandSavesfrom1020yards",2013
34,34,"Jason Dufner",78,62.79,27,43,"SandSavesfrom1020yards",2013
34,34,"Adam Scott",61,62.79,27,43,"SandSavesfrom1020yards",2013
36,36,"Jason Bohn",70,62.71,37,59,"SandSavesfrom1020yards",2013
37,37,"Mike Weir",60,62.5,35,56,"SandSavesfrom1020yards",2013
38,38,"Brendon de Jonge",110,62.34,48,77,"SandSavesfrom1020yards",2013
39,39,"Tim Clark",64,62.16,23,37,"SandSavesfrom1020yards",2013
40,40,"Brian Davis",91,62.11,59,95,"SandSavesfrom1020yards",2013
41,41,"Phil Mickelson",78,61.82,34,55,"SandSavesfrom1020yards",2013
42,42,"Luke Donald",60,61.54,24,39,"SandSavesfrom1020yards",2013
42,42,"Jerry Kelly",75,61.54,32,52,"SandSavesfrom1020yards",2013
42,42,"Kevin Stadler",83,61.54,32,52,"SandSavesfrom1020yards",2013
45,45,"Greg Chalmers",77,61.4,35,57,"SandSavesfrom1020yards",2013
46,46,"Ben Crane",62,61.36,27,44,"SandSavesfrom1020yards",2013
46,46,"Sergio Garcia",65,61.36,27,44,"SandSavesfrom1020yards",2013
48,48,"Keegan Bradley",88,61.19,41,67,"SandSavesfrom1020yards",2013
49,49,"Jordan Spieth",82,61.02,36,59,"SandSavesfrom1020yards",2013
50,50,"Ryan Moore",72,60.87,28,46,"SandSavesfrom1020yards",2013
51,51,"Michael Thompson",66,60.78,31,51,"SandSavesfrom1020yards",2013
52,52,"Jonas Blixt",76,60.61,40,66,"SandSavesfrom1020yards",2013
53,53,"Jeff Maggert",63,60.53,23,38,"SandSavesfrom1020yards",2013
54,54,"Cameron Percy",68,60.42,29,48,"SandSavesfrom1020yards",2013
54,54,"Tag Ridings",69,60.42,29,48,"SandSavesfrom1020yards",2013
56,56,"William McGirt",75,60.38,32,53,"SandSavesfrom1020yards",2013
57,57,"Jimmy Walker",84,60.32,38,63,"SandSavesfrom1020yards",2013
58,58,"Jim Furyk",80,60,36,60,"SandSavesfrom1020yards",2013
58,58,"Freddie Jacobson",63,60,30,50,"SandSavesfrom1020yards",2013
58,58,"Steve Stricker",51,60,12,20,"SandSavesfrom1020yards",2013
61,61,"Tim Herron",45,59.52,25,42,"SandSavesfrom1020yards",2013
62,62,"Camilo Villegas",79,58.93,33,56,"SandSavesfrom1020yards",2013
63,63,"John Huh",88,58.82,40,68,"SandSavesfrom1020yards",2013
63,63,"Scott Langley",79,58.82,30,51,"SandSavesfrom1020yards",2013
65,65,"Shawn Stefani",63,58.7,27,46,"SandSavesfrom1020yards",2013
66,66,"Charles Howell III",87,58.49,31,53,"SandSavesfrom1020yards",2013
67,67,"Aaron Baddeley",68,58.33,35,60,"SandSavesfrom1020yards",2013
67,67,"Brian Stuard",78,58.33,28,48,"SandSavesfrom1020yards",2013
69,69,"Erik Compton",74,58.06,36,62,"SandSavesfrom1020yards",2013
69,69,"Andres Romero",63,58.06,36,62,"SandSavesfrom1020yards",2013
71,71,"Martin Flores",83,57.97,40,69,"SandSavesfrom1020yards",2013
72,72,"Kevin Streelman",86,57.75,41,71,"SandSavesfrom1020yards",2013
73,73,"Hunter Mahan",91,57.63,34,59,"SandSavesfrom1020yards",2013
