"Approach150175yardsRTPScore_RANKTHISWEEK_2014","Approach150175yardsRTPScore_RANKLASTWEEK_2014","Approach150175yardsRTPScore_PLAYERNAME_2014","Approach150175yardsRTPScore_ROUNDS_2014","Approach150175yardsRTPScore_AVGRTP_2014","stat_name","year"
81,81,"Robert Garrigus",80,-0.05,"Approach150175yardsRTPScore",2014
82,82,"Zach Johnson",97,-0.049,"Approach150175yardsRTPScore",2014
82,82,"Michael Putnam",106,-0.049,"Approach150175yardsRTPScore",2014
84,84,"Matt Every",85,-0.048,"Approach150175yardsRTPScore",2014
84,84,"Bryce Molder",77,-0.048,"Approach150175yardsRTPScore",2014
84,84,"John Senden",99,-0.048,"Approach150175yardsRTPScore",2014
87,87,"Andrew Svoboda",77,-0.046,"Approach150175yardsRTPScore",2014
88,88,"Hudson Swafford",75,-0.045,"Approach150175yardsRTPScore",2014
89,89,"Robert Allenby",83,-0.044,"Approach150175yardsRTPScore",2014
89,89,"Jordan Spieth",102,-0.044,"Approach150175yardsRTPScore",2014
91,91,"Woody Austin",63,-0.043,"Approach150175yardsRTPScore",2014
91,91,"Ben Martin",80,-0.043,"Approach150175yardsRTPScore",2014
93,93,"Jason Kokrak",65,-0.042,"Approach150175yardsRTPScore",2014
94,94,"Jonathan Byrd",76,-0.041,"Approach150175yardsRTPScore",2014
94,94,"Billy Horschel",92,-0.041,"Approach150175yardsRTPScore",2014
94,94,"Charles Howell III",106,-0.041,"Approach150175yardsRTPScore",2014
94,94,"Richard Lee",80,-0.041,"Approach150175yardsRTPScore",2014
94,94,"DA Points",75,-0.041,"Approach150175yardsRTPScore",2014
99,99,"Rickie Fowler",91,-0.04,"Approach150175yardsRTPScore",2014
99,99,"Ian Poulter",57,-0.04,"Approach150175yardsRTPScore",2014
101,101,"Bud Cauley",56,-0.037,"Approach150175yardsRTPScore",2014
101,101,"Martin Flores",85,-0.037,"Approach150175yardsRTPScore",2014
103,103,"Shawn Stefani",60,-0.036,"Approach150175yardsRTPScore",2014
103,103,"YE Yang",79,-0.036,"Approach150175yardsRTPScore",2014
105,105,"JB Holmes",86,-0.033,"Approach150175yardsRTPScore",2014
105,105,"Matt Jones",83,-0.033,"Approach150175yardsRTPScore",2014
107,107,"Luke Guthrie",85,-0.031,"Approach150175yardsRTPScore",2014
107,107,"Geoff Ogilvy",84,-0.031,"Approach150175yardsRTPScore",2014
109,109,"Brendon de Jonge",109,-0.03,"Approach150175yardsRTPScore",2014
110,110,"Sangmoon Bae",76,-0.029,"Approach150175yardsRTPScore",2014
110,110,"Ryan Moore",86,-0.029,"Approach150175yardsRTPScore",2014
112,112,"Phil Mickelson",71,-0.028,"Approach150175yardsRTPScore",2014
113,113,"Charlie Wi",72,-0.024,"Approach150175yardsRTPScore",2014
114,114,"Trevor Immelman",84,-0.023,"Approach150175yardsRTPScore",2014
115,115,"Carl Pettersson",91,-0.022,"Approach150175yardsRTPScore",2014
116,116,"Roberto Castro",76,-0.021,"Approach150175yardsRTPScore",2014
117,117,"Vijay Singh",83,-0.016,"Approach150175yardsRTPScore",2014
117,117,"Brandt Snedeker",89,-0.016,"Approach150175yardsRTPScore",2014
119,119,"Hunter Mahan",88,-0.014,"Approach150175yardsRTPScore",2014
119,119,"Wes Roach",67,-0.014,"Approach150175yardsRTPScore",2014
121,121,"Martin Laird",66,-0.012,"Approach150175yardsRTPScore",2014
121,121,"Scott Stallings",77,-0.012,"Approach150175yardsRTPScore",2014
121,121,"Michael Thompson",74,-0.012,"Approach150175yardsRTPScore",2014
124,124,"Ted Potter Jr",68,-0.011,"Approach150175yardsRTPScore",2014
125,125,"Erik Compton",88,-0.01,"Approach150175yardsRTPScore",2014
125,125,"Nicholas Thompson",85,-0.01,"Approach150175yardsRTPScore",2014
127,127,"JJ Henry",91,-0.009,"Approach150175yardsRTPScore",2014
128,128,"Brad Fritsch",50,-0.008,"Approach150175yardsRTPScore",2014
128,128,"Charl Schwartzel",64,-0.008,"Approach150175yardsRTPScore",2014
130,130,"Troy Merritt",62,-0.007,"Approach150175yardsRTPScore",2014
131,131,"Rory Sabbatini",82,-0.006,"Approach150175yardsRTPScore",2014
132,132,"Billy Hurley III",86,-0.005,"Approach150175yardsRTPScore",2014
133,133,"Ben Curtis",77,0,"Approach150175yardsRTPScore",2014
133,133,"John Peterson",62,0,"Approach150175yardsRTPScore",2014
133,133,"Bubba Watson",76,0,"Approach150175yardsRTPScore",2014
133,133,"Lee Westwood",57,0,"Approach150175yardsRTPScore",2014
137,137,"Stuart Appleby",92,0.004,"Approach150175yardsRTPScore",2014
138,138,"Charley Hoffman",93,0.005,"Approach150175yardsRTPScore",2014
139,139,"Kevin Streelman",79,0.006,"Approach150175yardsRTPScore",2014
140,140,"Jim Renner",61,0.008,"Approach150175yardsRTPScore",2014
141,141,"Martin Kaymer",65,0.009,"Approach150175yardsRTPScore",2014
142,142,"Pat Perez",84,0.01,"Approach150175yardsRTPScore",2014
142,142,"Jhonattan Vegas",77,0.01,"Approach150175yardsRTPScore",2014
144,144,"Russell Henley",92,0.011,"Approach150175yardsRTPScore",2014
145,145,"Davis Love III",74,0.012,"Approach150175yardsRTPScore",2014
146,146,"Josh Teater",90,0.015,"Approach150175yardsRTPScore",2014
147,147,"David Lingmerth",80,0.016,"Approach150175yardsRTPScore",2014
148,148,"Seung Yul Noh",92,0.018,"Approach150175yardsRTPScore",2014
148,148,"Mark Wilson",69,0.018,"Approach150175yardsRTPScore",2014
150,150,"Chesson Hadley",84,0.021,"Approach150175yardsRTPScore",2014
151,151,"Bronson La Cassie",51,0.022,"Approach150175yardsRTPScore",2014
152,152,"James Hahn",82,0.023,"Approach150175yardsRTPScore",2014
153,153,"Justin Hicks",103,0.025,"Approach150175yardsRTPScore",2014
153,153,"Jeff Maggert",54,0.025,"Approach150175yardsRTPScore",2014
155,155,"Tim Wilkinson",86,0.026,"Approach150175yardsRTPScore",2014
156,156,"Kevin Tway",64,0.03,"Approach150175yardsRTPScore",2014
156,156,"Mike Weir",69,0.03,"Approach150175yardsRTPScore",2014
158,158,"John Merrick",87,0.031,"Approach150175yardsRTPScore",2014
159,159,"Briny Baird",50,0.043,"Approach150175yardsRTPScore",2014
160,160,"Aaron Baddeley",74,0.045,"Approach150175yardsRTPScore",2014
