"MissedFairwayPercentOther_RANKTHISWEEK_2014","MissedFairwayPercentOther_RANKLASTWEEK_2014","MissedFairwayPercentOther_PLAYERNAME_2014","MissedFairwayPercentOther_ROUNDS_2014","MissedFairwayPercentOther_Pct_2014","MissedFairwayPercentOther_TOTALMISSED_2014","MissedFairwayPercentOther_TOTALFWYS_2014","MissedFairwayPercentOther_RELATIVETOPAR_2014","stat_name","year"
1,1,"Jason Dufner",57,1.37,8,586,0.5,"MissedFairwayPercentOther",2014
2,2,"Brendon Todd",108,1.5,19,1263,0.37,"MissedFairwayPercentOther",2014
3,3,"JJ Henry",91,1.58,17,1078,0.94,"MissedFairwayPercentOther",2014
4,4,"Jim Furyk",84,1.74,16,918,0.25,"MissedFairwayPercentOther",2014
5,5,"Boo Weekley",73,1.78,14,785,0.43,"MissedFairwayPercentOther",2014
6,6,"Andrew Svoboda",77,1.85,17,918,0.59,"MissedFairwayPercentOther",2014
7,7,"Sangmoon Bae",76,1.88,17,904,0.24,"MissedFairwayPercentOther",2014
7,7,"Graeme McDowell",66,1.88,12,640,0.75,"MissedFairwayPercentOther",2014
9,9,"Heath Slocum",71,1.96,17,867,0.71,"MissedFairwayPercentOther",2014
10,10,"Matt Kuchar",91,1.99,21,1056,0.43,"MissedFairwayPercentOther",2014
10,10,"Danny Lee",84,1.99,19,956,0.63,"MissedFairwayPercentOther",2014
12,12,"David Toms",64,2,15,750,0.73,"MissedFairwayPercentOther",2014
13,13,"David Hearn",97,2.12,24,1134,0.79,"MissedFairwayPercentOther",2014
13,13,"Jeff Maggert",54,2.12,13,612,0.77,"MissedFairwayPercentOther",2014
15,15,"Zach Johnson",97,2.13,25,1174,0.4,"MissedFairwayPercentOther",2014
16,16,"Jerry Kelly",80,2.18,20,916,0.3,"MissedFairwayPercentOther",2014
17,17,"Billy Hurley III",86,2.19,22,1003,0.73,"MissedFairwayPercentOther",2014
18,18,"Cameron Tringale",111,2.21,30,1356,0.57,"MissedFairwayPercentOther",2014
19,19,"Paul Casey",56,2.3,14,609,0.86,"MissedFairwayPercentOther",2014
19,19,"Ryan Moore",86,2.3,20,869,0.3,"MissedFairwayPercentOther",2014
21,21,"Justin Hicks",103,2.31,29,1253,0.69,"MissedFairwayPercentOther",2014
22,22,"Ken Duke",80,2.39,22,921,0.59,"MissedFairwayPercentOther",2014
23,23,"Charl Schwartzel",64,2.41,18,748,0.5,"MissedFairwayPercentOther",2014
24,24,"Brian Stuard",91,2.43,25,1028,0.24,"MissedFairwayPercentOther",2014
24,24,"Nick Watney",80,2.43,19,783,0.84,"MissedFairwayPercentOther",2014
26,26,"Ian Poulter",57,2.48,14,565,0.36,"MissedFairwayPercentOther",2014
27,27,"Hudson Swafford",75,2.5,20,801,0.7,"MissedFairwayPercentOther",2014
28,28,"Kevin Stadler",90,2.54,23,905,0.65,"MissedFairwayPercentOther",2014
29,29,"Tim Clark",75,2.55,22,862,0.95,"MissedFairwayPercentOther",2014
30,30,"William McGirt",96,2.57,30,1168,0.23,"MissedFairwayPercentOther",2014
31,31,"John Merrick",87,2.59,26,1002,1.04,"MissedFairwayPercentOther",2014
32,32,"Russell Knox",92,2.6,30,1155,0.4,"MissedFairwayPercentOther",2014
33,33,"Brendon de Jonge",109,2.66,34,1277,0.44,"MissedFairwayPercentOther",2014
33,33,"Bill Haas",107,2.66,30,1129,0.3,"MissedFairwayPercentOther",2014
35,35,"Scott Brown",100,2.67,31,1160,0.58,"MissedFairwayPercentOther",2014
35,35,"Jason Day",54,2.67,12,450,0.58,"MissedFairwayPercentOther",2014
37,37,"Billy Horschel",92,2.7,26,963,0.73,"MissedFairwayPercentOther",2014
38,38,"Roberto Castro",76,2.71,22,811,0.68,"MissedFairwayPercentOther",2014
39,39,"Scott Langley",95,2.75,30,1091,0.83,"MissedFairwayPercentOther",2014
39,39,"DA Points",75,2.75,21,763,0.81,"MissedFairwayPercentOther",2014
41,41,"John Senden",99,2.76,31,1122,0.65,"MissedFairwayPercentOther",2014
42,42,"Ben Crane",81,2.78,30,1078,0.63,"MissedFairwayPercentOther",2014
43,43,"Derek Ernst",80,2.84,25,879,1.12,"MissedFairwayPercentOther",2014
43,43,"David Lingmerth",80,2.84,26,915,0.62,"MissedFairwayPercentOther",2014
45,45,"John Huh",87,2.87,28,975,0.68,"MissedFairwayPercentOther",2014
46,46,"Nicholas Thompson",85,2.89,28,969,0.68,"MissedFairwayPercentOther",2014
47,47,"Woody Austin",63,2.9,23,792,0.87,"MissedFairwayPercentOther",2014
47,47,"Jonathan Byrd",76,2.9,26,898,0.46,"MissedFairwayPercentOther",2014
47,47,"Hunter Mahan",88,2.9,29,1001,0.17,"MissedFairwayPercentOther",2014
50,50,"Justin Leonard",75,2.91,25,858,1,"MissedFairwayPercentOther",2014
51,51,"Robert Streb",75,2.93,26,887,0.12,"MissedFairwayPercentOther",2014
52,52,"Kevin Na",94,2.97,32,1078,0.53,"MissedFairwayPercentOther",2014
53,53,"Rory McIlroy",66,3.01,20,665,0.1,"MissedFairwayPercentOther",2014
54,54,"Keegan Bradley",89,3.02,28,928,0.61,"MissedFairwayPercentOther",2014
54,54,"Daniel Summerhays",98,3.02,37,1226,0.49,"MissedFairwayPercentOther",2014
56,56,"Brian Davis",93,3.03,34,1123,0.65,"MissedFairwayPercentOther",2014
56,56,"Tim Wilkinson",86,3.03,30,990,0.33,"MissedFairwayPercentOther",2014
58,58,"Spencer Levin",59,3.04,21,691,0.86,"MissedFairwayPercentOther",2014
58,58,"Mark Wilson",69,3.04,24,790,0.83,"MissedFairwayPercentOther",2014
