"HangTime_RANKTHISWEEK_2014","HangTime_RANKLASTWEEK_2014","HangTime_PLAYERNAME_2014","HangTime_ROUNDS_2014","HangTime_AVG_2014","HangTime_TOTALACTUALHANGTIME_2014","HangTime_TOTALATTEMPTS_2014","HangTime_LONGESTACTHANGTIME_2014","HangTime_SHORTESTACTHANGTIME_2014","stat_name","year"
1,1,"Rickie Fowler",91,6.9,432.4,63,8,4.3,"HangTime",2014
1,1,"Jamie Lovemark",64,6.9,304.4,44,7.9,5.1,"HangTime",2014
3,3,"Graham DeLaet",80,6.8,358.3,53,7.6,4,"HangTime",2014
3,3,"Geoff Ogilvy",84,6.8,474,70,7.4,5.1,"HangTime",2014
5,5,"James Hahn",82,6.7,455.1,68,8.3,5.2,"HangTime",2014
5,5,"Charley Hoffman",93,6.7,546.4,81,7.7,3.8,"HangTime",2014
5,5,"Andrew Loupe",65,6.7,294.2,44,8.4,3.4,"HangTime",2014
5,5,"Will Ma Kenzie",82,6.7,519.2,78,7.7,5.1,"HangTime",2014
5,5,"Hudson Swafford",75,6.7,355,53,8.1,4.9,"HangTime",2014
10,10,"Angel Cabrera",69,6.6,438,66,7.9,4.1,"HangTime",2014
10,10,"Bud Cauley",56,6.6,322.5,49,7.6,3.2,"HangTime",2014
10,10,"Luke Donald",57,6.6,270.2,41,7.5,3.4,"HangTime",2014
10,10,"Derek Ernst",80,6.6,381.7,58,7.7,3,"HangTime",2014
10,10,"Bill Haas",107,6.6,513.9,78,7.5,4.1,"HangTime",2014
10,10,"JJ Henry",91,6.6,472,72,7.3,3.8,"HangTime",2014
10,10,"JB Holmes",86,6.6,411.3,62,7.6,4.7,"HangTime",2014
10,10,"Brooks Koepka",56,6.6,252.3,38,7.9,2.8,"HangTime",2014
10,10,"Marc Leishman",81,6.6,436.3,66,7.7,4.9,"HangTime",2014
10,10,"Hunter Mahan",88,6.6,485.5,74,7.7,3,"HangTime",2014
10,10,"Ryan Palmer",85,6.6,434,66,7.9,4.9,"HangTime",2014
10,10,"Kyle Stanley",87,6.6,488.7,74,8,3.5,"HangTime",2014
10,10,"Josh Teater",90,6.6,517.6,78,7.7,3.3,"HangTime",2014
