"SandSavesfrom_RANKTHISWEEK_2006","SandSavesfrom_RANKLASTWEEK_2006","SandSavesfrom_PLAYERNAME_2006","SandSavesfrom_ROUNDS_2006","SandSavesfrom_Pct_2006","SandSavesfrom_OFSAVES_2006","SandSavesfrom_OFBUNKERS_2006","stat_name","year"
1,1,"Michael Connell",51,100,3,3,"SandSavesfrom",2006
1,1,"Padraig Harrington",54,100,2,2,"SandSavesfrom",2006
1,1,"Ryan Hietala",61,100,2,2,"SandSavesfrom",2006
1,1,"JB Holmes",81,100,5,5,"SandSavesfrom",2006
1,1,"Bernhard Langer",77,100,1,1,"SandSavesfrom",2006
1,1,"Bob May",65,100,4,4,"SandSavesfrom",2006
1,1,"Jose Maria Olazabal",62,100,3,3,"SandSavesfrom",2006
1,1,"Tom Pernice Jr",108,100,6,6,"SandSavesfrom",2006
1,1,"Omar Uresti",61,100,1,1,"SandSavesfrom",2006
10,10,"Corey Pavin",74,90.91,10,11,"SandSavesfrom",2006
11,11,"Steve Jones",83,88.89,8,9,"SandSavesfrom",2006
11,11,"Rod Pampling",89,88.89,8,9,"SandSavesfrom",2006
11,11,"Brett Quigley",109,88.89,8,9,"SandSavesfrom",2006
14,14,"Duffy Waldorf",96,87.5,7,8,"SandSavesfrom",2006
15,15,"Jeff Overton",95,85.71,6,7,"SandSavesfrom",2006
15,15,"Nicholas Thompson",96,85.71,6,7,"SandSavesfrom",2006
17,17,"Jeff Maggert",81,83.33,5,6,"SandSavesfrom",2006
17,17,"Jeff Sluman",101,83.33,10,12,"SandSavesfrom",2006
17,17,"Tjaart van der Walt",60,83.33,5,6,"SandSavesfrom",2006
20,20,"Robert Gamez",94,81.82,9,11,"SandSavesfrom",2006
21,21,"John Cook",67,80,4,5,"SandSavesfrom",2006
21,21,"Ryuji Imada",105,80,4,5,"SandSavesfrom",2006
21,21,"Mark Wilson",79,80,4,5,"SandSavesfrom",2006
24,24,"Bart Bryant",87,77.78,7,9,"SandSavesfrom",2006
24,24,"Mathew Goggin",72,77.78,7,9,"SandSavesfrom",2006
24,24,"Sean OHair",100,77.78,7,9,"SandSavesfrom",2006
24,24,"Wes Short Jr",96,77.78,7,9,"SandSavesfrom",2006
24,24,"Paul Stankowski",70,77.78,7,9,"SandSavesfrom",2006
29,29,"Jason Bohn",104,76.92,10,13,"SandSavesfrom",2006
29,29,"Dean Wilson",115,76.92,10,13,"SandSavesfrom",2006
31,31,"Robert Allenby",79,75,9,12,"SandSavesfrom",2006
31,31,"Eric Axley",91,75,3,4,"SandSavesfrom",2006
