"StrokeDifferentialFieldAverage_RANKTHISWEEK_2009","StrokeDifferentialFieldAverage_RANKLASTWEEK_2009","StrokeDifferentialFieldAverage_PLAYERNAME_2009","StrokeDifferentialFieldAverage_ROUNDS_2009","StrokeDifferentialFieldAverage_STROKEDIFFERENTIAL_2009","StrokeDifferentialFieldAverage_PLAYERSSCORE_2009","StrokeDifferentialFieldAverage_FIELDAVERAGESCORE_2009","stat_name","year"
1,1,"Tiger Woods",64,3.04,68.84,71.88,"StrokeDifferentialFieldAverage",2009
2,2,"Steve Stricker",81,1.77,69.51,71.28,"StrokeDifferentialFieldAverage",2009
3,3,"Jim Furyk",86,1.59,70.02,71.61,"StrokeDifferentialFieldAverage",2009
4,4,"Zach Johnson",94,1.39,69.82,71.21,"StrokeDifferentialFieldAverage",2009
5,5,"Hunter Mahan",94,1.31,70.11,71.42,"StrokeDifferentialFieldAverage",2009
6,6,"Tim Clark",81,1.26,69.68,70.94,"StrokeDifferentialFieldAverage",2009
7,7,"Kenny Perry",92,1.25,70.14,71.39,"StrokeDifferentialFieldAverage",2009
8,8,"David Toms",98,1.14,69.76,70.9,"StrokeDifferentialFieldAverage",2009
9,9,"Nick Watney",86,1.12,70.38,71.5,"StrokeDifferentialFieldAverage",2009
10,10,"Retief Goosen",74,1.11,70.71,71.82,"StrokeDifferentialFieldAverage",2009
11,11,"Luke Donald",79,1.1,70.47,71.57,"StrokeDifferentialFieldAverage",2009
12,12,"Ian Poulter",59,1.08,70.84,71.92,"StrokeDifferentialFieldAverage",2009
13,13,"Camilo Villegas",76,1.07,70.82,71.89,"StrokeDifferentialFieldAverage",2009
14,14,"Jason Day",61,1.05,70.08,71.13,"StrokeDifferentialFieldAverage",2009
14,14,"Sean OHair",80,1.05,70.45,71.5,"StrokeDifferentialFieldAverage",2009
16,16,"Matt Kuchar",82,1.03,70.1,71.13,"StrokeDifferentialFieldAverage",2009
17,17,"John Senden",100,1,70.18,71.18,"StrokeDifferentialFieldAverage",2009
18,18,"Steve Marino",98,0.98,70.09,71.07,"StrokeDifferentialFieldAverage",2009
18,18,"Phil Mickelson",66,0.98,70.83,71.81,"StrokeDifferentialFieldAverage",2009
20,20,"Lucas Glover",93,0.96,70.34,71.3,"StrokeDifferentialFieldAverage",2009
21,21,"Kevin Na",91,0.95,70.21,71.16,"StrokeDifferentialFieldAverage",2009
22,22,"Padraig Harrington",66,0.94,71.05,71.99,"StrokeDifferentialFieldAverage",2009
22,22,"Justin Leonard",95,0.94,69.91,70.85,"StrokeDifferentialFieldAverage",2009
24,24,"Robert Allenby",71,0.91,70.81,71.72,"StrokeDifferentialFieldAverage",2009
24,24,"Ernie Els",70,0.91,70.76,71.67,"StrokeDifferentialFieldAverage",2009
26,26,"Geoff Ogilvy",78,0.88,70.68,71.56,"StrokeDifferentialFieldAverage",2009
27,27,"Stephen Ames",77,0.87,70.19,71.06,"StrokeDifferentialFieldAverage",2009
28,28,"Sergio Garcia",59,0.84,70.62,71.46,"StrokeDifferentialFieldAverage",2009
28,28,"Dustin Johnson",85,0.84,70.48,71.32,"StrokeDifferentialFieldAverage",2009
30,30,"Scott Verplank",88,0.8,69.99,70.79,"StrokeDifferentialFieldAverage",2009
31,31,"Jerry Kelly",90,0.78,70.01,70.79,"StrokeDifferentialFieldAverage",2009
32,32,"Jason Dufner",90,0.74,70.48,71.22,"StrokeDifferentialFieldAverage",2009
32,32,"Mike Weir",85,0.74,70.42,71.16,"StrokeDifferentialFieldAverage",2009
34,34,"Charley Hoffman",97,0.72,70.32,71.04,"StrokeDifferentialFieldAverage",2009
35,35,"Angel Cabrera",55,0.71,71.15,71.86,"StrokeDifferentialFieldAverage",2009
36,36,"Ben Crane",93,0.69,70.34,71.03,"StrokeDifferentialFieldAverage",2009
37,37,"Jonathan Byrd",89,0.67,70.31,70.98,"StrokeDifferentialFieldAverage",2009
38,38,"Bo Van Pelt",100,0.66,70.12,70.78,"StrokeDifferentialFieldAverage",2009
39,39,"George McNeill",82,0.65,70.41,71.06,"StrokeDifferentialFieldAverage",2009
39,39,"Kevin Sutherland",96,0.65,70.71,71.36,"StrokeDifferentialFieldAverage",2009
39,39,"YE Yang",83,0.65,70.72,71.37,"StrokeDifferentialFieldAverage",2009
42,42,"Justin Rose",71,0.64,70.79,71.43,"StrokeDifferentialFieldAverage",2009
42,42,"Mark Wilson",99,0.64,70.21,70.85,"StrokeDifferentialFieldAverage",2009
44,44,"Bubba Watson",73,0.62,70.82,71.44,"StrokeDifferentialFieldAverage",2009
45,45,"Woody Austin",84,0.59,70.68,71.27,"StrokeDifferentialFieldAverage",2009
45,45,"Charles Howell III",99,0.59,70.62,71.21,"StrokeDifferentialFieldAverage",2009
47,47,"Anthony Kim",76,0.58,70.62,71.2,"StrokeDifferentialFieldAverage",2009
47,47,"Davis Love III",89,0.58,70.69,71.27,"StrokeDifferentialFieldAverage",2009
47,47,"Brandt Snedeker",81,0.58,70.57,71.15,"StrokeDifferentialFieldAverage",2009
50,50,"Chad Campbell",90,0.57,70.31,70.88,"StrokeDifferentialFieldAverage",2009
51,51,"Bryce Molder",69,0.54,70.12,70.66,"StrokeDifferentialFieldAverage",2009
51,51,"Rod Pampling",72,0.54,70.85,71.39,"StrokeDifferentialFieldAverage",2009
53,53,"Rory Sabbatini",81,0.53,70.61,71.14,"StrokeDifferentialFieldAverage",2009
54,54,"Bill Haas",91,0.51,70.36,70.87,"StrokeDifferentialFieldAverage",2009
55,55,"Bob Estes",78,0.49,70.49,70.98,"StrokeDifferentialFieldAverage",2009
56,56,"Ryan Moore",89,0.48,70.46,70.94,"StrokeDifferentialFieldAverage",2009
56,56,"Boo Weekley",79,0.48,70.88,71.36,"StrokeDifferentialFieldAverage",2009
58,58,"JJ Henry",97,0.47,70.44,70.91,"StrokeDifferentialFieldAverage",2009
59,59,"Brian Gay",96,0.46,70.34,70.8,"StrokeDifferentialFieldAverage",2009
60,60,"Fred Couples",54,0.44,70.65,71.09,"StrokeDifferentialFieldAverage",2009
61,61,"Stewart Cink",79,0.43,71.1,71.53,"StrokeDifferentialFieldAverage",2009
62,62,"Greg Chalmers",85,0.41,69.99,70.4,"StrokeDifferentialFieldAverage",2009
63,63,"Charlie Wi",92,0.4,70.46,70.86,"StrokeDifferentialFieldAverage",2009
64,64,"Michael Allen",73,0.39,70.74,71.13,"StrokeDifferentialFieldAverage",2009
64,64,"Nick OHern",90,0.39,70.39,70.78,"StrokeDifferentialFieldAverage",2009
64,64,"Jeff Overton",92,0.39,71.1,71.49,"StrokeDifferentialFieldAverage",2009
67,67,"Matt Jones",56,0.37,70.32,70.69,"StrokeDifferentialFieldAverage",2009
67,67,"Chris Riley",77,0.37,70.13,70.5,"StrokeDifferentialFieldAverage",2009
69,69,"John Mallinger",90,0.36,70.77,71.13,"StrokeDifferentialFieldAverage",2009
69,69,"Tim Petrovic",97,0.36,70.42,70.78,"StrokeDifferentialFieldAverage",2009
71,71,"Vijay Singh",71,0.35,71.13,71.48,"StrokeDifferentialFieldAverage",2009
72,72,"Ben Curtis",63,0.34,71.63,71.97,"StrokeDifferentialFieldAverage",2009
73,73,"Harrison Frazar",93,0.33,70.19,70.52,"StrokeDifferentialFieldAverage",2009
73,73,"Pat Perez",74,0.33,70.82,71.15,"StrokeDifferentialFieldAverage",2009
75,75,"Briny Baird",89,0.32,70.42,70.74,"StrokeDifferentialFieldAverage",2009
75,75,"Freddie Jacobson",83,0.32,70.65,70.97,"StrokeDifferentialFieldAverage",2009
75,75,"Marc Leishman",91,0.32,70.6,70.92,"StrokeDifferentialFieldAverage",2009
75,75,"Michael Letzig",96,0.32,70.51,70.83,"StrokeDifferentialFieldAverage",2009
75,75,"Scott McCarron",91,0.32,70.56,70.88,"StrokeDifferentialFieldAverage",2009
80,80,"Jeff Klauk",97,0.31,70.57,70.88,"StrokeDifferentialFieldAverage",2009
80,80,"Kevin Stadler",65,0.31,70.43,70.74,"StrokeDifferentialFieldAverage",2009
82,82,"Scott Sterling",51,0.3,70.51,70.81,"StrokeDifferentialFieldAverage",2009
83,83,"Troy Matteson",95,0.29,70.57,70.86,"StrokeDifferentialFieldAverage",2009
84,84,"Greg Owen",97,0.28,70.32,70.6,"StrokeDifferentialFieldAverage",2009
85,85,"Robert Garrigus",83,0.27,70.42,70.69,"StrokeDifferentialFieldAverage",2009
85,85,"Kevin Streelman",97,0.27,70.51,70.78,"StrokeDifferentialFieldAverage",2009
87,87,"James Nitties",86,0.25,70.67,70.92,"StrokeDifferentialFieldAverage",2009
87,87,"Scott Piercy",85,0.25,70.69,70.94,"StrokeDifferentialFieldAverage",2009
87,87,"DJ Trahan",96,0.25,70.5,70.75,"StrokeDifferentialFieldAverage",2009
90,90,"Jason Bohn",88,0.24,70.41,70.65,"StrokeDifferentialFieldAverage",2009
91,91,"Brian Davis",103,0.23,70.53,70.76,"StrokeDifferentialFieldAverage",2009
91,91,"Mathew Goggin",76,0.23,71.07,71.3,"StrokeDifferentialFieldAverage",2009
91,91,"Paul Goydos",79,0.23,71.04,71.27,"StrokeDifferentialFieldAverage",2009
91,91,"Webb Simpson",94,0.23,70.71,70.94,"StrokeDifferentialFieldAverage",2009
95,95,"Bill Lunde",83,0.22,70.43,70.65,"StrokeDifferentialFieldAverage",2009
96,96,"Tom Lehman",55,0.21,71.42,71.63,"StrokeDifferentialFieldAverage",2009
96,96,"Ted Purdy",101,0.21,70.68,70.89,"StrokeDifferentialFieldAverage",2009
96,96,"Brett Quigley",92,0.21,70.68,70.89,"StrokeDifferentialFieldAverage",2009
96,96,"Heath Slocum",95,0.21,70.53,70.74,"StrokeDifferentialFieldAverage",2009
96,96,"Charles Warren",63,0.21,70.87,71.08,"StrokeDifferentialFieldAverage",2009
101,101,"Corey Pavin",73,0.2,70.58,70.78,"StrokeDifferentialFieldAverage",2009
101,101,"Patrick Sheehan",51,0.2,70.49,70.69,"StrokeDifferentialFieldAverage",2009
103,103,"Chris DiMarco",97,0.18,70.48,70.66,"StrokeDifferentialFieldAverage",2009
104,104,"KJ Choi",65,0.17,71.52,71.69,"StrokeDifferentialFieldAverage",2009
104,104,"Spencer Levin",75,0.17,70.44,70.61,"StrokeDifferentialFieldAverage",2009
106,106,"John Merrick",91,0.16,70.84,71,"StrokeDifferentialFieldAverage",2009
106,106,"DA Points",99,0.16,70.73,70.89,"StrokeDifferentialFieldAverage",2009
106,106,"Matt Weibring",65,0.16,70.38,70.54,"StrokeDifferentialFieldAverage",2009
