"CurrentStreakwithouta3Putt_RANKTHISWEEK_2013","CurrentStreakwithouta3Putt_RANKLASTWEEK_2013","CurrentStreakwithouta3Putt_PLAYERNAME_2013","CurrentStreakwithouta3Putt_EVENTS_2013","CurrentStreakwithouta3Putt_VALUE_2013","stat_name","year"
1,1,"Hunter Mahan",25,187,"CurrentStreakwithouta3Putt",2013
2,2,"Stuart Appleby",25,163,"CurrentStreakwithouta3Putt",2013
3,3,"Ernie Els",19,154,"CurrentStreakwithouta3Putt",2013
4,4,"Luke Donald",17,151,"CurrentStreakwithouta3Putt",2013
5,5,"Kevin Streelman",25,121,"CurrentStreakwithouta3Putt",2013
6,6,"Keegan Bradley",25,112,"CurrentStreakwithouta3Putt",2013
7,7,"Webb Simpson",25,109,"CurrentStreakwithouta3Putt",2013
8,8,"Richard Lee",24,108,"CurrentStreakwithouta3Putt",2013
9,9,"Dicky Pride",23,102,"CurrentStreakwithouta3Putt",2013
10,10,"William McGirt",24,101,"CurrentStreakwithouta3Putt",2013
11,11,"Vaughn Taylor",16,88,"CurrentStreakwithouta3Putt",2013
12,12,"Brandt Snedeker",23,86,"CurrentStreakwithouta3Putt",2013
13,13,"Cameron Tringale",24,84,"CurrentStreakwithouta3Putt",2013
14,14,"Rory Sabbatini",27,79,"CurrentStreakwithouta3Putt",2013
15,15,"Justin Leonard",24,75,"CurrentStreakwithouta3Putt",2013
16,16,"Aaron Baddeley",24,74,"CurrentStreakwithouta3Putt",2013
17,17,"David Lynn",22,71,"CurrentStreakwithouta3Putt",2013
17,17,"Andres Romero",21,71,"CurrentStreakwithouta3Putt",2013
19,19,"Jim Furyk",22,68,"CurrentStreakwithouta3Putt",2013
20,20,"Russell Henley",24,63,"CurrentStreakwithouta3Putt",2013
20,20,"Tiger Woods",16,63,"CurrentStreakwithouta3Putt",2013
22,22,"KJ Choi",24,62,"CurrentStreakwithouta3Putt",2013
23,23,"Matt Jones",24,59,"CurrentStreakwithouta3Putt",2013
24,24,"Jordan Spieth",23,58,"CurrentStreakwithouta3Putt",2013
25,25,"Freddie Jacobson",19,56,"CurrentStreakwithouta3Putt",2013
26,26,"YE Yang",19,53,"CurrentStreakwithouta3Putt",2013
27,27,"Sergio Garcia",17,51,"CurrentStreakwithouta3Putt",2013
28,28,"JJ Henry",26,49,"CurrentStreakwithouta3Putt",2013
28,28,"Rory McIlroy",16,49,"CurrentStreakwithouta3Putt",2013
28,28,"Ryan Moore",22,49,"CurrentStreakwithouta3Putt",2013
28,28,"Ryan Palmer",22,49,"CurrentStreakwithouta3Putt",2013
32,32,"Kevin Chappell",24,48,"CurrentStreakwithouta3Putt",2013
33,33,"Brian Harman",29,47,"CurrentStreakwithouta3Putt",2013
34,34,"Kevin Stadler",25,46,"CurrentStreakwithouta3Putt",2013
35,35,"Camilo Villegas",23,45,"CurrentStreakwithouta3Putt",2013
36,36,"Jason Dufner",22,44,"CurrentStreakwithouta3Putt",2013
36,36,"Martin Laird",21,44,"CurrentStreakwithouta3Putt",2013
38,38,"Johnson Wagner",24,42,"CurrentStreakwithouta3Putt",2013
39,39,"Jimmy Walker",24,41,"CurrentStreakwithouta3Putt",2013
40,40,"Jonas Blixt",24,40,"CurrentStreakwithouta3Putt",2013
40,40,"Ben Curtis",20,40,"CurrentStreakwithouta3Putt",2013
42,42,"Roberto Castro",29,39,"CurrentStreakwithouta3Putt",2013
42,42,"Harris English",26,39,"CurrentStreakwithouta3Putt",2013
44,44,"Ken Duke",28,37,"CurrentStreakwithouta3Putt",2013
44,44,"John Rollins",24,37,"CurrentStreakwithouta3Putt",2013
46,46,"Charl Schwartzel",19,36,"CurrentStreakwithouta3Putt",2013
46,46,"Bo Van Pelt",22,36,"CurrentStreakwithouta3Putt",2013
48,48,"Steve Stricker",13,35,"CurrentStreakwithouta3Putt",2013
49,49,"Cameron Percy",21,33,"CurrentStreakwithouta3Putt",2013
50,50,"Angel Cabrera",21,32,"CurrentStreakwithouta3Putt",2013
51,51,"Gary Woodland",26,31,"CurrentStreakwithouta3Putt",2013
52,52,"Derek Ernst",21,30,"CurrentStreakwithouta3Putt",2013
52,52,"Billy Horschel",26,30,"CurrentStreakwithouta3Putt",2013
52,52,"Josh Teater",24,30,"CurrentStreakwithouta3Putt",2013
55,55,"Bobby Gates",20,29,"CurrentStreakwithouta3Putt",2013
55,55,"Phil Mickelson",21,29,"CurrentStreakwithouta3Putt",2013
57,57,"Brandt Jobe",19,28,"CurrentStreakwithouta3Putt",2013
57,57,"Jeff Overton",24,28,"CurrentStreakwithouta3Putt",2013
59,59,"Justin Hicks",25,27,"CurrentStreakwithouta3Putt",2013
60,60,"Colt Knost",25,26,"CurrentStreakwithouta3Putt",2013
60,60,"Rod Pampling",16,26,"CurrentStreakwithouta3Putt",2013
62,62,"Martin Kaymer",17,25,"CurrentStreakwithouta3Putt",2013
62,62,"Doug LaBelle II",23,25,"CurrentStreakwithouta3Putt",2013
62,62,"Jin Park",20,25,"CurrentStreakwithouta3Putt",2013
62,62,"Chez Reavie",22,25,"CurrentStreakwithouta3Putt",2013
62,62,"David Toms",16,25,"CurrentStreakwithouta3Putt",2013
62,62,"Mike Weir",22,25,"CurrentStreakwithouta3Putt",2013
68,68,"Robert Streb",25,24,"CurrentStreakwithouta3Putt",2013
68,68,"Michael Thompson",22,24,"CurrentStreakwithouta3Putt",2013
70,70,"Matt Kuchar",23,23,"CurrentStreakwithouta3Putt",2013
70,70,"Bryce Molder",24,23,"CurrentStreakwithouta3Putt",2013
72,72,"Jason Day",21,22,"CurrentStreakwithouta3Putt",2013
72,72,"Padraig Harrington",17,22,"CurrentStreakwithouta3Putt",2013
72,72,"Scott Langley",27,22,"CurrentStreakwithouta3Putt",2013
72,72,"George McNeill",21,22,"CurrentStreakwithouta3Putt",2013
76,76,"James Driscoll",23,21,"CurrentStreakwithouta3Putt",2013
76,76,"Brad Fritsch",24,21,"CurrentStreakwithouta3Putt",2013
76,76,"Peter Hanson",15,21,"CurrentStreakwithouta3Putt",2013
76,76,"Henrik Norlander",22,21,"CurrentStreakwithouta3Putt",2013
80,80,"Brian Davis",28,20,"CurrentStreakwithouta3Putt",2013
80,80,"Brendon de Jonge",30,20,"CurrentStreakwithouta3Putt",2013
80,80,"DH Lee",22,20,"CurrentStreakwithouta3Putt",2013
80,80,"Greg Owen",24,20,"CurrentStreakwithouta3Putt",2013
84,84,"Greg Chalmers",25,19,"CurrentStreakwithouta3Putt",2013
85,85,"Sangmoon Bae",26,18,"CurrentStreakwithouta3Putt",2013
85,85,"Charles Howell III",26,18,"CurrentStreakwithouta3Putt",2013
85,85,"Henrik Stenson",18,18,"CurrentStreakwithouta3Putt",2013
88,88,"Bob Estes",18,17,"CurrentStreakwithouta3Putt",2013
89,89,"Geoff Ogilvy",19,16,"CurrentStreakwithouta3Putt",2013
89,89,"Scott Piercy",24,16,"CurrentStreakwithouta3Putt",2013
89,89,"DA Points",28,16,"CurrentStreakwithouta3Putt",2013
89,89,"Brendan Steele",26,16,"CurrentStreakwithouta3Putt",2013
93,93,"Fabian Gomez",23,15,"CurrentStreakwithouta3Putt",2013
93,93,"David Hearn",26,15,"CurrentStreakwithouta3Putt",2013
93,93,"Zach Johnson",24,15,"CurrentStreakwithouta3Putt",2013
93,93,"Darron Stiles",20,15,"CurrentStreakwithouta3Putt",2013
93,93,"Nicholas Thompson",29,15,"CurrentStreakwithouta3Putt",2013
98,98,"Brian Gay",24,14,"CurrentStreakwithouta3Putt",2013
98,98,"Morgan Hoffmann",20,14,"CurrentStreakwithouta3Putt",2013
98,98,"Aaron Watkins",19,14,"CurrentStreakwithouta3Putt",2013
101,101,"Ricky Barnes",26,13,"CurrentStreakwithouta3Putt",2013
101,101,"Will Claxton",24,13,"CurrentStreakwithouta3Putt",2013
101,101,"Robert Garrigus",22,13,"CurrentStreakwithouta3Putt",2013
101,101,"Tim Herron",15,13,"CurrentStreakwithouta3Putt",2013
101,101,"Robert Karlsson",18,13,"CurrentStreakwithouta3Putt",2013
101,101,"Marc Leishman",23,13,"CurrentStreakwithouta3Putt",2013
107,107,"Chad Campbell",25,12,"CurrentStreakwithouta3Putt",2013
107,107,"Bill Haas",25,12,"CurrentStreakwithouta3Putt",2013
109,109,"Robert Allenby",24,11,"CurrentStreakwithouta3Putt",2013
109,109,"Jason Bohn",23,11,"CurrentStreakwithouta3Putt",2013
109,109,"Erik Compton",24,11,"CurrentStreakwithouta3Putt",2013
109,109,"Jason Kokrak",25,11,"CurrentStreakwithouta3Putt",2013
109,109,"Ian Poulter",16,11,"CurrentStreakwithouta3Putt",2013
109,109,"Shawn Stefani",21,11,"CurrentStreakwithouta3Putt",2013
115,115,"Scott Brown",21,10,"CurrentStreakwithouta3Putt",2013
115,115,"Nick Watney",26,10,"CurrentStreakwithouta3Putt",2013
115,115,"Casey Wittenberg",27,10,"CurrentStreakwithouta3Putt",2013
118,118,"Tommy Gainey",28,9,"CurrentStreakwithouta3Putt",2013
118,118,"Jerry Kelly",22,9,"CurrentStreakwithouta3Putt",2013
118,118,"Brian Stuard",25,9,"CurrentStreakwithouta3Putt",2013
121,121,"Patrick Reed",26,8,"CurrentStreakwithouta3Putt",2013
121,121,"Lee Westwood",19,8,"CurrentStreakwithouta3Putt",2013
123,123,"Graham DeLaet",26,7,"CurrentStreakwithouta3Putt",2013
123,123,"Matt Every",28,7,"CurrentStreakwithouta3Putt",2013
123,123,"Luke Guthrie",27,7,"CurrentStreakwithouta3Putt",2013
123,123,"James Hahn",26,7,"CurrentStreakwithouta3Putt",2013
123,123,"Jim Herman",19,7,"CurrentStreakwithouta3Putt",2013
123,123,"David Mathis",24,7,"CurrentStreakwithouta3Putt",2013
123,123,"Ted Potter Jr",22,7,"CurrentStreakwithouta3Putt",2013
123,123,"John Senden",25,7,"CurrentStreakwithouta3Putt",2013
123,123,"DJ Trahan",16,7,"CurrentStreakwithouta3Putt",2013
123,123,"Boo Weekley",27,7,"CurrentStreakwithouta3Putt",2013
133,133,"Steven Bowditch",22,6,"CurrentStreakwithouta3Putt",2013
133,133,"Scott Gardiner",23,6,"CurrentStreakwithouta3Putt",2013
133,133,"Ben Kohles",25,6,"CurrentStreakwithouta3Putt",2013
133,133,"Troy Matteson",24,6,"CurrentStreakwithouta3Putt",2013
133,133,"Sean OHair",22,6,"CurrentStreakwithouta3Putt",2013
133,133,"Daniel Summerhays",26,6,"CurrentStreakwithouta3Putt",2013
133,133,"Bubba Watson",21,6,"CurrentStreakwithouta3Putt",2013
133,133,"Mark Wilson",19,6,"CurrentStreakwithouta3Putt",2013
141,141,"Michael Bradley",21,5,"CurrentStreakwithouta3Putt",2013
141,141,"Stewart Cink",22,5,"CurrentStreakwithouta3Putt",2013
141,141,"David Lingmerth",23,5,"CurrentStreakwithouta3Putt",2013
141,141,"Eric Meierdierks",19,5,"CurrentStreakwithouta3Putt",2013
141,141,"Andrew Svoboda",18,5,"CurrentStreakwithouta3Putt",2013
146,146,"Stephen Ames",19,4,"CurrentStreakwithouta3Putt",2013
146,146,"Justin Bolli",23,4,"CurrentStreakwithouta3Putt",2013
146,146,"Nicolas Colsaerts",17,4,"CurrentStreakwithouta3Putt",2013
146,146,"Tom Gillis",22,4,"CurrentStreakwithouta3Putt",2013
146,146,"Charley Hoffman",23,4,"CurrentStreakwithouta3Putt",2013
146,146,"Chris Kirk",24,4,"CurrentStreakwithouta3Putt",2013
146,146,"Graeme McDowell",16,4,"CurrentStreakwithouta3Putt",2013
146,146,"John Merrick",23,4,"CurrentStreakwithouta3Putt",2013
146,146,"Vijay Singh",19,4,"CurrentStreakwithouta3Putt",2013
146,146,"Kyle Stanley",24,4,"CurrentStreakwithouta3Putt",2013
156,156,"Tim Clark",20,3,"CurrentStreakwithouta3Putt",2013
156,156,"John Huh",28,3,"CurrentStreakwithouta3Putt",2013
156,156,"Justin Rose",17,3,"CurrentStreakwithouta3Putt",2013
156,156,"Lee Williams",22,3,"CurrentStreakwithouta3Putt",2013
160,160,"Charlie Beljan",24,2,"CurrentStreakwithouta3Putt",2013
160,160,"Ben Crane",21,2,"CurrentStreakwithouta3Putt",2013
160,160,"Lucas Glover",23,2,"CurrentStreakwithouta3Putt",2013
160,160,"Seung Yul Noh",25,2,"CurrentStreakwithouta3Putt",2013
160,160,"Tag Ridings",24,2,"CurrentStreakwithouta3Putt",2013
160,160,"Chris Stroud",26,2,"CurrentStreakwithouta3Putt",2013
166,166,"Bud Cauley",24,1,"CurrentStreakwithouta3Putt",2013
166,166,"Martin Flores",25,1,"CurrentStreakwithouta3Putt",2013
166,166,"Ryo Ishikawa",23,1,"CurrentStreakwithouta3Putt",2013
166,166,"Dustin Johnson",22,1,"CurrentStreakwithouta3Putt",2013
166,166,"Pat Perez",22,1,"CurrentStreakwithouta3Putt",2013
166,166,"Carl Pettersson",24,1,"CurrentStreakwithouta3Putt",2013
166,166,"Adam Scott",16,1,"CurrentStreakwithouta3Putt",2013
166,166,"Charlie Wi",23,1,"CurrentStreakwithouta3Putt",2013
