"TotalMoneyOfficialandUnofficial_RANKTHISWEEK_2007","TotalMoneyOfficialandUnofficial_RANKLASTWEEK_2007","TotalMoneyOfficialandUnofficial_PLAYERNAME_2007","TotalMoneyOfficialandUnofficial_EVENTS_2007","TotalMoneyOfficialandUnofficial_MONEY_2007","stat_name","year"
1,1,"Tiger Woods",18,12217052,"TotalMoneyOfficialandUnofficial",2007
2,2,"Phil Mickelson",23,5819988,"TotalMoneyOfficialandUnofficial",2007
3,3,"Vijay Singh",29,4953376,"TotalMoneyOfficialandUnofficial",2007
4,4,"Steve Stricker",25,4948077,"TotalMoneyOfficialandUnofficial",2007
5,8,"Zach Johnson",27,4831088,"TotalMoneyOfficialandUnofficial",2007
6,7,"Jim Furyk",25,4724046,"TotalMoneyOfficialandUnofficial",2007
7,5,"KJ Choi",26,4587859,"TotalMoneyOfficialandUnofficial",2007
8,6,"Rory Sabbatini",25,4550040,"TotalMoneyOfficialandUnofficial",2007
9,9,"Sergio Garcia",19,3721185,"TotalMoneyOfficialandUnofficial",2007
10,12,"Mark Calcavecchia",30,3583332,"TotalMoneyOfficialandUnofficial",2007
11,10,"Aaron Baddeley",23,3441119,"TotalMoneyOfficialandUnofficial",2007
12,11,"Adam Scott",20,3413185,"TotalMoneyOfficialandUnofficial",2007
13,13,"Woody Austin",29,3237596,"TotalMoneyOfficialandUnofficial",2007
14,14,"Scott Verplank",24,3114289,"TotalMoneyOfficialandUnofficial",2007
15,15,"Boo Weekley",30,3013211,"TotalMoneyOfficialandUnofficial",2007
16,16,"Geoff Ogilvy",23,2943203,"TotalMoneyOfficialandUnofficial",2007
17,17,"Charles Howell III",28,2897091,"TotalMoneyOfficialandUnofficial",2007
18,23,"Padraig Harrington",19,2868283,"TotalMoneyOfficialandUnofficial",2007
19,18,"Hunter Mahan",28,2858995,"TotalMoneyOfficialandUnofficial",2007
20,19,"Brandt Snedeker",29,2836643,"TotalMoneyOfficialandUnofficial",2007
21,20,"Justin Rose",17,2825875,"TotalMoneyOfficialandUnofficial",2007
22,21,"Stephen Ames",24,2778426,"TotalMoneyOfficialandUnofficial",2007
23,22,"Ernie Els",17,2705715,"TotalMoneyOfficialandUnofficial",2007
24,24,"Tim Clark",19,2615152,"TotalMoneyOfficialandUnofficial",2007
25,25,"Heath Slocum",29,2584379,"TotalMoneyOfficialandUnofficial",2007
26,26,"Stewart Cink",27,2551896,"TotalMoneyOfficialandUnofficial",2007
27,27,"John Rollins",29,2488891,"TotalMoneyOfficialandUnofficial",2007
28,30,"Brett Wetterich",30,2388282,"TotalMoneyOfficialandUnofficial",2007
29,31,"Luke Donald",21,2385053,"TotalMoneyOfficialandUnofficial",2007
30,28,"Steve Flesch",31,2288899,"TotalMoneyOfficialandUnofficial",2007
31,29,"Robert Allenby",28,2219538,"TotalMoneyOfficialandUnofficial",2007
32,43,"Henrik Stenson",16,2182554,"TotalMoneyOfficialandUnofficial",2007
33,32,"Justin Leonard",30,2147998,"TotalMoneyOfficialandUnofficial",2007
34,33,"David Toms",23,2095837,"TotalMoneyOfficialandUnofficial",2007
35,34,"Bubba Watson",29,2094807,"TotalMoneyOfficialandUnofficial",2007
36,35,"Jerry Kelly",29,2073034,"TotalMoneyOfficialandUnofficial",2007
37,36,"Camilo Villegas",26,2071961,"TotalMoneyOfficialandUnofficial",2007
38,37,"Carl Pettersson",31,2040938,"TotalMoneyOfficialandUnofficial",2007
39,38,"Mike Weir",25,2015053,"TotalMoneyOfficialandUnofficial",2007
40,39,"Ken Duke",31,1927102,"TotalMoneyOfficialandUnofficial",2007
41,40,"Sean OHair",28,1921226,"TotalMoneyOfficialandUnofficial",2007
42,41,"John Senden",27,1899558,"TotalMoneyOfficialandUnofficial",2007
43,42,"Trevor Immelman",23,1898647,"TotalMoneyOfficialandUnofficial",2007
44,44,"Jonathan Byrd",23,1854906,"TotalMoneyOfficialandUnofficial",2007
45,45,"Nick Watney",26,1838629,"TotalMoneyOfficialandUnofficial",2007
46,46,"Billy Mayfair",30,1814518,"TotalMoneyOfficialandUnofficial",2007
47,47,"Stuart Appleby",25,1803385,"TotalMoneyOfficialandUnofficial",2007
48,48,"Arron Oberholser",21,1797458,"TotalMoneyOfficialandUnofficial",2007
49,49,"Daniel Chopra",34,1755110,"TotalMoneyOfficialandUnofficial",2007
50,50,"Chad Campbell",28,1701242,"TotalMoneyOfficialandUnofficial",2007
51,51,"Charley Hoffman",30,1689366,"TotalMoneyOfficialandUnofficial",2007
52,52,"John Mallinger",29,1681764,"TotalMoneyOfficialandUnofficial",2007
53,53,"Pat Perez",27,1678295,"TotalMoneyOfficialandUnofficial",2007
54,54,"Lucas Glover",30,1664167,"TotalMoneyOfficialandUnofficial",2007
55,55,"Angel Cabrera",15,1661106,"TotalMoneyOfficialandUnofficial",2007
56,56,"Mark Wilson",25,1637112,"TotalMoneyOfficialandUnofficial",2007
57,57,"Anthony Kim",27,1620195,"TotalMoneyOfficialandUnofficial",2007
58,58,"Jeff Quinney",29,1612056,"TotalMoneyOfficialandUnofficial",2007
59,59,"Rod Pampling",26,1570970,"TotalMoneyOfficialandUnofficial",2007
60,60,"Bo Van Pelt",30,1559181,"TotalMoneyOfficialandUnofficial",2007
61,61,"Ryan Moore",28,1554901,"TotalMoneyOfficialandUnofficial",2007
62,62,"Ian Poulter",19,1551390,"TotalMoneyOfficialandUnofficial",2007
63,63,"George McNeill",30,1504627,"TotalMoneyOfficialandUnofficial",2007
64,64,"Freddie Jacobson",20,1469541,"TotalMoneyOfficialandUnofficial",2007
65,65,"Ryuji Imada",32,1414864,"TotalMoneyOfficialandUnofficial",2007
66,66,"Nathan Green",30,1406817,"TotalMoneyOfficialandUnofficial",2007
67,67,"Nick OHern",24,1368891,"TotalMoneyOfficialandUnofficial",2007
68,68,"Kevin Sutherland",25,1351942,"TotalMoneyOfficialandUnofficial",2007
69,69,"Joe Ogilvie",31,1339153,"TotalMoneyOfficialandUnofficial",2007
70,70,"Fred Funk",23,1334376,"TotalMoneyOfficialandUnofficial",2007
71,71,"Vaughn Taylor",28,1313353,"TotalMoneyOfficialandUnofficial",2007
72,72,"Kenny Perry",25,1292618,"TotalMoneyOfficialandUnofficial",2007
73,73,"Brian Davis",28,1289207,"TotalMoneyOfficialandUnofficial",2007
74,74,"Jose Coceres",17,1287843,"TotalMoneyOfficialandUnofficial",2007
75,75,"Troy Matteson",26,1282421,"TotalMoneyOfficialandUnofficial",2007
76,76,"Robert Garrigus",28,1260010,"TotalMoneyOfficialandUnofficial",2007
77,77,"Peter Lonard",27,1259881,"TotalMoneyOfficialandUnofficial",2007
78,78,"Dean Wilson",28,1258507,"TotalMoneyOfficialandUnofficial",2007
79,96,"Colin Montgomerie",11,1241989,"TotalMoneyOfficialandUnofficial",2007
80,79,"Paul Goydos",19,1229355,"TotalMoneyOfficialandUnofficial",2007
81,101,"Paul Casey",11,1207770,"TotalMoneyOfficialandUnofficial",2007
82,80,"Steve Marino",31,1179165,"TotalMoneyOfficialandUnofficial",2007
83,81,"Bart Bryant",25,1167874,"TotalMoneyOfficialandUnofficial",2007
84,82,"Rocco Mediate",22,1166294,"TotalMoneyOfficialandUnofficial",2007
85,83,"Chris DiMarco",26,1155414,"TotalMoneyOfficialandUnofficial",2007
86,84,"Bernhard Langer",14,1153603,"TotalMoneyOfficialandUnofficial",2007
87,85,"Charlie Wi",27,1145975,"TotalMoneyOfficialandUnofficial",2007
88,86,"Retief Goosen",16,1141386,"TotalMoneyOfficialandUnofficial",2007
89,87,"Will Ma Kenzie",30,1116507,"TotalMoneyOfficialandUnofficial",2007
90,88,"Brian Gay",32,1114571,"TotalMoneyOfficialandUnofficial",2007
91,89,"DJ Trahan",30,1106374,"TotalMoneyOfficialandUnofficial",2007
92,90,"Jason Gore",27,1105985,"TotalMoneyOfficialandUnofficial",2007
93,91,"JJ Henry",26,1088660,"TotalMoneyOfficialandUnofficial",2007
94,92,"Jesper Parnevik",27,1075216,"TotalMoneyOfficialandUnofficial",2007
95,93,"Charles Warren",29,1068440,"TotalMoneyOfficialandUnofficial",2007
96,94,"Tim Petrovic",32,1052447,"TotalMoneyOfficialandUnofficial",2007
97,95,"Brian Bateman",18,1022763,"TotalMoneyOfficialandUnofficial",2007
