"TotalPutting_RANKTHISWEEK_2011","TotalPutting_RANKLASTWEEK_2011","TotalPutting_PLAYERNAME_2011","TotalPutting_EVENTS_2011","TotalPutting_TOTAL_2011","stat_name","year"
1,1,"Charlie Wi",25,33.8,"TotalPutting",2011
2,2,"Bryce Molder",27,53.9,"TotalPutting",2011
3,3,"Steve Stricker",19,54,"TotalPutting",2011
4,4,"Luke Donald",19,54.6,"TotalPutting",2011
5,5,"Ryan Moore",22,56.8,"TotalPutting",2011
6,6,"Nick Watney",22,62.6,"TotalPutting",2011
7,7,"Greg Chalmers",28,63.7,"TotalPutting",2011
8,8,"Freddie Jacobson",25,64.6,"TotalPutting",2011
9,9,"Kevin Na",26,74.8,"TotalPutting",2011
10,10,"Brandt Snedeker",26,83.4,"TotalPutting",2011
11,11,"Chris Couch",21,83.8,"TotalPutting",2011
12,12,"Brian Gay",26,87.4,"TotalPutting",2011
13,13,"Blake Adams",34,90.8,"TotalPutting",2011
14,14,"Jason Day",21,91.9,"TotalPutting",2011
15,15,"YE Yang",18,96.9,"TotalPutting",2011
16,16,"Angel Cabrera",17,97.7,"TotalPutting",2011
17,17,"Ian Poulter",16,100.8,"TotalPutting",2011
18,18,"Andres Romero",22,102.4,"TotalPutting",2011
19,19,"David Toms",23,105.1,"TotalPutting",2011
20,20,"Zach Johnson",23,106.4,"TotalPutting",2011
21,21,"Aaron Baddeley",22,106.8,"TotalPutting",2011
22,22,"Matt Kuchar",24,108,"TotalPutting",2011
23,23,"Michael Thompson",25,111.3,"TotalPutting",2011
24,24,"Dean Wilson",22,111.8,"TotalPutting",2011
25,25,"Jonathan Byrd",26,117.2,"TotalPutting",2011
26,26,"Rickie Fowler",24,118.9,"TotalPutting",2011
27,27,"Carl Pettersson",27,119,"TotalPutting",2011
28,28,"Steve Flesch",27,119.2,"TotalPutting",2011
29,29,"Martin Laird",23,123.6,"TotalPutting",2011
30,30,"Geoff Ogilvy",21,125,"TotalPutting",2011
31,31,"Brendon de Jonge",30,128.1,"TotalPutting",2011
32,32,"Kevin Kisner",24,128.5,"TotalPutting",2011
33,33,"Kevin Streelman",26,129.3,"TotalPutting",2011
34,34,"Steve Elkington",17,130.8,"TotalPutting",2011
35,35,"Jeff Overton",26,131.3,"TotalPutting",2011
36,36,"Ben Crane",23,133.3,"TotalPutting",2011
37,37,"Webb Simpson",26,133.4,"TotalPutting",2011
38,38,"Jerry Kelly",26,134.9,"TotalPutting",2011
38,38,"Ben Martin",25,134.9,"TotalPutting",2011
40,40,"Andres Gonzales",21,136.9,"TotalPutting",2011
41,41,"Michael Putnam",21,138.1,"TotalPutting",2011
41,41,"John Senden",26,138.1,"TotalPutting",2011
43,43,"Hunter Mahan",25,139.5,"TotalPutting",2011
44,44,"Charles Howell III",30,140,"TotalPutting",2011
45,45,"Bill Haas",26,145.8,"TotalPutting",2011
46,46,"Robert Karlsson",18,148,"TotalPutting",2011
47,47,"George McNeill",21,148.3,"TotalPutting",2011
48,48,"Scott McCarron",22,150.8,"TotalPutting",2011
49,49,"David Mathis",25,152,"TotalPutting",2011
50,50,"Tim Petrovic",29,154.4,"TotalPutting",2011
51,51,"Roland Thatcher",22,154.8,"TotalPutting",2011
52,52,"Cameron Tringale",32,155.2,"TotalPutting",2011
53,53,"Nate Smith",24,155.6,"TotalPutting",2011
54,54,"Colt Knost",27,158.3,"TotalPutting",2011
55,55,"Anthony Kim",26,159.6,"TotalPutting",2011
56,56,"Ben Curtis",23,160.2,"TotalPutting",2011
57,57,"Richard Johnson",23,160.7,"TotalPutting",2011
58,58,"Marc Turnesa",20,163.5,"TotalPutting",2011
59,59,"Tag Ridings",28,164.2,"TotalPutting",2011
60,60,"Hunter Haas",30,164.4,"TotalPutting",2011
60,60,"Vaughn Taylor",27,164.4,"TotalPutting",2011
62,62,"David Hearn",26,166.3,"TotalPutting",2011
63,63,"Trevor Immelman",25,166.4,"TotalPutting",2011
64,64,"Matt McQuillan",21,166.5,"TotalPutting",2011
64,64,"Brendan Steele",27,166.5,"TotalPutting",2011
66,66,"Johnson Wagner",25,167.2,"TotalPutting",2011
67,67,"Woody Austin",18,168.8,"TotalPutting",2011
68,68,"Retief Goosen",16,169.7,"TotalPutting",2011
69,69,"Padraig Harrington",18,170.2,"TotalPutting",2011
70,70,"Lee Janzen",19,171.3,"TotalPutting",2011
71,71,"Stewart Cink",22,174.8,"TotalPutting",2011
