"AverageApproachDistancePar_RANKTHISWEEK_2011","AverageApproachDistancePar_RANKLASTWEEK_2011","AverageApproachDistancePar_PLAYERNAME_2011","AverageApproachDistancePar_ROUNDS_2011","AverageApproachDistancePar_AVGYARDS_2011","AverageApproachDistancePar_TOTALDISTANCEINCHES_2011","AverageApproachDistancePar_NUMBEROFAPPROACHSHOTS_2011","stat_name","year"
22,22,"Stephen Ames",69,160,4082581,709,"AverageApproachDistancePar",2011
22,22,"Dustin Johnson",72,160,3162456,549,"AverageApproachDistancePar",2011
22,22,"Kevin Kisner",70,160,3645842,633,"AverageApproachDistancePar",2011
22,22,"Kevin Streelman",90,160,4779394,830,"AverageApproachDistancePar",2011
26,26,"Andres Gonzales",60,160.1,2934128,509,"AverageApproachDistancePar",2011
26,26,"Paul Stankowski",78,160.1,4243217,736,"AverageApproachDistancePar",2011
28,28,"JP Hayes",56,160.2,3113794,540,"AverageApproachDistancePar",2011
28,28,"Adam Scott",60,160.2,2848644,494,"AverageApproachDistancePar",2011
30,30,"Trevor Immelman",84,160.3,4702871,815,"AverageApproachDistancePar",2011
30,30,"Jhonattan Vegas",84,160.3,4357971,755,"AverageApproachDistancePar",2011
32,32,"Tim Herron",85,160.4,5133853,889,"AverageApproachDistancePar",2011
32,32,"John Rollins",85,160.4,4747771,822,"AverageApproachDistancePar",2011
34,34,"Steve Marino",76,160.5,3912134,677,"AverageApproachDistancePar",2011
35,35,"Keegan Bradley",91,160.6,4966746,859,"AverageApproachDistancePar",2011
36,36,"Angel Cabrera",50,160.7,2122717,367,"AverageApproachDistancePar",2011
36,36,"Brandt Jobe",100,160.7,5357814,926,"AverageApproachDistancePar",2011
36,36,"Vaughn Taylor",89,160.7,5565921,962,"AverageApproachDistancePar",2011
36,36,"Josh Teater",104,160.7,5890570,1018,"AverageApproachDistancePar",2011
40,40,"Lee Janzen",62,160.8,3131893,541,"AverageApproachDistancePar",2011
40,40,"Roland Thatcher",67,160.8,3994903,690,"AverageApproachDistancePar",2011
42,42,"Nick OHern",89,161,5148093,888,"AverageApproachDistancePar",2011
43,43,"Steven Bowditch",86,161.1,4686196,808,"AverageApproachDistancePar",2011
43,43,"Brendon de Jonge",105,161.1,6082985,1049,"AverageApproachDistancePar",2011
43,43,"Ernie Els",71,161.1,3903251,673,"AverageApproachDistancePar",2011
43,43,"Scott Gutschewski",67,161.1,3594815,620,"AverageApproachDistancePar",2011
43,43,"William McGirt",103,161.1,6392890,1102,"AverageApproachDistancePar",2011
43,43,"John Merrick",71,161.1,3978137,686,"AverageApproachDistancePar",2011
49,49,"Chris DiMarco",93,161.2,5506114,949,"AverageApproachDistancePar",2011
49,49,"Steve Elkington",50,161.2,2936556,506,"AverageApproachDistancePar",2011
51,51,"Shane Bertsch",62,161.3,3390833,584,"AverageApproachDistancePar",2011
51,51,"Davis Love III",70,161.3,3589327,618,"AverageApproachDistancePar",2011
53,53,"Retief Goosen",50,161.4,2656174,457,"AverageApproachDistancePar",2011
53,53,"Pat Perez",76,161.4,4533154,780,"AverageApproachDistancePar",2011
55,55,"Cameron Beckman",71,161.6,4090247,703,"AverageApproachDistancePar",2011
55,55,"David Duval",67,161.6,3788194,651,"AverageApproachDistancePar",2011
55,55,"Fabian Gomez",84,161.6,4391778,755,"AverageApproachDistancePar",2011
55,55,"Justin Leonard",82,161.6,5258713,904,"AverageApproachDistancePar",2011
55,55,"Tag Ridings",87,161.6,4777625,821,"AverageApproachDistancePar",2011
60,60,"Robert Garrigus",83,161.7,4225523,726,"AverageApproachDistancePar",2011
60,60,"Anthony Kim",72,161.7,3730479,641,"AverageApproachDistancePar",2011
60,60,"Troy Matteson",91,161.7,5281327,907,"AverageApproachDistancePar",2011
60,60,"DJ Trahan",91,161.7,5609903,964,"AverageApproachDistancePar",2011
64,64,"Matt Bettencourt",84,161.8,4951448,850,"AverageApproachDistancePar",2011
64,64,"Kevin Chappell",78,161.8,4059435,697,"AverageApproachDistancePar",2011
64,64,"Jarrod Lyle",83,161.8,4613487,792,"AverageApproachDistancePar",2011
67,67,"Ryuji Imada",83,161.9,5064161,869,"AverageApproachDistancePar",2011
67,67,"Zack Miller",86,161.9,4748934,815,"AverageApproachDistancePar",2011
69,69,"Ben Crane",76,162,4298356,737,"AverageApproachDistancePar",2011
70,70,"Blake Adams",116,162.1,6904335,1183,"AverageApproachDistancePar",2011
70,70,"Jason Dufner",78,162.1,4288088,735,"AverageApproachDistancePar",2011
70,70,"Rickie Fowler",84,162.1,4021047,689,"AverageApproachDistancePar",2011
70,70,"Rod Pampling",72,162.1,4102075,703,"AverageApproachDistancePar",2011
70,70,"Nate Smith",66,162.1,3582886,614,"AverageApproachDistancePar",2011
70,70,"Michael Thompson",79,162.1,4657729,798,"AverageApproachDistancePar",2011
76,76,"Chris Couch",73,162.2,4455987,763,"AverageApproachDistancePar",2011
76,76,"Michael Putnam",67,162.2,3642989,624,"AverageApproachDistancePar",2011
78,78,"Briny Baird",60,162.3,3400369,582,"AverageApproachDistancePar",2011
78,78,"Kris Blanks",92,162.3,5574774,954,"AverageApproachDistancePar",2011
78,78,"Hunter Haas",96,162.3,5672885,971,"AverageApproachDistancePar",2011
78,78,"Sung Kang",63,162.3,3393983,581,"AverageApproachDistancePar",2011
78,78,"Nick Watney",80,162.3,4059759,695,"AverageApproachDistancePar",2011
83,83,"Michael Connell",76,162.4,4976589,851,"AverageApproachDistancePar",2011
83,83,"Charles Howell III",108,162.4,6382901,1092,"AverageApproachDistancePar",2011
85,85,"Joe Durant",71,162.5,4422517,756,"AverageApproachDistancePar",2011
85,85,"Paul Goydos",81,162.5,4907023,839,"AverageApproachDistancePar",2011
85,85,"Phil Mickelson",79,162.5,3715806,635,"AverageApproachDistancePar",2011
88,88,"Tim Petrovic",88,162.6,5250313,897,"AverageApproachDistancePar",2011
88,88,"Steve Stricker",70,162.6,3576679,611,"AverageApproachDistancePar",2011
88,88,"Charlie Wi",83,162.6,5111615,873,"AverageApproachDistancePar",2011
91,91,"Jason Bohn",74,162.7,4468979,763,"AverageApproachDistancePar",2011
91,91,"Chad Campbell",99,162.7,5951875,1016,"AverageApproachDistancePar",2011
91,91,"Ian Poulter",52,162.7,2635459,450,"AverageApproachDistancePar",2011
94,94,"Lucas Glover",74,162.8,3920016,669,"AverageApproachDistancePar",2011
94,94,"Geoff Ogilvy",69,162.8,3482099,594,"AverageApproachDistancePar",2011
96,96,"Rich Beem",53,162.9,3131766,534,"AverageApproachDistancePar",2011
96,96,"Tommy Gainey",104,162.9,5824552,993,"AverageApproachDistancePar",2011
96,96,"Padraig Harrington",60,162.9,3049650,520,"AverageApproachDistancePar",2011
96,96,"Derek Lamely",65,162.9,3613346,616,"AverageApproachDistancePar",2011
96,96,"Bubba Watson",85,162.9,3659198,624,"AverageApproachDistancePar",2011
101,101,"Ricky Barnes",78,163,4307029,734,"AverageApproachDistancePar",2011
101,101,"Shaun Micheel",77,163,4483173,764,"AverageApproachDistancePar",2011
101,101,"Sean OHair",71,163,3959750,675,"AverageApproachDistancePar",2011
101,101,"Carl Pettersson",95,163,5908893,1007,"AverageApproachDistancePar",2011
105,105,"Arjun Atwal",91,163.1,5360030,913,"AverageApproachDistancePar",2011
105,105,"Steve Flesch",88,163.1,5043831,859,"AverageApproachDistancePar",2011
107,107,"Woody Austin",59,163.2,3465530,590,"AverageApproachDistancePar",2011
107,107,"Matt Jones",71,163.2,4165259,709,"AverageApproachDistancePar",2011
107,107,"Matt McQuillan",59,163.2,3195488,544,"AverageApproachDistancePar",2011
110,110,"Jim Furyk",87,163.3,4896857,833,"AverageApproachDistancePar",2011
110,110,"Bill Haas",93,163.3,4878953,830,"AverageApproachDistancePar",2011
110,110,"Kent Jones",76,163.3,4480942,762,"AverageApproachDistancePar",2011
110,110,"Jeff Overton",92,163.3,4755090,809,"AverageApproachDistancePar",2011
110,110,"DA Points",89,163.3,4821989,820,"AverageApproachDistancePar",2011
110,110,"Aron Price",58,163.3,3215824,547,"AverageApproachDistancePar",2011
110,110,"Alexandre Rocha",65,163.3,3398218,578,"AverageApproachDistancePar",2011
117,117,"Martin Laird",77,163.4,4081769,694,"AverageApproachDistancePar",2011
118,118,"Jonathan Byrd",83,163.6,4846501,823,"AverageApproachDistancePar",2011
118,118,"Charley Hoffman",93,163.6,4588936,779,"AverageApproachDistancePar",2011
118,118,"David Mathis",83,163.6,4712057,800,"AverageApproachDistancePar",2011
118,118,"Brandt Snedeker",85,163.6,4317350,733,"AverageApproachDistancePar",2011
122,122,"Troy Merritt",63,163.7,3908281,663,"AverageApproachDistancePar",2011
122,122,"Bryce Molder",82,163.7,4892530,830,"AverageApproachDistancePar",2011
122,122,"Kyle Stanley",98,163.7,4998344,848,"AverageApproachDistancePar",2011
125,125,"Richard Johnson",64,163.8,3785967,642,"AverageApproachDistancePar",2011
125,125,"Marc Leishman",87,163.8,5323564,903,"AverageApproachDistancePar",2011
127,127,"Jason Day",76,163.9,3930664,666,"AverageApproachDistancePar",2011
127,127,"Kevin Stadler",88,163.9,4767628,808,"AverageApproachDistancePar",2011
129,129,"Stewart Cink",72,164,3483486,590,"AverageApproachDistancePar",2011
129,129,"Colt Knost",80,164,4576792,775,"AverageApproachDistancePar",2011
129,129,"Spencer Levin",113,164,6669907,1130,"AverageApproachDistancePar",2011
129,129,"Camilo Villegas",69,164,3678442,623,"AverageApproachDistancePar",2011
133,133,"Aaron Baddeley",77,164.1,3969396,672,"AverageApproachDistancePar",2011
133,133,"Brendan Steele",89,164.1,5090885,862,"AverageApproachDistancePar",2011
135,135,"Scott McCarron",65,164.2,3617512,612,"AverageApproachDistancePar",2011
135,135,"Rory Sabbatini",85,164.2,4049129,685,"AverageApproachDistancePar",2011
137,137,"Bill Lunde",92,164.3,5169214,874,"AverageApproachDistancePar",2011
137,137,"Graeme McDowell",50,164.3,2365890,400,"AverageApproachDistancePar",2011
137,137,"George McNeill",69,164.3,3881117,656,"AverageApproachDistancePar",2011
137,137,"Webb Simpson",98,164.3,5465934,924,"AverageApproachDistancePar",2011
141,141,"Tom Gillis",55,164.4,3368451,569,"AverageApproachDistancePar",2011
141,141,"Chez Reavie",92,164.4,5403448,913,"AverageApproachDistancePar",2011
141,141,"YE Yang",63,164.4,2852684,482,"AverageApproachDistancePar",2011
144,144,"Greg Chalmers",88,164.5,5556286,938,"AverageApproachDistancePar",2011
144,144,"James Driscoll",71,164.5,3998444,675,"AverageApproachDistancePar",2011
146,146,"Marc Turnesa",54,164.6,3099817,523,"AverageApproachDistancePar",2011
147,147,"Stuart Appleby",65,164.7,4025537,679,"AverageApproachDistancePar",2011
147,147,"Jerry Kelly",85,164.7,4862980,820,"AverageApproachDistancePar",2011
147,147,"David Toms",78,164.7,4062346,685,"AverageApproachDistancePar",2011
150,150,"Johnson Wagner",81,164.8,4940549,833,"AverageApproachDistancePar",2011
151,151,"Scott Piercy",78,164.9,4120418,694,"AverageApproachDistancePar",2011
152,152,"Ben Curtis",66,165,4407482,742,"AverageApproachDistancePar",2011
152,152,"Robert Karlsson",61,165,3105753,523,"AverageApproachDistancePar",2011
152,152,"Andres Romero",77,165,4223037,711,"AverageApproachDistancePar",2011
152,152,"Daniel Summerhays",75,165,4573458,770,"AverageApproachDistancePar",2011
152,152,"Cameron Tringale",110,165,6647627,1119,"AverageApproachDistancePar",2011
157,157,"Brian Davis",105,165.1,6193814,1042,"AverageApproachDistancePar",2011
157,157,"Freddie Jacobson",92,165.1,4801069,808,"AverageApproachDistancePar",2011
159,159,"Billy Mayfair",94,165.2,5810219,977,"AverageApproachDistancePar",2011
159,159,"Charl Schwartzel",58,165.2,2688353,452,"AverageApproachDistancePar",2011
161,161,"Zach Johnson",79,165.3,4499302,756,"AverageApproachDistancePar",2011
161,161,"Matt Kuchar",94,165.3,4869137,818,"AverageApproachDistancePar",2011
161,161,"Bo Van Pelt",92,165.3,4759591,800,"AverageApproachDistancePar",2011
161,161,"Jimmy Walker",79,165.3,5124007,861,"AverageApproachDistancePar",2011
161,161,"Mark Wilson",89,165.3,4933695,829,"AverageApproachDistancePar",2011
166,166,"Joseph Bramlett",73,165.6,4082760,685,"AverageApproachDistancePar",2011
167,167,"Sergio Garcia",61,165.7,3137649,526,"AverageApproachDistancePar",2011
167,167,"Kevin Na",84,165.7,4591891,770,"AverageApproachDistancePar",2011
169,169,"KJ Choi",77,165.8,4034828,676,"AverageApproachDistancePar",2011
169,169,"Dean Wilson",62,165.8,4034232,676,"AverageApproachDistancePar",2011
171,171,"Luke Donald",73,165.9,3625159,607,"AverageApproachDistancePar",2011
171,171,"Hunter Mahan",92,165.9,4932379,826,"AverageApproachDistancePar",2011
171,171,"Gary Woodland",93,165.9,4711910,789,"AverageApproachDistancePar",2011
174,174,"Ben Martin",74,166,4260460,713,"AverageApproachDistancePar",2011
175,175,"Bobby Gates",82,166.3,4424193,739,"AverageApproachDistancePar",2011
176,176,"DJ Brigman",67,166.4,3648058,609,"AverageApproachDistancePar",2011
177,177,"Ryan Palmer",82,167,4166540,693,"AverageApproachDistancePar",2011
177,177,"Justin Rose",79,167,4275763,711,"AverageApproachDistancePar",2011
177,177,"Boo Weekley",66,167,3739877,622,"AverageApproachDistancePar",2011
180,180,"John Senden",94,167.4,5536859,919,"AverageApproachDistancePar",2011
181,181,"Nathan Green",81,167.6,4864093,806,"AverageApproachDistancePar",2011
181,181,"JJ Henry",96,167.6,5695688,944,"AverageApproachDistancePar",2011
183,183,"Alex Cejka",59,167.7,3247534,538,"AverageApproachDistancePar",2011
184,184,"Robert Allenby",84,167.8,4905100,812,"AverageApproachDistancePar",2011
185,185,"Ryan Moore",79,168.1,4091908,676,"AverageApproachDistancePar",2011
186,186,"Garrett Willis",71,169,4392528,722,"AverageApproachDistancePar",2011
