"AverageApproachDistancePar_RANKTHISWEEK_2011","AverageApproachDistancePar_RANKLASTWEEK_2011","AverageApproachDistancePar_PLAYERNAME_2011","AverageApproachDistancePar_ROUNDS_2011","AverageApproachDistancePar_AVGYARDS_2011","AverageApproachDistancePar_TOTALDISTANCEINCHES_2011","AverageApproachDistancePar_NUMBEROFAPPROACHSHOTS_2011","stat_name","year"
1,1,"Alex Prugh",82,155,4345432,779,"AverageApproachDistancePar",2011
2,2,"JB Holmes",57,156.4,2848427,506,"AverageApproachDistancePar",2011
3,3,"Martin Piller",63,156.6,3224284,572,"AverageApproachDistancePar",2011
4,4,"Joe Ogilvie",75,156.8,3787923,671,"AverageApproachDistancePar",2011
5,5,"Chris Riley",76,157.5,4548063,802,"AverageApproachDistancePar",2011
6,6,"Harrison Frazar",58,157.9,2570161,452,"AverageApproachDistancePar",2011
7,7,"Scott Stallings",84,158.3,4369611,767,"AverageApproachDistancePar",2011
8,8,"Heath Slocum",89,158.4,4944852,867,"AverageApproachDistancePar",2011
9,9,"Bio Kim",71,158.5,3542878,621,"AverageApproachDistancePar",2011
10,10,"Jim Renner",65,158.6,3415144,598,"AverageApproachDistancePar",2011
10,10,"Will Strickler",51,158.6,2614288,458,"AverageApproachDistancePar",2011
12,12,"Chris Kirk",87,158.9,4886631,854,"AverageApproachDistancePar",2011
13,13,"Brian Gay",90,159,4986590,871,"AverageApproachDistancePar",2011
14,14,"David Hearn",88,159.2,5102360,890,"AverageApproachDistancePar",2011
15,15,"Vijay Singh",79,159.4,4607637,803,"AverageApproachDistancePar",2011
16,16,"Michael Bradley",74,159.5,3875928,675,"AverageApproachDistancePar",2011
16,16,"Justin Hicks",60,159.5,2813634,490,"AverageApproachDistancePar",2011
16,16,"Chris Stroud",88,159.5,5109640,890,"AverageApproachDistancePar",2011
19,19,"Jim Herman",69,159.6,3751481,653,"AverageApproachDistancePar",2011
20,20,"Rocco Mediate",53,159.7,3018856,525,"AverageApproachDistancePar",2011
21,21,"Billy Horschel",75,159.9,3970773,690,"AverageApproachDistancePar",2011
