"ScramblingAverageDistancetoHole_RANKTHISWEEK_2006","ScramblingAverageDistancetoHole_RANKLASTWEEK_2006","ScramblingAverageDistancetoHole_PLAYERNAME_2006","ScramblingAverageDistancetoHole_ROUNDS_2006","ScramblingAverageDistancetoHole_AVGDTP_2006","ScramblingAverageDistancetoHole_TOTALDISTANCEFEET_2006","ScramblingAverageDistancetoHole_ATTEMPTS_2006","stat_name","year"
1,1,"Omar Uresti",61,NA,1892.167,290,"ScramblingAverageDistancetoHole",2006
2,2,"Corey Pavin",74,NA,2103.25,320,"ScramblingAverageDistancetoHole",2006
3,3,"Steve Stricker",64,NA,1738.167,252,"ScramblingAverageDistancetoHole",2006
4,4,"Vijay Singh",103,NA,2930.75,417,"ScramblingAverageDistancetoHole",2006
5,5,"Padraig Harrington",54,NA,1363.083,190,"ScramblingAverageDistancetoHole",2006
6,6,"Chris Riley",86,NA,3074.833,426,"ScramblingAverageDistancetoHole",2006
7,7,"Scott Verplank",88,NA,2606.833,355,"ScramblingAverageDistancetoHole",2006
8,8,"Paul Goydos",72,NA,2575.25,349,"ScramblingAverageDistancetoHole",2006
9,9,"John Cook",67,NA,2126.417,283,"ScramblingAverageDistancetoHole",2006
9,9,"Luke Donald",66,NA,1670.333,222,"ScramblingAverageDistancetoHole",2006
11,11,"Fred Funk",106,NA,3326.333,439,"ScramblingAverageDistancetoHole",2006
11,11,"Ian Poulter",53,NA,1653.417,217,"ScramblingAverageDistancetoHole",2006
11,11,"Jerry Smith",94,NA,3294.167,434,"ScramblingAverageDistancetoHole",2006
14,14,"Ernie Els",69,NA,2095.75,272,"ScramblingAverageDistancetoHole",2006
14,14,"Jim Furyk",89,NA,2276.667,298,"ScramblingAverageDistancetoHole",2006
16,16,"Paul Azinger",87,NA,3570.917,463,"ScramblingAverageDistancetoHole",2006
16,16,"Marco Dawson",87,NA,3332.667,429,"ScramblingAverageDistancetoHole",2006
16,16,"Trevor Immelman",86,NA,2521.917,327,"ScramblingAverageDistancetoHole",2006
16,16,"Stephen Leaney",84,NA,3082.25,396,"ScramblingAverageDistancetoHole",2006
20,20,"Jason Bohn",104,NA,3744.583,479,"ScramblingAverageDistancetoHole",2006
20,20,"Brian Gay",107,NA,4577.75,587,"ScramblingAverageDistancetoHole",2006
20,20,"Justin Leonard",83,NA,2715.25,348,"ScramblingAverageDistancetoHole",2006
20,20,"Greg Owen",79,NA,2430.667,309,"ScramblingAverageDistancetoHole",2006
20,20,"Kirk Triplett",58,NA,1992,253,"ScramblingAverageDistancetoHole",2006
20,20,"Nick Watney",97,NA,3759.333,478,"ScramblingAverageDistancetoHole",2006
20,20,"Mike Weir",88,NA,2648.333,339,"ScramblingAverageDistancetoHole",2006
20,20,"Mark Wilson",79,NA,2896,369,"ScramblingAverageDistancetoHole",2006
20,20,"Tiger Woods",55,NA,1086.5,139,"ScramblingAverageDistancetoHole",2006
29,29,"Chad Campbell",91,NA,2679.083,339,"ScramblingAverageDistancetoHole",2006
29,29,"Bob Estes",85,NA,3018.167,380,"ScramblingAverageDistancetoHole",2006
29,29,"Bill Haas",99,NA,3986.75,506,"ScramblingAverageDistancetoHole",2006
29,29,"JP Hayes",55,NA,2085.25,264,"ScramblingAverageDistancetoHole",2006
29,29,"Brett Quigley",109,NA,3647.5,463,"ScramblingAverageDistancetoHole",2006
29,29,"Justin Rose",98,NA,3373.583,426,"ScramblingAverageDistancetoHole",2006
