"Back9Round4ScoringAverage_RANKTHISWEEK_2010","Back9Round4ScoringAverage_RANKLASTWEEK_2010","Back9Round4ScoringAverage_PLAYERNAME_2010","Back9Round4ScoringAverage__2010","Back9Round4ScoringAverage_AVG_2010","Back9Round4ScoringAverage_TOTALSTROKES_2010","Back9Round4ScoringAverage_TOTALROUNDS_2010","stat_name","year"
1,1,"Ryan Palmer",NA,33.71,472,14,"Back9Round4ScoringAverage",2010
2,2,"James Driscoll",NA,33.83,406,12,"Back9Round4ScoringAverage",2010
3,3,"Chris Riley",NA,33.92,407,12,"Back9Round4ScoringAverage",2010
4,4,"Matt Kuchar",NA,34.32,755,22,"Back9Round4ScoringAverage",2010
5,5,"Webb Simpson",NA,34.47,586,17,"Back9Round4ScoringAverage",2010
6,6,"Retief Goosen",NA,34.65,589,17,"Back9Round4ScoringAverage",2010
7,7,"John Rollins",NA,34.71,486,14,"Back9Round4ScoringAverage",2010
8,8,"Omar Uresti",NA,34.78,313,9,"Back9Round4ScoringAverage",2010
9,9,"Jonathan Byrd",NA,34.81,557,16,"Back9Round4ScoringAverage",2010
10,10,"Nicholas Thompson",NA,34.86,488,14,"Back9Round4ScoringAverage",2010
11,11,"Cameron Beckman",NA,34.88,279,8,"Back9Round4ScoringAverage",2010
12,12,"Jason Dufner",NA,34.89,628,18,"Back9Round4ScoringAverage",2010
12,12,"Jarrod Lyle",NA,34.89,314,9,"Back9Round4ScoringAverage",2010
14,14,"Rory McIlroy",NA,34.91,384,11,"Back9Round4ScoringAverage",2010
15,15,"Michael Sim",NA,34.92,419,12,"Back9Round4ScoringAverage",2010
16,16,"Mathew Goggin",NA,34.93,489,14,"Back9Round4ScoringAverage",2010
16,16,"Vijay Singh",NA,34.93,524,15,"Back9Round4ScoringAverage",2010
16,16,"Mark Wilson",NA,34.93,524,15,"Back9Round4ScoringAverage",2010
19,19,"Chad Campbell",NA,34.95,699,20,"Back9Round4ScoringAverage",2010
20,20,"Paul Casey",NA,35,455,13,"Back9Round4ScoringAverage",2010
20,20,"Chris Couch",NA,35,350,10,"Back9Round4ScoringAverage",2010
20,20,"Paul Stankowski",NA,35,455,13,"Back9Round4ScoringAverage",2010
23,23,"Stephen Ames",NA,35.06,561,16,"Back9Round4ScoringAverage",2010
23,23,"Kevin Streelman",NA,35.06,596,17,"Back9Round4ScoringAverage",2010
23,23,"DJ Trahan",NA,35.06,631,18,"Back9Round4ScoringAverage",2010
26,26,"Charles Howell III",NA,35.09,807,23,"Back9Round4ScoringAverage",2010
27,27,"Scott Piercy",NA,35.13,562,16,"Back9Round4ScoringAverage",2010
28,28,"Ricky Barnes",NA,35.14,773,22,"Back9Round4ScoringAverage",2010
28,28,"Troy Matteson",NA,35.14,492,14,"Back9Round4ScoringAverage",2010
28,28,"Jerod Turner",NA,35.14,246,7,"Back9Round4ScoringAverage",2010
31,31,"Michael Connell",NA,35.16,668,19,"Back9Round4ScoringAverage",2010
32,32,"Ben Crane",NA,35.17,633,18,"Back9Round4ScoringAverage",2010
32,32,"Bo Van Pelt",NA,35.17,809,23,"Back9Round4ScoringAverage",2010
34,34,"Cameron Tringale",NA,35.2,176,5,"Back9Round4ScoringAverage",2010
35,35,"Steve Stricker",NA,35.22,634,18,"Back9Round4ScoringAverage",2010
36,36,"Jim Furyk",NA,35.24,599,17,"Back9Round4ScoringAverage",2010
36,36,"Chris Stroud",NA,35.24,599,17,"Back9Round4ScoringAverage",2010
38,38,"Mathias Gronberg",NA,35.25,282,8,"Back9Round4ScoringAverage",2010
38,38,"Freddie Jacobson",NA,35.25,564,16,"Back9Round4ScoringAverage",2010
38,38,"James Nitties",NA,35.25,564,16,"Back9Round4ScoringAverage",2010
38,38,"Jeff Quinney",NA,35.25,564,16,"Back9Round4ScoringAverage",2010
42,42,"Charles Warren",NA,35.27,388,11,"Back9Round4ScoringAverage",2010
43,43,"Pat Perez",NA,35.28,635,18,"Back9Round4ScoringAverage",2010
43,43,"David Toms",NA,35.28,635,18,"Back9Round4ScoringAverage",2010
45,45,"Marc Leishman",NA,35.29,600,17,"Back9Round4ScoringAverage",2010
46,46,"Rory Sabbatini",NA,35.31,459,13,"Back9Round4ScoringAverage",2010
47,47,"Brian Gay",NA,35.32,671,19,"Back9Round4ScoringAverage",2010
48,48,"Troy Merritt",NA,35.33,424,12,"Back9Round4ScoringAverage",2010
48,48,"Ryan Moore",NA,35.33,530,15,"Back9Round4ScoringAverage",2010
50,50,"Josh Teater",NA,35.37,672,19,"Back9Round4ScoringAverage",2010
51,51,"Kris Blanks",NA,35.38,566,16,"Back9Round4ScoringAverage",2010
51,51,"Ryuji Imada",NA,35.38,566,16,"Back9Round4ScoringAverage",2010
51,51,"Nick Watney",NA,35.38,743,21,"Back9Round4ScoringAverage",2010
54,54,"Tim Petrovic",NA,35.4,708,20,"Back9Round4ScoringAverage",2010
54,54,"YE Yang",NA,35.4,531,15,"Back9Round4ScoringAverage",2010
56,56,"Matt Every",NA,35.42,425,12,"Back9Round4ScoringAverage",2010
57,57,"Tom Gillis",NA,35.43,744,21,"Back9Round4ScoringAverage",2010
58,58,"Henrik Bjornstad",NA,35.44,319,9,"Back9Round4ScoringAverage",2010
59,59,"Kevin Na",NA,35.45,709,20,"Back9Round4ScoringAverage",2010
60,60,"Ben Curtis",NA,35.5,497,14,"Back9Round4ScoringAverage",2010
60,60,"Bob Estes",NA,35.5,426,12,"Back9Round4ScoringAverage",2010
60,60,"Bubba Watson",NA,35.5,568,16,"Back9Round4ScoringAverage",2010
63,63,"John Merrick",NA,35.52,817,23,"Back9Round4ScoringAverage",2010
64,64,"Tim Herron",NA,35.53,533,15,"Back9Round4ScoringAverage",2010
64,64,"Justin Rose",NA,35.53,604,17,"Back9Round4ScoringAverage",2010
64,64,"Garrett Willis",NA,35.53,533,15,"Back9Round4ScoringAverage",2010
67,67,"Aron Price",NA,35.54,462,13,"Back9Round4ScoringAverage",2010
67,67,"Jimmy Walker",NA,35.54,462,13,"Back9Round4ScoringAverage",2010
69,69,"Aaron Baddeley",NA,35.55,711,20,"Back9Round4ScoringAverage",2010
69,69,"Lee Janzen",NA,35.55,391,11,"Back9Round4ScoringAverage",2010
69,69,"Rocco Mediate",NA,35.55,391,11,"Back9Round4ScoringAverage",2010
72,72,"Rich Barcelo",NA,35.56,320,9,"Back9Round4ScoringAverage",2010
72,72,"Charley Hoffman",NA,35.56,640,18,"Back9Round4ScoringAverage",2010
72,72,"Michael Letzig",NA,35.56,569,16,"Back9Round4ScoringAverage",2010
72,72,"Joe Ogilvie",NA,35.56,569,16,"Back9Round4ScoringAverage",2010
