"BirdieorBetterPercentageRightRough_RANKTHISWEEK_2006","BirdieorBetterPercentageRightRough_RANKLASTWEEK_2006","BirdieorBetterPercentageRightRough_PLAYERNAME_2006","BirdieorBetterPercentageRightRough_ROUNDS_2006","BirdieorBetterPercentageRightRough_Pct_2006","BirdieorBetterPercentageRightRough_TOTALBIRDIES_2006","BirdieorBetterPercentageRightRough_TOTALHOLES_2006","stat_name","year"
1,1,"Robert Allenby",79,25.56,23,90,"BirdieorBetterPercentageRightRough",2006
2,2,"Vaughn Taylor",88,23.77,29,122,"BirdieorBetterPercentageRightRough",2006
3,3,"John Senden",96,21.64,29,134,"BirdieorBetterPercentageRightRough",2006
4,4,"Retief Goosen",68,21.62,16,74,"BirdieorBetterPercentageRightRough",2006
5,5,"Stephen Ames",63,21.13,15,71,"BirdieorBetterPercentageRightRough",2006
6,6,"Briny Baird",81,21.05,20,95,"BirdieorBetterPercentageRightRough",2006
7,7,"Bob Estes",85,20.42,29,142,"BirdieorBetterPercentageRightRough",2006
8,8,"Chris DiMarco",83,20.37,22,108,"BirdieorBetterPercentageRightRough",2006
9,9,"Kris Cox",83,20.14,28,139,"BirdieorBetterPercentageRightRough",2006
10,10,"Mark Calcavecchia",94,20.13,30,149,"BirdieorBetterPercentageRightRough",2006
11,11,"Vijay Singh",103,20,33,165,"BirdieorBetterPercentageRightRough",2006
12,12,"Padraig Harrington",54,19.64,11,56,"BirdieorBetterPercentageRightRough",2006
13,13,"Duffy Waldorf",96,19.53,25,128,"BirdieorBetterPercentageRightRough",2006
14,14,"Robert Garrigus",85,19.11,30,157,"BirdieorBetterPercentageRightRough",2006
15,15,"Jonathan Byrd",66,18.95,18,95,"BirdieorBetterPercentageRightRough",2006
16,16,"Ryan Moore",68,18.89,17,90,"BirdieorBetterPercentageRightRough",2006
17,17,"Mark Wilson",79,18.81,19,101,"BirdieorBetterPercentageRightRough",2006
18,18,"Bo Van Pelt",102,18.75,33,176,"BirdieorBetterPercentageRightRough",2006
19,19,"Billy Mayfair",94,18.64,22,118,"BirdieorBetterPercentageRightRough",2006
20,20,"Trevor Immelman",86,18.63,30,161,"BirdieorBetterPercentageRightRough",2006
21,21,"Chris Couch",75,18.57,26,140,"BirdieorBetterPercentageRightRough",2006
22,22,"Shaun Micheel",96,18.47,29,157,"BirdieorBetterPercentageRightRough",2006
23,23,"Jeff Gove",91,18.4,23,125,"BirdieorBetterPercentageRightRough",2006
