"HitFairwayPercentage_RANKTHISWEEK_2008","HitFairwayPercentage_RANKLASTWEEK_2008","HitFairwayPercentage_PLAYERNAME_2008","HitFairwayPercentage_ROUNDS_2008","HitFairwayPercentage_Pct_2008","HitFairwayPercentage_FAIRWAYSHIT_2008","HitFairwayPercentage_POSSIBLEFAIRWAYS_2008","HitFairwayPercentage_RELATIVETOPAR_2008","stat_name","year"
1,1,"Olin Browne",77,80.8,783,969,-0.01,"HitFairwayPercentage",2008
2,2,"Omar Uresti",74,75.63,661,874,-0.07,"HitFairwayPercentage",2008
3,3,"Scott Verplank",82,75.22,680,904,-0.13,"HitFairwayPercentage",2008
4,4,"Zach Johnson",85,74.95,745,994,-0.12,"HitFairwayPercentage",2008
5,5,"Heath Slocum",104,74.73,896,1199,-0.1,"HitFairwayPercentage",2008
6,6,"Bart Bryant",81,74.68,696,932,-0.1,"HitFairwayPercentage",2008
7,7,"Ron Whittaker",54,74.42,419,563,-0.1,"HitFairwayPercentage",2008
8,8,"Chez Reavie",102,73.91,918,1242,-0.11,"HitFairwayPercentage",2008
9,9,"Nick OHern",82,73.83,728,986,-0.13,"HitFairwayPercentage",2008
10,10,"Robert Gamez",79,73.49,718,977,-0.04,"HitFairwayPercentage",2008
11,11,"Jeff Gove",50,73.4,447,609,-0.12,"HitFairwayPercentage",2008
12,12,"Joe Durant",92,73.24,802,1095,-0.11,"HitFairwayPercentage",2008
13,13,"Billy Mayfair",103,72.97,961,1317,-0.11,"HitFairwayPercentage",2008
14,14,"Brian Davis",108,72.62,1029,1417,-0.12,"HitFairwayPercentage",2008
15,15,"Brian Gay",102,72.54,869,1198,-0.15,"HitFairwayPercentage",2008
16,16,"Kent Jones",68,72.18,550,762,-0.16,"HitFairwayPercentage",2008
17,17,"Steve Elkington",84,71.87,728,1013,-0.1,"HitFairwayPercentage",2008
18,18,"Gavin Coles",54,71.8,438,610,-0.13,"HitFairwayPercentage",2008
19,19,"Jay Williamson",96,71.74,797,1111,-0.12,"HitFairwayPercentage",2008
20,20,"Paul Claxton",63,71.55,493,689,-0.07,"HitFairwayPercentage",2008
21,21,"Paul Goydos",78,71.2,665,934,-0.08,"HitFairwayPercentage",2008
22,22,"Greg Kraft",63,71.18,494,694,-0.13,"HitFairwayPercentage",2008
23,23,"John Mallinger",95,71.17,827,1162,-0.13,"HitFairwayPercentage",2008
24,24,"Mark Wilson",107,71.09,1028,1446,-0.17,"HitFairwayPercentage",2008
25,25,"Jim Furyk",95,70.85,746,1053,-0.19,"HitFairwayPercentage",2008
26,26,"Michael Allen",91,70.81,764,1079,-0.17,"HitFairwayPercentage",2008
27,27,"Shane Bertsch",96,70.67,882,1248,-0.12,"HitFairwayPercentage",2008
28,28,"Craig Kanada",65,70.6,538,762,-0.14,"HitFairwayPercentage",2008
29,29,"Ryan Armour",87,70.46,737,1046,-0.09,"HitFairwayPercentage",2008
30,30,"Corey Pavin",69,70.41,545,774,-0.11,"HitFairwayPercentage",2008
31,31,"John Senden",93,69.96,787,1125,-0.15,"HitFairwayPercentage",2008
32,32,"Doug LaBelle II",65,69.93,493,705,-0.1,"HitFairwayPercentage",2008
33,33,"Ben Curtis",80,69.82,613,878,-0.14,"HitFairwayPercentage",2008
34,34,"Scott McCarron",63,69.6,522,750,-0.14,"HitFairwayPercentage",2008
35,35,"Todd Hamilton",92,69.47,710,1022,-0.16,"HitFairwayPercentage",2008
36,36,"John Riegger",73,69.18,615,889,-0.15,"HitFairwayPercentage",2008
37,37,"Jin Park",85,69.17,664,960,-0.09,"HitFairwayPercentage",2008
38,38,"Justin Leonard",101,69.11,707,1023,-0.21,"HitFairwayPercentage",2008
39,39,"John Rollins",94,69.1,758,1097,-0.1,"HitFairwayPercentage",2008
40,40,"Jonathan Byrd",88,69.01,735,1065,-0.16,"HitFairwayPercentage",2008
41,41,"Cameron Beckman",87,68.92,703,1020,-0.15,"HitFairwayPercentage",2008
41,41,"Ben Crane",86,68.92,714,1036,-0.17,"HitFairwayPercentage",2008
43,43,"Glen Day",64,68.81,534,776,-0.15,"HitFairwayPercentage",2008
44,44,"Woody Austin",109,68.6,841,1226,-0.16,"HitFairwayPercentage",2008
45,45,"Jason Gore",94,68.54,806,1176,-0.16,"HitFairwayPercentage",2008
46,46,"Bob Tway",70,68.44,540,789,-0.17,"HitFairwayPercentage",2008
47,47,"Rich Beem",90,68.34,749,1096,-0.13,"HitFairwayPercentage",2008
48,48,"Kevin Na",97,68.01,859,1263,-0.15,"HitFairwayPercentage",2008
49,49,"Kenneth Ferrie",72,68,561,825,-0.1,"HitFairwayPercentage",2008
50,50,"Jerry Kelly",89,67.96,700,1030,-0.12,"HitFairwayPercentage",2008
51,51,"Scott Sterling",89,67.71,690,1019,-0.13,"HitFairwayPercentage",2008
52,52,"Charlie Wi",97,67.68,825,1219,-0.14,"HitFairwayPercentage",2008
53,53,"Briny Baird",113,67.55,893,1322,-0.14,"HitFairwayPercentage",2008
54,54,"Chris Stroud",81,67.54,616,912,-0.13,"HitFairwayPercentage",2008
55,55,"Ryan Moore",72,67.51,586,868,-0.13,"HitFairwayPercentage",2008
55,55,"Tim Wilkinson",95,67.51,750,1111,-0.15,"HitFairwayPercentage",2008
57,57,"Patrick Sheehan",124,67.5,972,1440,-0.13,"HitFairwayPercentage",2008
58,58,"Bob Estes",90,67.48,801,1187,-0.12,"HitFairwayPercentage",2008
59,59,"Chris Riley",51,67.45,371,550,-0.13,"HitFairwayPercentage",2008
60,60,"Peter Lonard",92,67.42,745,1105,-0.12,"HitFairwayPercentage",2008
