"ScramblingfromtheRough_RANKTHISWEEK_2008","ScramblingfromtheRough_RANKLASTWEEK_2008","ScramblingfromtheRough_PLAYERNAME_2008","ScramblingfromtheRough_ROUNDS_2008","ScramblingfromtheRough_Pct_2008","ScramblingfromtheRough_SUCCESSES_2008","ScramblingfromtheRough_ATTEMPTS_2008","stat_name","year"
1,1,"Eric Axley",113,67.57,175,259,"ScramblingfromtheRough",2008
2,2,"Steve Stricker",75,67.15,92,137,"ScramblingfromtheRough",2008
3,3,"Justin Leonard",101,66.86,113,169,"ScramblingfromtheRough",2008
4,4,"Brian Gay",102,65.35,132,202,"ScramblingfromtheRough",2008
5,5,"Shigeki Maruyama",50,63.7,86,135,"ScramblingfromtheRough",2008
6,6,"Chris Riley",51,63.37,64,101,"ScramblingfromtheRough",2008
7,7,"Brandt Snedeker",85,63.03,104,165,"ScramblingfromtheRough",2008
8,8,"Stephen Ames",83,62.67,94,150,"ScramblingfromtheRough",2008
9,9,"Charlie Wi",97,62.5,125,200,"ScramblingfromtheRough",2008
10,10,"Peter Lonard",92,62.22,112,180,"ScramblingfromtheRough",2008
11,11,"Billy Mayfair",103,62.04,134,216,"ScramblingfromtheRough",2008
12,12,"Jonathan Byrd",88,61.9,104,168,"ScramblingfromtheRough",2008
12,12,"Carl Pettersson",110,61.9,156,252,"ScramblingfromtheRough",2008
14,14,"Matt Kuchar",88,61.85,107,173,"ScramblingfromtheRough",2008
15,15,"Ben Crane",86,61.8,110,178,"ScramblingfromtheRough",2008
16,16,"Stephen Leaney",53,61.76,63,102,"ScramblingfromtheRough",2008
17,17,"Scott Sterling",89,61.64,98,159,"ScramblingfromtheRough",2008
18,18,"Ian Poulter",51,61.54,64,104,"ScramblingfromtheRough",2008
19,19,"Phil Mickelson",80,61.33,92,150,"ScramblingfromtheRough",2008
20,20,"Jesper Parnevik",88,61.19,134,219,"ScramblingfromtheRough",2008
21,21,"Vijay Singh",82,60.96,89,146,"ScramblingfromtheRough",2008
22,22,"Patrick Sheehan",124,60.94,181,297,"ScramblingfromtheRough",2008
23,23,"Shane Bertsch",96,60.71,136,224,"ScramblingfromtheRough",2008
24,24,"Tim Petrovic",97,60.66,128,211,"ScramblingfromtheRough",2008
25,25,"Briny Baird",113,60.5,121,200,"ScramblingfromtheRough",2008
26,26,"Nick OHern",82,60.48,101,167,"ScramblingfromtheRough",2008
27,27,"Padraig Harrington",52,60.42,58,96,"ScramblingfromtheRough",2008
28,28,"Michael Letzig",88,60.3,120,199,"ScramblingfromtheRough",2008
29,29,"Jeff Quinney",87,60.22,112,186,"ScramblingfromtheRough",2008
30,30,"Scott Verplank",82,59.86,88,147,"ScramblingfromtheRough",2008
31,31,"Vaughn Taylor",103,59.83,143,239,"ScramblingfromtheRough",2008
32,32,"Chez Reavie",102,59.71,123,206,"ScramblingfromtheRough",2008
33,33,"Retief Goosen",59,59.66,71,119,"ScramblingfromtheRough",2008
34,34,"Charles Howell III",101,59.45,129,217,"ScramblingfromtheRough",2008
35,35,"Glen Day",64,59.4,79,133,"ScramblingfromtheRough",2008
36,36,"Kevin Sutherland",98,59.31,121,204,"ScramblingfromtheRough",2008
37,37,"Zach Johnson",85,59.15,97,164,"ScramblingfromtheRough",2008
37,37,"Steve Marino",119,59.15,126,213,"ScramblingfromtheRough",2008
37,37,"Corey Pavin",69,59.15,97,164,"ScramblingfromtheRough",2008
