"EarlyPar4ScoringAverage_RANKTHISWEEK_2016","EarlyPar4ScoringAverage_RANKLASTWEEK_2016","EarlyPar4ScoringAverage_PLAYERNAME_2016","EarlyPar4ScoringAverage_ROUNDS_2016","EarlyPar4ScoringAverage_AVG_2016","EarlyPar4ScoringAverage_TOTALSTROKES_2016","EarlyPar4ScoringAverage_TOTALHOLES_2016","stat_name","year"
1,1,"Jordan Spieth",34,3.88,419,108,"EarlyPar4ScoringAverage",2016
2,4,"Jason Day",36,3.92,569,145,"EarlyPar4ScoringAverage",2016
3,5,"Billy Horschel",45,3.93,948,241,"EarlyPar4ScoringAverage",2016
3,5,"Dustin Johnson",37,3.93,358,91,"EarlyPar4ScoringAverage",2016
3,5,"Marc Leishman",41,3.93,852,217,"EarlyPar4ScoringAverage",2016
3,2,"Brian Stuard",24,3.93,534,136,"EarlyPar4ScoringAverage",2016
7,14,"Paul Casey",39,3.94,615,156,"EarlyPar4ScoringAverage",2016
7,8,"Branden Grace",31,3.94,595,151,"EarlyPar4ScoringAverage",2016
7,8,"Charles Howell III",63,3.94,1290,327,"EarlyPar4ScoringAverage",2016
7,8,"Zach Johnson",42,3.94,760,193,"EarlyPar4ScoringAverage",2016
7,2,"Rory McIlroy",37,3.94,563,143,"EarlyPar4ScoringAverage",2016
7,14,"Patrick Rodgers",49,3.94,914,232,"EarlyPar4ScoringAverage",2016
7,14,"Tim Wilkinson",40,3.94,953,242,"EarlyPar4ScoringAverage",2016
14,8,"Jamie Lovemark",57,3.95,1091,276,"EarlyPar4ScoringAverage",2016
14,8,"Johnson Wagner",44,3.95,924,234,"EarlyPar4ScoringAverage",2016
14,14,"Jimmy Walker",43,3.95,675,171,"EarlyPar4ScoringAverage",2016
17,22,"Jason Gore",51,3.96,1175,297,"EarlyPar4ScoringAverage",2016
17,19,"Scott Piercy",45,3.96,963,243,"EarlyPar4ScoringAverage",2016
17,19,"Chez Reavie",56,3.96,1263,319,"EarlyPar4ScoringAverage",2016
20,33,"Anirban Lahiri",44,3.97,906,228,"EarlyPar4ScoringAverage",2016
20,22,"Sean OHair",45,3.97,918,231,"EarlyPar4ScoringAverage",2016
22,28,"Ricky Barnes",57,3.98,1386,348,"EarlyPar4ScoringAverage",2016
22,14,"Alex Cejka",47,3.98,1044,262,"EarlyPar4ScoringAverage",2016
22,8,"Graham DeLaet",50,3.98,879,221,"EarlyPar4ScoringAverage",2016
22,28,"Rickie Fowler",42,3.98,537,135,"EarlyPar4ScoringAverage",2016
22,22,"Emiliano Grillo",47,3.98,1189,299,"EarlyPar4ScoringAverage",2016
22,19,"Hideki Matsuyama",40,3.98,613,154,"EarlyPar4ScoringAverage",2016
