"FinalRoundScoringAverage_RANKTHISWEEK_2008","FinalRoundScoringAverage_RANKLASTWEEK_2008","FinalRoundScoringAverage_PLAYERNAME_2008","FinalRoundScoringAverage__2008","FinalRoundScoringAverage_AVG_2008","FinalRoundScoringAverage_TOTALSTROKES_2008","FinalRoundScoringAverage_TOTALROUNDS_2008","stat_name","year"
1,1,"Steve Allan",NA,68.29,478,7,"FinalRoundScoringAverage",2008
2,2,"Ron Whittaker",NA,69,276,4,"FinalRoundScoringAverage",2008
3,3,"Steve Stricker",NA,69.13,1037,15,"FinalRoundScoringAverage",2008
4,4,"Bob Tway",NA,69.14,968,14,"FinalRoundScoringAverage",2008
5,5,"Padraig Harrington",NA,69.18,761,11,"FinalRoundScoringAverage",2008
6,6,"Ryuji Imada",NA,69.4,1041,15,"FinalRoundScoringAverage",2008
7,7,"Rod Pampling",NA,69.58,835,12,"FinalRoundScoringAverage",2008
8,8,"Hunter Mahan",NA,69.59,1183,17,"FinalRoundScoringAverage",2008
9,9,"Peter Lonard",NA,69.81,1117,16,"FinalRoundScoringAverage",2008
10,10,"Glen Day",NA,70,840,12,"FinalRoundScoringAverage",2008
10,10,"Brenden Pappas",NA,70,560,8,"FinalRoundScoringAverage",2008
12,12,"Chad Campbell",NA,70.11,1332,19,"FinalRoundScoringAverage",2008
12,12,"John Senden",NA,70.11,1262,18,"FinalRoundScoringAverage",2008
14,14,"Richard Johnson",NA,70.14,491,7,"FinalRoundScoringAverage",2008
15,15,"Chad Collins",NA,70.18,772,11,"FinalRoundScoringAverage",2008
15,15,"Steve Elkington",NA,70.18,1193,17,"FinalRoundScoringAverage",2008
15,15,"Kent Jones",NA,70.18,772,11,"FinalRoundScoringAverage",2008
15,15,"Vijay Singh",NA,70.18,1193,17,"FinalRoundScoringAverage",2008
19,19,"Dean Wilson",NA,70.19,1474,21,"FinalRoundScoringAverage",2008
20,20,"KJ Choi",NA,70.2,1053,15,"FinalRoundScoringAverage",2008
20,20,"Tommy Gainey",NA,70.2,351,5,"FinalRoundScoringAverage",2008
20,20,"Pat Perez",NA,70.2,1404,20,"FinalRoundScoringAverage",2008
23,23,"DJ Trahan",NA,70.21,1334,19,"FinalRoundScoringAverage",2008
24,24,"Ryan Palmer",NA,70.25,843,12,"FinalRoundScoringAverage",2008
25,25,"Aaron Baddeley",NA,70.27,1054,15,"FinalRoundScoringAverage",2008
26,26,"Phil Mickelson",NA,70.33,1266,18,"FinalRoundScoringAverage",2008
28,28,"Michael Letzig",NA,70.36,985,14,"FinalRoundScoringAverage",2008
28,28,"Steve Lowery",NA,70.36,774,11,"FinalRoundScoringAverage",2008
30,30,"Stephen Ames",NA,70.39,1267,18,"FinalRoundScoringAverage",2008
31,31,"Jason Day",NA,70.42,845,12,"FinalRoundScoringAverage",2008
32,32,"JP Hayes",NA,70.43,493,7,"FinalRoundScoringAverage",2008
33,33,"Mathew Goggin",NA,70.44,1268,18,"FinalRoundScoringAverage",2008
33,33,"Nick OHern",NA,70.44,1127,16,"FinalRoundScoringAverage",2008
35,35,"Mark Wilson",NA,70.46,1691,24,"FinalRoundScoringAverage",2008
36,36,"Shane Bertsch",NA,70.47,1339,19,"FinalRoundScoringAverage",2008
36,36,"Freddie Jacobson",NA,70.47,1057,15,"FinalRoundScoringAverage",2008
38,38,"Ben Crane",NA,70.5,1269,18,"FinalRoundScoringAverage",2008
38,38,"Ernie Els",NA,70.5,705,10,"FinalRoundScoringAverage",2008
38,38,"Mathias Gronberg",NA,70.5,846,12,"FinalRoundScoringAverage",2008
38,38,"Jerry Kelly",NA,70.5,987,14,"FinalRoundScoringAverage",2008
42,42,"Kevin Sutherland",NA,70.55,1552,22,"FinalRoundScoringAverage",2008
43,43,"Martin Laird",NA,70.58,1341,19,"FinalRoundScoringAverage",2008
44,44,"Corey Pavin",NA,70.62,918,13,"FinalRoundScoringAverage",2008
45,45,"Charles Howell III",NA,70.63,1342,19,"FinalRoundScoringAverage",2008
46,46,"Alex Cejka",NA,70.64,777,11,"FinalRoundScoringAverage",2008
47,47,"Ryan Armour",NA,70.67,848,12,"FinalRoundScoringAverage",2008
47,47,"Ken Duke",NA,70.67,1696,24,"FinalRoundScoringAverage",2008
47,47,"Brett Rumford",NA,70.67,636,9,"FinalRoundScoringAverage",2008
47,47,"Camilo Villegas",NA,70.67,1272,18,"FinalRoundScoringAverage",2008
51,51,"George McNeill",NA,70.68,1343,19,"FinalRoundScoringAverage",2008
52,52,"Cameron Beckman",NA,70.71,990,14,"FinalRoundScoringAverage",2008
52,52,"Andres Romero",NA,70.71,990,14,"FinalRoundScoringAverage",2008
52,52,"Tim Wilkinson",NA,70.71,1202,17,"FinalRoundScoringAverage",2008
55,55,"Scott Sterling",NA,70.73,1061,15,"FinalRoundScoringAverage",2008
56,56,"Steve Marino",NA,70.74,1910,27,"FinalRoundScoringAverage",2008
57,57,"Justin Leonard",NA,70.78,1628,23,"FinalRoundScoringAverage",2008
58,58,"Brian Gay",NA,70.8,1416,20,"FinalRoundScoringAverage",2008
58,58,"Jason Gore",NA,70.8,1062,15,"FinalRoundScoringAverage",2008
60,60,"Scott Verplank",NA,70.82,1204,17,"FinalRoundScoringAverage",2008
61,61,"Tim Herron",NA,70.84,1346,19,"FinalRoundScoringAverage",2008
61,61,"Joe Ogilvie",NA,70.84,1346,19,"FinalRoundScoringAverage",2008
63,63,"James Driscoll",NA,70.86,992,14,"FinalRoundScoringAverage",2008
63,63,"Tom Pernice Jr",NA,70.86,1559,22,"FinalRoundScoringAverage",2008
65,65,"Nathan Green",NA,70.88,1205,17,"FinalRoundScoringAverage",2008
65,65,"Scott McCarron",NA,70.88,567,8,"FinalRoundScoringAverage",2008
65,65,"Carl Pettersson",NA,70.88,1772,25,"FinalRoundScoringAverage",2008
68,68,"Bill Haas",NA,70.89,1276,18,"FinalRoundScoringAverage",2008
69,69,"Heath Slocum",NA,70.91,1560,22,"FinalRoundScoringAverage",2008
70,70,"Fred Couples",NA,70.92,851,12,"FinalRoundScoringAverage",2008
71,71,"Jon Mills",NA,70.93,993,14,"FinalRoundScoringAverage",2008
72,72,"Robert Garrigus",NA,70.94,1206,17,"FinalRoundScoringAverage",2008
72,72,"Anthony Kim",NA,70.94,1277,18,"FinalRoundScoringAverage",2008
74,74,"JJ Henry",NA,70.95,1348,19,"FinalRoundScoringAverage",2008
75,75,"Stewart Cink",NA,71,1278,18,"FinalRoundScoringAverage",2008
75,75,"Joe Durant",NA,71,1207,17,"FinalRoundScoringAverage",2008
75,75,"Harrison Frazar",NA,71,923,13,"FinalRoundScoringAverage",2008
75,75,"Jeff Gove",NA,71,497,7,"FinalRoundScoringAverage",2008
75,75,"Chris Riley",NA,71,639,9,"FinalRoundScoringAverage",2008
80,80,"Nicholas Thompson",NA,71.05,1421,20,"FinalRoundScoringAverage",2008
81,81,"Bob Estes",NA,71.06,1208,17,"FinalRoundScoringAverage",2008
81,81,"Steve Flesch",NA,71.06,1208,17,"FinalRoundScoringAverage",2008
83,83,"Eric Axley",NA,71.11,1351,19,"FinalRoundScoringAverage",2008
83,83,"Mike Weir",NA,71.11,1351,19,"FinalRoundScoringAverage",2008
85,85,"Kevin Streelman",NA,71.13,1636,23,"FinalRoundScoringAverage",2008
86,86,"Jason Allred",NA,71.14,498,7,"FinalRoundScoringAverage",2008
86,86,"Brandt Jobe",NA,71.14,498,7,"FinalRoundScoringAverage",2008
88,88,"Tommy Armour III",NA,71.15,925,13,"FinalRoundScoringAverage",2008
88,88,"Brian Davis",NA,71.15,1423,20,"FinalRoundScoringAverage",2008
88,88,"Chris DiMarco",NA,71.15,925,13,"FinalRoundScoringAverage",2008
91,91,"Tim Clark",NA,71.17,1281,18,"FinalRoundScoringAverage",2008
92,92,"Paul Casey",NA,71.18,783,11,"FinalRoundScoringAverage",2008
93,93,"Davis Love III",NA,71.19,1139,16,"FinalRoundScoringAverage",2008
93,93,"Tim Petrovic",NA,71.19,1139,16,"FinalRoundScoringAverage",2008
93,93,"Charlie Wi",NA,71.19,1495,21,"FinalRoundScoringAverage",2008
96,96,"Craig Kanada",NA,71.2,712,10,"FinalRoundScoringAverage",2008
96,96,"John Mallinger",NA,71.2,1424,20,"FinalRoundScoringAverage",2008
98,98,"Lucas Glover",NA,71.21,1353,19,"FinalRoundScoringAverage",2008
99,99,"Robert Allenby",NA,71.23,1852,26,"FinalRoundScoringAverage",2008
99,99,"Todd Demsey",NA,71.23,926,13,"FinalRoundScoringAverage",2008
101,101,"Sergio Garcia",NA,71.24,1211,17,"FinalRoundScoringAverage",2008
101,101,"Billy Mayfair",NA,71.24,1496,21,"FinalRoundScoringAverage",2008
103,103,"Stuart Appleby",NA,71.25,1425,20,"FinalRoundScoringAverage",2008
103,103,"Charley Hoffman",NA,71.25,1140,16,"FinalRoundScoringAverage",2008
105,105,"Bubba Watson",NA,71.26,1354,19,"FinalRoundScoringAverage",2008
106,106,"Omar Uresti",NA,71.27,784,11,"FinalRoundScoringAverage",2008
107,107,"Boo Weekley",NA,71.28,1283,18,"FinalRoundScoringAverage",2008
108,108,"Nick Watney",NA,71.29,1497,21,"FinalRoundScoringAverage",2008
109,109,"John Merrick",NA,71.32,1355,19,"FinalRoundScoringAverage",2008
110,110,"Michael Allen",NA,71.33,1284,18,"FinalRoundScoringAverage",2008
110,110,"Zach Johnson",NA,71.33,1284,18,"FinalRoundScoringAverage",2008
112,112,"Gavin Coles",NA,71.36,785,11,"FinalRoundScoringAverage",2008
113,113,"Bo Van Pelt",NA,71.37,1356,19,"FinalRoundScoringAverage",2008
114,114,"Bob Sowards",NA,71.38,571,8,"FinalRoundScoringAverage",2008
115,115,"Ben Curtis",NA,71.39,1285,18,"FinalRoundScoringAverage",2008
116,116,"Greg Kraft",NA,71.4,714,10,"FinalRoundScoringAverage",2008
117,117,"Carlos Franco",NA,71.42,857,12,"FinalRoundScoringAverage",2008
117,117,"Retief Goosen",NA,71.42,857,12,"FinalRoundScoringAverage",2008
119,119,"Brad Adamonis",NA,71.43,1000,14,"FinalRoundScoringAverage",2008
