"BounceBack_RANKTHISWEEK_2015","BounceBack_RANKLASTWEEK_2015","BounceBack_PLAYERNAME_2015","BounceBack_ROUNDS_2015","BounceBack_Pct_2015","stat_name","year"
1,1,"Jason Day",75,34.44,"BounceBack",2015
2,2,"Bubba Watson",71,28.24,"BounceBack",2015
3,3,"Tyrone Van Aswegen",58,28.17,"BounceBack",2015
4,4,"John Senden",80,27.65,"BounceBack",2015
5,5,"Jordan Spieth",91,27.46,"BounceBack",2015
6,6,"Brooks Koepka",84,27.36,"BounceBack",2015
7,7,"JB Holmes",89,26.77,"BounceBack",2015
8,8,"Rory Sabbatini",81,26.7,"BounceBack",2015
9,9,"Brendan Steele",88,26.07,"BounceBack",2015
10,10,"Daniel Berger",97,25.88,"BounceBack",2015
11,11,"Louis Oosthuizen",68,25.77,"BounceBack",2015
12,12,"Daniel Summerhays",101,25.56,"BounceBack",2015
13,13,"Kevin Na",98,25.42,"BounceBack",2015
14,14,"Shawn Stefani",94,25.2,"BounceBack",2015
15,15,"Morgan Hoffmann",85,25,"BounceBack",2015
15,15,"Mark Wilson",89,25,"BounceBack",2015
17,17,"Marc Leishman",74,24.88,"BounceBack",2015
18,18,"Roberto Castro",54,24.67,"BounceBack",2015
18,18,"Hunter Mahan",88,24.67,"BounceBack",2015
20,20,"Paul Casey",87,24.64,"BounceBack",2015
21,21,"Dustin Johnson",75,24.61,"BounceBack",2015
22,22,"Carl Pettersson",106,24.39,"BounceBack",2015
23,23,"Jason Bohn",95,24.3,"BounceBack",2015
23,23,"Gary Woodland",81,24.3,"BounceBack",2015
25,25,"Ryo Ishikawa",90,24.25,"BounceBack",2015
26,26,"Matt Kuchar",97,24.2,"BounceBack",2015
27,27,"Charl Schwartzel",67,24.1,"BounceBack",2015
28,28,"Billy Horschel",99,23.97,"BounceBack",2015
29,29,"Jason Gore",76,23.96,"BounceBack",2015
30,30,"Zac Blair",108,23.87,"BounceBack",2015
31,31,"Steven Bowditch",103,23.75,"BounceBack",2015
31,31,"Hudson Swafford",97,23.75,"BounceBack",2015
33,33,"Jimmy Walker",89,23.32,"BounceBack",2015
34,34,"Keegan Bradley",87,23.21,"BounceBack",2015
35,35,"John Peterson",84,23.16,"BounceBack",2015
36,36,"Luke Donald",71,23.08,"BounceBack",2015
36,36,"Rickie Fowler",76,23.08,"BounceBack",2015
38,38,"Zach Johnson",90,23.04,"BounceBack",2015
39,39,"Jonathan Byrd",69,22.93,"BounceBack",2015
40,40,"Phil Mickelson",70,22.9,"BounceBack",2015
41,41,"Jason Dufner",76,22.83,"BounceBack",2015
42,42,"Justin Rose",69,22.78,"BounceBack",2015
43,43,"Robert Streb",110,22.76,"BounceBack",2015
44,44,"Greg Owen",58,22.67,"BounceBack",2015
45,45,"Jonas Blixt",78,22.62,"BounceBack",2015
46,46,"Cameron Percy",72,22.61,"BounceBack",2015
47,47,"Spencer Levin",99,22.54,"BounceBack",2015
48,48,"Ryan Palmer",80,22.49,"BounceBack",2015
49,49,"Angel Cabrera",53,22.47,"BounceBack",2015
49,49,"Nicholas Thompson",90,22.47,"BounceBack",2015
51,51,"Bryce Molder",91,22.38,"BounceBack",2015
52,52,"Camilo Villegas",83,22.35,"BounceBack",2015
53,53,"Bo Van Pelt",81,22.12,"BounceBack",2015
54,54,"Whee Kim",71,22.1,"BounceBack",2015
55,55,"Blayne Barber",76,22.06,"BounceBack",2015
56,56,"Charley Hoffman",97,22.05,"BounceBack",2015
57,57,"Will Wilcox",58,22.03,"BounceBack",2015
58,58,"Andres Gonzales",90,21.99,"BounceBack",2015
59,59,"Jason Kokrak",88,21.94,"BounceBack",2015
