"RyderCupPoints_RANKTHISWEEK_2009","RyderCupPoints_RANKLASTWEEK_2009","RyderCupPoints_PLAYERNAME_2009","RyderCupPoints_EVENTS_2009","RyderCupPoints_POINTS_2009","stat_name","year"
1,1,"Lucas Glover",3,1650,"RyderCupPoints",2009
2,2,"Stewart Cink",4,1291.096,"RyderCupPoints",2009
3,3,"Tiger Woods",4,1286.163,"RyderCupPoints",2009
4,4,"Phil Mickelson",3,873.53,"RyderCupPoints",2009
5,5,"Kenny Perry",4,734.943,"RyderCupPoints",2009
6,6,"Tom Watson",2,732.603,"RyderCupPoints",2009
7,7,"Chad Campbell",4,681.113,"RyderCupPoints",2009
8,8,"Ricky Barnes",1,559.83,"RyderCupPoints",2009
8,8,"David Duval",2,559.83,"RyderCupPoints",2009
10,10,"Hunter Mahan",4,527.417,"RyderCupPoints",2009
11,11,"John Merrick",3,393.446,"RyderCupPoints",2009
12,12,"Steve Stricker",4,337.53,"RyderCupPoints",2009
13,13,"Sean OHair",4,293.621,"RyderCupPoints",2009
14,14,"Jim Furyk",4,287.712,"RyderCupPoints",2009
15,15,"Steve Flesch",2,283.201,"RyderCupPoints",2009
16,16,"Dustin Johnson",4,235.7,"RyderCupPoints",2009
17,17,"Anthony Kim",4,209.788,"RyderCupPoints",2009
18,18,"Todd Hamilton",3,174.185,"RyderCupPoints",2009
19,19,"Zach Johnson",4,172.204,"RyderCupPoints",2009
20,20,"Justin Leonard",4,161.222,"RyderCupPoints",2009
21,21,"Matt Bettencourt",1,154.6,"RyderCupPoints",2009
21,21,"Ryan Moore",1,154.6,"RyderCupPoints",2009
23,23,"Nick Watney",4,152.794,"RyderCupPoints",2009
24,24,"Bubba Watson",4,129.558,"RyderCupPoints",2009
25,25,"Kevin Sutherland",4,126.654,"RyderCupPoints",2009
26,26,"Jeff Overton",2,123.253,"RyderCupPoints",2009
27,27,"Boo Weekley",4,114.601,"RyderCupPoints",2009
28,28,"Ben Curtis",4,113.123,"RyderCupPoints",2009
29,29,"Michael Allen",1,81.76,"RyderCupPoints",2009
29,29,"Corey Pavin",1,81.76,"RyderCupPoints",2009
31,31,"JB Holmes",3,71.833,"RyderCupPoints",2009
32,32,"Tom Lehman",3,59.422,"RyderCupPoints",2009
33,33,"Billy Mayfair",3,56.787,"RyderCupPoints",2009
34,34,"Scott McCarron",1,53.113,"RyderCupPoints",2009
34,34,"John Rollins",1,53.113,"RyderCupPoints",2009
36,36,"John Mallinger",2,48.319,"RyderCupPoints",2009
37,37,"Mark Calcavecchia",1,47.794,"RyderCupPoints",2009
37,37,"John Daly",2,47.794,"RyderCupPoints",2009
37,37,"Davis Love III",2,47.794,"RyderCupPoints",2009
40,40,"Rocco Mediate",2,46.609,"RyderCupPoints",2009
41,41,"Larry Mize",1,46.575,"RyderCupPoints",2009
42,42,"Ken Duke",4,38.625,"RyderCupPoints",2009
43,43,"Woody Austin",1,31.736,"RyderCupPoints",2009
43,43,"Fred Couples",2,31.736,"RyderCupPoints",2009
45,45,"David Toms",3,31.736,"RyderCupPoints",2009
46,46,"Steve Marino",2,31.176,"RyderCupPoints",2009
47,47,"Paul Goydos",2,29.353,"RyderCupPoints",2009
48,48,"Gary Woodland",1,27.409,"RyderCupPoints",2009
49,49,"Bryce Molder",1,25.539,"RyderCupPoints",2009
50,50,"Dudley Hart",1,25.5,"RyderCupPoints",2009
50,50,"DJ Trahan",4,25.5,"RyderCupPoints",2009
52,52,"Rich Beem",1,21.113,"RyderCupPoints",2009
52,52,"Ben Crane",3,21.113,"RyderCupPoints",2009
52,52,"Kevin Na",1,21.113,"RyderCupPoints",2009
55,55,"Jeff Brehaut",1,20.63,"RyderCupPoints",2009
56,56,"Fred Funk",1,19.921,"RyderCupPoints",2009
57,57,"Mark OMeara",2,15.547,"RyderCupPoints",2009
58,58,"Bob Tway",1,15.525,"RyderCupPoints",2009
59,59,"JJ Henry",2,14.55,"RyderCupPoints",2009
60,60,"Gregory Bisconti",1,13.6,"RyderCupPoints",2009
61,61,"Bob Estes",1,13.3,"RyderCupPoints",2009
61,61,"Grant Sturgeon",1,13.3,"RyderCupPoints",2009
