"AverageDistanceofBirdieputtsmade_RANKTHISWEEK_2015","AverageDistanceofBirdieputtsmade_RANKLASTWEEK_2015","AverageDistanceofBirdieputtsmade_PLAYERNAME_2015","AverageDistanceofBirdieputtsmade_ROUNDS_2015","AverageDistanceofBirdieputtsmade_AVG_2015","AverageDistanceofBirdieputtsmade_TOTDISTFT_2015","AverageDistanceofBirdieputtsmade_TOTBIRDIEPUTTSMADE_2015","AverageDistanceofBirdieputtsmade_LONGESTMADEFT_2015","AverageDistanceofBirdieputtsmade_SHORTESTMADEFT_2015","stat_name","year"
1,1,"David Toms",62,NA,1956.167,165,62,NA,"AverageDistanceofBirdieputtsmade",2015
2,2,"Stewart Cink",77,NA,2864.917,249,58,NA,"AverageDistanceofBirdieputtsmade",2015
2,2,"Bill Lunde",50,NA,1229.667,107,59,NA,"AverageDistanceofBirdieputtsmade",2015
4,4,"Scott Pinckney",88,NA,2792.167,244,68,NA,"AverageDistanceofBirdieputtsmade",2015
5,5,"Zac Blair",108,NA,3102.417,273,75,NA,"AverageDistanceofBirdieputtsmade",2015
6,6,"Luke Donald",71,NA,1953.5,174,67,NA,"AverageDistanceofBirdieputtsmade",2015
7,7,"Martin Flores",95,NA,2804.333,252,55,NA,"AverageDistanceofBirdieputtsmade",2015
8,8,"Brian Davis",86,NA,2387.25,216,49,NA,"AverageDistanceofBirdieputtsmade",2015
8,8,"Jason Dufner",76,NA,1623,146,65,NA,"AverageDistanceofBirdieputtsmade",2015
8,8,"Andrew Putnam",68,NA,1945.333,176,53,NA,"AverageDistanceofBirdieputtsmade",2015
11,11,"Greg Chalmers",58,NA,1275.25,116,45,NA,"AverageDistanceofBirdieputtsmade",2015
11,11,"Brian Stuard",97,NA,2681.75,244,56,NA,"AverageDistanceofBirdieputtsmade",2015
13,13,"Camilo Villegas",83,NA,2889.833,264,52,NA,"AverageDistanceofBirdieputtsmade",2015
13,13,"Lee Westwood",56,NA,1289.167,118,49,NA,"AverageDistanceofBirdieputtsmade",2015
15,15,"Ben Crane",62,NA,1746.083,161,54,NA,"AverageDistanceofBirdieputtsmade",2015
15,15,"Fabian Gomez",83,NA,2564.5,236,51,NA,"AverageDistanceofBirdieputtsmade",2015
15,15,"Ben Martin",93,NA,3187,295,70,NA,"AverageDistanceofBirdieputtsmade",2015
18,18,"Jamie Donaldson",50,NA,964.417,90,44,2,"AverageDistanceofBirdieputtsmade",2015
18,18,"Luke Guthrie",84,NA,2452.333,228,56,NA,"AverageDistanceofBirdieputtsmade",2015
18,18,"Russell Henley",87,NA,2684.583,249,73,NA,"AverageDistanceofBirdieputtsmade",2015
18,18,"Sean OHair",86,NA,2969.667,276,55,NA,"AverageDistanceofBirdieputtsmade",2015
18,18,"Will Wilcox",58,NA,1666.5,155,59,NA,"AverageDistanceofBirdieputtsmade",2015
23,23,"Matt Jones",89,NA,2639.25,247,75,NA,"AverageDistanceofBirdieputtsmade",2015
23,23,"Colt Knost",90,NA,2702,254,47,NA,"AverageDistanceofBirdieputtsmade",2015
23,23,"Scott Piercy",90,NA,3112.833,292,63,NA,"AverageDistanceofBirdieputtsmade",2015
23,23,"Cameron Tringale",96,NA,2822.833,264,43,NA,"AverageDistanceofBirdieputtsmade",2015
23,23,"Johnson Wagner",68,NA,1998.833,188,51,NA,"AverageDistanceofBirdieputtsmade",2015
28,28,"Jonathan Byrd",69,NA,1923.917,182,50,NA,"AverageDistanceofBirdieputtsmade",2015
28,28,"Andres Gonzales",90,NA,2670.25,253,71,NA,"AverageDistanceofBirdieputtsmade",2015
28,28,"Spencer Levin",99,NA,2737.917,258,58,NA,"AverageDistanceofBirdieputtsmade",2015
28,28,"Bryce Molder",91,NA,2750.833,260,46,NA,"AverageDistanceofBirdieputtsmade",2015
28,28,"Mark Wilson",89,NA,2834.5,267,61,NA,"AverageDistanceofBirdieputtsmade",2015
