"FirstTeeEarlyScoringAverage_RANKTHISWEEK_2010","FirstTeeEarlyScoringAverage_RANKLASTWEEK_2010","FirstTeeEarlyScoringAverage_PLAYERNAME_2010","FirstTeeEarlyScoringAverage_ROUNDS_2010","FirstTeeEarlyScoringAverage_AVG_2010","FirstTeeEarlyScoringAverage_TOTALSTROKES_2010","FirstTeeEarlyScoringAverage_TOTEARLYRDS1STTEE_2010","stat_name","year"
67,67,"Jay Williamson",76,70.33,1688,24,"FirstTeeEarlyScoringAverage",2010
68,68,"James Driscoll",78,70.35,1618,23,"FirstTeeEarlyScoringAverage",2010
68,68,"Nicholas Thompson",88,70.35,1618,23,"FirstTeeEarlyScoringAverage",2010
70,70,"Tim Clark",88,70.37,2111,30,"FirstTeeEarlyScoringAverage",2010
70,70,"Jason Day",82,70.37,1900,27,"FirstTeeEarlyScoringAverage",2010
72,72,"Robert Garrigus",71,70.38,1689,24,"FirstTeeEarlyScoringAverage",2010
73,73,"Rory Sabbatini",79,70.39,2182,31,"FirstTeeEarlyScoringAverage",2010
74,74,"Cliff Kresge",50,70.4,1408,20,"FirstTeeEarlyScoringAverage",2010
74,74,"Tom Pernice Jr",74,70.4,2112,30,"FirstTeeEarlyScoringAverage",2010
76,76,"Ricky Barnes",103,70.44,2395,34,"FirstTeeEarlyScoringAverage",2010
76,76,"Spencer Levin",110,70.44,2395,34,"FirstTeeEarlyScoringAverage",2010
78,78,"Chris Couch",66,70.47,1339,19,"FirstTeeEarlyScoringAverage",2010
78,78,"Tim Petrovic",105,70.47,2678,38,"FirstTeeEarlyScoringAverage",2010
80,80,"Sean OHair",84,70.48,1480,21,"FirstTeeEarlyScoringAverage",2010
80,80,"Kevin Stadler",86,70.48,2185,31,"FirstTeeEarlyScoringAverage",2010
82,82,"Ryuji Imada",90,70.49,2608,37,"FirstTeeEarlyScoringAverage",2010
83,83,"Woody Austin",93,70.5,1974,28,"FirstTeeEarlyScoringAverage",2010
83,83,"Jarrod Lyle",54,70.5,1128,16,"FirstTeeEarlyScoringAverage",2010
85,85,"Ernie Els",72,70.53,1340,19,"FirstTeeEarlyScoringAverage",2010
85,85,"Carl Pettersson",99,70.53,2257,32,"FirstTeeEarlyScoringAverage",2010
85,85,"Michael Sim",64,70.53,1340,19,"FirstTeeEarlyScoringAverage",2010
88,88,"Paul Goydos",78,70.54,1693,24,"FirstTeeEarlyScoringAverage",2010
89,89,"Hunter Mahan",85,70.56,1764,25,"FirstTeeEarlyScoringAverage",2010
89,89,"Chris Tidland",77,70.56,1905,27,"FirstTeeEarlyScoringAverage",2010
91,91,"Jason Dufner",87,70.59,2612,37,"FirstTeeEarlyScoringAverage",2010
91,91,"Vaughn Taylor",87,70.59,2400,34,"FirstTeeEarlyScoringAverage",2010
93,93,"Michael Bradley",77,70.61,2330,33,"FirstTeeEarlyScoringAverage",2010
93,93,"Greg Owen",69,70.61,1271,18,"FirstTeeEarlyScoringAverage",2010
95,95,"Mathew Goggin",85,70.62,2048,29,"FirstTeeEarlyScoringAverage",2010
96,96,"Lee Janzen",77,70.64,1766,25,"FirstTeeEarlyScoringAverage",2010
96,96,"Brandt Snedeker",89,70.64,1978,28,"FirstTeeEarlyScoringAverage",2010
96,96,"Johnson Wagner",85,70.64,1978,28,"FirstTeeEarlyScoringAverage",2010
99,99,"Marc Leishman",87,70.66,2049,29,"FirstTeeEarlyScoringAverage",2010
100,100,"Justin Leonard",89,70.67,2120,30,"FirstTeeEarlyScoringAverage",2010
100,100,"Ryan Palmer",84,70.67,1908,27,"FirstTeeEarlyScoringAverage",2010
102,102,"Roland Thatcher",72,70.68,1767,25,"FirstTeeEarlyScoringAverage",2010
103,103,"Matt Every",60,70.69,1131,16,"FirstTeeEarlyScoringAverage",2010
104,104,"Rich Barcelo",70,70.7,1626,23,"FirstTeeEarlyScoringAverage",2010
104,104,"Will Ma Kenzie",72,70.7,1626,23,"FirstTeeEarlyScoringAverage",2010
104,104,"Rory McIlroy",54,70.7,1414,20,"FirstTeeEarlyScoringAverage",2010
104,104,"YE Yang",72,70.7,2333,33,"FirstTeeEarlyScoringAverage",2010
108,108,"Steve Marino",81,70.71,1697,24,"FirstTeeEarlyScoringAverage",2010
108,108,"Garth Mulroy",53,70.71,990,14,"FirstTeeEarlyScoringAverage",2010
108,108,"DJ Trahan",92,70.71,1980,28,"FirstTeeEarlyScoringAverage",2010
111,111,"Ted Purdy",86,70.73,1556,22,"FirstTeeEarlyScoringAverage",2010
111,111,"Jimmy Walker",82,70.73,1839,26,"FirstTeeEarlyScoringAverage",2010
113,113,"John Mallinger",78,70.75,1132,16,"FirstTeeEarlyScoringAverage",2010
114,114,"Skip Kendall",58,70.76,1203,17,"FirstTeeEarlyScoringAverage",2010
115,115,"Padraig Harrington",57,70.77,920,13,"FirstTeeEarlyScoringAverage",2010
116,116,"John Merrick",109,70.78,2619,37,"FirstTeeEarlyScoringAverage",2010
117,117,"Steve Stricker",73,70.81,1133,16,"FirstTeeEarlyScoringAverage",2010
118,118,"Chad Campbell",95,70.82,2691,38,"FirstTeeEarlyScoringAverage",2010
119,119,"Troy Matteson",84,70.83,2125,30,"FirstTeeEarlyScoringAverage",2010
120,120,"JP Hayes",79,70.84,1346,19,"FirstTeeEarlyScoringAverage",2010
121,121,"Cameron Beckman",68,70.86,1488,21,"FirstTeeEarlyScoringAverage",2010
121,121,"Henrik Bjornstad",72,70.86,1559,22,"FirstTeeEarlyScoringAverage",2010
123,123,"Garrett Willis",82,70.89,1985,28,"FirstTeeEarlyScoringAverage",2010
124,124,"Blake Adams",84,70.9,2127,30,"FirstTeeEarlyScoringAverage",2010
124,124,"George McNeill",79,70.9,1489,21,"FirstTeeEarlyScoringAverage",2010
124,124,"Josh Teater",101,70.9,2056,29,"FirstTeeEarlyScoringAverage",2010
127,127,"Brett Quigley",96,70.91,2269,32,"FirstTeeEarlyScoringAverage",2010
128,128,"Trevor Immelman",55,70.94,1277,18,"FirstTeeEarlyScoringAverage",2010
128,128,"Ian Poulter",55,70.94,1277,18,"FirstTeeEarlyScoringAverage",2010
