"RyderCupEuroPoints_RANKTHISWEEK_2015","RyderCupEuroPoints_RANKLASTWEEK_2015","RyderCupEuroPoints_PLAYERNAME_2015","RyderCupEuroPoints__2015","RyderCupEuroPoints_POINTS_2015","stat_name","year"
1,27,"Matthew Fitzpatrick",NA,743549.97,"RyderCupEuroPoints",2015
2,1,"Thorbjorn Olesen",NA,711546.4,"RyderCupEuroPoints",2015
3,12,"Soren Kjeldsen",NA,451124.27,"RyderCupEuroPoints",2015
4,2,"Lee Slattery",NA,383655.63,"RyderCupEuroPoints",2015
5,3,"Rikard Karlberg",NA,353601.66,"RyderCupEuroPoints",2015
6,45,"Shane Lowry",NA,348000.9,"RyderCupEuroPoints",2015
7,4,"Thomas Pieters",NA,309267.39,"RyderCupEuroPoints",2015
8,5,"Graeme Storm",NA,296624.67,"RyderCupEuroPoints",2015
9,11,"Chris Wood",NA,233575.95,"RyderCupEuroPoints",2015
10,NA,"Benjamin Hebert",NA,228111.52,"RyderCupEuroPoints",2015
11,6,"Joakim Lagergren",NA,212304.6,"RyderCupEuroPoints",2015
12,7,"Martin Kaymer",NA,185901.79,"RyderCupEuroPoints",2015
13,10,"David Horsey",NA,178690.83,"RyderCupEuroPoints",2015
14,8,"Bernd Wiesberger",NA,176654.6,"RyderCupEuroPoints",2015
15,50,"Michael Lorenzo Vera",NA,173839.83,"RyderCupEuroPoints",2015
16,9,"Eduardo De La Riva",NA,164140,"RyderCupEuroPoints",2015
17,13,"Jamie Donaldson",NA,138205.28,"RyderCupEuroPoints",2015
18,NA,"Oliver Fisher",NA,137122.61,"RyderCupEuroPoints",2015
19,23,"Peter Hanson",NA,134933.3,"RyderCupEuroPoints",2015
20,NA,"Luke Donald",NA,133369.83,"RyderCupEuroPoints",2015
21,26,"Tommy Fleetwood",NA,133124.85,"RyderCupEuroPoints",2015
22,14,"Lucas Bjerregaard",NA,127280,"RyderCupEuroPoints",2015
23,43,"Anthony Wall",NA,126107.36,"RyderCupEuroPoints",2015
24,15,"Pelle Edberg",NA,125200,"RyderCupEuroPoints",2015
25,31,"Rich Bland",NA,124934.42,"RyderCupEuroPoints",2015
26,19,"David Drysdale",NA,112043.44,"RyderCupEuroPoints",2015
27,17,"Magnus Carlsson",NA,111975.9,"RyderCupEuroPoints",2015
28,33,"Romain Wattel",NA,106274.99,"RyderCupEuroPoints",2015
29,16,"Ben Evans",NA,103722.68,"RyderCupEuroPoints",2015
30,18,"James Morrison",NA,103404.78,"RyderCupEuroPoints",2015
31,28,"Eddie Pepperell",NA,99960.33,"RyderCupEuroPoints",2015
32,22,"Alejandro Canizares",NA,95692.3,"RyderCupEuroPoints",2015
33,34,"Graeme McDowell",NA,95387.99,"RyderCupEuroPoints",2015
34,48,"Kristoffer Broberg",NA,92379.35,"RyderCupEuroPoints",2015
35,25,"Danny Willett",NA,91981.09,"RyderCupEuroPoints",2015
36,20,"Bradley Dredge",NA,91760.97,"RyderCupEuroPoints",2015
37,46,"Edouard Espana",NA,91687.83,"RyderCupEuroPoints",2015
38,21,"Mikko Korhonen",NA,90572.14,"RyderCupEuroPoints",2015
39,44,"Paul Dunne",NA,87023.15,"RyderCupEuroPoints",2015
40,79,"Robert Karlsson",NA,81640.96,"RyderCupEuroPoints",2015
41,NA,"Julien Quesne",NA,78571.35,"RyderCupEuroPoints",2015
42,24,"Florian Fritsch",NA,78344.34,"RyderCupEuroPoints",2015
43,49,"David Howell",NA,76396.98,"RyderCupEuroPoints",2015
44,29,"Morten Orum Madsen",NA,69660,"RyderCupEuroPoints",2015
45,54,"Michael Hoey",NA,69650.33,"RyderCupEuroPoints",2015
46,87,"Alexander Levy",NA,68590.78,"RyderCupEuroPoints",2015
47,30,"Ross Fisher",NA,66200,"RyderCupEuroPoints",2015
48,61,"Joost Luiten",NA,64813.67,"RyderCupEuroPoints",2015
49,32,"Matthew Nixon",NA,64065.69,"RyderCupEuroPoints",2015
50,59,"Gregory Bourdy",NA,62707.19,"RyderCupEuroPoints",2015
51,NA,"Tyrrell Hatton",NA,60640.96,"RyderCupEuroPoints",2015
52,35,"Stephen Gallacher",NA,59956.01,"RyderCupEuroPoints",2015
54,69,"Marc Warren",NA,57919.02,"RyderCupEuroPoints",2015
55,89,"Andrew Johnston",NA,57667.14,"RyderCupEuroPoints",2015
56,37,"Jens Fahrbring",NA,57300,"RyderCupEuroPoints",2015
57,38,"Mikko Ilonen",NA,55841.66,"RyderCupEuroPoints",2015
58,39,"Maximilian Kieffer",NA,53903.33,"RyderCupEuroPoints",2015
59,67,"Johan Edfors",NA,53794.99,"RyderCupEuroPoints",2015
60,52,"Miguel Angel Jimenez",NA,52995.22,"RyderCupEuroPoints",2015
61,47,"Nicolas Colsaerts",NA,51405.02,"RyderCupEuroPoints",2015
62,40,"Scott Jamieson",NA,50882.69,"RyderCupEuroPoints",2015
63,NA,"Lee Westwood",NA,50285.66,"RyderCupEuroPoints",2015
64,41,"John Parry",NA,49451.9,"RyderCupEuroPoints",2015
65,42,"Rafa Cabrera Bello",NA,48688.5,"RyderCupEuroPoints",2015
66,112,"Niall Kearney",NA,45887.14,"RyderCupEuroPoints",2015
68,80,"Robert Rock",NA,45410.16,"RyderCupEuroPoints",2015
69,91,"Francesco Molinari",NA,42471.66,"RyderCupEuroPoints",2015
70,92,"Padraig Harrington",NA,42437.91,"RyderCupEuroPoints",2015
71,68,"Richard Finch",NA,41561.53,"RyderCupEuroPoints",2015
72,51,"Nick Dougherty",NA,40365.77,"RyderCupEuroPoints",2015
73,77,"Andy Sullivan",NA,40206.78,"RyderCupEuroPoints",2015
74,53,"Robert Dinwiddie",NA,39889.54,"RyderCupEuroPoints",2015
75,56,"Oskar Henningsson",NA,39350,"RyderCupEuroPoints",2015
76,55,"Pablo Martin Benavides",NA,39350,"RyderCupEuroPoints",2015
77,57,"James Heath",NA,39350,"RyderCupEuroPoints",2015
78,58,"Tom Lewis",NA,39162,"RyderCupEuroPoints",2015
79,60,"Paul Lawrie",NA,34560,"RyderCupEuroPoints",2015
80,78,"Anders Hansen",NA,34335.22,"RyderCupEuroPoints",2015
81,62,"Simon Wakefield",NA,33720,"RyderCupEuroPoints",2015
82,73,"Mikael Lundberg",NA,33535.06,"RyderCupEuroPoints",2015
83,63,"Ricardo Santos",NA,32190,"RyderCupEuroPoints",2015
84,NA,"Ian Poulter",NA,30300.33,"RyderCupEuroPoints",2015
85,64,"Lasse Jensen",NA,30090,"RyderCupEuroPoints",2015
86,65,"Soren Hansen",NA,30068.69,"RyderCupEuroPoints",2015
87,66,"Jason Barnes",NA,29570,"RyderCupEuroPoints",2015
88,83,"Gregory Havret",NA,26915.48,"RyderCupEuroPoints",2015
89,71,"Roope Kakko",NA,26700,"RyderCupEuroPoints",2015
90,72,"Peter Lawrie",NA,26330,"RyderCupEuroPoints",2015
91,74,"Raphael Jacquelin",NA,24310,"RyderCupEuroPoints",2015
92,75,"Victor Dubuisson",NA,23369.66,"RyderCupEuroPoints",2015
93,76,"Seve Benson",NA,23320,"RyderCupEuroPoints",2015
94,99,"Gary Stal",NA,21377.12,"RyderCupEuroPoints",2015
95,81,"Matt Ford",NA,20220,"RyderCupEuroPoints",2015
96,82,"Bernhard Langer",NA,19900,"RyderCupEuroPoints",2015
97,84,"Adrian Otaegui",NA,19545.53,"RyderCupEuroPoints",2015
98,85,"Andrea Pavan",NA,19220,"RyderCupEuroPoints",2015
99,NA,"Sam Hutsby",NA,18534.78,"RyderCupEuroPoints",2015
100,NA,"Jorge Campillo",NA,18534.78,"RyderCupEuroPoints",2015
101,109,"Marco Crespi",NA,18477.64,"RyderCupEuroPoints",2015
102,88,"Jerome Lando Casanova",NA,18200,"RyderCupEuroPoints",2015
103,90,"Simon Thornton",NA,18180,"RyderCupEuroPoints",2015
104,93,"Alessandro Tadini",NA,16333.33,"RyderCupEuroPoints",2015
105,94,"Simon Griffiths",NA,15940,"RyderCupEuroPoints",2015
106,95,"Richard McEvoy",NA,15920,"RyderCupEuroPoints",2015
107,96,"Cyril Bouniol",NA,15000,"RyderCupEuroPoints",2015
108,97,"Mark Foster",NA,13838.69,"RyderCupEuroPoints",2015
109,NA,"Niclas Fasth",NA,13095.22,"RyderCupEuroPoints",2015
110,98,"Chris Doak",NA,12480,"RyderCupEuroPoints",2015
111,115,"Jordi Garcia Pinto",NA,11841,"RyderCupEuroPoints",2015
112,100,"Paul Maddy",NA,11156.25,"RyderCupEuroPoints",2015
113,101,"Matthew Southgate",NA,10400,"RyderCupEuroPoints",2015
114,102,"Pedro Oriol",NA,9450,"RyderCupEuroPoints",2015
115,104,"Oliver Wilson",NA,9060.12,"RyderCupEuroPoints",2015
116,103,"Moritz Lampert",NA,9060.12,"RyderCupEuroPoints",2015
117,105,"Darren Clarke",NA,9060.12,"RyderCupEuroPoints",2015
118,NA,"Tom Murray",NA,8750,"RyderCupEuroPoints",2015
119,106,"Damian McGrane",NA,8525,"RyderCupEuroPoints",2015
120,107,"Chris Paisley",NA,8000,"RyderCupEuroPoints",2015
121,108,"Wil Besseling",NA,7920,"RyderCupEuroPoints",2015
122,110,"Scott Fallon",NA,7800,"RyderCupEuroPoints",2015
123,111,"Oliver Farr",NA,7600,"RyderCupEuroPoints",2015
