"TotalHoleOuts_RANKTHISWEEK_2010","TotalHoleOuts_RANKLASTWEEK_2010","TotalHoleOuts_PLAYERNAME_2010","TotalHoleOuts_ROUNDS_2010","TotalHoleOuts_HOLEOUTS_2010","stat_name","year"
1,1,"Tom Gillis",97,19,"TotalHoleOuts",2010
2,2,"Charles Howell III",103,18,"TotalHoleOuts",2010
3,3,"Scott McCarron",90,17,"TotalHoleOuts",2010
3,3,"DA Points",90,17,"TotalHoleOuts",2010
3,3,"John Rollins",81,17,"TotalHoleOuts",2010
3,3,"Andres Romero",73,17,"TotalHoleOuts",2010
3,3,"John Senden",103,17,"TotalHoleOuts",2010
8,8,"Scott Piercy",88,16,"TotalHoleOuts",2010
9,9,"Jason Day",82,15,"TotalHoleOuts",2010
9,9,"Kevin Na",94,15,"TotalHoleOuts",2010
9,9,"Carl Pettersson",99,15,"TotalHoleOuts",2010
9,9,"Chris Tidland",77,15,"TotalHoleOuts",2010
13,13,"Martin Flores",75,14,"TotalHoleOuts",2010
13,13,"Richard Johnson",90,14,"TotalHoleOuts",2010
13,13,"Joe Ogilvie",99,14,"TotalHoleOuts",2010
13,13,"Tom Pernice Jr",74,14,"TotalHoleOuts",2010
13,13,"Justin Rose",78,14,"TotalHoleOuts",2010
13,13,"YE Yang",72,14,"TotalHoleOuts",2010
19,19,"Blake Adams",84,13,"TotalHoleOuts",2010
19,19,"Robert Allenby",76,13,"TotalHoleOuts",2010
19,19,"Aaron Baddeley",94,13,"TotalHoleOuts",2010
19,19,"Jonathan Byrd",85,13,"TotalHoleOuts",2010
19,19,"Alex Cejka",81,13,"TotalHoleOuts",2010
19,19,"Daniel Chopra",74,13,"TotalHoleOuts",2010
19,19,"Ben Crane",85,13,"TotalHoleOuts",2010
19,19,"JP Hayes",79,13,"TotalHoleOuts",2010
19,19,"Charley Hoffman",85,13,"TotalHoleOuts",2010
19,19,"Zach Johnson",93,13,"TotalHoleOuts",2010
19,19,"Matt Jones",89,13,"TotalHoleOuts",2010
19,19,"Davis Love III",79,13,"TotalHoleOuts",2010
19,19,"Tim Petrovic",105,13,"TotalHoleOuts",2010
32,32,"Stephen Ames",75,12,"TotalHoleOuts",2010
32,32,"Rich Barcelo",70,12,"TotalHoleOuts",2010
32,32,"Chad Campbell",95,12,"TotalHoleOuts",2010
32,32,"Brian Davis",101,12,"TotalHoleOuts",2010
32,32,"Chris DiMarco",88,12,"TotalHoleOuts",2010
32,32,"Brian Gay",101,12,"TotalHoleOuts",2010
32,32,"Paul Goydos",78,12,"TotalHoleOuts",2010
32,32,"Ryuji Imada",90,12,"TotalHoleOuts",2010
32,32,"Jerry Kelly",99,12,"TotalHoleOuts",2010
32,32,"Matt Kuchar",97,12,"TotalHoleOuts",2010
32,32,"Justin Leonard",89,12,"TotalHoleOuts",2010
32,32,"Phil Mickelson",76,12,"TotalHoleOuts",2010
32,32,"Chris Stroud",90,12,"TotalHoleOuts",2010
45,45,"Michael Bradley",77,11,"TotalHoleOuts",2010
45,45,"Jim Furyk",76,11,"TotalHoleOuts",2010
45,45,"Retief Goosen",75,11,"TotalHoleOuts",2010
45,45,"Will Ma Kenzie",72,11,"TotalHoleOuts",2010
45,45,"Bryce Molder",84,11,"TotalHoleOuts",2010
45,45,"Chris Riley",73,11,"TotalHoleOuts",2010
45,45,"Steve Stricker",73,11,"TotalHoleOuts",2010
52,52,"Stuart Appleby",101,10,"TotalHoleOuts",2010
52,52,"Tim Clark",88,10,"TotalHoleOuts",2010
52,52,"Chad Collins",87,10,"TotalHoleOuts",2010
52,52,"Michael Connell",89,10,"TotalHoleOuts",2010
52,52,"Chris Couch",66,10,"TotalHoleOuts",2010
52,52,"Lucas Glover",75,10,"TotalHoleOuts",2010
52,52,"Mathew Goggin",85,10,"TotalHoleOuts",2010
52,52,"JJ Henry",92,10,"TotalHoleOuts",2010
52,52,"Lee Janzen",77,10,"TotalHoleOuts",2010
52,52,"Kevin Johnson",62,10,"TotalHoleOuts",2010
52,52,"Dustin Johnson",83,10,"TotalHoleOuts",2010
52,52,"Derek Lamely",81,10,"TotalHoleOuts",2010
52,52,"Michael Letzig",84,10,"TotalHoleOuts",2010
52,52,"Rocco Mediate",71,10,"TotalHoleOuts",2010
52,52,"Kenny Perry",69,10,"TotalHoleOuts",2010
52,52,"Brandt Snedeker",89,10,"TotalHoleOuts",2010
52,52,"Omar Uresti",74,10,"TotalHoleOuts",2010
52,52,"Bubba Watson",77,10,"TotalHoleOuts",2010
52,52,"Mark Wilson",87,10,"TotalHoleOuts",2010
52,52,"Chris Wilson",65,10,"TotalHoleOuts",2010
72,72,"Woody Austin",93,9,"TotalHoleOuts",2010
72,72,"Ricky Barnes",103,9,"TotalHoleOuts",2010
72,72,"Matt Bettencourt",91,9,"TotalHoleOuts",2010
72,72,"Jason Bohn",84,9,"TotalHoleOuts",2010
72,72,"Greg Chalmers",93,9,"TotalHoleOuts",2010
72,72,"John Daly",63,9,"TotalHoleOuts",2010
72,72,"Jason Dufner",87,9,"TotalHoleOuts",2010
72,72,"Ernie Els",72,9,"TotalHoleOuts",2010
72,72,"Matt Every",60,9,"TotalHoleOuts",2010
72,72,"Steve Flesch",78,9,"TotalHoleOuts",2010
72,72,"Rickie Fowler",98,9,"TotalHoleOuts",2010
72,72,"Freddie Jacobson",83,9,"TotalHoleOuts",2010
72,72,"John Mallinger",78,9,"TotalHoleOuts",2010
72,72,"Andrew McLardy",52,9,"TotalHoleOuts",2010
72,72,"George McNeill",79,9,"TotalHoleOuts",2010
72,72,"Troy Merritt",86,9,"TotalHoleOuts",2010
72,72,"Vaughn Taylor",87,9,"TotalHoleOuts",2010
72,72,"Roland Thatcher",72,9,"TotalHoleOuts",2010
72,72,"Nicholas Thompson",88,9,"TotalHoleOuts",2010
72,72,"Jimmy Walker",82,9,"TotalHoleOuts",2010
72,72,"Nick Watney",91,9,"TotalHoleOuts",2010
72,72,"Mike Weir",59,9,"TotalHoleOuts",2010
72,72,"Jay Williamson",76,9,"TotalHoleOuts",2010
95,95,"Briny Baird",87,8,"TotalHoleOuts",2010
95,95,"Cameron Beckman",68,8,"TotalHoleOuts",2010
95,95,"Mark Calcavecchia",50,8,"TotalHoleOuts",2010
95,95,"Luke Donald",71,8,"TotalHoleOuts",2010
95,95,"JB Holmes",100,8,"TotalHoleOuts",2010
95,95,"Steve Marino",81,8,"TotalHoleOuts",2010
95,95,"Troy Matteson",84,8,"TotalHoleOuts",2010
95,95,"Billy Mayfair",78,8,"TotalHoleOuts",2010
95,95,"Shaun Micheel",70,8,"TotalHoleOuts",2010
95,95,"Jeff Overton",89,8,"TotalHoleOuts",2010
95,95,"Rod Pampling",77,8,"TotalHoleOuts",2010
95,95,"Brenden Pappas",66,8,"TotalHoleOuts",2010
95,95,"Pat Perez",90,8,"TotalHoleOuts",2010
95,95,"Alex Prugh",88,8,"TotalHoleOuts",2010
95,95,"Brett Quigley",96,8,"TotalHoleOuts",2010
95,95,"Webb Simpson",98,8,"TotalHoleOuts",2010
95,95,"Heath Slocum",97,8,"TotalHoleOuts",2010
95,95,"Kevin Streelman",90,8,"TotalHoleOuts",2010
95,95,"Brian Stuard",81,8,"TotalHoleOuts",2010
95,95,"Kevin Sutherland",86,8,"TotalHoleOuts",2010
95,95,"Josh Teater",101,8,"TotalHoleOuts",2010
95,95,"DJ Trahan",92,8,"TotalHoleOuts",2010
95,95,"Scott Verplank",74,8,"TotalHoleOuts",2010
95,95,"Johnson Wagner",85,8,"TotalHoleOuts",2010
95,95,"Boo Weekley",88,8,"TotalHoleOuts",2010
120,120,"Kris Blanks",91,7,"TotalHoleOuts",2010
120,120,"Craig Bowden",56,7,"TotalHoleOuts",2010
120,120,"James Driscoll",78,7,"TotalHoleOuts",2010
120,120,"David Duval",71,7,"TotalHoleOuts",2010
120,120,"Nathan Green",86,7,"TotalHoleOuts",2010
120,120,"Bill Haas",87,7,"TotalHoleOuts",2010
120,120,"Padraig Harrington",57,7,"TotalHoleOuts",2010
120,120,"Martin Laird",91,7,"TotalHoleOuts",2010
120,120,"Marc Leishman",87,7,"TotalHoleOuts",2010
120,120,"Spencer Levin",110,7,"TotalHoleOuts",2010
120,120,"David Lutterus",69,7,"TotalHoleOuts",2010
120,120,"Jarrod Lyle",54,7,"TotalHoleOuts",2010
120,120,"Hunter Mahan",85,7,"TotalHoleOuts",2010
120,120,"James Nitties",92,7,"TotalHoleOuts",2010
120,120,"Greg Owen",69,7,"TotalHoleOuts",2010
120,120,"Ted Purdy",86,7,"TotalHoleOuts",2010
120,120,"Jeff Quinney",91,7,"TotalHoleOuts",2010
120,120,"Rory Sabbatini",79,7,"TotalHoleOuts",2010
120,120,"Vijay Singh",75,7,"TotalHoleOuts",2010
120,120,"Jeev Milkha Singh",59,7,"TotalHoleOuts",2010
120,120,"David Toms",86,7,"TotalHoleOuts",2010
120,120,"Bo Van Pelt",104,7,"TotalHoleOuts",2010
120,120,"Brett Wetterich",54,7,"TotalHoleOuts",2010
120,120,"Garrett Willis",82,7,"TotalHoleOuts",2010
144,144,"Henrik Bjornstad",72,6,"TotalHoleOuts",2010
144,144,"KJ Choi",82,6,"TotalHoleOuts",2010
144,144,"Stewart Cink",84,6,"TotalHoleOuts",2010
144,144,"Graham DeLaet",88,6,"TotalHoleOuts",2010
144,144,"Brent Delahoussaye",57,6,"TotalHoleOuts",2010
144,144,"Steve Elkington",74,6,"TotalHoleOuts",2010
144,144,"Bob Estes",79,6,"TotalHoleOuts",2010
144,144,"Tim Herron",79,6,"TotalHoleOuts",2010
144,144,"Skip Kendall",58,6,"TotalHoleOuts",2010
144,144,"Greg Kraft",52,6,"TotalHoleOuts",2010
144,144,"Bill Lunde",79,6,"TotalHoleOuts",2010
144,144,"Jeff Maggert",76,6,"TotalHoleOuts",2010
144,144,"Garth Mulroy",53,6,"TotalHoleOuts",2010
144,144,"Ryan Palmer",84,6,"TotalHoleOuts",2010
144,144,"Cameron Percy",73,6,"TotalHoleOuts",2010
144,144,"Cameron Tringale",55,6,"TotalHoleOuts",2010
144,144,"Jerod Turner",54,6,"TotalHoleOuts",2010
144,144,"Steve Wheatcroft",74,6,"TotalHoleOuts",2010
162,162,"Angel Cabrera",64,5,"TotalHoleOuts",2010
162,162,"Paul Casey",64,5,"TotalHoleOuts",2010
162,162,"Ben Curtis",78,5,"TotalHoleOuts",2010
