"Round4ScoringAverage_RANKTHISWEEK_2009","Round4ScoringAverage_RANKLASTWEEK_2009","Round4ScoringAverage_PLAYERNAME_2009","Round4ScoringAverage__2009","Round4ScoringAverage_AVG_2009","Round4ScoringAverage_TOTALSTROKES_2009","Round4ScoringAverage_TOTALROUNDS_2009","stat_name","year"
1,1,"Tiger Woods",NA,68.4,1026,15,"Round4ScoringAverage",2009
2,2,"Tim Petrovic",NA,68.69,1099,16,"Round4ScoringAverage",2009
3,3,"Greg Chalmers",NA,69.06,1105,16,"Round4ScoringAverage",2009
4,4,"Matt Weibring",NA,69.2,692,10,"Round4ScoringAverage",2009
5,5,"Justin Rose",NA,69.21,969,14,"Round4ScoringAverage",2009
6,6,"Hunter Mahan",NA,69.33,1456,21,"Round4ScoringAverage",2009
7,7,"Tim Clark",NA,69.35,1179,17,"Round4ScoringAverage",2009
8,8,"Aaron Baddeley",NA,69.36,763,11,"Round4ScoringAverage",2009
9,9,"Steve Stricker",NA,69.39,1249,18,"Round4ScoringAverage",2009
10,10,"Brian Vranesh",NA,69.4,347,5,"Round4ScoringAverage",2009
11,11,"Mathew Goggin",NA,69.42,833,12,"Round4ScoringAverage",2009
12,12,"Tag Ridings",NA,69.44,625,9,"Round4ScoringAverage",2009
13,13,"Ben Crane",NA,69.47,1320,19,"Round4ScoringAverage",2009
14,14,"Bill Haas",NA,69.5,1112,16,"Round4ScoringAverage",2009
15,15,"Ernie Els",NA,69.53,1043,15,"Round4ScoringAverage",2009
16,16,"Brian Gay",NA,69.57,1461,21,"Round4ScoringAverage",2009
17,17,"Chris DiMarco",NA,69.61,1253,18,"Round4ScoringAverage",2009
18,18,"Tim Herron",NA,69.63,1114,16,"Round4ScoringAverage",2009
18,18,"Kevin Streelman",NA,69.63,1323,19,"Round4ScoringAverage",2009
20,20,"Harrison Frazar",NA,69.67,1254,18,"Round4ScoringAverage",2009
20,20,"Dean Wilson",NA,69.67,836,12,"Round4ScoringAverage",2009
22,22,"Jim Furyk",NA,69.68,1324,19,"Round4ScoringAverage",2009
22,22,"Jerry Kelly",NA,69.68,1324,19,"Round4ScoringAverage",2009
24,24,"Rory Sabbatini",NA,69.75,1116,16,"Round4ScoringAverage",2009
25,25,"Kris Blanks",NA,69.78,628,9,"Round4ScoringAverage",2009
25,25,"Greg Owen",NA,69.78,1256,18,"Round4ScoringAverage",2009
27,27,"Jay Williamson",NA,69.82,768,11,"Round4ScoringAverage",2009
28,28,"Nick OHern",NA,69.83,1257,18,"Round4ScoringAverage",2009
28,28,"Kevin Stadler",NA,69.83,838,12,"Round4ScoringAverage",2009
30,30,"Corey Pavin",NA,69.85,908,13,"Round4ScoringAverage",2009
31,31,"Brandt Snedeker",NA,69.86,978,14,"Round4ScoringAverage",2009
32,32,"Stephen Ames",NA,69.87,1048,15,"Round4ScoringAverage",2009
33,33,"Dustin Johnson",NA,69.94,1189,17,"Round4ScoringAverage",2009
33,33,"DJ Trahan",NA,69.94,1189,17,"Round4ScoringAverage",2009
35,35,"Brian Davis",NA,69.95,1399,20,"Round4ScoringAverage",2009
36,36,"Bob Heintz",NA,70,630,9,"Round4ScoringAverage",2009
36,36,"Matt Jones",NA,70,770,11,"Round4ScoringAverage",2009
36,36,"Jeff Quinney",NA,70,910,13,"Round4ScoringAverage",2009
36,36,"Andres Romero",NA,70,700,10,"Round4ScoringAverage",2009
36,36,"John Senden",NA,70,1400,20,"Round4ScoringAverage",2009
41,41,"Charles Howell III",NA,70.05,1401,20,"Round4ScoringAverage",2009
42,42,"Chris Riley",NA,70.06,1121,16,"Round4ScoringAverage",2009
42,42,"Nick Watney",NA,70.06,1261,18,"Round4ScoringAverage",2009
44,44,"Jimmy Walker",NA,70.08,841,12,"Round4ScoringAverage",2009
45,45,"Zach Johnson",NA,70.1,1472,21,"Round4ScoringAverage",2009
46,46,"JJ Henry",NA,70.11,1332,19,"Round4ScoringAverage",2009
47,47,"David Toms",NA,70.14,1473,21,"Round4ScoringAverage",2009
48,48,"Glen Day",NA,70.15,912,13,"Round4ScoringAverage",2009
48,48,"Scott Verplank",NA,70.15,1403,20,"Round4ScoringAverage",2009
50,50,"Rich Beem",NA,70.17,842,12,"Round4ScoringAverage",2009
50,50,"Steve Elkington",NA,70.17,842,12,"Round4ScoringAverage",2009
52,52,"Martin Laird",NA,70.18,772,11,"Round4ScoringAverage",2009
53,53,"Kevin Na",NA,70.2,1404,20,"Round4ScoringAverage",2009
53,53,"Casey Wittenberg",NA,70.2,702,10,"Round4ScoringAverage",2009
55,55,"Scott Sterling",NA,70.22,632,9,"Round4ScoringAverage",2009
56,56,"Jason Day",NA,70.23,913,13,"Round4ScoringAverage",2009
57,57,"Ryan Moore",NA,70.24,1194,17,"Round4ScoringAverage",2009
58,58,"Jason Bohn",NA,70.28,1265,18,"Round4ScoringAverage",2009
59,59,"Brett Quigley",NA,70.29,1195,17,"Round4ScoringAverage",2009
