"ConsecutivePar3Birdies_RANKTHISWEEK_2012","ConsecutivePar3Birdies_RANKLASTWEEK_2012","ConsecutivePar3Birdies_PLAYERNAME_2012","ConsecutivePar3Birdies_EVENTS_2012","ConsecutivePar3Birdies_NUMBEROFHOLES_2012","stat_name","year"
1,1,"Brendon de Jonge",31,5,"ConsecutivePar3Birdies",2012
1,1,"Rocco Mediate",23,5,"ConsecutivePar3Birdies",2012
3,3,"Jason Bohn",28,4,"ConsecutivePar3Birdies",2012
3,3,"Keegan Bradley",25,4,"ConsecutivePar3Birdies",2012
3,3,"Brian Davis",29,4,"ConsecutivePar3Birdies",2012
3,3,"Marco Dawson",22,4,"ConsecutivePar3Birdies",2012
3,3,"Jason Dufner",22,4,"ConsecutivePar3Birdies",2012
3,3,"Bob Estes",23,4,"ConsecutivePar3Birdies",2012
3,3,"Robert Garrigus",26,4,"ConsecutivePar3Birdies",2012
3,3,"Sung Kang",30,4,"ConsecutivePar3Birdies",2012
3,3,"Rory McIlroy",16,4,"ConsecutivePar3Birdies",2012
3,3,"Thorbjorn Olesen",2,4,"ConsecutivePar3Birdies",2012
3,3,"Greg Owen",27,4,"ConsecutivePar3Birdies",2012
3,3,"Ryan Palmer",24,4,"ConsecutivePar3Birdies",2012
3,3,"Alexandre Rocha",21,4,"ConsecutivePar3Birdies",2012
3,3,"Webb Simpson",22,4,"ConsecutivePar3Birdies",2012
3,3,"Daniel Summerhays",26,4,"ConsecutivePar3Birdies",2012
3,3,"Bo Van Pelt",24,4,"ConsecutivePar3Birdies",2012
3,3,"Jimmy Walker",28,4,"ConsecutivePar3Birdies",2012
20,20,"Blake Adams",32,3,"ConsecutivePar3Birdies",2012
20,20,"Aaron Baddeley",22,3,"ConsecutivePar3Birdies",2012
20,20,"Sangmoon Bae",25,3,"ConsecutivePar3Birdies",2012
20,20,"Ricky Barnes",28,3,"ConsecutivePar3Birdies",2012
20,20,"Kris Blanks",23,3,"ConsecutivePar3Birdies",2012
20,20,"Jonas Blixt",21,3,"ConsecutivePar3Birdies",2012
20,20,"Scott Brown",24,3,"ConsecutivePar3Birdies",2012
20,20,"Jonathan Byrd",21,3,"ConsecutivePar3Birdies",2012
20,20,"Chad Campbell",27,3,"ConsecutivePar3Birdies",2012
20,20,"Patrick Cantlay",10,3,"ConsecutivePar3Birdies",2012
20,20,"Miguel Angel Carballo",25,3,"ConsecutivePar3Birdies",2012
20,20,"Alex Cejka",12,3,"ConsecutivePar3Birdies",2012
20,20,"Greg Chalmers",25,3,"ConsecutivePar3Birdies",2012
20,20,"Daniel Chopra",21,3,"ConsecutivePar3Birdies",2012
20,20,"Gary Christian",28,3,"ConsecutivePar3Birdies",2012
20,20,"Stewart Cink",22,3,"ConsecutivePar3Birdies",2012
20,20,"Gavin Coles",23,3,"ConsecutivePar3Birdies",2012
20,20,"Nicolas Colsaerts",9,3,"ConsecutivePar3Birdies",2012
20,20,"Chris Couch",21,3,"ConsecutivePar3Birdies",2012
20,20,"Ben Crane",23,3,"ConsecutivePar3Birdies",2012
20,20,"Jason Day",17,3,"ConsecutivePar3Birdies",2012
20,20,"James Driscoll",27,3,"ConsecutivePar3Birdies",2012
20,20,"Ken Duke",30,3,"ConsecutivePar3Birdies",2012
20,20,"Brian Gay",28,3,"ConsecutivePar3Birdies",2012
20,20,"Tom Gillis",23,3,"ConsecutivePar3Birdies",2012
20,20,"Retief Goosen",12,3,"ConsecutivePar3Birdies",2012
20,20,"Nathan Green",22,3,"ConsecutivePar3Birdies",2012
20,20,"Hunter Haas",24,3,"ConsecutivePar3Birdies",2012
20,20,"Adam Hadwin",1,3,"ConsecutivePar3Birdies",2012
20,20,"Brian Harman",30,3,"ConsecutivePar3Birdies",2012
20,20,"Padraig Harrington",18,3,"ConsecutivePar3Birdies",2012
20,20,"JB Holmes",25,3,"ConsecutivePar3Birdies",2012
20,20,"Billy Horschel",17,3,"ConsecutivePar3Birdies",2012
20,20,"Charles Howell III",29,3,"ConsecutivePar3Birdies",2012
20,20,"John Huh",28,3,"ConsecutivePar3Birdies",2012
20,20,"Randall Hutchison",1,3,"ConsecutivePar3Birdies",2012
20,20,"Brandt Jobe",18,3,"ConsecutivePar3Birdies",2012
