"HitFairwayPercentage_RANKTHISWEEK_2014","HitFairwayPercentage_RANKLASTWEEK_2014","HitFairwayPercentage_PLAYERNAME_2014","HitFairwayPercentage_ROUNDS_2014","HitFairwayPercentage_Pct_2014","HitFairwayPercentage_FAIRWAYSHIT_2014","HitFairwayPercentage_POSSIBLEFAIRWAYS_2014","HitFairwayPercentage_RELATIVETOPAR_2014","stat_name","year"
1,1,"David Toms",64,74.27,557,750,-0.13,"HitFairwayPercentage",2014
2,2,"Tim Clark",75,74.01,638,862,-0.1,"HitFairwayPercentage",2014
3,3,"Heath Slocum",71,73.01,633,867,-0.08,"HitFairwayPercentage",2014
4,4,"Justin Hicks",103,72.79,912,1253,-0.09,"HitFairwayPercentage",2014
5,5,"Jim Furyk",84,71.9,660,918,-0.19,"HitFairwayPercentage",2014
6,6,"Billy Hurley III",86,70.69,709,1003,-0.11,"HitFairwayPercentage",2014
7,7,"Ken Duke",80,70.47,649,921,-0.11,"HitFairwayPercentage",2014
8,8,"Zach Johnson",97,70.02,822,1174,-0.18,"HitFairwayPercentage",2014
9,9,"Ryan Moore",86,69.28,602,869,-0.18,"HitFairwayPercentage",2014
10,10,"Graeme McDowell",66,69.06,442,640,-0.19,"HitFairwayPercentage",2014
11,11,"Ted Potter Jr",68,68.94,575,834,-0.09,"HitFairwayPercentage",2014
12,12,"Henrik Stenson",56,68.82,362,526,-0.19,"HitFairwayPercentage",2014
13,13,"Boo Weekley",73,68.28,536,785,-0.09,"HitFairwayPercentage",2014
14,14,"John Merrick",87,68.06,682,1002,-0.1,"HitFairwayPercentage",2014
14,14,"Kevin Streelman",79,68.06,569,836,-0.17,"HitFairwayPercentage",2014
16,16,"Brendon de Jonge",109,67.97,868,1277,-0.13,"HitFairwayPercentage",2014
17,17,"David Hearn",97,67.9,770,1134,-0.17,"HitFairwayPercentage",2014
18,18,"Nicholas Thompson",85,67.39,653,969,-0.1,"HitFairwayPercentage",2014
19,19,"Matt Kuchar",91,67.33,711,1056,-0.22,"HitFairwayPercentage",2014
20,20,"Brian Davis",93,67.23,755,1123,-0.12,"HitFairwayPercentage",2014
21,21,"John Huh",87,67.18,655,975,-0.09,"HitFairwayPercentage",2014
22,22,"Russell Knox",92,67.01,774,1155,-0.14,"HitFairwayPercentage",2014
23,23,"Mark Wilson",69,66.84,528,790,-0.09,"HitFairwayPercentage",2014
24,24,"Billy Horschel",92,66.77,643,963,-0.19,"HitFairwayPercentage",2014
25,25,"Ben Crane",81,66.51,717,1078,-0.11,"HitFairwayPercentage",2014
26,26,"Jeff Maggert",54,66.34,406,612,-0.02,"HitFairwayPercentage",2014
27,27,"Jerry Kelly",80,66.05,605,916,-0.16,"HitFairwayPercentage",2014
28,28,"Daniel Summerhays",98,65.91,808,1226,-0.13,"HitFairwayPercentage",2014
29,29,"Kevin Chappell",100,65.89,790,1199,-0.18,"HitFairwayPercentage",2014
30,30,"DH Lee",54,65.81,412,626,-0.05,"HitFairwayPercentage",2014
31,31,"Scott Brown",100,65.78,763,1160,-0.12,"HitFairwayPercentage",2014
32,32,"Andrew Svoboda",77,65.69,603,918,-0.15,"HitFairwayPercentage",2014
33,33,"William McGirt",96,65.67,767,1168,-0.11,"HitFairwayPercentage",2014
34,34,"KJ Choi",80,65.62,607,925,-0.14,"HitFairwayPercentage",2014
35,35,"Brian Stuard",91,65.56,674,1028,-0.14,"HitFairwayPercentage",2014
36,36,"Ben Curtis",77,65.54,580,885,-0.12,"HitFairwayPercentage",2014
37,37,"Danny Lee",84,65.27,624,956,-0.14,"HitFairwayPercentage",2014
38,38,"Kevin Stadler",90,65.19,590,905,-0.16,"HitFairwayPercentage",2014
39,39,"Hunter Mahan",88,65.13,652,1001,-0.13,"HitFairwayPercentage",2014
40,40,"YE Yang",79,65.04,547,841,-0.07,"HitFairwayPercentage",2014
41,41,"Cameron Tringale",111,64.97,881,1356,-0.16,"HitFairwayPercentage",2014
42,42,"Kevin Na",94,64.84,699,1078,-0.2,"HitFairwayPercentage",2014
43,43,"JJ Henry",91,64.75,698,1078,-0.11,"HitFairwayPercentage",2014
43,43,"Nick Watney",80,64.75,507,783,-0.16,"HitFairwayPercentage",2014
45,45,"Brandt Snedeker",89,64.66,591,914,-0.15,"HitFairwayPercentage",2014
46,46,"Jason Bohn",81,64.65,653,1010,-0.11,"HitFairwayPercentage",2014
47,47,"Derek Ernst",80,64.62,568,879,-0.08,"HitFairwayPercentage",2014
48,48,"Shawn Stefani",60,64.56,512,793,-0.16,"HitFairwayPercentage",2014
49,49,"Ben Martin",80,64.34,563,875,-0.17,"HitFairwayPercentage",2014
50,50,"John Peterson",62,64.27,491,764,-0.08,"HitFairwayPercentage",2014
51,51,"Lucas Glover",68,64.25,417,649,-0.13,"HitFairwayPercentage",2014
52,52,"Russell Henley",92,64.13,667,1040,-0.13,"HitFairwayPercentage",2014
52,52,"Brendon Todd",108,64.13,810,1263,-0.14,"HitFairwayPercentage",2014
54,54,"John Senden",99,63.99,718,1122,-0.19,"HitFairwayPercentage",2014
55,55,"Briny Baird",50,63.94,399,624,-0.1,"HitFairwayPercentage",2014
56,56,"Will Ma Kenzie",82,63.72,641,1006,-0.14,"HitFairwayPercentage",2014
57,57,"Jason Dufner",57,63.65,373,586,-0.18,"HitFairwayPercentage",2014
58,58,"Bo Van Pelt",83,63.59,592,931,-0.16,"HitFairwayPercentage",2014
59,59,"Spencer Levin",59,63.53,439,691,-0.12,"HitFairwayPercentage",2014
60,60,"Roberto Castro",76,63.38,514,811,-0.1,"HitFairwayPercentage",2014
61,61,"Hudson Swafford",75,63.3,507,801,-0.12,"HitFairwayPercentage",2014
62,62,"Chad Campbell",57,63.24,406,642,-0.14,"HitFairwayPercentage",2014
63,63,"Justin Leonard",75,63.17,542,858,-0.14,"HitFairwayPercentage",2014
64,64,"Bill Haas",107,63.15,713,1129,-0.19,"HitFairwayPercentage",2014
65,65,"George McNeill",79,63.02,610,968,-0.18,"HitFairwayPercentage",2014
66,66,"Chris Stroud",88,62.94,630,1001,-0.16,"HitFairwayPercentage",2014
67,67,"Luke Donald",57,62.87,381,606,-0.18,"HitFairwayPercentage",2014
68,68,"Webb Simpson",87,62.48,641,1026,-0.2,"HitFairwayPercentage",2014
69,69,"Brian Gay",81,62.4,546,875,-0.08,"HitFairwayPercentage",2014
70,70,"Kyle Stanley",87,62.36,618,991,-0.07,"HitFairwayPercentage",2014
71,71,"Martin Laird",66,62.27,477,766,-0.2,"HitFairwayPercentage",2014
72,72,"Kevin Kisner",85,62.11,600,966,-0.19,"HitFairwayPercentage",2014
73,73,"Robert Allenby",83,62.07,599,965,-0.12,"HitFairwayPercentage",2014
73,73,"Troy Merritt",62,62.07,473,762,-0.13,"HitFairwayPercentage",2014
75,75,"Michael Thompson",74,62,514,829,-0.18,"HitFairwayPercentage",2014
76,76,"James Hahn",82,61.98,626,1010,-0.12,"HitFairwayPercentage",2014
77,77,"Jim Herman",62,61.95,412,665,-0.06,"HitFairwayPercentage",2014
78,78,"Jonathan Byrd",76,61.92,556,898,-0.11,"HitFairwayPercentage",2014
79,79,"Jhonattan Vegas",77,61.9,546,882,-0.13,"HitFairwayPercentage",2014
80,80,"DA Points",75,61.86,472,763,-0.09,"HitFairwayPercentage",2014
81,81,"Keegan Bradley",89,61.85,574,928,-0.19,"HitFairwayPercentage",2014
82,82,"Chris Kirk",105,61.8,741,1199,-0.19,"HitFairwayPercentage",2014
83,83,"Michael Putnam",106,61.75,775,1255,-0.16,"HitFairwayPercentage",2014
84,84,"Woody Austin",63,61.74,489,792,-0.12,"HitFairwayPercentage",2014
85,85,"Sangmoon Bae",76,61.62,557,904,-0.16,"HitFairwayPercentage",2014
86,86,"Rickie Fowler",91,61.39,520,847,-0.23,"HitFairwayPercentage",2014
87,87,"Adam Scott",68,61.17,479,783,-0.29,"HitFairwayPercentage",2014
88,88,"Graham DeLaet",80,61.13,541,885,-0.23,"HitFairwayPercentage",2014
89,89,"Josh Teater",90,61.1,633,1036,-0.13,"HitFairwayPercentage",2014
90,90,"Vijay Singh",83,61.06,643,1053,-0.14,"HitFairwayPercentage",2014
91,91,"Pat Perez",84,61.02,634,1039,-0.14,"HitFairwayPercentage",2014
92,92,"Richard Lee",80,60.99,516,846,-0.09,"HitFairwayPercentage",2014
93,93,"Lee Westwood",57,60.97,364,597,-0.21,"HitFairwayPercentage",2014
94,94,"Bubba Watson",76,60.95,473,776,-0.23,"HitFairwayPercentage",2014
95,95,"Sergio Garcia",61,60.87,336,552,-0.16,"HitFairwayPercentage",2014
96,96,"Hideki Matsuyama",82,60.69,542,893,-0.23,"HitFairwayPercentage",2014
97,97,"Stuart Appleby",92,60.57,705,1164,-0.14,"HitFairwayPercentage",2014
98,98,"Brian Harman",111,60.51,849,1403,-0.18,"HitFairwayPercentage",2014
99,99,"Louis Oosthuizen",50,60.48,251,415,-0.09,"HitFairwayPercentage",2014
100,100,"David Lingmerth",80,60.44,553,915,-0.12,"HitFairwayPercentage",2014
101,101,"Camilo Villegas",95,60.38,698,1156,-0.2,"HitFairwayPercentage",2014
102,102,"Martin Kaymer",65,60.33,403,668,-0.18,"HitFairwayPercentage",2014
103,103,"Scott Langley",95,60.31,658,1091,-0.16,"HitFairwayPercentage",2014
104,104,"Robert Streb",75,60.2,534,887,-0.18,"HitFairwayPercentage",2014
105,105,"Ian Poulter",57,60.18,340,565,-0.18,"HitFairwayPercentage",2014
106,106,"Charl Schwartzel",64,60.16,450,748,-0.2,"HitFairwayPercentage",2014
107,107,"John Rollins",84,60.11,553,920,-0.1,"HitFairwayPercentage",2014
108,108,"Paul Casey",56,60.1,366,609,-0.25,"HitFairwayPercentage",2014
109,109,"Wes Roach",67,60.06,418,696,-0.1,"HitFairwayPercentage",2014
110,110,"Rory McIlroy",66,60,399,665,-0.3,"HitFairwayPercentage",2014
111,111,"Will Wilcox",51,59.93,335,559,-0.21,"HitFairwayPercentage",2014
112,112,"Harris English",95,59.63,607,1018,-0.19,"HitFairwayPercentage",2014
112,112,"Brice Garnett",92,59.63,644,1080,-0.17,"HitFairwayPercentage",2014
114,114,"Chad Collins",78,59.62,502,842,-0.12,"HitFairwayPercentage",2014
115,115,"Gonzalo Fdez Castano",83,59.5,570,958,-0.15,"HitFairwayPercentage",2014
116,116,"Freddie Jacobson",91,59.37,659,1110,-0.14,"HitFairwayPercentage",2014
117,117,"Charley Hoffman",93,59.35,622,1048,-0.18,"HitFairwayPercentage",2014
118,118,"Trevor Immelman",84,59.24,548,925,-0.12,"HitFairwayPercentage",2014
119,119,"Bryce Molder",77,59.23,523,883,-0.15,"HitFairwayPercentage",2014
120,120,"Charlie Beljan",76,59.2,547,924,-0.17,"HitFairwayPercentage",2014
121,121,"Marc Leishman",81,59.15,559,945,-0.17,"HitFairwayPercentage",2014
122,122,"Angel Cabrera",69,59.14,498,842,-0.12,"HitFairwayPercentage",2014
123,123,"Erik Compton",88,59.09,608,1029,-0.16,"HitFairwayPercentage",2014
124,124,"Davis Love III",74,59.05,509,862,-0.13,"HitFairwayPercentage",2014
125,125,"Gary Woodland",93,59.01,596,1010,-0.2,"HitFairwayPercentage",2014
126,126,"Brad Fritsch",50,59,318,539,-0.17,"HitFairwayPercentage",2014
127,127,"Carl Pettersson",91,58.98,693,1175,-0.16,"HitFairwayPercentage",2014
128,128,"Ryan Palmer",85,58.94,547,928,-0.19,"HitFairwayPercentage",2014
129,129,"Jason Day",54,58.89,265,450,-0.25,"HitFairwayPercentage",2014
130,130,"Luke Guthrie",85,58.87,617,1048,-0.17,"HitFairwayPercentage",2014
131,131,"Stewart Cink",91,58.83,583,991,-0.15,"HitFairwayPercentage",2014
132,132,"Greg Chalmers",85,58.72,589,1003,-0.16,"HitFairwayPercentage",2014
133,133,"Bronson La Cassie",51,58.63,292,498,-0.1,"HitFairwayPercentage",2014
134,134,"Charlie Wi",72,58.6,528,901,-0.12,"HitFairwayPercentage",2014
135,135,"Tim Wilkinson",86,58.59,580,990,-0.13,"HitFairwayPercentage",2014
136,136,"Kevin Tway",64,58.58,379,647,-0.13,"HitFairwayPercentage",2014
137,137,"Brendan Steele",89,58.5,568,971,-0.2,"HitFairwayPercentage",2014
138,138,"Geoff Ogilvy",84,58.49,589,1007,-0.11,"HitFairwayPercentage",2014
139,139,"Tommy Gainey",73,58.45,484,828,-0.12,"HitFairwayPercentage",2014
140,140,"Matt Every",85,58.4,518,887,-0.17,"HitFairwayPercentage",2014
141,141,"Johnson Wagner",69,58.18,466,801,-0.16,"HitFairwayPercentage",2014
142,142,"Phil Mickelson",71,58.12,401,690,-0.12,"HitFairwayPercentage",2014
143,143,"Jordan Spieth",102,57.95,634,1094,-0.19,"HitFairwayPercentage",2014
144,144,"Robert Garrigus",80,57.87,581,1004,-0.21,"HitFairwayPercentage",2014
145,145,"Jeff Overton",80,57.66,527,914,-0.19,"HitFairwayPercentage",2014
146,146,"Chesson Hadley",84,57.62,567,984,-0.18,"HitFairwayPercentage",2014
147,147,"Matt Jones",83,57.59,474,823,-0.15,"HitFairwayPercentage",2014
148,148,"Bud Cauley",56,57.52,367,638,-0.21,"HitFairwayPercentage",2014
149,149,"Martin Flores",85,57.28,535,934,-0.18,"HitFairwayPercentage",2014
150,150,"Justin Rose",70,57.18,410,717,-0.2,"HitFairwayPercentage",2014
151,151,"Brooks Koepka",56,56.9,330,580,-0.2,"HitFairwayPercentage",2014
152,152,"Scott Stallings",77,56.78,490,863,-0.13,"HitFairwayPercentage",2014
153,153,"Andres Romero",81,56.72,557,982,-0.19,"HitFairwayPercentage",2014
154,154,"Jason Kokrak",65,56.65,473,835,-0.19,"HitFairwayPercentage",2014
155,155,"Jim Renner",61,56.56,405,716,-0.14,"HitFairwayPercentage",2014
