"TenthTeeLatePar3ScoringAverage_RANKTHISWEEK_2009","TenthTeeLatePar3ScoringAverage_RANKLASTWEEK_2009","TenthTeeLatePar3ScoringAverage_PLAYERNAME_2009","TenthTeeLatePar3ScoringAverage_ROUNDS_2009","TenthTeeLatePar3ScoringAverage_AVG_2009","TenthTeeLatePar3ScoringAverage_TOTALSTROKES_2009","TenthTeeLatePar3ScoringAverage_TOTALHOLES_2009","stat_name","year"
108,108,"Stephen Ames",77,3.09,198,64,"TenthTeeLatePar3ScoringAverage",2009
108,108,"Steve Flesch",77,3.09,201,65,"TenthTeeLatePar3ScoringAverage",2009
108,108,"Anthony Kim",76,3.09,99,32,"TenthTeeLatePar3ScoringAverage",2009
108,108,"Steve Lowery",83,3.09,229,74,"TenthTeeLatePar3ScoringAverage",2009
108,108,"Jeff Quinney",78,3.09,176,57,"TenthTeeLatePar3ScoringAverage",2009
108,108,"John Senden",100,3.09,247,80,"TenthTeeLatePar3ScoringAverage",2009
108,108,"Vijay Singh",71,3.09,71,23,"TenthTeeLatePar3ScoringAverage",2009
115,115,"Tommy Armour III",58,3.1,155,50,"TenthTeeLatePar3ScoringAverage",2009
115,115,"Matt Bettencourt",98,3.1,313,101,"TenthTeeLatePar3ScoringAverage",2009
115,115,"Jason Bohn",88,3.1,279,90,"TenthTeeLatePar3ScoringAverage",2009
115,115,"Bill Haas",91,3.1,195,63,"TenthTeeLatePar3ScoringAverage",2009
115,115,"Jerry Kelly",90,3.1,223,72,"TenthTeeLatePar3ScoringAverage",2009
115,115,"Jeff Klauk",97,3.1,214,69,"TenthTeeLatePar3ScoringAverage",2009
115,115,"Kenny Perry",92,3.1,90,29,"TenthTeeLatePar3ScoringAverage",2009
115,115,"Charlie Wi",92,3.1,254,82,"TenthTeeLatePar3ScoringAverage",2009
115,115,"Dean Wilson",81,3.1,226,73,"TenthTeeLatePar3ScoringAverage",2009
124,124,"Stuart Appleby",79,3.11,174,56,"TenthTeeLatePar3ScoringAverage",2009
124,124,"Ben Curtis",63,3.11,137,44,"TenthTeeLatePar3ScoringAverage",2009
124,124,"Harrison Frazar",93,3.11,165,53,"TenthTeeLatePar3ScoringAverage",2009
124,124,"Davis Love III",89,3.11,224,72,"TenthTeeLatePar3ScoringAverage",2009
124,124,"Will Ma Kenzie",69,3.11,115,37,"TenthTeeLatePar3ScoringAverage",2009
124,124,"Greg Owen",97,3.11,193,62,"TenthTeeLatePar3ScoringAverage",2009
124,124,"Kevin Stadler",65,3.11,165,53,"TenthTeeLatePar3ScoringAverage",2009
124,124,"Boo Weekley",79,3.11,115,37,"TenthTeeLatePar3ScoringAverage",2009
132,132,"Woody Austin",84,3.12,268,86,"TenthTeeLatePar3ScoringAverage",2009
132,132,"Chad Campbell",90,3.12,178,57,"TenthTeeLatePar3ScoringAverage",2009
132,132,"Alex Cejka",82,3.12,184,59,"TenthTeeLatePar3ScoringAverage",2009
132,132,"Nicholas Thompson",96,3.12,265,85,"TenthTeeLatePar3ScoringAverage",2009
132,132,"Peter Tomasulo",61,3.12,128,41,"TenthTeeLatePar3ScoringAverage",2009
137,137,"Luke Donald",79,3.13,175,56,"TenthTeeLatePar3ScoringAverage",2009
137,137,"Billy Mayfair",83,3.13,241,77,"TenthTeeLatePar3ScoringAverage",2009
137,137,"Pat Perez",74,3.13,244,78,"TenthTeeLatePar3ScoringAverage",2009
137,137,"Justin Rose",71,3.13,150,48,"TenthTeeLatePar3ScoringAverage",2009
137,137,"Steve Stricker",81,3.13,50,16,"TenthTeeLatePar3ScoringAverage",2009
137,137,"Kirk Triplett",60,3.13,166,53,"TenthTeeLatePar3ScoringAverage",2009
143,143,"Brendon de Jonge",90,3.14,273,87,"TenthTeeLatePar3ScoringAverage",2009
143,143,"Joe Durant",62,3.14,157,50,"TenthTeeLatePar3ScoringAverage",2009
143,143,"Dustin Johnson",85,3.14,116,37,"TenthTeeLatePar3ScoringAverage",2009
143,143,"Sean OHair",80,3.14,154,49,"TenthTeeLatePar3ScoringAverage",2009
143,143,"Marc Turnesa",77,3.14,276,88,"TenthTeeLatePar3ScoringAverage",2009
148,148,"Brian Bateman",55,3.15,151,48,"TenthTeeLatePar3ScoringAverage",2009
148,148,"Martin Laird",72,3.15,164,52,"TenthTeeLatePar3ScoringAverage",2009
148,148,"John Mallinger",90,3.15,189,60,"TenthTeeLatePar3ScoringAverage",2009
148,148,"Phil Mickelson",66,3.15,41,13,"TenthTeeLatePar3ScoringAverage",2009
148,148,"Corey Pavin",73,3.15,164,52,"TenthTeeLatePar3ScoringAverage",2009
148,148,"Brandt Snedeker",81,3.15,192,61,"TenthTeeLatePar3ScoringAverage",2009
154,154,"Marc Leishman",91,3.16,231,73,"TenthTeeLatePar3ScoringAverage",2009
154,154,"Ted Purdy",101,3.16,231,73,"TenthTeeLatePar3ScoringAverage",2009
154,154,"DJ Trahan",96,3.16,231,73,"TenthTeeLatePar3ScoringAverage",2009
157,157,"Gary Woodland",53,3.17,152,48,"TenthTeeLatePar3ScoringAverage",2009
158,158,"Eric Axley",71,3.18,245,77,"TenthTeeLatePar3ScoringAverage",2009
158,158,"Aaron Baddeley",66,3.18,216,68,"TenthTeeLatePar3ScoringAverage",2009
158,158,"Rich Beem",77,3.18,207,65,"TenthTeeLatePar3ScoringAverage",2009
158,158,"Justin Leonard",95,3.18,89,28,"TenthTeeLatePar3ScoringAverage",2009
158,158,"Carl Pettersson",86,3.18,343,108,"TenthTeeLatePar3ScoringAverage",2009
158,158,"Rory Sabbatini",81,3.18,127,40,"TenthTeeLatePar3ScoringAverage",2009
164,164,"Ernie Els",70,3.19,51,16,"TenthTeeLatePar3ScoringAverage",2009
164,164,"Greg Kraft",51,3.19,102,32,"TenthTeeLatePar3ScoringAverage",2009
164,164,"Scott Piercy",85,3.19,182,57,"TenthTeeLatePar3ScoringAverage",2009
164,164,"Andres Romero",58,3.19,137,43,"TenthTeeLatePar3ScoringAverage",2009
168,168,"Angel Cabrera",55,3.2,128,40,"TenthTeeLatePar3ScoringAverage",2009
168,168,"Brad Faxon",59,3.2,224,70,"TenthTeeLatePar3ScoringAverage",2009
168,168,"Adam Scott",53,3.2,64,20,"TenthTeeLatePar3ScoringAverage",2009
168,168,"YE Yang",83,3.2,192,60,"TenthTeeLatePar3ScoringAverage",2009
172,172,"Michael Allen",73,3.21,199,62,"TenthTeeLatePar3ScoringAverage",2009
172,172,"Bob Estes",78,3.21,250,78,"TenthTeeLatePar3ScoringAverage",2009
172,172,"Chez Reavie",81,3.21,180,56,"TenthTeeLatePar3ScoringAverage",2009
175,175,"Stewart Cink",79,3.22,116,36,"TenthTeeLatePar3ScoringAverage",2009
175,175,"Derek Fathauer",63,3.22,222,69,"TenthTeeLatePar3ScoringAverage",2009
175,175,"Kent Jones",73,3.22,206,64,"TenthTeeLatePar3ScoringAverage",2009
178,178,"Jeff Maggert",79,3.23,155,48,"TenthTeeLatePar3ScoringAverage",2009
178,178,"Kevin Sutherland",96,3.23,181,56,"TenthTeeLatePar3ScoringAverage",2009
180,180,"Heath Slocum",95,3.24,188,58,"TenthTeeLatePar3ScoringAverage",2009
181,181,"Glen Day",79,3.29,270,82,"TenthTeeLatePar3ScoringAverage",2009
181,181,"Mathew Goggin",76,3.29,148,45,"TenthTeeLatePar3ScoringAverage",2009
181,181,"Tom Lehman",55,3.29,92,28,"TenthTeeLatePar3ScoringAverage",2009
184,184,"Parker McLachlin",71,3.38,152,45,"TenthTeeLatePar3ScoringAverage",2009
