"BirdieorBetterPercentage175200ya_RANKTHISWEEK_2014","BirdieorBetterPercentage175200ya_RANKLASTWEEK_2014","BirdieorBetterPercentage175200ya_PLAYERNAME_2014","BirdieorBetterPercentage175200ya_ROUNDS_2014","BirdieorBetterPercentage175200ya_Pct_2014","BirdieorBetterPercentage175200ya_TOTALBIRDIES_2014","BirdieorBetterPercentage175200ya_TOTALHOLES_2014","stat_name","year"
1,1,"Dustin Johnson",58,28.18,31,110,"BirdieorBetterPercentage175200ya",2014
2,2,"Charley Hoffman",93,20.98,47,224,"BirdieorBetterPercentage175200ya",2014
3,3,"Andrew Loupe",65,19.72,28,142,"BirdieorBetterPercentage175200ya",2014
4,4,"George McNeill",79,18.73,50,267,"BirdieorBetterPercentage175200ya",2014
5,5,"Paul Casey",56,18.64,33,177,"BirdieorBetterPercentage175200ya",2014
6,6,"Lucas Glover",68,18.49,27,146,"BirdieorBetterPercentage175200ya",2014
7,7,"Rickie Fowler",91,18.45,38,206,"BirdieorBetterPercentage175200ya",2014
8,8,"Rory McIlroy",66,18.25,23,126,"BirdieorBetterPercentage175200ya",2014
9,9,"Camilo Villegas",95,17.8,47,264,"BirdieorBetterPercentage175200ya",2014
10,10,"Aaron Baddeley",74,17.7,40,226,"BirdieorBetterPercentage175200ya",2014
11,11,"Brooks Koepka",56,17.52,24,137,"BirdieorBetterPercentage175200ya",2014
12,12,"Chesson Hadley",84,17.14,42,245,"BirdieorBetterPercentage175200ya",2014
13,13,"Ryan Moore",86,16.89,38,225,"BirdieorBetterPercentage175200ya",2014
14,14,"Angel Cabrera",69,16.76,30,179,"BirdieorBetterPercentage175200ya",2014
15,15,"Luke Guthrie",85,16.61,46,277,"BirdieorBetterPercentage175200ya",2014
16,16,"Gonzalo Fdez Castano",83,16.54,42,254,"BirdieorBetterPercentage175200ya",2014
16,16,"Sergio Garcia",61,16.54,22,133,"BirdieorBetterPercentage175200ya",2014
18,18,"Charl Schwartzel",64,16.49,32,194,"BirdieorBetterPercentage175200ya",2014
19,19,"Matt Jones",83,16.22,30,185,"BirdieorBetterPercentage175200ya",2014
20,20,"Brendan Steele",89,16.19,34,210,"BirdieorBetterPercentage175200ya",2014
21,21,"Marc Leishman",81,15.97,38,238,"BirdieorBetterPercentage175200ya",2014
22,22,"Harris English",95,15.81,37,234,"BirdieorBetterPercentage175200ya",2014
23,23,"Jason Dufner",57,15.71,22,140,"BirdieorBetterPercentage175200ya",2014
24,24,"Kevin Stadler",90,15.7,35,223,"BirdieorBetterPercentage175200ya",2014
24,24,"Henrik Stenson",56,15.7,19,121,"BirdieorBetterPercentage175200ya",2014
24,24,"Gary Woodland",93,15.7,35,223,"BirdieorBetterPercentage175200ya",2014
27,27,"Jason Day",54,15.63,15,96,"BirdieorBetterPercentage175200ya",2014
28,28,"Will Wilcox",51,15.57,19,122,"BirdieorBetterPercentage175200ya",2014
29,29,"Graham DeLaet",80,15.38,30,195,"BirdieorBetterPercentage175200ya",2014
29,29,"Brandt Snedeker",89,15.38,34,221,"BirdieorBetterPercentage175200ya",2014
29,29,"Bubba Watson",76,15.38,22,143,"BirdieorBetterPercentage175200ya",2014
32,32,"Ricky Barnes",92,15.3,43,281,"BirdieorBetterPercentage175200ya",2014
33,33,"Adam Scott",68,15.25,27,177,"BirdieorBetterPercentage175200ya",2014
34,34,"Jim Herman",62,15.23,23,151,"BirdieorBetterPercentage175200ya",2014
35,35,"Scott Brown",100,15.22,42,276,"BirdieorBetterPercentage175200ya",2014
35,35,"Billy Horschel",92,15.22,35,230,"BirdieorBetterPercentage175200ya",2014
37,37,"Ryan Palmer",85,15.21,33,217,"BirdieorBetterPercentage175200ya",2014
38,38,"Bud Cauley",56,15.2,19,125,"BirdieorBetterPercentage175200ya",2014
38,38,"Russell Henley",92,15.2,38,250,"BirdieorBetterPercentage175200ya",2014
40,40,"Robert Garrigus",80,15.19,36,237,"BirdieorBetterPercentage175200ya",2014
41,41,"Jason Kokrak",65,15.15,30,198,"BirdieorBetterPercentage175200ya",2014
42,42,"John Senden",99,15.09,43,285,"BirdieorBetterPercentage175200ya",2014
43,43,"Michael Thompson",74,15.05,31,206,"BirdieorBetterPercentage175200ya",2014
44,44,"JB Holmes",86,15,36,240,"BirdieorBetterPercentage175200ya",2014
45,45,"David Lingmerth",80,14.96,35,234,"BirdieorBetterPercentage175200ya",2014
46,46,"Jhonattan Vegas",77,14.89,28,188,"BirdieorBetterPercentage175200ya",2014
47,47,"Kevin Chappell",100,14.86,41,276,"BirdieorBetterPercentage175200ya",2014
48,48,"Troy Matteson",62,14.79,21,142,"BirdieorBetterPercentage175200ya",2014
49,49,"Ben Martin",80,14.78,34,230,"BirdieorBetterPercentage175200ya",2014
50,50,"John Peterson",62,14.66,28,191,"BirdieorBetterPercentage175200ya",2014
51,51,"Keegan Bradley",89,14.42,31,215,"BirdieorBetterPercentage175200ya",2014
52,52,"Stuart Appleby",92,14.29,43,301,"BirdieorBetterPercentage175200ya",2014
53,53,"Chris Stroud",88,14.16,33,233,"BirdieorBetterPercentage175200ya",2014
54,54,"Louis Oosthuizen",50,14.13,13,92,"BirdieorBetterPercentage175200ya",2014
55,55,"Charlie Beljan",76,14.08,29,206,"BirdieorBetterPercentage175200ya",2014
56,56,"Troy Merritt",62,14.07,28,199,"BirdieorBetterPercentage175200ya",2014
56,56,"Robert Streb",75,14.07,28,199,"BirdieorBetterPercentage175200ya",2014
58,58,"Will Ma Kenzie",82,14.02,38,271,"BirdieorBetterPercentage175200ya",2014
59,59,"Sean OHair",77,14.01,29,207,"BirdieorBetterPercentage175200ya",2014
60,60,"Bo Van Pelt",83,13.99,34,243,"BirdieorBetterPercentage175200ya",2014
61,61,"Derek Ernst",80,13.9,26,187,"BirdieorBetterPercentage175200ya",2014
61,61,"Justin Rose",70,13.9,26,187,"BirdieorBetterPercentage175200ya",2014
63,63,"Webb Simpson",87,13.83,35,253,"BirdieorBetterPercentage175200ya",2014
64,64,"Brian Harman",111,13.77,50,363,"BirdieorBetterPercentage175200ya",2014
65,65,"Martin Kaymer",65,13.69,23,168,"BirdieorBetterPercentage175200ya",2014
66,66,"Stewart Cink",91,13.64,33,242,"BirdieorBetterPercentage175200ya",2014
66,66,"Brendon de Jonge",109,13.64,48,352,"BirdieorBetterPercentage175200ya",2014
68,68,"Chris Kirk",105,13.62,38,279,"BirdieorBetterPercentage175200ya",2014
69,69,"Brendon Todd",108,13.61,46,338,"BirdieorBetterPercentage175200ya",2014
70,70,"Hideki Matsuyama",82,13.6,31,228,"BirdieorBetterPercentage175200ya",2014
71,71,"Andres Romero",81,13.55,29,214,"BirdieorBetterPercentage175200ya",2014
72,72,"Zach Johnson",97,13.44,41,305,"BirdieorBetterPercentage175200ya",2014
73,73,"Trevor Immelman",84,13.36,33,247,"BirdieorBetterPercentage175200ya",2014
74,74,"Kevin Tway",64,13.29,21,158,"BirdieorBetterPercentage175200ya",2014
75,75,"Ryo Ishikawa",75,13.27,26,196,"BirdieorBetterPercentage175200ya",2014
76,76,"Josh Teater",90,13.26,35,264,"BirdieorBetterPercentage175200ya",2014
77,77,"John Merrick",87,13.19,31,235,"BirdieorBetterPercentage175200ya",2014
78,78,"Ernie Els",85,13.15,28,213,"BirdieorBetterPercentage175200ya",2014
79,79,"Carl Pettersson",91,13.13,39,297,"BirdieorBetterPercentage175200ya",2014
79,79,"Kevin Streelman",79,13.13,26,198,"BirdieorBetterPercentage175200ya",2014
79,79,"Cameron Tringale",111,13.13,47,358,"BirdieorBetterPercentage175200ya",2014
82,82,"Ben Crane",81,13.11,40,305,"BirdieorBetterPercentage175200ya",2014
82,82,"Retief Goosen",94,13.11,35,267,"BirdieorBetterPercentage175200ya",2014
84,84,"Charles Howell III",106,13.01,38,292,"BirdieorBetterPercentage175200ya",2014
85,85,"Johnson Wagner",69,12.98,27,208,"BirdieorBetterPercentage175200ya",2014
