"YTDRoundsin60sStreak_RANKTHISWEEK_2015","YTDRoundsin60sStreak_RANKLASTWEEK_2015","YTDRoundsin60sStreak_PLAYERNAME_2015","YTDRoundsin60sStreak__2015","YTDRoundsin60sStreak_BESTSTREAK_2015","stat_name","year"
1,1,"Johnson Wagner",NA,14,"YTDRoundsin60sStreak",2015
2,2,"Jason Day",NA,11,"YTDRoundsin60sStreak",2015
3,3,"Steven Bowditch",NA,9,"YTDRoundsin60sStreak",2015
3,3,"Rickie Fowler",NA,9,"YTDRoundsin60sStreak",2015
3,3,"Scott Piercy",NA,9,"YTDRoundsin60sStreak",2015
6,6,"Martin Laird",NA,8,"YTDRoundsin60sStreak",2015
6,6,"Danny Lee",NA,8,"YTDRoundsin60sStreak",2015
6,6,"Shawn Stefani",NA,8,"YTDRoundsin60sStreak",2015
6,6,"Robert Streb",NA,8,"YTDRoundsin60sStreak",2015
6,6,"Jimmy Walker",NA,8,"YTDRoundsin60sStreak",2015
6,6,"Bubba Watson",NA,8,"YTDRoundsin60sStreak",2015
12,12,"Stuart Appleby",NA,7,"YTDRoundsin60sStreak",2015
12,12,"Jason Bohn",NA,7,"YTDRoundsin60sStreak",2015
12,12,"Chad Collins",NA,7,"YTDRoundsin60sStreak",2015
12,12,"Brendon de Jonge",NA,7,"YTDRoundsin60sStreak",2015
12,12,"Harris English",NA,7,"YTDRoundsin60sStreak",2015
12,12,"Jim Furyk",NA,7,"YTDRoundsin60sStreak",2015
12,12,"Adam Hadwin",NA,7,"YTDRoundsin60sStreak",2015
12,12,"Morgan Hoffmann",NA,7,"YTDRoundsin60sStreak",2015
12,12,"Zach Johnson",NA,7,"YTDRoundsin60sStreak",2015
12,12,"Kevin Kisner",NA,7,"YTDRoundsin60sStreak",2015
12,12,"Brooks Koepka",NA,7,"YTDRoundsin60sStreak",2015
12,12,"Jordan Spieth",NA,7,"YTDRoundsin60sStreak",2015
12,12,"Henrik Stenson",NA,7,"YTDRoundsin60sStreak",2015
