"FedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2010","FedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2010","FedExCupSeasonPointsforNonMembers_PLAYERNAME_2010","FedExCupSeasonPointsforNonMembers_EVENTS_2010","FedExCupSeasonPointsforNonMembers_POINTS_2010","FedExCupSeasonPointsforNonMembers_WGCPOINTS_2010","stat_name","year"
1,1,"Lee Westwood",11,1600,85,"FedExCupSeasonPointsforNonMembers",2010
2,2,"Martin Kaymer",10,1053,242,"FedExCupSeasonPointsforNonMembers",2010
3,3,"Graeme McDowell",10,794,113,"FedExCupSeasonPointsforNonMembers",2010
4,4,"Charl Schwartzel",11,772,394,"FedExCupSeasonPointsforNonMembers",2010
5,5,"Louis Oosthuizen",5,672,72,"FedExCupSeasonPointsforNonMembers",2010
6,6,"Robert Karlsson",11,536,60,"FedExCupSeasonPointsforNonMembers",2010
7,7,"Arjun Atwal",10,500,NA,"FedExCupSeasonPointsforNonMembers",2010
8,8,"Edoardo Molinari",8,387,48,"FedExCupSeasonPointsforNonMembers",2010
9,9,"Gregory Havret",2,330,NA,"FedExCupSeasonPointsforNonMembers",2010
10,10,"Peter Hanson",7,279,155,"FedExCupSeasonPointsforNonMembers",2010
11,11,"Francesco Molinari",8,275,113,"FedExCupSeasonPointsforNonMembers",2010
12,12,"Alvaro Quiros",9,272,143,"FedExCupSeasonPointsforNonMembers",2010
13,13,"Ryo Ishikawa",10,224,86,"FedExCupSeasonPointsforNonMembers",2010
14,14,"Oliver Wilson",9,208,141,"FedExCupSeasonPointsforNonMembers",2010
15,15,"Bob Heintz",3,188,NA,"FedExCupSeasonPointsforNonMembers",2010
16,16,"Thongchai Jaidee",8,184,115,"FedExCupSeasonPointsforNonMembers",2010
17,17,"Miguel Angel Jimenez",7,184,74,"FedExCupSeasonPointsforNonMembers",2010
18,18,"Soren Kjeldsen",7,177,34,"FedExCupSeasonPointsforNonMembers",2010
19,19,"WC Liang",4,169,38,"FedExCupSeasonPointsforNonMembers",2010
20,20,"Yuta Ikeda",11,145,72,"FedExCupSeasonPointsforNonMembers",2010
21,21,"Simon Dyson",8,132,42,"FedExCupSeasonPointsforNonMembers",2010
22,22,"Ross Fisher",10,132,69,"FedExCupSeasonPointsforNonMembers",2010
23,23,"Ross McGowan",6,129,100,"FedExCupSeasonPointsforNonMembers",2010
24,24,"Stephen Gallacher",2,98,NA,"FedExCupSeasonPointsforNonMembers",2010
25,25,"Robert Rock",1,91,NA,"FedExCupSeasonPointsforNonMembers",2010
26,26,"Alistair Presnell",1,90,90,"FedExCupSeasonPointsforNonMembers",2010
27,27,"Soren Hansen",7,75,75,"FedExCupSeasonPointsforNonMembers",2010
28,28,"Sam Saunders",7,71,NA,"FedExCupSeasonPointsforNonMembers",2010
29,29,"Anders Hansen",6,71,71,"FedExCupSeasonPointsforNonMembers",2010
30,30,"Seung Yul Noh",5,69,NA,"FedExCupSeasonPointsforNonMembers",2010
31,31,"Gonzalo Fdez Castano",3,66,31,"FedExCupSeasonPointsforNonMembers",2010
32,32,"Simon Khan",4,60,1,"FedExCupSeasonPointsforNonMembers",2010
33,33,"Erik Compton",7,56,NA,"FedExCupSeasonPointsforNonMembers",2010
34,34,"Ignacio Garrido",1,55,NA,"FedExCupSeasonPointsforNonMembers",2010
35,35,"Ken Duke",3,47,NA,"FedExCupSeasonPointsforNonMembers",2010
36,36,"Darren Clarke",2,46,NA,"FedExCupSeasonPointsforNonMembers",2010
37,37,"Alejandro Canizares",2,45,NA,"FedExCupSeasonPointsforNonMembers",2010
38,38,"David Horsey",2,42,1,"FedExCupSeasonPointsforNonMembers",2010
39,39,"Kyle Stanley",3,42,NA,"FedExCupSeasonPointsforNonMembers",2010
40,40,"KT Kim",2,40,NA,"FedExCupSeasonPointsforNonMembers",2010
40,40,"Alexander Noren",3,40,40,"FedExCupSeasonPointsforNonMembers",2010
42,42,"Bradley Dredge",1,40,NA,"FedExCupSeasonPointsforNonMembers",2010
42,42,"Marcel Siem",1,40,NA,"FedExCupSeasonPointsforNonMembers",2010
44,44,"Katsumasa Miyamoto",2,36,36,"FedExCupSeasonPointsforNonMembers",2010
45,45,"Brandt Jobe",1,35,NA,"FedExCupSeasonPointsforNonMembers",2010
46,46,"Tag Ridings",1,34,NA,"FedExCupSeasonPointsforNonMembers",2010
47,47,"Michael Putnam",1,32,NA,"FedExCupSeasonPointsforNonMembers",2010
48,48,"Shane Lowry",2,31,NA,"FedExCupSeasonPointsforNonMembers",2010
48,48,"Colm Moriarty",1,31,NA,"FedExCupSeasonPointsforNonMembers",2010
50,50,"Rob Grube",1,29,NA,"FedExCupSeasonPointsforNonMembers",2010
50,50,"Adam Hadwin",1,29,NA,"FedExCupSeasonPointsforNonMembers",2010
50,50,"Brock Mackenzie",1,29,NA,"FedExCupSeasonPointsforNonMembers",2010
53,53,"Bobby Gates",2,28,NA,"FedExCupSeasonPointsforNonMembers",2010
54,54,"Mike Small",6,27,NA,"FedExCupSeasonPointsforNonMembers",2010
55,55,"Drew Weaver",2,27,NA,"FedExCupSeasonPointsforNonMembers",2010
56,56,"Steve Allan",2,26,NA,"FedExCupSeasonPointsforNonMembers",2010
57,57,"Todd Fischer",1,24,NA,"FedExCupSeasonPointsforNonMembers",2010
58,58,"Chris Wood",5,23,23,"FedExCupSeasonPointsforNonMembers",2010
59,59,"Benjamin Fox",3,22,NA,"FedExCupSeasonPointsforNonMembers",2010
60,60,"Jamie Lovemark",3,22,NA,"FedExCupSeasonPointsforNonMembers",2010
60,60,"Jhonattan Vegas",1,22,NA,"FedExCupSeasonPointsforNonMembers",2010
62,62,"Jon Mills",1,21,NA,"FedExCupSeasonPointsforNonMembers",2010
62,62,"Jerry Richardson Jr",1,21,NA,"FedExCupSeasonPointsforNonMembers",2010
64,64,"Jason Allred",1,19,NA,"FedExCupSeasonPointsforNonMembers",2010
64,64,"Rafa Cabrera Bello",1,19,NA,"FedExCupSeasonPointsforNonMembers",2010
64,64,"Jim Herman",1,19,NA,"FedExCupSeasonPointsforNonMembers",2010
67,67,"Colin Montgomerie",3,18,NA,"FedExCupSeasonPointsforNonMembers",2010
68,68,"Danny Chia",1,14,NA,"FedExCupSeasonPointsforNonMembers",2010
68,68,"Zane Scotland",1,14,NA,"FedExCupSeasonPointsforNonMembers",2010
70,70,"Seungsu Han",1,14,NA,"FedExCupSeasonPointsforNonMembers",2010
70,70,"Thomas Levet",2,14,NA,"FedExCupSeasonPointsforNonMembers",2010
70,70,"Santiago Luna",1,14,NA,"FedExCupSeasonPointsforNonMembers",2010
73,73,"Gregory Bourdy",2,13,2,"FedExCupSeasonPointsforNonMembers",2010
73,73,"Toru Taniguchi",2,13,NA,"FedExCupSeasonPointsforNonMembers",2010
75,75,"Daniel Barbetti",1,11,NA,"FedExCupSeasonPointsforNonMembers",2010
75,75,"Marcus Fraser",1,11,11,"FedExCupSeasonPointsforNonMembers",2010
75,75,"Hiroyuki Fujita",4,11,NA,"FedExCupSeasonPointsforNonMembers",2010
75,75,"Peter Gustafsson",1,11,NA,"FedExCupSeasonPointsforNonMembers",2010
75,75,"Manuel Villegas",2,11,NA,"FedExCupSeasonPointsforNonMembers",2010
80,80,"Rhys Davies",4,10,1,"FedExCupSeasonPointsforNonMembers",2010
81,81,"Matt Hill",5,10,NA,"FedExCupSeasonPointsforNonMembers",2010
82,82,"Fredrik Andersson Hed",2,10,NA,"FedExCupSeasonPointsforNonMembers",2010
83,83,"Jeff Burns",1,10,NA,"FedExCupSeasonPointsforNonMembers",2010
84,84,"Alexandre Rocha",1,9,NA,"FedExCupSeasonPointsforNonMembers",2010
85,85,"James Kingston",1,8,8,"FedExCupSeasonPointsforNonMembers",2010
85,85,"Peter Senior",1,8,NA,"FedExCupSeasonPointsforNonMembers",2010
87,87,"Jason Schultz",1,7,NA,"FedExCupSeasonPointsforNonMembers",2010
88,88,"Gareth Maybin",2,6,NA,"FedExCupSeasonPointsforNonMembers",2010
88,88,"Chris Rogers",2,6,NA,"FedExCupSeasonPointsforNonMembers",2010
90,90,"Hennie Otto",1,5,5,"FedExCupSeasonPointsforNonMembers",2010
91,91,"Billy Hurley III",1,4,NA,"FedExCupSeasonPointsforNonMembers",2010
92,92,"Rob Labritz",1,3,NA,"FedExCupSeasonPointsforNonMembers",2010
